Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,bg
Pipile cujubi,Red-throated Piping-guan,rtpgua1,81437,FALSE,Червеногуш гуан
Pipile jacutinga,Black-fronted Piping-guan,bfpgua1,184775031,FALSE,Очилат гуан
Aburria aburri,Wattled Guan,watgua1,101066981,FALSE,Голям черен гуан
Oreophasis derbianus,Horned Guan,horgua1,177575,TRUE,Рогат гуан
Ortalis vetula,Plain Chachalaca,placha,172754021,TRUE,Мексиканска чачалака
Ortalis cinereiceps,Grey-headed Chachalaca,grhcha1,456443461,FALSE,Сивоглава чачалака
Ortalis garrula,Chestnut-winged Chachalaca,chwcha1,624280923,FALSE,Кестенявокрила чачалака
Ortalis ruficauda,Rufous-vented Chachalaca,ruvcha1,2320,FALSE,Венецуелска чачалака
Ortalis erythroptera,Rufous-headed Chachalaca,ruhcha1,514472621,FALSE,Еквадорска чачалака
Ortalis wagleri,Rufous-bellied Chachalaca,rubcha1,49211281,FALSE,Рогата чачалака
Ortalis poliocephala,West Mexican Chachalaca,wemcha1,153248731,FALSE,Тихоокеанска чачалака
Ortalis canicollis,Chaco Chachalaca,chacha1,572139481,FALSE,Чакоенска чачалака
Ortalis leucogastra,White-bellied Chachalaca,whbcha1,20375,FALSE,Белокорема чачалака
Ortalis columbiana,Colombian Chachalaca,colcha1,212229,FALSE,Колумбийска чачалака
Ortalis guttata,Speckled Chachalaca,specha3,183366391,FALSE,Петниста чачалака
Ortalis araucan,East Brasilian Chachalaca,,,FALSE,
Ortalis squamata,Scaled Chachalaca,specha4,332027481,FALSE,Люспеста чачалака
Ortalis motmot,Little Chachalaca,varcha1,78010,FALSE,Гвианска чачалака
CASUARIIDAE,Cassowaries Emus,,,FALSE,
Casuarius casuarius,Southern Cassowary,soucas1,203989761,TRUE,Обикновен казуар
Casuarius bennetti,Dwarf Cassowary,dwacas1,203987101,FALSE,Малък казуар
Casuarius unappendiculatus,Northern Cassowary,norcas1,536563291,FALSE,Голям казуар
Dromaius novaehollandiae,Emu,emu1,623096519,TRUE,Ему
†Dromaius minor,King Island Emu,,,FALSE,
†Dromaius baudinianus,Kangoroo Island Emu,,,FALSE,
APTERYGIDAE,Kiwis,,,FALSE,
Apteryx haastii,Great Spotted Kiwi,grskiw1,617700522,TRUE,Киви на Хааст
Apteryx owenii,Little Spotted Kiwi,liskiw1,596188651,FALSE,Киви на Оуен
Apteryx mantelli,North Island Brown Kiwi,nibkiw1,623165890,TRUE,Северно кафяво киви
Apteryx australis,Southern Brown Kiwi,sobkiw1,85614831,FALSE,Южно кафяво киви
Ortalis superciliaris,Buff-browed Chachalaca,bubcha1,349286621,FALSE,Беловежда чачалака
Nothocrax urumutum,Nocturnal Curassow,noccur1,34378,FALSE,Вечерен кракс
Crax rubra,Great Curassow,grecur1,398165901,TRUE,Голям кракс
Crax alberti,Blue-billed Curassow,bubcur1,203963551,FALSE,Колумбийски кракс
Crax daubentoni,Yellow-knobbed Curassow,yekcur1,386558971,FALSE,Къдроглав кракс
Crax alector,Black Curassow,blacur1,322191801,FALSE,Черен кракс
Crax fasciolata,Bare-faced Curassow,bafcur1,203894921,FALSE,Бразилски кракс
Crax pinima,Belem Curassow,,,FALSE,Бразилски кракс (ssp. pinima)
Crax globulosa,Wattled Curassow,watcur1,219106901,FALSE,Речен кракс
Crax blumenbachii,Red-billed Curassow,rebcur1,625223109,FALSE,Червеноклюн кракс
Mitu tomentosum,Crestless Curassow,crecur2,317505041,FALSE,Червенокорем кракс
Mitu mitu,Alagoas Curassow,alacur1,,FALSE,Алагоаски кракс
Mitu tuberosum,Razor-billed Curassow,rabcur2,559592971,FALSE,Амазонски кракс
Mitu salvini,Salvin's Curassow,salcur1,629970995,FALSE,Белокоем кракс
Pauxi unicornis,Horned Curassow,horcur3,534805601,FALSE,Рогат кракс
Pauxi koepckeae,Sira Curassow,horcur2,32320171,FALSE,Сирайски кракс
Pauxi pauxi,Helmeted Curassow,helcur1,63667,FALSE,Шлемоносен кракс
Arborophila crudigularis,Taiwan Partridge,taipar1,39795,FALSE,Тайванска яребица
Arborophila mandellii,Chestnut-breasted Partridge,chbpar2,239603,FALSE,Бутанска яребица
Arborophila brunneopectus,Bar-backed Partridge,babpar1,113529,FALSE,Индокитайска яребица
Arborophila rufipectus,Sichuan Partridge,sicpar1,637394890,FALSE,Съчуанска яребица
Arborophila gingica,Collared Partridge,whnpar2,48693791,FALSE,Огърличеста яребица
Arborophila davidi,Orange-necked Partridge,ornpar1,569348161,FALSE,Виетнамска яребица
Arborophila cambodiana,Chestnut-headed Partridge,chhpar1,630487371,FALSE,Камбоджанска яребица
Arborophila campbelli,Malay Partridge,gybpar3,203886611,FALSE,Малайска яребица
Arborophila rolli,Tan-breasted Partridge,gybpar5,175504,FALSE,Кафявогърда яребица
Arborophila sumatrana,Sumatran Partridge,gybpar6,491844231,FALSE,Суматранска яребица
Arborophila orientalis,White-faced Partridge,gybpar4,181897,FALSE,Белогуша яребица
Arborophila javanica,Chestnut-bellied Partridge,chbpar1,647027343,FALSE,Яванска яребица
Arborophila rubrirostris,Red-billed Partridge,rebpar3,642820203,FALSE,Червеноклюна яребица
Arborophila hyperythra,Bornean Partridge,rebpar5,203956931,FALSE,Червеногуша яребица
Arborophila ardens,Hainan Partridge,haipar1,609066009,FALSE,Хайнанска яребица
Arborophila chloropus,Green-legged Partridge,,,FALSE,Зеленонога яребица
Arborophila tonkinensis,Tonkin Partridge,,,FALSE,Зеленонога яребица (ssp. tonkinensis)
Arborophila charltonii,Chestnut-necklaced Partridge,chnpar1,621122731,FALSE,
Arborophila graydoni,Sabah Partridge,chnpar3,642338035,FALSE,Сабахска яребица
Rhizothera longirostris,Long-billed Partridge,lobpar3,181633331,FALSE,Дългоклюна яребица
Rhizothera dulitensis,Dulit Partridge,lobpar2,,FALSE,Борнейска яребица
Melanoperdix niger,Black Partridge,blapar2,629033581,FALSE,Черна яребица
Haematortyx sanguiniceps,Crimson-headed Partridge,crhpar1,609672173,FALSE,Червеноглава яребица
Caloperdix oculea,Ferruginous Partridge,ferpar2,600452771,FALSE,Ръждива яребица
Galloperdix spadicea,Red Spurfowl,redspu1,349354171,FALSE,Червен франколин
Galloperdix lunulata,Painted Spurfowl,paispu1,207089521,FALSE,Пъстър франколин
Galloperdix bicalcarata,Sri Lanka Spurfowl,ceyspu1,203990571,FALSE,Цейлонски франколин
Afropavo congensis,Congo Peafowl,conpea1,519903871,FALSE,Конгоански паун
Pavo cristatus,Indian Peafowl,compea,91301711,TRUE,Обикновен паун
Pavo muticus,Green Peafowl,grepea1,609104061,FALSE,Зелен паун
Argusianus argus,Great Argus,grearg1,203944171,TRUE,Голям дългоопашат фазан
Rheinardia ocellata,Crested Argus,crearg1,609069136,FALSE,
R. o. nigrescens,Malaysian Argus,,,FALSE,
Polyplectron napoleonis,Palawan Peacock-pheasant,palpep1,212042841,FALSE,Палауански паунов фазан
Polyplectron malacense,Malay Peacock-pheasant,mapphe1,36637,FALSE,Малайски паунов фазан
Polyplectron schleiermacheri,Bornean Peacock-pheasant,bopphe1,522860261,FALSE,Борнейски паунов фазан
Polyplectron germaini,Germain's Peacock-pheasant,gepphe1,204023661,FALSE,Виетнамски паунов фазан
Polyplectron katsumatae,Hainan Peacock-pheasant,grypep3,613345194,FALSE,Хайнански паунов фазан
Polyplectron bicalcaratum,Grey Peacock-pheasant,grypep2,628409328,FALSE,Сив паунов фазан
Polyplectron inopinatum,Mountain Peacock-pheasant,mopphe1,174378541,FALSE,Планински паунов фазан
Polyplectron chalcurum,Bronze-tailed Peacock-pheasant,btpphe1,640131691,FALSE,Суматрански паунов фазан
Margaroperdix madagarensis,Madagascar Partridge,madpar2,95730,FALSE,Мадагаскарска яребица
Coturnix coturnix,Common Quail,comqua1,204001791,FALSE,Пъдпъдък
Coturnix japonica,Japanese Quail,japqua,308522651,FALSE,Японски пъдпъдък
Coturnix coromandelica,Rain Quail,raiqua1,204026791,FALSE,Индийски пъдпъдък
Coturnix delegorguei,Harlequin Quail,harqua1,55993,FALSE,Палячов пъдпъдък
Coturnix pectoralis,Stubble Quail,stuqua1,73173471,TRUE,Австралиски пъдпъдък
†Coturnix novaezelandiae,New Zealand Quail,nezqua1,,FALSE,
Synoicus ypsilophorus,Brown Quail,broqua1,295926801,FALSE,Кафяв пъдпъдък
Synoicus chinensis,Asian Blue Quail,blbqua1,385061761,FALSE,Синегръд пъдпъдък
Synoicus adansonii,African Blue Quail,bluqua1,,FALSE,Син пъдпъдък
Anurophasis monorthonyx,Snow Mountain Quail,snmqua2,,FALSE,Папуаски пъдпъдък
Tetraogallus caucasicus,Caucasian Snowcock,causno1,155121691,FALSE,Кавказки улар
Tetraogallus caspius,Caspian Snowcock,cassno1,634394698,FALSE,Каспийски улар
Tetraogallus himalayensis,Himalayan Snowcock,himsno,601383721,FALSE,Хималайски улар
Tetraogallus tibetanus,Tibetan Snowcock,tibsno1,483108811,FALSE,Тибетски улар
Tetraogallus altaicus,Altai Snowcock,altsno1,639220722,FALSE,Алтайски улар
Alectoris graeca,Rock Partridge,rocpar2,203977601,FALSE,Планински кеклик
Alectoris chukar,Chukar,chukar,210513,FALSE,Тракийски кеклик
Alectoris magna,Przevalski's Partridge,przpar1,60496,FALSE,Китайски кеклик
Alectoris philbyi,Philby's Partridge,phipar1,203934401,FALSE,Черногърл кеклик
Alectoris barbara,Barbary Partridge,barpar2,143882821,FALSE,Берберски кеклик
Alectoris rufa,Red-legged Partridge,relpar1,526100581,TRUE,Червен кеклик
Alectoris melanocephala,Arabian Partridge,arapar1,480127751,FALSE,Черноглав кеклик
Lerwa lerwa,Snow Partridge,snopar1,517723441,FALSE,Снежна лерва
Ammoperdix griseogularis,See-see Partridge,sespar1,108033921,FALSE,Персийска пустинна яребица
Ammoperdix heyi,Sand Partridge,sanpar1,203694431,FALSE,Арабска пустинна яребица
Perdicula asiatica,Jungle Bush-quail,jubqua1,268669171,FALSE,Горски / Скален пъдпъдък
Perdicula argoondah,Rock Bush-quail,robqua1,625833475,FALSE,Скален пъдпъдък
Perdicula erythrorhyncha,Painted Bush-quail,pabqua1,394824171,FALSE,Червеноног пъдпъдък
Perdicula manipurensis,Manipur Bush-quail,mabqua1,,FALSE,Манипурски пъдпъдък
Ophrysia superciliosa,Himalayan Quail,himqua1,,FALSE,Хималайски пъдпъдък
Pternistis hartlaubi,Hartlaub's Francolin,harfra3,203933311,FALSE,Намибски франколин
Pternistis bicalcaratus,Double-spurred Francolin,dosfra2,643643301,FALSE,Двушпорест франколин
Pternistis icterorhynchus,Heuglin's Francolin,heufra1,467007011,FALSE,Беловежд франколин
Pternistis clappertoni,Clapperton's Francolin,clafra1,33651871,FALSE,Петнист франколин
Pternistis harwoodi,Harwood's Francolin,harfra4,204006921,FALSE,Черночел франколин
NUMIDIDAE,Guineafowl,,,FALSE,
Numida meleagris,Helmeted Guineafowl,helgui,203933171,FALSE,Шлемоглава токачка
N. m. galeatus,West African Guineafowl,,,FALSE,
Agelastes meleagrides,White-breasted Guineafowl,whbgui1,,FALSE,Белогърда токачка
Agelastes niger,Black Guineafowl,blagui1,565534711,FALSE,Черна токачка
Acryllium vulturinum,Vulturine Guineafowl,vulgui1,645270670,FALSE,Голяма токачка
Guttera plumifera,Plumed Guineafowl,plugui1,629897712,FALSE,Габонска токачка
Guttera verreauxi,Western Crested Guineafowl,cregui2,591043601,FALSE,Западна качулата токачка
Guttera pucherani,Eastern Crested Guineafowl,cregui3,176795,FALSE,Източна качулата токачка
Guttera edouardi,Southern Crested Guineafowl,cregui4,206411171,FALSE,Южна качулата токачка
ODONTOPHORIDAE,New World Quails,,,FALSE,
Ptilopachus petrosus,Stone Partridge,stopar1,203911811,FALSE,Скална яребица
Ptilopachus nahani,Nahan's Partridge,nahfra2,166731461,FALSE,Угандийска яребица
Philortyx fasciatus,Barred Quail,banqua1,325304401,FALSE,Тигров пъдпъдък
Oreortyx pictus,Mountain Quail,mouqua,42202,TRUE,Планински пъдпъдък
Colinus virginianus,Northern Bobwhite,norbob,92708151,TRUE,Вирджински пъдпъдък
C. v. ridgwayi,Masked Bobwhite,,,FALSE,
Colinus nigrogularis,Black-throated Bobwhite,bltbob1,173680121,FALSE,Черногуш пъдпъдък
Colinus leucopogon,Spot-bellied Bobwhite,crebob2,211115,FALSE,Петнист пъдпъдък
Colinus cristatus,Crested Bobwhite,crebob1,64102,FALSE,Качулат пъдпъдък
Callipepla squamata,Scaled Quail,scaqua,452435231,TRUE,Люспест пъдпъдък
Callipepla douglasii,Elegant Quail,elequa,109166,FALSE,Грациозен пъдпъдък
Callipepla gambelii,Gambel's Quail,gamqua,435382461,FALSE,Мексикански пъдпъдък
Callipepla californica,California Quail,calqua,111018,TRUE,Калифорнийски пъдпъдък
Dendrortyx barbatus,Bearded Wood-partridge,bewpar1,333371541,FALSE,Брадата горска яребица
Dendrortyx macroura,Long-tailed Wood-partridge,ltwpar1,125230411,FALSE,Дългоопашата горска яребица
Dendrortyx leucophrys,Buffy-crowned Wood-partridge,bcwpar1,94099921,FALSE,Белогуша горска яребица
Odontophorus gujanensis,Marbled Wood-quail,mawqua1,64113,FALSE,Мраморен горски пъдпъдък
Odontophorus capueira,Spot-winged Wood-quail,swwqua1,598288201,FALSE,Пъстрокрил горски пъдпъдък
Odontophorus melanotis,Black-eared Wood-quail,bewqua1,616447048,FALSE,Черноух горски пъдпъдък
Odontophorus erythrops,Rufous-fronted Wood-quail,rfwqua1,609684320,FALSE,Черноух горски пъдпъдък
Odontophorus atrifrons,Black-fronted Wood-quail,bfwqua1,167188,FALSE,Черночел горски пъдпъдък
Odontophorus hyperythrus,Chestnut Wood-quail,chwqua1,198748961,FALSE,Кестеняв горски пъдпъдък
Odontophorus melanonotus,Dark-backed Wood-quail,dbwqua1,609501576,FALSE,Еквадорски горски пъдпъдък
