Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,bg
Procnias nudicollis,Bare-throated Bellbird,batbel1,115299,FALSE,Гологуша птица-тръбач
Procnias averano,Bearded Bellbird,beabel1,7286,FALSE,Брадата птица-тръбач
Cotinga maynana,Plum-throated Cotinga,pltcot1,108214041,FALSE,Лазурна котинга
Cotinga cayana,Spangled Cotinga,spacot1,255359,FALSE,Петниста котинга
Cotinga amabilis,Lovely Cotinga,lovcot1,297385321,FALSE,Лилавогърда котинга
Cotinga nattererii,Blue Cotinga,blucot1,127429841,FALSE,Синя котинга
Cotinga ridgwayi,Turquoise Cotinga,turcot1,225341171,FALSE,Тюркоазена котинга
Cotinga maculata,Banded Cotinga,bancot1,,FALSE,Огърличеста котинга
Cotinga cotinga,Purple-breasted Cotinga,pubcot1,126725,FALSE,Обикновена котинга
Porphyrolaema porphyrolaema,Purple-throated Cotinga,putcot1,31739,FALSE,Лилавогуша котинга
Conioptilon mcilhennyi,Black-faced Cotinga,blfcot1,479717291,FALSE,Чернолика котинга
Gymnoderus foetidus,Bare-necked Fruitcrow,banfru1,55850,FALSE,Плешива вранова котинга
Xipholena punicea,Pompadour Cotinga,pomcot1,39446,FALSE,Блестяща котинга
Xipholena lamellipennis,White-tailed Cotinga,whtcot1,428564911,FALSE,Белоопашата котинга
Xipholena atropurpura,White-winged Cotinga,whwcot1,614871747,FALSE,
Carpodectes hopkei,Black-tipped Cotinga,bltcot1,245912,FALSE,Чокоенска бяла котинга
Carpodectes antoniae,Yellow-billed Cotinga,yebcot1,,FALSE,Жълтоклюна бяла котинга
Carpodectes nitidus,Snowy Cotinga,snocot1,,FALSE,Черноока бяла котинга
Pachyramphus validus,Crested Becard,crebec1,618962106,FALSE,Качулат бекард
Pachyramphus surinamus,Glossy-backed Becard,glbbec1,203918941,FALSE,Гвиански бекард
Pachyramphus cinnamomeus,Cinnamon Becard,cinbec1,184774,FALSE,Канелен бекард
Pachyramphus castaneus,Chestnut-crowned Becard,chcbec1,62573,FALSE,Кестеняв бекард
Pachyramphus uropygialis,Western Grey-collared Becard,,,FALSE,
Pachyramphus major,Eastern Grey-collared Becard,grcbec1,32239161,FALSE,Голям бекард
Pachyramphus marginatus,Black-capped Becard,blcbec1,372074341,FALSE,Черноглав бекард
Pachyramphus polychopterus,White-winged Becard,whwbec1,7272,FALSE,Белокрил бекард
Pachyramphus albogriseus,Black-and-white Becard,bawbec7,558676841,FALSE,Планински / Еквадорски бекард
Schiffornis major,Varzea Schiffornis,varsch1,29276,FALSE,Голяма жалобна титира
Schiffornis virescens,Greenish Schiffornis,gresch2,19354,FALSE,Зелена жалобна титира
Schiffornis olivacea,Olivaceous Mourner,thlsch7,306731531,FALSE,Маслинова жалобна титира
Schiffornis stenorhyncha,Russet-winged Mourner,thlsch4,65798,FALSE,Ръждивокрила жалобна титира
Schiffornis turdina,Brown-winged Mourner,thlsch3,87826,FALSE,Кафявокрила жалобна титира
Schiffornis aenea,Foothill Mourner,thlsch8,79747,FALSE,Еквадорска жалобна титира
Schiffornis veraepacis,Northern Mourner,thlsch2,162409561,FALSE,Кафява жалобна титира
Laniocera rufescens,Speckled Mourner,spemou1,616285718,FALSE,Петниста жалобна титира
Laniocera hypopyrra,Cinereous Mourner,cinmou1,364636701,FALSE,Сива жалобна титира
Laniisoma buckleyi,Andean Mourner,shlcot2,609417579,FALSE,Андска сврачкова котинга
Laniisoma elegans,Elegant Mourner,shlcot3,238437151,FALSE,Бразилска сврачкова котинга
TYRANNIDAE,Tyrant-flycatchers,,,FALSE,
Calyptura cristata,Kinglet Calyptura,kincal1,,FALSE,Кралчевидна калиптура
Neopipo cinnamomea,Cinnamon Tyrant,cinmat1,203934151,FALSE,Канелена пипрова мухоловка
Platyrinchus saturatus,Cinnamon-crested Spadebill,cicspa1,126818,FALSE,Ръждивобуза плоскоклюна мухоловка
Platyrinchus cancrominus,Stub-tailed Spadebill,sttspa1,184563481,FALSE,Късоопашата плоскоклюна мухоловка
Platyrinchus albogularis,Western White-throated Spadebill,,,FALSE,Кралчевидна плоскоклюна мухоловка [Група albogularis]
Platyrinchus mystaceus,EasternWhite-throated Spadebill,whtspa1,57925,FALSE,Кралчевидна плоскоклюна мухоловка
Platyrinchus coronatus,Golden-crowned Spadebill,gocspa1,388745341,FALSE,Златоглава плосколкюна мухоловка
Platyrinchus flavigullaris,Yellow-throated Spadebill,yetspa1,203933871,FALSE,
Platyrinchus platyrhynchos,White-crested Spadebill,whcspa1,388347741,FALSE,Белоглава плоскоклюна мухоловка
Platyrinchus leucoryphus,Russet-winged Spadebill,ruwspa1,621962303,FALSE,Ръждивокрила плоскоклюна мухоловка
Piprites griseiceps,Grey-headed Piprites,grhpip1,264351871,FALSE,Сивоглавa пипрова мухоловка
Piprites chloris,Wing-barred Piprites,wibpip1,383797341,FALSE,Зеленa пипрова мухоловка
Piprites pileata,Black-capped Piprites,bkcpip1,38220841,FALSE,Черноглавa пипрова мухоловка
Tachuris rubrigastra,Many-colored Rush-tyrant,mcrtyr1,237506,FALSE,Седемцветно тачури
Pseudotriccus pelzelni,Bronze-olive Pygmy-tyrant,boptyr1,21622561,FALSE,Бронзова американска мухоловка
Pseudotriccus simplex,Hazel-fronted Pygmy-tyrant,hfptyr1,455422401,FALSE,Ръздивочела американска мухоловка
Pseudotriccus ruficeps,Rufous-headed Pygmy-tyrant,rhptyr1,203701061,FALSE,Ръждивоглава американска мухоловка
Corythopis torqatus,Ringed Antpipit,rinant2,203931121,FALSE,
Corythopis delalandi,Southern Antpipit,souant1,312754371,FALSE,Южна бъбрицова мухоловка
Phylloscartes flavovirens,Yellow-green Tyrannulet,yegtyr1,632838754,FALSE,Панамска мухоловка
Phylloscartes ventralis,Mottle-cheeked Tyrannulet,moctyr2,384557511,FALSE,Пъстробуза американска мухоловка
Phylloscartes virescens,Olive-green Tyrannulet,olgtyr1,127386,FALSE,Дългоопашата американска мухоловка
Phylloscartes beckeri,Bahia Tyrannulet,bahtyr1,484453261,FALSE,Бахианска мухоловка
Phylloscartes kronei,Restinga Tyrannulet,restyr1,203983081,FALSE,Рестингова мухоловка
Phylloscartes gualaquisae,Ecuadorian Tyrannulet,ecutyr1,203698911,FALSE,
Phylloscartes nigrifrons,Black-fronted Tyrannulet,blftyr1,364606381,FALSE,Черночела американска мухоловка
Phylloscartes ceciliae,Alagoas Tyrannulet,alatyr1,102760,FALSE,Алагоаска мухоловка
Phylloscartes superciliaris,Rufous-browed Tyrannulet,rubtyr1,204023421,FALSE,Ръждивовежда американска мухоловка
Phylloscartes flaviventris,Rufous-lored Tyrannulet,rultyr1,384354991,FALSE,Каракаска мухоловка
Phylloscartes parkeri,Cinnamon-faced Tyrannulet,ciftyr1,147404,FALSE,Канеленолика американска мухоловка
Phylloscartes roquettei,Minas Gerais Tyrannulet,migtyr1,124413241,FALSE,Минасгераиска мухоловка
Phylloscartes paulista,Sao Paulo Tyrannulet,,,FALSE,Жълтовежда мустаката мухоловка
Phylloscartes oustaleti,Oustalet's Tyrannulet,oustyr1,203979401,FALSE,Жълтолика американска мухоловка
Phylloscartes difficilis,Serra do Mar Tyrannulet,,,FALSE,Маслинова мустаката мухоловка
Phylloscartes sylviolus,Bay-ringed Tyrannulet,bartyr1,203701101,FALSE,Чернолика американска мухоловка
Pogonotriccus poecilotis,Variegated Bristle-tyrant,vabtyr1,525490541,FALSE,Андска мустаката мухоловка
Pogonotriccus chapmani,Chapman's Bristle-tyrant,chabrt1,437287661,FALSE,Тепуйска мустаката мухоловка
Pogonotriccus ophthalmicus,Marble-faced Bristle-tyrant,mfbtyr1,203932201,FALSE,Очилата мустаката мухоловка
Pogonotriccus venezuelanus,Venezuelan Bristle -tyrant,vebtyr2,383315341,FALSE,Венецуелска мустаката мухоловка
Pogonotriccus lanyoni,Antioquia Bristle-tyrant,anbtyr1,203951171,FALSE,Колумбийска мустаката мухоловка
Pogonotriccus orbitalis,Spectacled Bristle-tyrant,spbtyr1,217074071,FALSE,Сивоглава мустаката мухоловка
Pogonotriccus eximius,Southern Bristle-tyrant,sobtyr2,28672461,FALSE,Беловежда мустаката мухоловка
Mionectes striaticollis,Streak-necked Flycatcher,stnfly1,608680085,FALSE,Сиволика американска мухоловка
Mionectes olivaceus,Olive-streaked Flycatcher,olsfly2,351046381,FALSE,Маслинова американска мухоловка
Mionectes galbinus,Olive-striped Flycatcher,olsfly1,387407371,FALSE,Жалобна американска мухоловка
Mionectes oleagineus,Ochre-bellied Flycatcher,ocbfly1,385191351,FALSE,Охриста американска мухоловка
Mionectes macconnelli,McConnell's Flycatcher,mccfly1,388736881,FALSE,Канеленокорема американска / Рорайменска мухоловка
Mionectes roraimae,Sierra de Lema Flycatcher,mccfly3,369489311,FALSE,Рорайменска мухоловка
Mionectes rufiventris,Grey-hooded Flycatcher,gyhfly1,66613701,FALSE,Сивогърда американска мухоловка
Leptopogon amaurocephalus,Sepia-capped Flycatcher,secfly1,300464741,FALSE,Кафявочела американска мухоловка
Leptopogon superciliaris,Slaty-capped Flycatcher,slcfly1,300259641,FALSE,Черноуха американска мухоловка
Leptopogon albidiventer,White-bellied Flycatcher,,,FALSE,
Leptopogon rufipectus,Rufous-breasted Flycatcher,rubfly2,203932131,FALSE,Ръждивогуша американска мухоловка
TITYRIDAE,Tityras and allies,,,FALSE,
Oxyruncus cristatus,Sharpbill,sharpb1,470170711,FALSE,Шипочовка
Onychorynchus mexicanus,Northen Royal Flycatcher,,,FALSE,
Onychorynchus occidentalis,Pacific Royal Flycatcher,,,FALSE,
Onychorynchus coronatus,Amazonian Royal Flycatcher,,,FALSE,
Onychorynchus swainsoni,Atlantic Royal Flycatcher,royfly5,203979411,FALSE,
Terenotriccus erythrurus,Ruddy-tailed Flycatcher,rutfly2,603865781,FALSE,Ръждивоопашата американска мухоловка
Myiobius villosus,Tawny-breasted Flycatcher,tabfly1,68678521,FALSE,Планинска жълтокръста мухоловка
Myiobius sulphureipygius,Sulphur-rumped Flycatcher,surfly1,626765900,FALSE,Обикновена жълтокръста мухоловка
Myiobius barbatus,Whiskered Flycatcher,whifly1,115758,FALSE,Мустаката жълтокръста мухоловка
Myiobius atricaudus,Black-tailed Flycatcher,bltfly1,203979471,FALSE,Черноопашата жълтокръста мухоловка
Iodopleura isabellae,White-browed Purpletuft,whbpur1,50324481,FALSE,Беловежда малка котинга
Iodopleura fusca,Dusky Purpletuft,duspur1,142026221,FALSE,Белокорема малка котинга
Iodopleura pipra,Buff-throated Purpletuft,butpur1,251855771,FALSE,Жълтогърла малка котинга
Tityra inquisitor,Black-crowned Tityra,blctit1,41271501,FALSE,Черноглава титира
Tityra cayana,Western Black-tailed Tityra,blttit1,383311751,FALSE,Черноопашата титира
Tityra braziliensis,Eastern Black-tailed Tityra,,,FALSE,
Tityra semifasciata,Masked Tityra,mastit1,198132201,FALSE,Чернолика титира
Tityra leucura,White-tailed Tityra,whttit2,,FALSE,Черноглава титира
Xenopsaris albinucha,White-naped Becards,whnxen1,69853,FALSE,Беловрат бекард
Pachyramphus versicolor,Barred Becard,barbec1,608680795,FALSE,Многоцветен бекард
Pachyramphus xanthogenys,Yellow-cheeked Becard,,,FALSE,Зелен бекард (ssp. xanthogenys/peruanus)
Pachyramphus griseigularis,Green-cheeked Becard,,,FALSE,
Pachyramphus viridis,Green-backed Becard,grbbec1,488984711,FALSE,Зелен бекард
Pachyramphus spodiurus,Slaty Becard,slabec1,475140631,FALSE,Тъмен бекард
Pachyramphus rufus,Cinereous Becard,cinbec2,385182311,FALSE,Ръждив бекард
Pachyramphus minor,Pink-throated Becard,pitbec1,77946,FALSE,Малък бекард
Pachyramphus aglaiae,Rose-throated Becard,rotbec,166113201,FALSE,Розовогуш бекард
Pachyramphus niger,Jamaican Becard,jambec1,358951561,FALSE,Ямайски бекард
Pachyramphus homochrous,One-colored Becard,oncbec1,251725561,FALSE,Сив бекард
Leptopogon taczanowskii,Inca Flycatcher,incfly1,553947651,FALSE,Инкска мухоловка
Taeniotriccus andrei,Black-chested Tyrant,blctyr2,323159621,FALSE,Черногърда плоскоклюна мухоловка
Cnipodectes subbrunneus,Brownish Twistwing,brofly1,112799,FALSE,Кафява сърпокрила мухоловка
Cnipodectes superrufus,Rufous Twistwing,ruftwi1,31739191,FALSE,Ръждива сърпокрила мухоловка
Rhynchocyclus brevirostris,Eye-ringed Flatbill,eyrfla1,20350,FALSE,Очилата плоскоклюна мухоловка
Rhynchocyclus aequinoctialis,Western Olivaceous Flatbill,olifla2,25940,FALSE,Западна плоскоклюна мухоловка
Rhynchocyclus olivaceus,Eastern Olivaceous Flatbill,olifla3,117030,FALSE,Източна плоскоклюна мухоловка
Rhynchocyclus pacificus,Pacific Flatbill,pacfla1,627917244,FALSE,Чокоенска плоскоклюна мухоловка
Rhynchocyclus fulvipectus,Fulvous-breasted Flatbill,fubfla1,600644471,FALSE,Оранжевогуша плоскоклюна мухоловка
Tolmomyias sulphurescens,Yellow-olive Flatbill,yeofly1,199538,FALSE,Жълта плоскоклюна мухоловка
Tolmomyias traylori,Orange-eyed Flatbill,orefly1,34313,FALSE,Оранжевоока плоскоклюна мухоловка
Tolmomyias assimilis,Yellow-margined Flatbill,yemfly1,388637621,FALSE,Амазонска плоскоклюна мухоловка
Tolmomyias flavotectus,Yellow-winged Flatbill,yemfly2,381734391,FALSE,Жълтокрила плоскоклюна мухоловка
Tolmomyias poliocephalus,Grey-crowned Flatbill,gycfly1,389466461,FALSE,Сивоглава плоскоклюна мухоловка
Tolmomyias viridiceps,Olive-faced Flatbill,yebfly4,622735132,FALSE,Маслинова плоскоклюна мухоловка
Tolmomyias flaviventris,Ochre-lored Flatbill,yebfly3,360610661,FALSE,Маслинова / Жълтоглава плоскоклюна мухоловка
Myiornis auricularis,Eared Pygmy-tyrant,eaptyr1,282255931,FALSE,Кафявоглава късоопашата мухоловка
Myiornis albiventris,White-bellied Pygmy-tyrant,wbptyr1,608677494,FALSE,Белокорема късоопашата мухоловка
Myiornis atricapillus,Black-capped Pygmy-tyrant,bcptyr1,192574,FALSE,Черноглава късоопашата мухоловка
Myiornis ecaudatus,Short-tailed Pygmy-tyrant,stptyr1,369495141,FALSE,Сивоглава късоопашата мухоловка
Oncostoma cinereigulare,Northern Bentbill,norben1,356416921,FALSE,Северна кривоклюна мухоловка
Oncostoma olivaceum,Southern Bentbill,souben1,198732361,FALSE,Южна кривоклюна мухоловка
Lophotriccus pileatus,Scale-crested Pygmy-tyrant,scptyr1,123832931,FALSE,Планинска качулата мухоловка
Lophotriccus vitiosus,Double-banded Pygmy-tyrant,dbptyr1,203919111,FALSE,Амазонска качулата мухоловка
Lophotriccus eulophotes,Long-crested Pygmy-tyrant,lcptyr1,38945,FALSE,Акренска качулата мухоловка
Lophotriccus galeatus,Helmeted Pygmy-tyrant,heptyr1,88486,FALSE,Гвианска качулата мухоловка
Atalotriccus pilaris,Pale-eyed Pygmy-tyrant,peptyr1,66608,FALSE,Белоока дребна мухоловка
Hemitriccus minor,Snethlage's Tody-tyrant,snttyr1,647648496,FALSE,Малка плоскоклюна мухоловка
Hemitriccus cohnhafti,Acre Tody-tyrant,acrtot1,500542021,FALSE,Акренска плоскоклюна мухоловка
Hemitriccus spodiops,Yungas Tody-tyrant,yuttyr1,17121,FALSE,Юнгаска плоскоклюна мухоловка
Hemitriccus flammulatus,Flamulated Bamboo-tyrant,flapyt1,121793,FALSE,Бамбукова плоскоклюна мухоловка
Hemitriccus diops,Drab-breasted Bamboo-tyrant,drbpyt1,223833851,FALSE,Сивогуша плоскоклюна мухоловка
Hemitriccus obsoletus,Brown-breasted Bamboo-tyrant,bnbpyt1,102724,FALSE,Кафява плоскоклюна мухоловка
Hemitriccus josephinae,Boat-billed Tody-tyrant,bbttyr1,321841901,FALSE,Гвианска плоскоклюна мухоловка
Hemitriccus zosterops,White-eyed Tody-tyrant,wettyr1,113033,FALSE,Белоока плоскоклюна мухоловка
Hemitriccus griseipectus,White-bellied Tody-tyrant,whbtot1,88409,FALSE,Белокорема плоскоклюна мухоловка
Hemitriccus orbitatus,Eye-ringed Tody-tyrant,erttyr1,56040061,FALSE,Атлантическа плоскоклюна мухоловка
Hemitriccus iohannis,Joao's Tody-tyrant,jottyr1,35558,FALSE,Пъстрогуша плоскоклюна мухоловка
Hemitriccus striaticollis,Stripe-necked Tody-tyrant,snttyr2,117139,FALSE,Ивичеста плоскоклюна мухоловка
Hemitriccus nidipendulus,Hangnest Tody-tyrant,hattyr1,293427,FALSE,Зелена плоскоклюна мухоловка
Hemitriccus margaritaceiventer,Pearly-vented Tody-tyrant,pvttyr1,212397,FALSE,Сивогърда плоскоклюна мухоловка
Hemitriccus inornatus,Pelzeln's Tody-tyrant,pettyr1,203984201,FALSE,Рионегроска плоскоклюна мухоловка
Hemitriccus minimus,Zimmer's Tody-tyrant,zittyr1,375483261,FALSE,Дребна плоскоклюна мухоловка
Hemitriccus granadensis,Black-throated Tody-tyrant,btttyr1,68131481,FALSE,Черногуша плоскоклюна мухоловка
Hemitriccus cinnamomeipectus,Cinnamon-breasted Tody-tyrant,cbttyr1,74342211,FALSE,Канеленогърда плоскоклюна мухоловка
Hemitriccus mirandae,Buff-breasted Tody-tyrant,bbttyr2,509606791,FALSE,Сеаренска плоскоклюна мухоловка
Hemitriccus kaempferi,Kaempfer's Tody-tyrant,kattyr1,203984211,FALSE,Сантакатеринска плоскоклюна мухоловка
Hemitriccus rufigullaris,Buff-throated Tody-tyrant,btttyr2,87895,FALSE,
Hemitriccus furcatus,Fork-tailed Tody-tyrant,fotpyt1,471474421,FALSE,Вилоопашата плоскоклюна мухоловка
Poecilotriccus ruficeps,Rufous-crowned Tody- flycatcher,rcttyr1,203699291,FALSE,Ръждивоглава плоскоклюна мухоловка
Poecilotriccus luluae,Lulu's Tody- flycatcher,johtot1,74343731,FALSE,Мараньонска плоскоклюна мухоловка
Poecilotriccus albifacies,White-cheeked Tody- flycatcher,wcttyr1,135109,FALSE,Белобуза плоскоклюна мухоловка
Poecilotriccus capitalis,Black-and-white Tody- flycatcher,bawtyr1,34355,FALSE,Белогуша плоскоклюна мухоловка
Poecilotriccus senex,Buff-cheeked Tody- flycatcher,buctof1,127701,FALSE,Бразилска плоскоклюна мухоловка
Poecilotriccus russatus,Ruddy Tody-flycatcher,rudtof1,388465941,FALSE,Рорайменска плоскоклюна мухоловка
Poecilotriccus plumbeiceps,Ochre-faced Tody-flycatcher,ocftof1,132567,FALSE,Оранжеволика плоскоклюна мухоловка
Poecilotriccus fumifrons,Smoky-fronted Tody-flycatcher,smftof1,203955431,FALSE,Сивочела плоскоклюна мухоловка
Poecilotriccus latirostris,Rusty-fronted Tody-flycatcher,ruftof1,531976721,FALSE,Ръждивочела плоскоклюна мухоловка
Poecilotriccus sylvia,Slate-headed Tody-flycatcher,shtfly1,226849561,FALSE,Беловежда плоскоклюна мухоловка
Poecilotriccus calopterus,Golden-winged Tody-flycatcher,gowtof1,408117551,FALSE,Златокрила плоскоклюна мухоловка
Poecilotriccus pulchellus,Black-backed Tody-flycatcher,bkbtof1,533235091,FALSE,Черногърба плоскоклюна мухоловка
Todirostrum maculatum,Spotted Tody-flycatcher,sptfly1,45595,FALSE,Петниста плоскоклюна мухоловка
Todirostrum poliocephalum,Yellow-lored Tody-flycatcher,gyhtof1,203984241,FALSE,Жълточела плоскоклюна мухоловка
Todirostrum cinereum,Common Tody-flycatcher,cotfly1,211086171,FALSE,Обикновена плоскоклюна мухоловка
Todirostrum viridanum,Maracaibo Tody-flycatcher,matfly1,405715871,FALSE,Венецуелска плоскоклюна мухоловка
Todirostrum nigriceps,Black-headed Tody-flycatcher,bhtfly1,621089412,FALSE,Черноглава плоскоклюна мухоловка
Todirostrum pictum,Painted Tody-flycatcher,patfly1,203953811,FALSE,Цветна плоскоклюна мухоловка
Todirostrum chrysocrotaphum,Yellow-browed Tody-flycatcher,ybtfly1,610061191,FALSE,Жълтовежда плоскоклюна мухоловка
Myiotriccus phoenicurus,Eastern Ornate Flycatcher,,,FALSE,Цветна американска мухоловка (ssp. phoenicurus/aureiventris)
Myiotriccus ornatus,Western Ornate Flycatcher,ornfly1,635485074,FALSE,Цветна американска мухоловка
Nephelomyias pulcher,Handsome Flycatcher,hanfly1,225151831,FALSE,Колумбийска кралчевидна мухоловка
Nephelomyias lintoni,Orange-banded Flycatcher,orbfly1,652079369,FALSE,Жълтогърда кралчевидна мухоловка
Nephelomyias ochraceiventris,Ochraceous-breasted Flycatcher,ocbfly2,74348611,FALSE,Перуанска кралчевидна мухоловка
Pyrrhomyias cinnamomeus,Cinnamon Flycatcher,cinfly2,203932121,FALSE,Канелена американска мухоловка
Hirundinea bellicosa,Swallow Flycatcher,,,FALSE,Скална американска мухоловка (ssp. bellicosa/pallidior)
Hirundinea ferruginea,Cliff Flycatcher,clifly1,361135701,FALSE,Скална американска мухоловка
Zimmerius cinereicapilla,Red-billed Tyrannulet,rebtyr2,74341231,FALSE,Червеноклюна американска мухоловка
Zimmerius villarejoi,Michana Tyrannulet,mistyr1,629678641,FALSE,Икитоска мухоловка
Zimmerius chicomendesi,Chico's Tyrannulet,chityr1,468724301,FALSE,Жълтокрила американсма мухоловка
Zimmerius vilissimus,Paltry Tyrannulet,paltyr2,649182225,FALSE,Гватемалска мухоловка
Zimmerius parvus,Mistletoe Tyrannulet,paltyr3,205764,FALSE,Имелова американска мухоловка
Zimmerius petersi,Venezuelan Tyrannulet,paltyr5,66650,FALSE,Венецуелска мухоловка
Zimmerius improbus,Mountain Tyrannulet,paltyr4,617731985,FALSE,Очилата американска мухоловка
Zimmerius chrysops,Golden-faced Tyrannulet,goftyr1,550525611,FALSE,Златолика американска мухоловка
Zimmerius albigularis,Choco Tyrannulet,chotyr1,308015001,FALSE,Чокоенска мухоловка
Zimmerius viridiflavus,Peruvian Tyrannulet,pertyr1,49433,FALSE,Перуанска мухоловка
Zimmerius gracilipes,Slender-footed Tyrannulet,slftyr1,386020371,FALSE,Тънкокрака американска мухоловка
Zimmerius acer,Guianan Tyrannulet,guityr1,77949,FALSE,Гвианска мухоловка
Zimmerius bolivianus,Bolivian Tyrannulet,boltyr1,17119,FALSE,Боливийска мухоловка
Stigmatura napensis,Lesser Wagtail-tyrant,lewtyr1,61613421,FALSE,Малка дългоопашата мухоловка
Stigmatura bahiae,Bahia Wagtail-tyrant,leswat2,509612191,FALSE,Бахианска дългоопашата мухоловка
Stigmatura budytoides,Greater Wagtail-tyrant,grwtyr1,169780771,FALSE,Голяма дългоопашата мухоловка
Inezia tenuirostris,Slender-billed Tyrannulet,slbtyr1,46894011,FALSE,Тънкоклюна инезия
Inezia inornata,Plain Tyrannulet,platyr1,46426,FALSE,Сивоглава инезия
Inezia subflava,Amazonian Tyrannulet,amatyr1,31748551,FALSE,Амазонска инезия
Inezia caudata,Pale-tipped Tyrannulet,pattyr3,66636,FALSE,Венецуелска инезия
Euscarthmus meloryphus,Tawny-crowned Pygmy-tyrant,tacpyt1,66612,FALSE,Белокорема храстова мухоловка
Euscarthmus fulviceps,Tawny-fronted Pygmy-tyrant,tacpyt2,11034,FALSE,Жълтолика храстова мухоловка
Euscarthmus rufomarginatus,Rufous-sided Pygmy-tyrant,rsptyr1,103440,FALSE,Ръждивокорема хрстова мухоловка
Ornithion semiflavum,Yellow-bellied Tyrannulet,yebtyr1,630759185,FALSE,Жълтогуша американска мухоловка
Ornithion brunneicapillus,Brown-capped Tyrannulet,brctyr,66663,FALSE,Кафявоглава американска мухоловка
Ornithion inerme,White-lored Tyrannulet,whltyr1,385049881,FALSE,Белочела американска мухоловка
Camptostoma imberbe,Northern Beardless Tyrannulet,nobtyr,174983441,FALSE,Северна голобрада мухоловка
Camptostoma obsoletum,Southern Beardless Tyrannulet,sobtyr1,69870,FALSE,Южна голобрада мухоловка
Elaenia ruficeps,Rufous-crowned Elaenia,rucela1,388990831,FALSE,Ръждивоглава еления
Elaenia cristata,Plain-crested Elaenia,plcela1,247050721,FALSE,Качулата еления
Elaenia gigas,Mottle-backed Elaenia,mobela1,635143712,FALSE,Ушата еления
Elaenia dayi,Great Elaenia,greela1,251794921,FALSE,Голяма еления
Elaenia sordida,Brazilian Elaenia,higela3,294493601,FALSE,Бразилска еления
Elaenia obscura,Highland Elaenia,higela2,611498896,FALSE,Тъмна еления
Elaenia strepera,Slaty Elaenia,slaela1,132577,FALSE,Сива еления
Elaenia flavogaster,Yellow-bellied Elaenia,yebela1,7433,FALSE,Жълтокорема еления
Elaenia parvirostris,Small-billed Elaenia,smbela1,19552,FALSE,Късоклюна еления
Elaenia pelzelni,Brownish Elaenia,broela1,203984121,FALSE,Кафява еления
Elaenia spectabilis,Large Elaenia,larela1,510904281,FALSE,Парагвайска еления
Elaenia ridleyana,Noronha Elaenia,norela1,203984101,FALSE,Норонянска еления
Elaenia brachyptera,Coopman's Elaenia,cooela1,621765417,FALSE,Късокрила еления
Elaenia chiriquensis,Lesser Elaenia,lesela1,278670081,FALSE,Малка еления
Elaenia mesoleuca,Olivaceous Elaenia,oliela1,389534381,FALSE,Маслинова еления
Elaenia pallatangae,Sierran Elaenia,sieela3,523407511,FALSE,Южна планинска еления
Elaenia olivina,Tepui Elaenia,sieela2,300107121,FALSE,Тепуйска еления
Elaenia albiceps,White-crested Elaenia,whcela1,325599701,FALSE,Белоглава еления
Elaenia frantzii,Mountain Elaenia,mouela1,46236231,FALSE,Северна планинска еления
Elaenia martinica,Caribbean Elaenia,carela1,188040,FALSE,Карибска еления
Elaenia cherrieri,Hispaniolan Elaenia,graela4,163155001,FALSE,
Elaenia fallax,Greater Antillean Elaenia,graela3,164928,FALSE,Антилска еления
Tyrannulus elatus,Yellow-crowned Tyrannulet,yectyr1,414481161,FALSE,Обикновена кралчевидна мухоловка
Myiopagis caniceps,Atlantic Grey Elaenia,gryela3,244641631,FALSE,Сивоглава еления
Myiopagis cinerea,Amazonian Grey Elaenia,gryela2,112809,FALSE,Амазонска еления
Myiopagis parambae,Choco Grey Elaenia,gryela1,424729841,FALSE,Чокоенска еления
Myiopagis olallai,Foothill Elaenia,fooela1,69328991,FALSE,Белогуша еления
Myiopagis gaimardii,Forest Elaenia,forela1,626223291,FALSE,Горска еления
Myiopagis subplacens,Pacific Elaenia,pacela1,257867301,FALSE,Еквадорска еления
Myiopagis flavivertex,Yellow-crowned Elaenia,yecela1,203932101,FALSE,Жълтоглава еления
Myiopagis viridicata,Greenish Elaenia,greela,157755461,FALSE,Зелена еления
Myiopagis cotta,Small Jaimaican Elaenia,jamela1,559897721,FALSE,Ямайска еления
Suiriri suiriri,Suiriri Flycatcher,suifly1,217069,FALSE,Гуаранска мухоловка
Suiriri affinis,Chapada Flycatcher,chafly3,191473941,FALSE,
Capsiempis flaveola,Yellow Tyrannulet,yeltyr1,249967911,FALSE,Жълта американска мухоловка
Phyllomyias fasciatus,Planalto Tyrannulet,platyr2,211886501,FALSE,Планалтоска мухоловка
Phyllomyias weedeni,Yungas Tyrannulet,yuntyr1,132741,FALSE,Юнгаска мухоловка
Phyllomyias burmeisteri,Rough-legged Tyrannulet,roltyr3,172661571,FALSE,
Phyllomyias zeledoni,White-fronted Tyrannulet,roltyr1,171271751,FALSE,Белочела брадавичестокрака мухоловка
Phyllomyias virescens,Greenish Tyrannulet,gretyr1,34016,FALSE,Зелена американска мухоловка
Phyllomyias reiseri,Reiser's Tyrannulet,reityr1,234699751,FALSE,Бразилска мухоловка
Phyllomyias urichi,Urich's Tyrannulet,urityr1,344723971,FALSE,Парианска мухоловка
Phyllomyias sclateri,Sclater's Tyrannulet,scltyr1,218225,FALSE,Елшова американска мухоловка
Phyllomyias griseocapilla,Grey-capped Tyrannulet,gyctyr1,288480601,FALSE,Атлантическа мухоловка
