id,common name,scientific name
196,Red Knot,Calidris canutus
329,Red Wattlebird,Anthochaera carunculata
330,Red-Backed Fairywren,Malurus melanocephalus
197,Red-Backed Shrike,Lanius collurio
198,Red-Bellied Woodpecker,Melanerpes carolinus
661,Red-Billed Scythebill,Campylorhamphus trochilirostris
662,Red-Breasted Meadowlark,Leistes militaris
199,Red-Breasted Merganser,Mergus serrator
200,Red-Breasted Nuthatch,Sitta canadensis
331,Red-Capped Robin,Petroica goodenovii
201,Red-Cockaded Woodpecker,Picoides borealis
663,Red-Crested Cardinal,Paroaria coronata
418,Red-Crowned Crane,Grus japonensis
536,Red-Crowned Parakeet,Cyanoramphus novaezelandiae
202,Red-Eyed Vireo,Vireo olivaceus
519,Red-Footed Falcon,Falco vespertinus
664,Red-Headed Barbet,Eubucco bourcierii
203,Red-Headed Woodpecker,Melanerpes erythrocephalus
204,Red-Legged Partridge,Alectoris rufa
665,Red-Legged Seriema,Cariama cristata
332,Red-Necked Avocet,Recurvirostra novaehollandiae
205,Red-Shouldered Hawk,Buteo lineatus
206,Red-Tailed Hawk,Buteo jamaicensis
419,Red-Vented Bulbul,Pycnonotus cafer
420,Red-Wattled Lapwing,Vanellus indicus
207,Red-Winged Blackbird,Agelaius phoeniceus
333,Red-Winged Parrot,Aprosmictus erythropterus
334,Regent Bowerbird,Sericulus chrysocephalus
666,Resplendent Quetzal,Pharomachrus mocinno
421,Rhinoceros Auklet,Cerorhinca monocerata
537,Rifleman,Acanthisitta chloris
208,Ring-Billed Gull,Larus delawarensis
667,Roadside Hawk,Rupornis magnirostris
422,Rock Pigeon,Columba livia
492,Rock Ptarmigan,Lagopus muta
423,Rook,Corvus frugilegus
209,Rose-Breasted Grosbeak,Pheucticus ludovicianus
424,Rose-Ringed Parakeet,Psittacula krameri
210,Roseate Spoonbill,Platalea ajaja
425,Rosy Starling,Pastor roseus
335,Royal Spoonbill,Platalea regia
211,Ruby-Crowned Kinglet,Regulus calendula
212,Ruby-Throated Hummingbird,Archilochus colubris
213,Ruddy Duck,Oxyura jamaicensis
668,Ruddy Ground Dove,Columbina talpacoti
426,Ruddy Shelduck,Tadorna ferruginea
562,Ruddy Turnstone,Arenaria interpres
669,Rufescent Tiger-Heron,Tigrisoma lineatum
214,Ruff,Calidris pugnax
670,Rufous Hornero,Furnarius rufus
493,Rufous Hummingbird,Selasphorus rufus
336,Rufous Night-Heron,Nycticorax caledonicus
337,Rufous Owl,Ninox rufa
338,Rufous-Banded Honeyeater,Conopophila albogularis
671,Rufous-Collared Sparrow,Zonotrichia capensis
672,Rufous-Naped Wren,Campylorhynchus rufinucha
494,Rusty Blackbird,Euphagus carolinus
339,Sacred Kingfisher,Todiramphus sanctus
563,Sand Martin,Riparia riparia
215,Sandhill Crane,Antigone canadensis
564,Sandwich Tern,Thalasseus sandvicensis
427,Sarus Crane,Antigone antigone
428,Satyr Tragopan,Tragopan satyra
673,Savanna Hawk,Buteogallus meridionalis
216,Savannah Sparrow,Passerculus sandwichensis
217,Savi's Warbler,Locustella luscinioides
218,Say's Phoebe,Sayornis saya
219,Scaled Quail,Callipepla squamata
429,Scaly-Breasted Munia,Lonchura punctulata
674,Scarlet Ibis,Eudocimus ruber
675,Scarlet Macaw,Ara macao
593,Scarlet Tanager,Piranga olivacea
220,Scissor-Tailed Flycatcher,Tyrannus forficatus
676,Screaming Piha,Lipaugus vociferans
495,Sharp-Tailed Grouse,Tympanuchus phasianellus
677,Shiny Cowbird,Molothrus bonariensis
538,Shore Plover,Thinornis novaeseelandiae
221,Short-Toed Treecreeper,Certhia brachydactyla
340,Silvereye,Zosterops lateralis
430,Small Minivet,Pericrocotus cinnamomeus
431,Smew,Mergellus albellus
678,Smooth-Billed Ani,Crotophaga ani
222,Snow Bunting,Plectrophenax nivalis
679,Snowy Albatross,Diomedea exulans
223,Snowy Egret,Egretta thula
224,Snowy Owl,Bubo scandiacus
225,Song Sparrow,Melospiza melodia
565,Song Thrush,Turdus philomelos
341,South Island Robin,Petroica australis
539,South Island Saddleback,Philesturnus carunculatus
540,South Island Takahē,Porphyrio hochstetteri
342,Southern Cassowary,Casuarius casuarius
680,Southern Lapwing,Vanellus chilensis
681,Southern Rough-Winged Swallow,Stelgidopteryx ruficollis
682,Southern Screamer,Chauna torquata
343,Spangled Drongo,Dicrurus bracteatus
683,Spectacled Owl,Pulsatrix perspicillata
344,Splendid Fairywren,Malurus splendens
432,Spoon-Billed Sandpiper,Calidris pygmaea
