Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,ru
Corvus typicus,Piping Crow,pipcro1,203748141,FALSE,Сулавесская ворона
Corvus unicolor,Banggai Crow,bancro1,203439601,FALSE,Одноцветная ворона
Corvus enca,Slender-billed Crow,slbcro2,129427,FALSE,
Corvus violaceus,Violet Crow,slbcro3,615707779,FALSE,Серамская ворона
Corvus validus,Long-billed Crow,lobcro1,203909011,FALSE,Молуккская ворона
Corvus moneduloides,New Caledonian Crow,neccro1,203908091,FALSE,Новокаледонская ворона
Corvus meeki,Bougainville Crow,boucro1,634652044,FALSE,Бугенвильская ворона
Corvus woodfordi,White-billed Crow,guacro1,203905491,FALSE,Белоклювая ворона
Corvus fuscicapillus,Brown-headed Crow,brhcro1,524427221,FALSE,Буроголовая ворона
Corvus tristis,Grey Crow,grycro1,203987961,FALSE,Новогвинейская ворона
Corvus insularis,Bismarck Crow,torcro3,203966861,FALSE,Новобританская ворона
Corvus orru,Torresian Crow,torcro2,233643,FALSE,Сахульская ворона
Corvus bennetti,Little Crow,litcro1,507352211,FALSE,Австралийская ворона
Corvus mellori,Little Raven,litrav1,203930671,FALSE,Южноавстралийский ворон
Corvus tasmanicus,Forest Raven,forrav1,242305371,FALSE,Тасманийский ворон
Corvus coronoides,Australian Raven,ausrav1,573468881,TRUE,Австралийский ворон
Corvus splendens,House Crow,houcro1,101900331,TRUE,Домовая ворона
Corvus macrorhynchos,Large-billed Crow,labcro1,359547881,TRUE,Большеклювая ворона
Corvus kubaryi,Mariana Crow,marcro1,396308661,FALSE,Гуамская ворона
Cyanolyca mirabilis,White-throated Jay,whtjay1,231834421,FALSE,Белогорлая сойка
Cyanolyca nanus,Dwarf Jay,dwajay1,637343489,FALSE,Карликовая сойка
Cyanolyca pumilo,Black-throated Jay,bltjay1,596984531,FALSE,Черногорлая сойка
Cyanolyca argentigula,Silvery-throated Jay,sitjay1,199583,FALSE,Серебристогорлая сойка
Cyanolyca pulchra,Beautiful Jay,beajay1,58352,FALSE,Красивая сойка
Cyanolyca cucullata,Azure-hooded Jay,azhjay1,220588,FALSE,Синеголовая сойка
Cyanolyca quindiuna,Quindo Jay,,,FALSE,Чернощёкая сойка (quindiuna)
Cyanolyca armillata,Black-collared Jay,blcjay2,594844381,FALSE,Чернощёкая сойка
Cyanolyca turcosa,Turquoise Jay,turjay1,58397,FALSE,Бирюзовая сойка
Cyanolyca viridicyanus,White-collared Jay,whcjay2,110754,FALSE,Ошейниковая сойка
Gymnorhinus cyanocephalus,Pinyon Jay,pinjay,44979,FALSE,Остроклювая сойка
Aphelocoma unicolor,Unicolored Jay,unijay1,31375631,FALSE,Одноцветная сойка
Aphelocoma wollweberi,Mexican Jay,mexjay4,84080381,FALSE,Мексиканская сойка
Aphelocoma ultramarina,Ultramarine Jay,mexjay3,559489061,FALSE,Мексиканская/Ультрамариновая сойка
Aphelocoma coerulescens,Florida Scrub-jay,flsjay,349878731,FALSE,Сантакрузская сойка
Aphelocoma californica,Western Scrub-jay,cowscj1,481661511,TRUE,Калифорнийская сойка
Cyanocitta cristata,Blue Jay,blujay,173749,TRUE,Голубая сойка
Cyanocitta stelleri,Steller's Jay,stejay,318226821,TRUE,Стеллерова сойка
Cyanocorax violaceus,Violaceous Jay,viojay1,113310741,FALSE,Гиацинтовая сойка
Cyanocorax cyanomelas,Purplish Jay,purjay1,110554,FALSE,Пурпурная сойка
Cyanocorax cristatellus,Curl-crested Jay,cucjay1,31576681,FALSE,Белохвостая сойка
Cyanocorax caeruleus,Azure Jay,azujay1,63638,FALSE,Лазурная сойка
Cyanocorax morio,Brown Jay,brnjay,174295341,FALSE,Бурая сойка
Cyanocorax colliei,Black-throated Magpie-jay,btmjay,109170,FALSE,Черногорлая сорочья сойка
Cyanocorax formosus,White-throated Magpie-jay,wtmjay1,199535,TRUE,Черногорлая/Белогорлая сорочья сойка
Cyanocorax yncas,Green Jay,grnjay,244466111,FALSE,Перуанская сойка
Cyanocorax mystacalis,White-tailed Jay,whtjay2,43228,FALSE,Белоусая сойка
Cyanocorax dickeyi,Tufted Jay,tufjay1,612790305,FALSE,Пегая сойка
Cyanocorax affinis,Black-chested Jay,blcjay1,55282,FALSE,Черногрудая сойка
Cyanocorax heilprini,Azure-naped Jay,aznjay1,31748771,FALSE,Сиреневошейная сойка
Cyanocorax hafferi,Campina Jay,,,FALSE,
Cyanocorax cyanopogon,White-naped Jay,whnjay1,261114561,FALSE,Синеусая сойка
Cyanocorax chrysops,Plush-crested Jay,plcjay1,212922,FALSE,Плюшевоголовая сойка
Cyanocorax cayanus,Cayenne Jay,cayjay1,203886541,FALSE,Кайенская сойка
Cyanocorax melanocyaneus,Bushy-crested Jay,bucjay1,106036,FALSE,Чёрно-синяя сойка
Cyanocorax yucatanicus,Yucatan Jay,yucjay1,264746761,FALSE,Юкатанская сойка
Cyanocorax sanblasianus,San Blas Jay,sabjay,556636141,FALSE,Акапулькская сойка
Cyanocorax beecheii,Purplish-backed Jay,pubjay1,13071,FALSE,Траурная сойка
MELAMPITTIDAE,Melampittas,,,FALSE,
Melampitta lugubris,Lesser Melampitta,lesmel1,166189661,FALSE,Малая мелампитта
Megalampitta gigantea,Greater Melampitta,gremel1,185067131,FALSE,Большая мелампитта
CORCORACIDAE,Australian Mudnesters,,,FALSE,
Corcorax melanoramphos,White-winged Chough,whwcho1,204010121,FALSE,Вайю
Struhidea cinerea,Apostlebird,apostl1,203930781,FALSE,
PARADISAEIDAE,Birds-of-paradise,,,FALSE,
Lycocorax pyrrhopterus,Halmahera Paradise-crow,paradi2,204013291,FALSE,
Lycocorax obiensis,Obi Paradise-crow,paradi3,203902921,FALSE,
Phonygammus keraudrenii,Trumpet Manucode,truman1,173726,FALSE,Манукод-трубач
Manucodia ater,Glossy-mantled Manucode,glmman2,609065584,FALSE,Блестящая манукодия
Manucodia jobiensis,Jobi Manucode,jobman1,650849858,FALSE,Гривистая манукодия
Manucodia chalybatus,Crinkle-collaredd Manucode,crcman2,310648,FALSE,Вороная манукодия
Manucodia comrii,Curl-crested Manucode,cucman1,163685,FALSE,Курчавая манукодия
Pteridophora alberti,King of Saxony Bird-of-paradise,kospar1,163676,FALSE,Вымпелопёр
Parotia carolae,Carola's Parotia,carpar1,163694,FALSE,Белопёрая паротия
Parotia berlepschi,Bronze Parotia,carpar3,139631,FALSE,Бронзовая паротия
Parotia sefilata,Western Parotia,wespar1,203489861,FALSE,Арфакская паротия
Parotia wahnesi,Wahnes's Parotia,wahpar1,163688,FALSE,Хуонская паротия
Parotia lawesii,Lawes's Parotia,lawpar3,163701,FALSE,
Seleucidis melanoleucus,Twelve-wired Bird-of-paradise,twwbop1,204005071,FALSE,Нитчатая райская птица
Drepanornis albertisi,Black-billed Sicklebill,blbsic1,166662451,FALSE,Желтохвостый райский шилоклюв
Drepanornis bruijnii,Pale-billed Sicklebill,pabsic1,203999331,FALSE,Бурохвостый райский шилоклюв
Semioptera wallacii,Standardwing Bird-of-paradise,walsta2,204013671,FALSE,Вымпеловая райская птица
Lophorina paradisea,Paradise Riflebird,parrif1,203905971,FALSE,Райский веерокрыл
Lophorina victoriae,Victoria's Riflebird,vicrif1,203988051,FALSE,Кэрнский веерокрыл
Lophorina superba,Superb Bird-of-paradise,vosbop1,218898201,FALSE,Арфакская лофорина
Lophorina magnifica,Magnificent Riflebird,magrif3,209387,FALSE,
Lophorina intercedens,Growling Riflebird,magrif2,167071,FALSE,Папуанский веерокрыл
Epimachus fastosus,Black Sicklebill,blasic1,203883401,FALSE,Чёрный райский шилоклюв
Epimachus meyeri,Brown Sicklebill,brosic1,203988081,FALSE,Коричневый райский шилоклюв
Paradigalla carunculata,Long-tailed Paradigalla,lotpar1,609057937,FALSE,Длиннохвостый шлемоклюв
Paradigalla brevicauda,Short-tailed Paradigalla,shtpar1,640054044,FALSE,Короткохвостый шлемоклюв
Astrapia nigra,Arfak Astrapia,arfast1,42751931,FALSE,Арфакская астрапия
Astrapia splendidissima,Splendid Astrapia,splast1,163654,FALSE,Великолепная астрапия
Astrapia rothschildi,Huon Astrapia,huoast1,147993,FALSE,Хуонская астрапия
Astrapia stephaniae,Princess Stephanie's Astrapia,prsast1,203972681,TRUE,Коричневобрюхая астрапия
Astrapia mayeri,Ribbon-tailed Astrapia,ritast1,203972211,FALSE,Белохвостая астрапия
Cicinnurus regius,King Bird-of-paradise,kbopar1,42747501,FALSE,Королевская райская птица
Cicinnurus magnificus,Magnificent Bird-of-paradise,mbopar2,166618511,FALSE,Великолепная райская птица
Cicinnurus respublica,Wilson's Bird-of-paradise,wbopar1,163711,FALSE,Синеголовая райская птица
Paradisornis rudolphi,Blue Bird-of-paradise,bbopar1,203976851,FALSE,Синяя райская птица
Paradisaea guilielmi,Emperor Bird-of-paradise,ebopar1,147998,FALSE,Императорская райская птица
Paradisaea rubra,Red Bird-of-paradise,rbopar2,203898461,FALSE,Красная райская птица
Paradisaea decora,Goldie's Bird-of-paradise,gbopar1,163679,FALSE,Украшенная райская птица
Paradisaea minor,Lesser Bird-of-paradise,lbopar1,203489781,FALSE,Малая райская птица
Paradisaea apoda,Greater Bird-of-paradise,gbopar2,163707,FALSE,Большая райская птица
Paradisaea raggiana,Count Raggi's Bird-of-Paradise,rbopar1,168347,TRUE,Каштановая райская птица
Melanocharis arfakiana,Obscure Berrypecker,obsber1,203994611,FALSE,Тёмная ягодница
Melanocharis nigra,Black Berrypecker,blaber1,650848852,FALSE,Сине-чёрная ягодница
Melanocharis longicauda,Mid-mountain Berrypecker,lebber1,114446261,FALSE,Длиннохвостая ягодница
Melanocharis versteri,Fan-tailed Berrypecker,fatber1,203963161,FALSE,Веерохвостая ягодница
Melanocharis striativentris,Streaked Berrypecker,strber1,,FALSE,Пестробрюхая ягодница
Rhamphocharis crassirostris,Thick-billed Berrypecker,spober1,,FALSE,
Rhamphocharis piperata,Spotted Berrypecker,spober3,,FALSE,
Oedistoma iliolophus,Spectacled Longbill,dwahon2,203974651,FALSE,Карликовый иглоклюв
Oedistoma pygmaeum,Pygmy Longbill,pyghon1,,FALSE,Крошечный иглоклюв
Toxorhamphus novaeguineae,Yellow-bellied Longbill,yeblon1,639788549,FALSE,Желтобрюхий иглоклюв
Amalocichla incerta,Lesser Ground-robin,legrob1,204008851,FALSE,Малая дриада
Pachycephalopsis hattamensis,Green-backed Robin,grbrob1,204013091,FALSE,Зеленоспинная дриада
Pachycephalopsis poliosoma,White-eyed Robin,wherob1,22767,FALSE,Белоглазая дриада
Eugerygone rubra,Garnet Robin,garrob1,203994581,FALSE,Каштановая дриада
Petroica bivittata,Subalpine Robin,alprob1,203968441,FALSE,Альпийская петроика
Petroica archboldi,Snow Mountain Robin,snmrob1,635218093,FALSE,Горная петроика
Petroica rosea,Rose Robin,rosrob1,99573961,FALSE,Розовая петроика
Petroica rodinogaster,Pink Robin,pinrob1,274907381,FALSE,Малиновогрудая петроика
Petroica phoenicea,Flame Robin,flarob1,549911611,FALSE,Огненногрудая петроика
Petroica boodang,Scarlet Robin,scarob2,99575701,FALSE,Австралийская петроика
Petroica pusilla,Pacific Robin,pacrob1,203911001,FALSE,Многоцветная петроика
Petroica multicolor,Norfolk Robin,pacrob2,640733447,FALSE,Белолобая петроика
Petroica goodenovii,Red-capped Robin,recrob1,643731345,TRUE,Краснолобая петроика
Petroica macrocephala,Tomtit,tomtit1,203922011,TRUE,Маорийская петроика
Petroica dannefaerdi,Snares Tomtit,,,FALSE,Маорийская петроика (dannefaerdi)
Petroica traversi,Black Robin,charob1,298239191,TRUE,Чатемская петроика
Petroica longipes,North Island Robin,nezrob2,622059469,FALSE,Северная петроика
Petroica australis,South Island Robin,nezrob3,498906651,TRUE,Южная петроика
Kempiella griseoceps,Yellow-legged Flyrobin,yelfly4,629634856,FALSE,Желтоногая дриада
Kempiella flavovirescens,Olive Flyrobin,olifly3,79908,FALSE,Оливковая дриада
Devioeca papuana,Canary Flyrobin,canfly2,251639041,FALSE,Канареечная дриада
Cryptomicroeca flaviventris,Yellow-bellied Robin,yebrob1,203910401,FALSE,Желтобрюхая дриада
Monachella muelleriana,Torent Flyrobin,torfly1,65949,FALSE,Ручьевая дриада
Monachella coultasi,New Britain Flyrobin,,,FALSE,
Microeca tormenti,Kimberley Flyrobin,,,FALSE,Лимоннобрюхая дриада (tormenti)
Microeca flavigaster,Lemon-bellied Flyrobin,lebfly3,355432031,FALSE,Лимоннобрюхая дриада
Microeca hemixantha,Tanimbar Flyrobin,gobfly2,613324639,FALSE,Золотистая дриада
Microeca fascinans,Jacky Winter,jacwin1,201215,FALSE,Белохвостая дриада
Drymodes beccarii,Papuan Scrub-robin,papscr2,204008941,FALSE,Серощёкая дриопа
Drymodes superciliaris,Northern Scrub-robin,nosrob1,630466023,FALSE,Белолицая дриопа
Drymodes brunneopygia,Southern Scrub-robin,sosrob1,466435211,FALSE,Скромная дриопа
Plesiodryas albonotata,Black-throated Robin,bltrob1,204010901,FALSE,Черногорлая дриада
Poecilodryas brachyura,Black-chined Robin,,,FALSE,Короткохвостая дриада
Poecilodryas hypoleuca,Black-sided Robin,blsrob2,203999281,FALSE,Дриада-пеструшка
Poecilodryas superciliosa,White-browed Robin,whbrob2,203887301,FALSE,Белобровая дриада
Poecilodryas cerviniventris,Buff-sided Robin,busrob1,593925751,FALSE,Рыжебокая дриада
Heteromyias albispecularis,Ashy Robin,gyhrob1,42744391,FALSE,
Heteromyias armiti,Black-capped Robin,ashrob2,203972341,FALSE,
Heteromyias cinereifrons,Grey-headed Robin,gyhrob2,78536391,FALSE,Серолобая дриада
Gennaeodryas placens,Banded Yellow Robin,olyrob1,168398,FALSE,Ошейниковая дриада
Eopsaltria australis,Eastern Yellow Robin,yelrob1,313345231,FALSE,Жёлтая дриада
Eopsaltria griseogularis,Western Yellow Robin,gybrob1,646724993,FALSE,Серогрудая дриада
Quoyornis georgianus,White-breasted Robin,whbrob1,181376301,FALSE,Белогрудая дриада
Tregellasia leucops,White-faced Robin,whfrob1,62524741,FALSE,Белолицая дриада
Tregellasia capito,Pale-yellow Robin,payrob1,650542189,FALSE,Большеголовая дриада
Melanodryas cuculata,Hooded Robin,hoorob1,99563331,FALSE,
Melanodryas vittata,Dusky Robin,dusrob1,99559311,FALSE,Тасманийская дриада
Peneothello sigillata,White-winged Robin,whwrob2,182784,FALSE,Белокрылая дриада
Peneothello cryptoleuca,Smoky Robin,smorob2,139544,FALSE,Дымчатая дриада
Peneothello cyanus,Blue-grey Robin,,,FALSE,Тёмная дриада
Peneothello bimaculata,White-rumped Robin,whrrob2,182735,FALSE,Пятнистая дриада
Peneoenanthe pulverulenta,Mangrove Robin,manrob1,203939891,FALSE,Мангровая дриада
Cnemophilus loriae,Loria's Satinbird,lorsat1,310645,FALSE,Чёрная лория
Cnemophilus sanguineus,Red Satinbird,,,FALSE,
Cnemophilus macgregorii,Yellow Satinbird,cresat1,203972691,FALSE,Огненная лория
Hyliota usambara,Usambara Hyliota,usahyl1,280549,FALSE,Узамбарская хилиота
Hyliota australis,Southern Hyliota,souhyl1,277076,FALSE,Южная хилиота
Hyliota violacea,Violet-backed Hyliota,vibhyl1,437374461,FALSE,Фиолетовая хилиота
Picathartes gymnocephalus,White-necked Picathartes,whnroc1,486663621,FALSE,Желтолицая лысая сорока
Chelidorhynx hypoxanthus,Yellow-bellied Fairy-fantail,yebfan1,650001067,FALSE,Веерохвостая желтобровка
Culicicapa ceylonensis,Grey-headed Canary-flycatcher,gyhcaf1,632985883,FALSE,Сероголовая комароловка
Culicicapa helianthea,Citrine Canary-flycatcher,citcaf1,32831,FALSE,Зеленоголовый комаролов
Elminia nigromitrata,Dusky Crested-flycatcher,ducfly1,466605931,FALSE,Чернохохлая эльминия
Elminia albonotata,White-tailed Crested-flycatcher,wtcfly1,203964251,FALSE,Белохвостая эльминия
Elminia albiventris,White-bellied Crested-flycatcher,wbcfly1,24199971,FALSE,Белобрюхая эльминия
Elminia longicauda,African Blue-flycatcher,afbfly1,1441,FALSE,Бирюзовая эльминия
Elminia albicauda,White-tailed Blue-flycatcher,wtbfly1,277080,FALSE,Белохвостая эльминия
CALLAEIDAE,New Zealand Wattlebirds,,,FALSE,
Callaeas wilsoni,North Island Kokako,kokako3,136122,TRUE,Северный кокако
Callaeas cinereus,South Island Kokako,kokako4,,FALSE,Южный кокако
Philesturnus rufusater,North Island Saddleback,saddle2,594748631,FALSE,Северный седлоспин
Philesturnus carunculatus,South Island Saddleback,saddle3,203919831,TRUE,Южный седлоспин
†Heteralocha acutirostris,Huia,huia1,,FALSE,
Notiomystis cincta,Stitchbird,stitch1,203926611,TRUE,Хихи
MELANOCHARITIDAE,Berrypeckers and Longbills,,,FALSE,
EUPETIDAE,Rail-babbler,,,FALSE,
Eupetes macrocerus,Rail-babbler,marbab1,281044,FALSE,Пастушковый бегун
CHAETOPIDAE,Rockjumpers,,,FALSE,
Cephalopyrus flammiceps,Fire-capped Tit,fictit1,651462554,FALSE,Огненноголовая синица
Sylviparus modestus,Yellow-browed Tit,yebtit3,440745451,FALSE,Пеночковая синица
Melanochlora sultanea,Sultan Tit,sultit1,637542572,FALSE,Султановая синица
Pardaliparus venustulus,Yellow-bellied Tit,yebtit4,30135621,FALSE,Желтобрюхая синица
Pardaliparus elegans,Elegant Tit,eletit2,18548,FALSE,Желтощёкая синица
Pardaliparus amabilis,Palawan Tit,paltit2,204002271,FALSE,Палаванская синица
Periparus ater,Coal Tit,coatit2,168684011,TRUE,Московка
P. a. melanolophus,Spot-winged Tit,,,FALSE,
Periparus rufonuchalis,Rufous-naped Tit,bkbtit2,25015,FALSE,Рыжешейная синица
Periparus rubidiventris,Rufous-vented Tit,ruvtit2,172621711,FALSE,Рыжешейная/Рододендровая синица
Baeolophus wollweberi,Bridled Titmouse,britit,365898391,FALSE,Мексиканская гренадерка
Baeolophus bicolor,Tufted Titmouse,tuftit,94271,TRUE,Американская/Чернохохлая гренадерка
Baeolophus atricristatus,Black-crested Titmouse,blctit4,188237,FALSE,Чернохохлая гренадерка
Baeolophus ridgwayi,Juniper Titmouse,juntit1,324033221,TRUE,Можжевельниковая гренадерка
Baeolophus inornatus,Oak Titmouse,oaktit,306096781,FALSE,Дубовая/Можжевельниковая гренадерка
Lophophanes dichrous,Grey-crested Tit,gyctit1,172624041,FALSE,Серохохлая синица
Lophophanes cristatus,Crested Tit,cretit2,59213401,TRUE,Хохлатая синица
Sittiparus semilarvatus,White-fronted Tit,whftit2,204021941,FALSE,Белолобая синица
Sittiparus varius,Varied Tit,vartit1,175954691,FALSE,Тиссовая синица
Sittiparus owstoni,Izu Tit,vartit4,203927371,FALSE,Рыжещёкая синица
Sittiparus olivaceus,Iromote Tit,vartit2,203900961,FALSE,Ириомотская синица
Sittiparus castaneoventris,Chestnut-bellied Tit,vartit3,445130391,FALSE,Каштановобрюхая синица
Poecile superciliosus,White-browed Tit,whbtit4,203942301,FALSE,Белобровая гаичка
Poecile lugubris,Sombre Tit,somtit3,195526221,FALSE,Средиземноморская гаичка
Poecile hyrcanus,Caspian Tit,castit2,190820631,FALSE,Гирканская гаичка
Poecile davidi,Rusty-breasted Tit,pedtit1,204009291,FALSE,Рыжегрудая гаичка
Poecile palustris,Marsh Tit,martit2,83089961,TRUE,Черноголовая гаичка
P. p. brevirostris,Asian Marsh Tit,,,FALSE,
Poecile hypermelaenus,Black-bibbed Tit,bkbtit1,204008971,FALSE,Черногорлая гаичка
Poecile montanus,Willow Tit,wiltit1,36472,TRUE,Пухляк
P. m. songarus,Songar Tit,,,FALSE,
Poecile carolinensis,Carolina Chickadee,carchi,436483691,TRUE,Каролинская гаичка
Poecile atricapillus,Black-capped Chickadee,bkcchi,54840711,TRUE,Черношапочная гаичка
Poecile gambeli,Mountain Chickadee,mouchi,125250,TRUE,Горная гаичка
Poecile sclateri,Mexican Chickadee,mexchi,452435471,FALSE,Мексиканская гаичка
Poecile cinctus,Siberian Tit,gyhchi,137889,FALSE,Сероголовая гаичка
Poecile hudsonicus,Boreal Chickadee,borchi2,56187491,FALSE,Гудзонская гаичка
Poecile rufescens,Chestnut-backed Chickadee,chbchi,270443071,FALSE,Каштановоспинная гаичка
Cyanistes caeruleus,Eurasian Blue Tit,blutit,140895211,TRUE,Лазоревка
Cyanistes teneriffae,African Blue Tit,afbtit2,443984891,FALSE,Африканская лазоревка
C. t. palmensis,Palma Blue Tit,,,FALSE,
C. t. teneriffae,Canary Blue Tit,,,FALSE,
Cyanistes cyanus,Azure Tit,azutit2,71524171,TRUE,Белая лазоревка
C. c. flavipectus,Yellow-breasted Tit,,,FALSE,
Pseudopodoces humilis,Ground Tit,grotit1,380288311,FALSE,Тибетская ложносойка земляная синица
Parus monticolus,Green-backed Tit,grbtit1,633948854,FALSE,Зеленоспинная синица
Parus major,Great Tit,gretit1,114034631,TRUE,Большая синица
P. m. bokharensis,Turkestan Tit,,,FALSE,
P. m. minor,Japanese Tit,,,FALSE,
Machlolophus nuchalis,White-naped Tit,whwtit2,505446481,FALSE,Пегая синица
Machlolophus holsti,Yellow Tit,yeltit2,602643551,FALSE,Тайваньская синица
Machlolophus xanthogenys,Black-lored Tit,blltit1,111632,FALSE,Гималайская синица
Machlolophus spilonotus,Yellow-cheeked Tit,yectit1,203939971,FALSE,Королевская синица
Melaniparus rufiventris,Rufous-bellied Tit,rubtit3,203938321,FALSE,Рыжебрюхая синица
Melaniparus pallidiventris,Cinnamon-breasted Tit,,,FALSE,Светлобрюхая синица
Melaniparus albiventris,White-bellied Tit,whbtit5,299752671,FALSE,Белобрюхая синица
Melaniparus carpi,Carp's Tit,cartit2,627310341,FALSE,Траурная синица
Melaniparus niger,Southern Black Tit,soublt1,203942081,FALSE,Чёрная синица
Melaniparus leucomelas,Dark-eyeed Black Tit,whwblt3,243576731,FALSE,Белокрылая синица
Melaniparus guineensis,Pale-eyed Black Tit,whsblt1,203972581,FALSE,Белоплечая синица
Melaniparus funereus,Dusky Tit,dustit2,203923321,FALSE,Тёмная синица
Melaniparus griseiventris,Miombo Tit,miotit2,511193701,FALSE,Серобрюхая синица
Melaniparus fasciiventer,Stripe-breasted Tit,stbtit2,203915501,FALSE,Рувензорская синица
Melaniparus thruppi,Somali Tit,somtit4,204005351,FALSE,Сомалийская синица
Melaniparus fringillinus,Red-throated Tit,rettit2,649281049,FALSE,Рыжегорлая синица
Melaniparus leuconotus,White-backed Black Tit,whbblt1,609066679,FALSE,Белоспинная синица
Melaniparus afer,Grey Tit,grytit1,203938241,FALSE,Пепельная синица
Melaniparus cinerascens,Ashy Tit,ashtit2,584619451,FALSE,Пепельная синица
Anthoscopus musculus,Mouse-coloured Penduline-tit,mcptit1,308902971,FALSE,Серый ремез
Anthoscopus flavifrons,Forest Penduline-tit,foptit1,437374381,FALSE,Желтолобый ремез
Anthoscopus caroli,Grey Penduline-tit,afptit1,625741834,FALSE,Белолобый ремез
Anthoscopus sylviella,Buff-bellied Penduline-tit,,,FALSE,
Anthoscopus minutus,Cape Penduline-tit,soptit1,214668111,FALSE,Капский ремез
Auriparus flaviceps,Verdin,verdin,112638,TRUE,Американский ремез
ALAUDIDAE,Larks,,,FALSE,
Alaemon alaudipes,Greater Hoopoe-lark,grhlar1,86115,FALSE,Большой удодовый жаворонок
Alaemon hamertoni,Lesser Hoopoe-lark,lehlar1,634036737,FALSE,Малый удодовый жаворонок
Chersomanes albofasciata,Spike-heeled Lark,sphlar12,278384,FALSE,
C. a. beesleyi,Beesley's Lark,beelar1,280166,FALSE,
Ammomanopsis grayi,Gray's Lark,gralar2,638093953,FALSE,Намибский жаворонок
Certhilauda chuana,Short-clawed Lark,shclar1,335863891,FALSE,Короткокоготный жаворонок
Certhilauda subcoronata,Karoo Long-billed Lark,klblar6,203933231,FALSE,
C. s. benguelensis,Benguela Long-billed Lark,,,FALSE,
Certhilauda curvirostris,Cape Long-billed Lark,y00415,203938441,FALSE,
C. c. brevirostris,Agulhas Long-billed Lark,,,FALSE,
Certhilauda semitorquata,Eastern Long-billed Lark,elblar1,203935461,FALSE,Зулусский жаворонок
Pinarocorys nigricans,Dusky Lark,duslar1,279670,FALSE,Коньковый жаворонок
Pinarocorys erythropygia,Rufous-rumped Lark,rurlar1,310954,FALSE,Рыжегузый жаворонок
Rhamphocoris clotbey,Thick-billed Lark,thblar1,242998131,FALSE,Толстоклювый жаворонок
Ammomanes cinctura,Bar-tailed Lark,batlar1,310970,FALSE,Вьюрковый жаворонок
Ammomanes phoenicura,Rufous-tailed Lark,rutlar2,283417761,FALSE,Рыжехвостый жаворонок
Ammomanes deserti,Desert Lark,deslar1,312878071,FALSE,Пустынный жаворонок
Eremopterix australis,Black-eared Sparrow-lark,beslar1,609054626,FALSE,Черноухий жаворонок
Eremopterix leucotis,Chestnut-backed Sparrow-lark,cbslar1,310956,FALSE,Белощёкий жаворонок
Eremopterix nigriceps,Black-crowned Sparrow-lark,bcslar1,310965,FALSE,Белолобый жаворонок
Eremopterix griseus,Ashy-crowned Sparrow-lark,ascspl1,310968,FALSE,Серошапочный жаворонок
Eremopterix signatus,Chestnut-headed Sparrow-lark,chhspl1,27830581,FALSE,Пегий жаворонок
Eremopterix leucopareia,Fischer's Sparrow-lark,fislar1,640953347,FALSE,Бурошапочный жаворонок
Eremopterix verticalis,Grey-backed Sparrow-lark,gybspl1,277941,FALSE,Сероспинный жаворонок
Eremopterix hova,Madagascar Lark,madlar1,95455,FALSE,Мадагаскарский жаворонок
Calendulauda sabota,Sabota Lark,sablar2,636871409,FALSE,Южноафриканский жаворонок
Calendulauda poecilosterna,Pink-breasted Lark,piblar3,310951,FALSE,Розовогрудый жаворонок
Calendulauda alopex,Foxy Lark,,,FALSE,
Calendulauda africanoides,Fawn-coloured Lark,faclar8,203935281,FALSE,Белобровый кустарниковый жаворонок
Calendulauda albescens,Karoo Lark,karlar2,203938281,FALSE,Карруский жаворонок
Calendulauda burra,Red Lark,ferlar2,194118531,FALSE,Калахарский жаворонок
Calendulauda erythrochlamys,Dune Lark,dunlar5,203933201,FALSE,Дюнный жаворонок
C. e. barlowi,Barlow's Lark,,,FALSE,
Heteromirafra ruddi,Rudd's Lark,rudlar1,203937111,FALSE,Короткохвостый жаворонок
Heteromirafra archeri,Liben Lark,liblar1,203941941,FALSE,Перепелиный жаворонок
H. a. sidamoensis,Sidamo Lark,,,FALSE,
Mirafra apiata,Cape Clapper Lark,caclar1,177488351,FALSE,
Mirafra fasciolata,Eastern Clapper Lark,eaclar1,276057,FALSE,Ботсванский жаворонок
Mirafra collaris,Collared Lark,collar1,634213357,FALSE,Ошейниковый жаворонок
Mirafra africana,Rufous-naped Lark,runlar1,203941971,FALSE,
Mirafra sharpii,Sharpe's Lark,,,FALSE,
Mirafra hypermetra,Red-winged Lark,rewlar1,274697,FALSE,
Mirafra somalica,Somali Lark,slblar1,635160196,FALSE,Сомалийский кустарниковый жаворонок
Mirafra ashi,Ash's Lark,,,FALSE,
Mirafra angolensis,Angola Lark,anglar1,399305171,FALSE,Ангольский жаворонок
Mirafra rufocinnamomea,Flappet Lark,flalar1,8043,FALSE,Рыжеватый жаворонок
Mirafra williamsi,Williams's Lark,willar1,617082084,FALSE,Кенийский жаворонок
Mirafra pulpa,Friedmann's Lark,frilar1,614978882,FALSE,Пёстрый жаворонок
Mirafra cordofanica,Kordofan Lark,korlar1,,FALSE,Кордофанский жаворонок
Mirafra passerina,Monotonous Lark,monlar2,203939871,FALSE,Воробьиный жаворонок
Mirafra albicauda,White-tailed Lark,whtlar1,274622,FALSE,Белохвостый жаворонок
Mirafra cheniana,Melodious Lark,latlar1,274656,FALSE,Бурощёкий жаворонок
Mirafra javanica,Horsfield's Bushlark,sinbus6,204002701,TRUE,
