Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,ru
Arborophila graydoni,Sabah Partridge,chnpar3,642338035,FALSE,
Rhizothera longirostris,Long-billed Partridge,lobpar3,181633331,FALSE,Длинноклювая куропатка
Rhizothera dulitensis,Dulit Partridge,lobpar2,,FALSE,Белобрюхая куропатка
Melanoperdix niger,Black Partridge,blapar2,629033581,FALSE,Чёрная куропатка
Haematortyx sanguiniceps,Crimson-headed Partridge,crhpar1,609672173,FALSE,Красноголовая куропатка
Caloperdix oculea,Ferruginous Partridge,ferpar2,600452771,FALSE,Ржавчатая куропатка
Galloperdix spadicea,Red Spurfowl,redspu1,349354171,FALSE,Красная шпорцевая курица
Galloperdix lunulata,Painted Spurfowl,paispu1,207089521,FALSE,Жемчужная шпорцевая курица
Galloperdix bicalcarata,Sri Lanka Spurfowl,ceyspu1,203990571,FALSE,Цейлонская шпорцевая курица
Afropavo congensis,Congo Peafowl,conpea1,519903871,FALSE,Конголезский павлин
Pavo cristatus,Indian Peafowl,compea,91301711,TRUE,Индийский павлин
Pavo muticus,Green Peafowl,grepea1,609104061,FALSE,Зелёный павлин
Argusianus argus,Great Argus,grearg1,203944171,TRUE,Аргус
Rheinardia ocellata,Crested Argus,crearg1,609069136,FALSE,
R. o. nigrescens,Malaysian Argus,,,FALSE,
Polyplectron napoleonis,Palawan Peacock-pheasant,palpep1,212042841,FALSE,Палаванский павлиний фазан
Polyplectron malacense,Malay Peacock-pheasant,mapphe1,36637,FALSE,Малайский павлиний фазан
Polyplectron schleiermacheri,Bornean Peacock-pheasant,bopphe1,522860261,FALSE,Борнейский павлиний фазан
Polyplectron germaini,Germain's Peacock-pheasant,gepphe1,204023661,FALSE,Бурый павлиний фазан
Polyplectron katsumatae,Hainan Peacock-pheasant,grypep3,613345194,FALSE,Хайнаньский павлиний фазан
Polyplectron bicalcaratum,Grey Peacock-pheasant,grypep2,628409328,FALSE,Серый павлиний фазан
Polyplectron inopinatum,Mountain Peacock-pheasant,mopphe1,174378541,FALSE,Горный павлиний фазан
Polyplectron chalcurum,Bronze-tailed Peacock-pheasant,btpphe1,640131691,FALSE,Бронзовохвостый павлиний фазан
Margaroperdix madagarensis,Madagascar Partridge,madpar2,95730,FALSE,Жемчужная куропатка
Coturnix coturnix,Common Quail,comqua1,204001791,FALSE,Перепел
Coturnix japonica,Japanese Quail,japqua,308522651,FALSE,Немой перепел
Coturnix coromandelica,Rain Quail,raiqua1,204026791,FALSE,Черногрудый перепел
Coturnix delegorguei,Harlequin Quail,harqua1,55993,FALSE,Перепел-арлекин
Coturnix pectoralis,Stubble Quail,stuqua1,73173471,TRUE,Ожереловый перепел
†Coturnix novaezelandiae,New Zealand Quail,nezqua1,,FALSE,
Synoicus ypsilophorus,Brown Quail,broqua1,295926801,FALSE,Бурый перепел
Synoicus chinensis,Asian Blue Quail,blbqua1,385061761,FALSE,Расписной перепел
Synoicus adansonii,African Blue Quail,bluqua1,,FALSE,Голубой перепел
Anurophasis monorthonyx,Snow Mountain Quail,snmqua2,,FALSE,Снежный перепел
Tetraogallus caucasicus,Caucasian Snowcock,causno1,155121691,FALSE,Кавказский улар
Tetraogallus caspius,Caspian Snowcock,cassno1,634394698,FALSE,Каспийский улар
Tetraogallus himalayensis,Himalayan Snowcock,himsno,601383721,FALSE,Гималайский улар
Tetraogallus tibetanus,Tibetan Snowcock,tibsno1,483108811,FALSE,Тибетский улар
Tetraogallus altaicus,Altai Snowcock,altsno1,639220722,FALSE,Алтайский улар
Alectoris graeca,Rock Partridge,rocpar2,203977601,FALSE,Европейский кеклик
Alectoris chukar,Chukar,chukar,210513,FALSE,Кеклик
Alectoris magna,Przevalski's Partridge,przpar1,60496,FALSE,Кеклик Пржевальского
Alectoris philbyi,Philby's Partridge,phipar1,203934401,FALSE,Аравийский кеклик
Alectoris barbara,Barbary Partridge,barpar2,143882821,FALSE,Берберийский кеклик
Alectoris rufa,Red-legged Partridge,relpar1,526100581,TRUE,Красный кеклик
Alectoris melanocephala,Arabian Partridge,arapar1,480127751,FALSE,Черноголовый кеклик
Lerwa lerwa,Snow Partridge,snopar1,517723441,FALSE,Снежная куропатка
Ammoperdix griseogularis,See-see Partridge,sespar1,108033921,FALSE,Пустынная куропатка
Ammoperdix heyi,Sand Partridge,sanpar1,203694431,FALSE,Песчаная куропатка
Perdicula asiatica,Jungle Bush-quail,jubqua1,268669171,FALSE,Джунглевый/Скальный перепел
Perdicula argoondah,Rock Bush-quail,robqua1,625833475,FALSE,Скальный перепел
Perdicula erythrorhyncha,Painted Bush-quail,pabqua1,394824171,FALSE,Красноклювый перепел
Perdicula manipurensis,Manipur Bush-quail,mabqua1,,FALSE,Манипурский перепел
Ophrysia superciliosa,Himalayan Quail,himqua1,,FALSE,Гималайский перепел
