Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,bn,bn_in
Artamella viridis,White-headed Vanga,whhvan1,621023266,FALSE,,
Prionops plumatus,White-crested Helmetshrike,whihel1,279382,FALSE,,
Prionops poliolophus,Grey-crested Helmetshrike,gychel1,250931071,FALSE,,
Prionops alberti,Yellow-crested Helmetshrike,yechel1,614272102,FALSE,,
AEGITHINIDAE – Ioras,,,,FALSE,,
Aegithina tiphia,Common Iora,comior1,169519021,TRUE,পাতি ফটিকজল,ফটিকজল
Aegithina nigrolutea,Marshall's Iora,whtior1,371780121,FALSE,,
Aegithina viridissima,Green Iora,greior2,177885,FALSE,,
Aegithina lafresnayei,Great Iora,greior1,113590,FALSE,,
PITYRIASIDAE,Bristlehead,,,FALSE,,
Pityriasis gymnocephala,Bristlehead,borbri1,203930361,FALSE,,
MALACONOTIDAE,Bush-shrikes,,,FALSE,,
Malaconotus cruentus,Fiery-breasted Bush-shrike,fibbus1,541018641,FALSE,,
Malaconotus blanchoti,Grey-headed Bush-shrike,gyhbus1,8934,FALSE,,
Malaconotus monteiri,Monteiro's Bush-shrike,monbus1,394290821,FALSE,,
Malaconotus lagdeni,Lagden's Bush-shrike,lagbus1,64628541,FALSE,,
Malaconotus gladiator,Green-breasted Bush-shrike,grbbus1,89726331,FALSE,,
Malaconotus alius,Uluguru Bush-shrike,ulubus1,439991681,FALSE,,
Dryoscopus sabini,Sabine's Puffback,labpuf1,203974591,FALSE,,
Dryoscopus angolensis,Pink-footed Puffback,pifpuf1,1517,FALSE,,
Dryoscopus senegalensis,Red-eyed Puffback,reepuf1,1483,FALSE,,
Dryoscopus cubla,Black-backed Puffback,blbpuf2,8705,FALSE,,
Dryoscopus gambensis,Northern Puffback,norpuf1,1569,FALSE,,
Dryoscopus pringlii,Pringle's Puffback,pripuf1,33655601,FALSE,,
Bocagia minuta,Marsh Tchagra,martch2,203915331,FALSE,,
Tchagra australis,Brown-crowned Tchagra,brctch1,615241924,FALSE,,
Tchagra jamesi,Three-streaked Tchagra,thstch1,28224621,FALSE,,
