Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,pt,pt_ao,pt_br,pt_pt
Spinus crassirostris,Thick-billed Siskin,thbsis1,203960101,FALSE,Pintassilgo-bicudo,Pintassilgo-bicudo,Pintassilgo-bicudo,lugre-de-bico-grosso
Spinus magellanicus,Hooded Siskin,hoosis1,203694471,TRUE,pintassilgo,pintassilgo,pintassilgo,lugre-de-capuz
Spinus dominicensis,Antillean Siskin,antsis1,204022821,FALSE,Pintassilgo-antilhano,Pintassilgo-antilhano,Pintassilgo-antilhano,lugre-das-antilhas
Spinus siemiradzkii,Saffron Siskin,safsis1,286091,FALSE,Pintassilgo-açafrão,Pintassilgo-açafrão,Pintassilgo-açafrão,lugre-açafrão
Spinus olivaceus,Olivaceous Siskin,olisis1,508093531,FALSE,Pintassilgo-oliva,Pintassilgo-oliva,Pintassilgo-oliva,lugre-oliváceo
Spinus notatus,Black-headed Siskin,blhsis1,612706552,FALSE,Pintassilgo-de-cabeça-preta,Pintassilgo-de-cabeça-preta,Pintassilgo-de-cabeça-preta,lugre-de-cabeça-preta
Spinus xanthogastrus,Yellow-bellied Siskin,yebsis1,63563,FALSE,Pintassilgo-de-barriga-amarela,Pintassilgo-de-barriga-amarela,Pintassilgo-de-barriga-amarela,lugre-de-barriga-amarela
Spinus atratus,Black Siskin,blasis1,204006781,FALSE,Pintassilgo-preto,Pintassilgo-preto,Pintassilgo-preto,lugre-preto
Spinus uropygialis,Yellow-rumped Siskin,yersis1,440881211,FALSE,Pintassilgo-de-sobre-amarelo,Pintassilgo-de-sobre-amarelo,Pintassilgo-de-sobre-amarelo,lugre-d'uropígio-amarelo
Spinus barbatus,Black-chinned Siskin,blcsis2,700016,FALSE,Pintassilgo-de-barba-preta,Pintassilgo-de-barba-preta,Pintassilgo-de-barba-preta,lugre-de-queixo-preto
CALCARIIDAE,Longspurs,,,FALSE,,,,
Calcarius lapponicus,Lapland Longspur,laplon,15178,FALSE,escrevedeira-da-lapónia,escrevedeira-da-lapónia,escrevedeira-da-lapónia,Escrevedeira-da-lapónia
Calcarius ornatus,Chestnut-collared Longspur,chclon,517057,TRUE,Escrevedeira-de-peito-preto,Escrevedeira-de-peito-preto,Escrevedeira-de-peito-preto,escrevedeira-de-nuca-ruiva
Calcarius pictus,Smith's Longspur,smilon,32239701,FALSE,Escrevedeira-de-smith,Escrevedeira-de-smith,Escrevedeira-de-smith,escrevedeira-de-smith
Rhynchophanes mccownii,McCown's Longspur,mcclon,191119,FALSE,escrevedeira-bicuda,escrevedeira-bicuda,escrevedeira-bicuda,escrevedeira-de-bico-grosso
Plectrophenax nivalis,Snow Bunting,snobun,408255511,TRUE,,,,escrevedeira-das-neves/escrevedeira-hiperbórea
Plectrophenax hyperboreus,McKay's Bunting,mckbun,237703,FALSE,Escrevedeira-branca,Escrevedeira-branca,Escrevedeira-branca,escrevedeira-hiperbórea
RHODINOCICHLIDAE,Thrush-tanager,,,FALSE,,,,
Rhodinocichla rosea,Rosy Thrush-tanager,rottan2,389842151,FALSE,tangará-rosado,tangará-rosado,tangará-rosado,tangará-tordo-rosado
EMBERIZIDAE,Old World Buntings,,,FALSE,,,,"passerelídeo sp. (""""sparrow"""" sp.)"
Emberiza affinis,Brown-rumped Bunting,brrbun1,312681861,FALSE,Cia-da-nigéria,Cia-da-nigéria,Cia-da-nigéria,escrevedeira-d'uropígio-castanho
Emberiza lathami,Crested Bunting,crebun1,358482241,FALSE,Escrevedeira-de-topete,Escrevedeira-de-topete,Escrevedeira-de-topete,escrevedeira-de-crista
Emberiza melanocephala,Black-headed Bunting,blhbun1,467131771,FALSE,,,,escrevedeira-de-cabeça-preta/escrevedeira-de-cabeça-ruiva
Emberiza bruniceps,Red-headed Bunting,rehbun1,620103245,FALSE,Escrevedeira-de-cabeça-ruiva,Escrevedeira-de-cabeça-ruiva,Escrevedeira-de-cabeça-ruiva,Escrevedeira-de-cabeça-ruiva
Emberiza calandra,Corn Bunting,corbun1,203489791,FALSE,Trigueirão,Trigueirão,Trigueirão,Trigueirão
Emberiza fucata,Chestnut-eared Bunting,chebun2,99003341,FALSE,Escrevedeira-de-faces-castanhas,Escrevedeira-de-faces-castanhas,Escrevedeira-de-faces-castanhas,escrevedeira-orelhuda
Emberiza koslowi,Tibetan Bunting,tibbun1,203942291,FALSE,Escrevedeira-do-tibete,Escrevedeira-do-tibete,Escrevedeira-do-tibete,escrevedeira-do-tibete
Emberiza jankowskii,Jankowski's Bunting,rubbun1,48693361,FALSE,Escrevedeira-de-dorso-ruivo,Escrevedeira-de-dorso-ruivo,Escrevedeira-de-dorso-ruivo,escrevedeira-de-dorso-ruivo
Emberiza cia,Rock Bunting,rocbun1,243710551,FALSE,,,,Cia
Emberiza cioides,Meadow Bunting,meabun1,44668831,FALSE,escrevedeira-de-brandt,escrevedeira-de-brandt,escrevedeira-de-brandt,escrevedeira-de-brandt
Emberiza godlewski,Godlewski's Bunting,godbun1,204027401,FALSE,Escrevedeira-de-godlewski,Escrevedeira-de-godlewski,Escrevedeira-de-godlewski,escrevedeira-de-godlewski
Emberiza buchanani,Grey-necked Bunting,gyhbun1,633279825,FALSE,Sombria-de-pescoço-cinzento,Sombria-de-pescoço-cinzento,Sombria-de-pescoço-cinzento,escrevedeira-de-cabeça-cinzenta
Emberiza cineracea,Cinereous Bunting,cinbun1,204005021,FALSE,Escrevedeira-cinzenta,Escrevedeira-cinzenta,Escrevedeira-cinzenta,escrevedeira-turca
Emberiza hortulana,Ortolan Bunting,ortbun1,15203,FALSE,Sombria,Sombria,Sombria,Sombria
Emberiza caesia,Cretzschmar's Bunting,crebun2,458877771,FALSE,sombria-de-capuz,sombria-de-capuz,sombria-de-capuz,escrevedeira-cinzenta
Emberiza cirlus,Cirl Bunting,cirbun1,204027471,FALSE,escrevedeira,escrevedeira,escrevedeira,escrevedeira-de-garganta-preta
Emberiza stewarti,White-capped Bunting,chbbun1,203962911,FALSE,Escrevedeira-de-cabeça-branca,Escrevedeira-de-cabeça-branca,Escrevedeira-de-cabeça-branca,escrevedeira-de-coroa-branca
Emberiza citrinella,Yellowhammer,yellow2,565398141,TRUE,Escrevedeira-amarela,Escrevedeira-amarela,Escrevedeira-amarela,Escrevedeira-amarela
Emberiza leucocephalos,Pine Bunting,pinbun,142023321,FALSE,escrevedeira-de-barrete-branco,escrevedeira-de-barrete-branco,escrevedeira-de-barrete-branco,Escrevedeira-de-barrete-branco
Emberiza cabanisi,Cabanis's Bunting,cabbun1,1514,FALSE,escrevedeira-de-cabanis,Escrevedeira de Cabanis,escrevedeira-de-cabanis,escrevedeira-de-cabanis
Emberiza flaviventris,Golden-breasted Bunting,gobbun1,58483,FALSE,Escrevedeira-de-peito-dourado,Escrevedeira-de-peito-dourado,Escrevedeira-de-peito-dourado,escrevedeira-de-peito-dourado
Emberiza polipleura,Somali Bunting,sombun1,28129011,FALSE,,,,
Emberiza capensis,Cape Bunting,capbun1,177674101,FALSE,,Escrevedeira do Cabo,,
Emberiza impetuani,Lark -like Bunting,lalbun1,608539954,FALSE,escrevedeira-cotovia,Escrevedeira-cotovia,escrevedeira-cotovia,escrevedeira-cotovia
Emberiza socotrana,Socotra Bunting,socbun1,,FALSE,escrevedeira-de-socotorá,escrevedeira-de-socotorá,escrevedeira-de-socotorá,escrevedeira-de-socotra
Emberiza sahari,House Bunting,houbun3,608421936,FALSE,,,,Escrevedeira-doméstica-do-sará
Emberiza striolata,Striped Bunting,houbun2,204004951,FALSE,,,,Escrevedeira-doméstica-do-levante
Emberiza goslingi,Grey-throated Bunting,gosbun1,615173652,FALSE,,,,
Emberiza tahapisi,Cinnamon-breasted Bunting,cibbun1,203950151,FALSE,,Escrevedeira-das-pedras,,Cia-africana
Emberiza elegans,Yellow-throated Bunting,yetbun1,447807051,FALSE,Escrevedeira-elegante,Escrevedeira-elegante,Escrevedeira-elegante,escrevedeira-elegante
Emberiza siemsseni,Slaty Bunting,slabun1,204020561,FALSE,Escrevedeira-azul,Escrevedeira-azul,Escrevedeira-azul,escrevedeira-azul
Emberiza yessoensis,Ochre-rumped Bunting,ocrbun1,609071081,FALSE,Escrevedeira-dos-caniços-da-manchúria,Escrevedeira-dos-caniços-da-manchúria,Escrevedeira-dos-caniços-da-manchúria,escrevedeira-da-manchúria
Emberiza schoeniclus,Reed Bunting,reebun,345310471,FALSE,,,,escrevedeira-de-pallas/escrevedeira-dos-caniços
E. s. intermedia,Dark Reed Bunting,,,FALSE,,,,
E. s. reiseri,Balkan Reed Bundting,,,FALSE,,,,
E. s. pyrrhuloides,Southern Reed Bunting,,,FALSE,,,,
Emberiza pallasi,Pallas's Bunting,palbun,620952614,FALSE,escrevedeira-de-pallas,escrevedeira-de-pallas,escrevedeira-de-pallas,escrevedeira-de-pallas
Emberiza aureola,Yellow-breasted Bunting,yebbun,169485421,FALSE,escrevedeira-de-barriga-amarela,escrevedeira-de-barriga-amarela,escrevedeira-de-barriga-amarela,escrevedeira-aureolada
Emberiza rustica,Rustic Bunting,rusbun,348160741,FALSE,Escrevedeira-rústica,Escrevedeira-rústica,Escrevedeira-rústica,Escrevedeira-rústica
Emberiza pusilla,Little Bunting,litbun,203974061,FALSE,escrevedeira-pequena,escrevedeira-pequena,escrevedeira-pequena,escrevedeira-pigmeia
Emberiza spodocephala,Black-faced Bunting,bkfbun1,528327801,FALSE,,,,Escrevedeira-de-faces-pretas
Emberiza personata,Masked Bunting,bkfbun2,629027473,FALSE,escrevedeira-de-mascarilha,escrevedeira-de-mascarilha,escrevedeira-de-mascarilha,escrevedeira-mascarada
Emberiza sulphurata,Yellow Bunting,yelbun1,203929281,FALSE,Escrevedeira-enxofrada,Escrevedeira-enxofrada,Escrevedeira-enxofrada,escrevedeira-japonesa
Emberiza rutila,Chestnut Bunting,chebun1,203903371,FALSE,escrevedeira-ferrugínea,escrevedeira-ferrugínea,escrevedeira-ferrugínea,escrevedeira-ruiva
Emberiza chrysophrys,Yellow-browed Bunting,yebbun1,611342425,FALSE,escrevedeira-de-sobrolho,escrevedeira-de-sobrolho,escrevedeira-de-sobrolho,Escrevedeira-de-sobrolho
Emberiza tristrami,Tristram's Bunting,tribun1,609060293,FALSE,Escrevedeira-de-tristram,Escrevedeira-de-tristram,Escrevedeira-de-tristram,escrevedeira-de-tristram
Emberiza variabilis,Grey Bunting,grybun,460119471,FALSE,Escrevedeira-grisalha,Escrevedeira-grisalha,Escrevedeira-grisalha,escrevedeira-dos-bambus
PASSERELLIDAE,New World Sparrows,,,FALSE,,,,"passerelídeo sp. (""""sparrow"""" sp.)"
Spizella passerina,Chipping Sparrow,chispa,534466,TRUE,Tico-tico-pardal,Tico-tico-pardal,Tico-tico-pardal,tico-tico-trinador
Spizella pallida,Clay-colored Sparrow,clcspa,206428,FALSE,Tico-tico-pálido,Tico-tico-pálido,Tico-tico-pálido,tico-tico-pálido
Spizella atrogularis,Black-chinned Sparrow,bkcspa,224467,FALSE,tico-tico-barbanegra,tico-tico-barbanegra,tico-tico-barbanegra,tico-tico-de-queixo-preto
Spizella pusilla,Field Sparrow,fiespa,436286851,FALSE,,,,
Spizella breweri,Brewer's Sparrow,brespa,264901351,FALSE,,,,
