Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,es,es_ar,es_cr,es_ec,es_es,es_mx,es_pa,es_pe,es_ve
Xiphocolaptes promeropirhyncus,Strong-billed Woodcreeper,stbwoo1,420518021,FALSE,,,,,,,,,
Xiphocolaptes falcirostris,Moustached Woodcreeper,mouwoo1,627902358,FALSE,Trepatroncos Bigotudo,Trepatroncos Bigotudo,Trepatroncos Bigotudo,Trepatroncos Bigotudo,Trepatroncos bigotudo,Trepatroncos Bigotudo,Trepatroncos Bigotudo,Trepatroncos Bigotudo,Trepatroncos Bigotudo
Xiphocolaptes major,Great Rufous Woodcreeper,grrwoo1,261125891,FALSE,Trepatroncos Colorado,Trepador Gigante,Trepatroncos Colorado,Trepatroncos Colorado,Trepatroncos Colorado,Trepatroncos Colorado,Trepatroncos Colorado,Trepatroncos Colorado,Trepatroncos Colorado
Xiphorhynchus obsoletus,Striped Woodcreeper,strwoo2,88457,FALSE,Trepatroncos Loco,Trepatroncos Loco,Trepatroncos Loco,Trepatroncos Listado,Trepatroncos Loco,Trepatroncos Loco,Trepatroncos Loco,Trepador Listado,Trepador Loco
Xiphorhynchus atlanticus,Atlantic Woodcreeper,leswoo4,127876,FALSE,Trepatroncos atlántico,Trepatroncos atlántico,Trepatroncos atlántico,Trepatroncos atlántico,Trepatroncos Atlántico,Trepatroncos atlántico,Trepatroncos atlántico,Trepatroncos atlántico,Trepatroncos atlántico
Xiphorhynchus fuscus,Lesser Woodcreeper,leswoo2,350211661,FALSE,Trepatroncos Enano,Chinchero Enano,Trepatroncos Enano,Trepatroncos Enano,Trepatroncos enano,Trepatroncos Enano,Trepatroncos Enano,Trepatroncos Enano,Trepatroncos Enano
Xiphorhynchus pardalotus,Chestnut-rumped Woodcreeper,chrwoo1,382587501,FALSE,Trepatroncos Silbador,Trepatroncos Silbador,Trepatroncos Silbador,Trepatroncos Silbador,Trepatroncos Silbador,Trepatroncos Silbador,Trepatroncos Silbador,Trepatroncos Silbador,Trepador Silbador
Xiphorhynchus ocellatus,Ocellated Woodcreeper,ocewoo1,49405081,FALSE,Trepatroncos Ocelado,Trepatroncos Ocelado,Trepatroncos Ocelado,Trepatroncos Ocelado,Trepatroncos Ocelado,Trepatroncos Ocelado,Trepatroncos Ocelado,Trepador Ocelado,Trepador de Ocelos
Xiphorhynchus beauperthuysii,Line-crowned Woodcreeper,,,FALSE,Trepatroncos Ocelado (beauperthuysii/lineatocapilla),Trepatroncos Ocelado (beauperthuysii/lineatocapilla),Trepatroncos Ocelado (beauperthuysii/lineatocapilla),Trepatroncos Ocelado (beauperthuysii/lineatocapilla),Trepatroncos ocelado (beauperthuysii/lineatocapilla),Trepatroncos Ocelado (beauperthuysii/lineatocapilla),Trepatroncos Ocelado (beauperthuysii/lineatocapilla),Trepatroncos Ocelado (beauperthuysii/lineatocapilla),Trepatroncos Ocelado (beauperthuysii/lineatocapilla)
Xiphorhynchus chunchotambo,Tschudi's Woodcreeper,,,FALSE,Trepatroncos Ocelado (grupo chunchotambo),Trepatroncos Ocelado (grupo chunchotambo),Trepatroncos Ocelado (grupo chunchotambo),Trepatroncos Ocelado (grupo chunchotambo),Trepatroncos ocelado (grupo chunchotambo),Trepatroncos Ocelado (grupo chunchotambo),Trepatroncos Ocelado (grupo chunchotambo),Trepatroncos Ocelado (grupo chunchotambo),Trepatroncos Ocelado (grupo chunchotambo)
Xiphorhynchus elegans,Elegant Woodcreeper,elewoo1,203932041,FALSE,Trepatroncos Elegante,Trepatroncos Elegante,Trepatroncos Elegante,Trepatroncos Elegante,Trepatroncos elegante,Trepatroncos Elegante,Trepatroncos Elegante,Trepador Elegante,Trepatroncos Elegante
Xiphorhynchus spixii,Spix's Woodcreeper,spiwoo1,115123,FALSE,Trepatroncos de Spix,Trepatroncos de Spix,Trepatroncos de Spix,Trepatroncos de Spix,Trepatroncos de Spix,Trepatroncos de Spix,Trepatroncos de Spix,Trepatroncos de Spix,Trepatroncos de Spix
Xiphorhynchus susurrans,Cocoa Woodcreeper,cocwoo1,215478,FALSE,Trepatroncos Cacao,Trepatroncos Cacao,Trepador Gorgianteado,Trepatroncos Cacao,Trepatroncos Cacao,Trepatroncos Cacao,Trepatroncos Chocolate,Trepatroncos Cacao,Trepador del Cacao
Xiphorhynchus guttatus,Buff-throated Woodcreeper,butwoo1,203955441,FALSE,Trepatroncos Pegón,Trepatroncos Pegón,Trepatroncos Pegón,Trepatroncos Golianteado,Trepatroncos pegón,Trepatroncos Pegón,Trepatroncos Pegón,Trepador de Garganta Anteada,Trepador Pegón
Xiphorhynchus guttatoides,Lafresnaye's Woodcreeper,,,FALSE,,,,,,,,,
Xiphorhynchus flavigaster,Ivory-billed Woodcreeper,ivbwoo1,157497571,FALSE,Trepatroncos Picomarfil,Trepatroncos Picomarfil,Trepador Piquiclaro,Trepatroncos Picomarfil,Trepatroncos Picomarfil,Trepatroncos Pico Marfil,Trepatroncos Picomarfil,Trepatroncos Picomarfil,Trepatroncos Picomarfil
Xiphorhynchus lachrymosus,Black-striped Woodcreeper,blswoo1,215421,FALSE,Trepatroncos Pinto,Trepatroncos Pinto,Trepador Pinto,Trepatroncos Pinto,Trepatroncos Pinto,Trepatroncos Pinto,Trepatroncos Pinto,Trepatroncos Pinto,Trepatroncos Pinto
Xiphorhynchus erythropygius,Northern Spotted Woodcreeper,spowoo1,25305971,FALSE,Trepatroncos Manchado,Trepatroncos Manchado,Trepador Manchado,Trepatroncos Punteado,Trepatroncos Manchado,Trepatroncos Moteado,Trepatroncos Manchado,Trepatroncos Manchado,Trepatroncos Manchado
Xiphorhynchus aequatorialis,Southern Spotted Woodcreeper,,,FALSE,Trepatroncos Manchado (grupo aequatorialis),Trepatroncos Manchado (grupo aequatorialis),Trepatroncos Manchado (grupo aequatorialis),Trepatroncos Manchado (grupo aequatorialis),Trepatroncos manchado (grupo aequatorialis),Trepatroncos Manchado (grupo aequatorialis),Trepatroncos Manchado (grupo aequatorialis),Trepatroncos Manchado (grupo aequatorialis),Trepatroncos Manchado (grupo aequatorialis)
Xiphorhynchus triangularis,Olive-backed Woodcreeper,olbwoo1,365838851,FALSE,Trepatroncos Dorsioliva,Trepatroncos Dorsioliva,Trepatroncos Dorsioliva,Trepatroncos Dorsioliva,Trepatroncos Dorsioliva,Trepatroncos Dorsioliva,Trepatroncos Dorsioliva,Trepador de Dorso Olivo,Trepador Lomiaceituno
Xiphorhynchus picus,Straight-billed Woodcreeper,stbwoo2,65444,FALSE,Trepatroncos Piquirrecto/Zimmer,Trepatroncos Piquirrecto/Zimmer,Trepatroncos Piquirrecto/Zimmer,Trepatroncos Piquirrecto/Zimmer,Trepatroncos piquirrecto/Zimmer,Trepatroncos Piquirrecto/Zimmer,Trepatroncos Piquirrecto/Zimmer,Trepatroncos Piquirrecto/Zimmer,Trepatroncos Piquirrecto/Zimmer
Xiphorhynchus kienerii,Zimmer's Woodcreeper,zimwoo2,528123241,FALSE,Trepatroncos de Zimmer,Trepatroncos de Zimmer,Trepatroncos de Zimmer,Trepatroncos de Zimmer,Trepatroncos de Zimmer,Trepatroncos de Zimmer,Trepatroncos de Zimmer,Trepatroncos de Zimmer,Trepatroncos de Zimmer
Campylorhamphus falcularius,Black-billed Scythebill,blbscy1,22124,FALSE,Picoguadaña Piquinegro,Picapalo Oscuro,Picoguadaña Piquinegro,Picoguadaña Piquinegro,Picoguadaña Piquinegro,Picoguadaña Piquinegro,Picoguadaña Piquinegro,Picoguadaña Piquinegro,Picoguadaña Piquinegro
Campylorhamphus pusillus,Brown-billed Scythebill,brbscy1,32741081,FALSE,Picoguadaña Andino,Picoguadaña Andino,Trepador Pico de Hoz,Picoguadaña Piquipardo,Picoguadaña Andino,Picoguadaña Andino,Picoguadaña Piquipardo,Pico-Guadaña de Pico Pardo,Trepador Piquicurvado
Campylorhamphus trochilirostris,Red-billed Scythebill,rebscy1,309084371,TRUE,Picoguadaña Piquirrojo,Picapalo Colorado,Picoguadaña Piquirrojo,Picoguadaña Piquirrojo,Picoguadaña piquirrojo,Picoguadaña Piquirrojo,Picoguadaña Piquirrojo,Pico-Guadaña de Pico Rojo,Trepador Pico de Garfio
Campylorhamphus procurvoides,Curve-billed Scythebill,cubscy1,388775201,FALSE,Picoguadaña del Amazonas,Picoguadaña del Amazonas,Picoguadaña del Amazonas,Picoguadaña Piquicurvo,Picoguadaña del Amazonas,Picoguadaña del Amazonas,Picoguadaña del Amazonas,Pico-Guadaña de Pico Curvo,Trepador Pico de Hoz
Campylorhamphus probatus,Tapajos Scythebill,tapscy2,127723,FALSE,Picoguadaña del Tapajós,Picoguadaña del Tapajós,Picoguadaña del Tapajós,Picoguadaña de Tapajos,Picoguadaña del Tapajós,Picoguadaña del Tapajós,Picoguadaña del Tapajós,Picoguadaña del Tapajós,Picoguadaña del Tapajós
Campylorhamphus multostriatus,Xingu Scythebill,cubscy5,203914801,FALSE,Picoguadaña del Xingu,Picoguadaña del Xingu,Picoguadaña del Xingu,Picoguadaña de Xingu,Picoguadaña del Xingú,Picoguadaña del Xingu,Picoguadaña del Xingu,Picoguadaña del Xingu,Picoguadaña del Xingu
Campylorhamphus pucherani,Greater Scythebill,grescy1,632640579,FALSE,Picoguadaña Grande,Picoguadaña Grande,Picoguadaña Grande,Picoguadaña Grande,Picoguadaña Grande,Picoguadaña Grande,Picoguadaña Grande,Picoguadaña Grande,Picoguadaña Grande
Drymornis bridgesii,Scimitar-billed Woodcreeper,scbwoo4,217330,FALSE,Trepatroncos Chinchero,Chinchero Grande,Trepatroncos Chinchero,Trepatroncos Chinchero,Trepatroncos Chinchero,Trepatroncos Chinchero,Trepatroncos Chinchero,Trepatroncos Chinchero,Trepatroncos Chinchero
Lepidocolaptes angustirostris,Narrow-billed Woodcreeper,nabwoo1,216216,FALSE,Trepatroncos Chico,Chinchero Chico,Trepatroncos Chico,Trepatroncos Chico,Trepatroncos Chico,Trepatroncos Chico,Trepatroncos Chico,Trepatroncos Chico,Trepatroncos Chico
Lepidocolaptes albolineatus,Lineated Woodcreeper,linwoo3,635458006,FALSE,Trepatroncos Listado,Trepatroncos Listado,Trepatroncos Listado,Trepatroncos Listado,Trepatroncos listado,Trepatroncos Listado,Trepatroncos Listado,Trepatroncos Listado,Trepadorcito Goteado
Lepidocolaptes duidae,Duida Woodcreeper,linwoo4,323175921,FALSE,Trepatroncos de Duida,Trepatroncos de Duida,Trepatroncos de Duida,Trepatroncos de Duida,Trepatroncos de Duida,Trepatroncos de Duida,Trepatroncos de Duida,Trepador de Duida,Trepadorcito de los Tepuyes
Lepidocolaptes fuscicapillus,Dusky-capped Woodcreeper,ducwoo1,299932141,FALSE,Trepatroncos cabecipardo,Trepatroncos cabecipardo,Trepatroncos cabecipardo,Trepatroncos cabecipardo,Trepatroncos cabecipardo,Trepatroncos cabecipardo,Trepatroncos cabecipardo,Trepatroncos cabecipardo,Trepatroncos cabecipardo
Lepidocolaptes fatimalimae,Inambari Woodcreeper,inawoo1,502435691,FALSE,Trepatroncos del Inambari,Trepatroncos del Inambari,Trepatroncos del Inambari,Trepatroncos del Inambari,Trepatroncos del Inambari,Trepatroncos del Inambari,Trepatroncos del Inambari,Trepador del Inambari,Trepatroncos del Inambari
Lepidocolaptes souleyetii,Streak-headed Woodcreeper,sthwoo1,21543,FALSE,Trepatroncos Cabecirrayado,Trepatroncos Cabecirrayado,Trepador Cabecirrayado,Trepatroncos Cabecilistado,Trepatroncos Cabecirrayado,Trepatroncos Corona Rayada,Trepatroncos Cabecirrayado,Trepador de Cabeza Rayada,Trepadorcito Listado
Lepidocolaptes squamatus,Scaled Woodcreeper,scawoo1,23781,FALSE,Trepatroncos Escamado,Trepatroncos Escamado,Trepatroncos Escamado,Trepatroncos Escamado,Trepatroncos escamado,Trepatroncos Escamado,Trepatroncos Escamado,Trepatroncos Escamado,Trepatroncos Escamado
Lepidocolaptes falcinellus,Scalloped Woodcreeper,scawoo2,71674481,FALSE,Trepatroncos Festoneado,Chinchero Escamado,Trepatroncos Festoneado,Trepatroncos Festoneado,Trepatroncos Festoneado,Trepatroncos Festoneado,Trepatroncos Festoneado,Trepatroncos Festoneado,Trepatroncos Festoneado
Lepidocolaptes lacrymiger,Montane Woodcreeper,monwoo1,308529601,FALSE,Trepatroncos Montano,Trepatroncos Montano,Trepatroncos Montano,Trepatroncos Montano (Montañero),Trepatroncos Montano,Trepatroncos Montano,Trepatroncos Montano,Trepador Montano,Trepador Gamucita
Lepidocolaptes leucogaster,White-striped Woodcreeper,whswoo1,109135,FALSE,Trepatroncos Escarchado,Trepatroncos Escarchado,Trepatroncos Escarchado,Trepatroncos Escarchado,Trepatroncos Escarchado,Trepatroncos Mexicano,Trepatroncos Escarchado,Trepatroncos Escarchado,Trepatroncos Escarchado
Lepidocolaptes affinis,Northern Spot-crowned Woodcreeper,spcwoo1,205595,FALSE,Trepatroncos Coronipunteado,Trepatroncos Coronipunteado,Trepador Cabecipunteado,Trepatroncos Coronipunteado,Trepatroncos coronipunteado,Trepatroncos Corona Punteada,Trepatroncos Coronipunteado,Trepatroncos Coronipunteado,Trepatroncos Coronipunteado
Lepidocolaptes neglectus,Southern Spot-crowned Woodcreeper,,,FALSE,,,,,,,,,
Xenops genibarbis,Plain Xenops,plaxen3,127938,FALSE,Picolezna Liso Brasileño,Picolezna Liso Brasileño,Picolezna Liso Brasileño,Xenops Dorsillano Amazónico,Picolezna liso brasileño,Picolezna Brasileño,Xenops Bayo Amazónico,Pico-Lezna Simple Amazónico,Pico Lezna Pechirrayado Oriental
Xenops minutus,White-throated Xenops,plaxen4,57918,FALSE,Picolezna Gorjiblanco,Picolezna Chico,Picolezna Gorjiblanco,Xenops Dorsillano Atlántico,Picolezna gorjiblanco,Picolezna Común,Xenops Bayo del Atlántico,Picolezna Gorjiblanco,Picolezna Gorjiblanco
Xenops rutilans,Streaked Xenops,strxen1,615305525,FALSE,Picolezna Rojizo,Picolezna Rojizo,Xenops Rayado,Xenops Rayado,Picolezna Rojizo,Picolezna Rojizo,Xenops Rayado,Pico-Lezna Rayado,Pico Lezna Rayado
Xenops tenuirostris,Slender-billed Xenops,slbxen1,191952461,FALSE,Picolezna Picofino,Picolezna Picofino,Picolezna Picofino,Xenops Picofino,Picolezna Picofino,Picolezna Picofino,Picolezna Picofino,Pico-Lezna de Pico Fino,Pico Lezna Menor
Berlepschia rikeri,Palmcreeper,potpal1,203957211,FALSE,Palmero,Palmero,Palmero,Palmero,Palmero,Palmero,Palmero,Trepador de Palmeras,Cotí de Palmeras
Microxenops milleri,Rufous-tailed Xenops,rutxen1,70877611,FALSE,Picolezna Colirrufo,Picolezna Colirrufo,Picolezna Colirrufo,Xenops Colirrufo,Picolezna Colirrufo,Picolezna Colirrufo,Picolezna Colirrufo,Pico-Lezna de Cola Rufa,Pico Lezna Rabirrufo
Pygarrhichas albogularis,White-throated Treerunner,whttre2,290924531,FALSE,Picolezna Comesebo,Picolezna Patagónico,Picolezna Comesebo,Picolezna Comesebo,Picolezna Comesebo,Picolezna Comesebo,Picolezna Comesebo,Picolezna Comesebo,Picolezna Comesebo
Ochetorhynchus andaecola,Rock Earthcreeper,rocear1,189518,FALSE,Bandurrita Roquera,Bandurrita Cola Castaña,Bandurrita Roquera,Bandurrita Roquera,Bandurrita Roquera,Bandurrita Roquera,Bandurrita Roquera,Bandurrita Roquera,Bandurrita Roquera
Ochetorhynchus melanurus,Crag Chilia,crachi1,482876661,FALSE,Chiricoca,Chiricoca,Chiricoca,Chiricoca,Chiricoca,Chiricoca,Chiricoca,Chiricoca,Chiricoca
Ochetorhynchus ruficaudus,Straight-billed Earthcreeper,stbear2,556355241,FALSE,Bandurrita Piquirrecta,Bandurrita Pico Recto,Bandurrita Piquirrecta,Bandurrita Piquirrecta,Bandurrita Piquirrecta,Bandurrita Piquirrecta,Bandurrita Piquirrecta,Bandurrita de Pico Recto,Bandurrita Piquirrecta
Ochetorhynchus phoenicurus,Band-thailed Earthcreeper,batear1,70892941,FALSE,Bandurrita Patagona,Bandurrita Patagónica,Bandurrita Patagona,Bandurrita Patagona,Bandurrita Patagona,Bandurrita Patagona,Bandurrita Patagona,Bandurrita Patagona,Bandurrita Patagona
Pseudocolaptes lawrencii,Buffy Tuftedcheek,buftuf1,46235861,FALSE,Trepamusgos Barbablanca Panameño,Trepamusgos Barbablanca Panameño,Trepamusgo Cachetón,Barbablanca Cremosa,Trepamusgos barbablanca panameño,Trepamusgos Barbablanca Panameño,Barbablanca Anteada,Trepamusgos Barbablanca Panameño,Trepamusgos Barbablanca Panameño
Pseudocolaptes johnsoni,Pacific Tuftedcheek,buftuf3,493521141,FALSE,Trepamusgos barbablanca del Pacífico,Trepamusgos barbablanca del Pacífico,Trepamusgos barbablanca del Pacífico,Barbablanca del Pacífico,Trepamusgos barbablanca del Pacífico,Trepamusgos barbablanca del Pacífico,Trepamusgos barbablanca del Pacífico,Trepamusgos barbablanca del Pacífico,Trepamusgos barbablanca del Pacífico
Pseudocolaptes boissonneautii,Streaked Tuftedcheek,strtuf1,21937,FALSE,Trepamusgos Barbablanca Andino,Trepamusgos Barbablanca Andino,Trepamusgos Barbablanca Andino,Barbablanca Rayada,Trepamusgos barbablanca andino,Trepamusgos Barbablanca Andino,Trepamusgos Barbablanca Andino,Barba-blanca Rayado,Cotí Barbiblanco
Premnornis guttuliger,Rusty-winged Barbtail,ruwbar1,575601861,FALSE,Subepalo Alirrojizo,Subepalo Alirrojizo,Subepalo Alirrojizo,Subepalo Alirrojizo,Subepalo Alirrojizo,Subepalo Alirrojizo,Subepalo Alirrojizo,Cola-Púa de Ala Rojiza,Subepalo Punteado
Tarphonomus harterti,Bolivian Earthcreeper,bolear1,52533,FALSE,Bandurrita Boliviana,Bandurrita Quebradeña,Bandurrita Boliviana,Bandurrita Boliviana,Bandurrita Boliviana,Bandurrita Boliviana,Bandurrita Boliviana,Bandurrita Boliviana,Bandurrita Boliviana
Tarphonomus certhioides,Chaco Earthcreeper,chaear1,52553,FALSE,Bandurrita Chaqueña,Bandurrita Chaqueña,Bandurrita Chaqueña,Bandurrita Chaqueña,Bandurrita chaqueña,Bandurrita Chaqueña,Bandurrita Chaqueña,Bandurrita Chaqueña,Bandurrita Chaqueña
Furnarius torridus,Pale-billed Hornero,pabhor2,30818,FALSE,Hornero Castaño,Hornero Castaño,Hornero Castaño,Hornero Castaño (Piquipálido),Hornero castaño,Hornero Castaño,Hornero Castaño,Hornero de Pico Pálido,Hornero Castaño
Furnarius figulus,Wing-banded Hornero,wibhor1,380089271,FALSE,Hornero Colibandeado,Hornero Colibandeado,Hornero Colibandeado,Hornero Colibandeado,Hornero Colibandeado,Hornero Colibandeado,Hornero Colibandeado,Hornero Colibandeado,Hornero Colibandeado
Furnarius leucopus,Pale-legged Hornero,palhor3,84912,FALSE,Hornero Paticlaro,Hornero Paticlaro,Hornero Paticlaro,Hornero Patipálido,Hornero paticlaro,Hornero Paticlaro,Hornero Paticlaro,Hornero Paticlaro,Hornero Paticlaro
Furnarius longirostris,Caribbean Hornero,palhor5,204008421,FALSE,Hornero del Caribe,Hornero del Caribe,Hornero del Caribe,Hornero del Caribe,Hornero del Caribe,Hornero del Caribe,Hornero del Caribe,Hornero del Caribe,Albañil
Furnarius cinnamomeus,Pacific Hornero,palhor4,104688911,FALSE,Hornero del Pacífico,Hornero del Pacífico,Hornero del Pacífico,Hornero del Pacífico,Hornero del Pacífico,Hornero del Pacífico,Hornero del Pacífico,Hornero del Pacífico,Hornero del Pacífico
Furnarius minor,Lesser Hornero,leshor1,608478276,FALSE,Hornero Chico,Hornero Chico,Hornero Chico,Hornero Menor,Hornero Chico,Hornero Chico,Hornero Chico,Hornero Menor,Hornero Chico
Furnarius rufus,Rufous Hornero,rufhor2,82661,TRUE,Hornero Común,Hornero,Hornero Común,Hornero Común,Hornero Común,Hornero Común,Hornero Común,Hornero Común,Hornero Común
FORMICARIIDAE,Ground-antbirds,,,FALSE,,,,,,,,,
Formicarius colma,Rufous-capped Antthrush,rucant2,203932021,FALSE,Formicario Capirrojo,Formicario Capirrojo,Formicario Capirrojo,Formicario Gorrirrufo,Formicario Capirrojo,Formicario Capirrojo,Formicario Capirrojo,Gallito-Hormiguero de Gorro Rufo,Pollito Hormiguero
Formicarius moniliger,Mayan Antthrush,bkfant2,448767961,FALSE,Formicario Mexicano,Formicario Mexicano,Formicario Mexicano,Formicario Mexicano,Formicario mexicano,Hormiguero Cholino Maya,Formicario Mexicano,Formicario Mexicano,Formicario Mexicano
Formicarius analis,Black-faced Antthrush,blfant1,138124951,FALSE,Formicario Enmascarado,Formicario Enmascarado,Gallito Hormiguero Carinegro,Formicario Carinegro,Formicario enmascarado,Hormiguero Cholina Garganta Negra,Formicario Carinegro,Gallito-Hormiguero de Cara Negra,Gallito Hormiguero
Formicarius rufifrons,Rufous-fronted Antthrush,rufant3,76040,FALSE,Formicario Frentirrufo,Formicario Frentirrufo,Formicario Frentirrufo,Formicario Frentirrufo,Formicario Frentirrufo,Formicario Frentirrufo,Formicario Frentirrufo,Gallito-Hormiguero de Frente Rufa,Formicario Frentirrufo
Formicarius nigricapillus,Black-headed Antthrush,bkhant7,450484661,FALSE,Formicario Cabecinegro,Formicario Cabecinegro,Gallito Hormiguero Cabecinegro,Formicario Gorrinegro,Formicario Cabecinegro,Formicario Cabecinegro,Formicario Gorrinegro,Formicario Cabecinegro,Formicario Cabecinegro
Formicarius rufipectus,Rufous-breasted Antthrush,rubant1,448383841,FALSE,Formicario Pechirrufo,Formicario Pechirrufo,Gallito Hormiguero Pechicastaño,Formicario Pechirrufo,Formicario Pechirrufo,Formicario Pechirrufo,Formicario Pechicastaño,Gallito-Hormiguero de Pecho Rufo,Gallito Pechirrojo
Chamaeza campanisona,Short-tailed Anttrush,shtant1,17831,FALSE,Tovacá Colicorto,Tovaca Parda,Tovacá Colicorto,Chamaeza Colicorta,Tovacá Colicorto,Tovacá Colicorto,Tovacá Colicorto,Rasconzuelo de Cola Corta,Hormiguero Cuascá
Chamaeza nobilis,Striated Anttrush,strant3,203934021,FALSE,Tovacá Noble,Tovacá Noble,Tovacá Noble,Chamaeza Noble,Tovacá Noble,Tovacá Noble,Tovacá Noble,Rasconzuelo Estriado,Tovacá Noble
Chamaeza meruloides,Cryptic Anttrush,sucant1,203888731,FALSE,Tovacá Críptico,Tovacá Críptico,Tovacá Críptico,Tovacá Críptico,Tovacá Críptico,Tovacá Críptico,Tovacá Críptico,Tovacá Críptico,Tovacá Críptico
Chamaeza turdina,Scalloped Anttrush,schant1,242013601,FALSE,Tovacá Turdino,Tovacá Turdino,Tovacá Turdino,Tovacá Turdino,Tovacá turdino,Tovacá Turdino,Tovacá Turdino,Tovacá Turdino,Hormiguero Mazamorrero
Chamaeza ruficauda,Rufous-tailed Anttrush,rutant2,19943,FALSE,Tovacá Colirrufo,Tovaca Colorada,Tovacá Colirrufo,Tovacá Colirrufo,Tovacá colirrufo,Tovacá Colirrufo,Tovacá Colirrufo,Tovacá Colirrufo,Tovacá Colirrufo
Chamaeza mollissima,Barred Anttrush,barant2,107141,FALSE,Tovacá Barrado,Tovacá Barrado,Tovacá Barrado,Chamaeza Barreteada,Tovacá Barrado,Tovacá Barrado,Tovacá Barrado,Rasconzuelo Barrado,Tovacá Barrado
FURNARIIDAE,Ovenbirds,,,FALSE,,,,,,,,,
Sclerurus mexicanus,Tawny-throated Leaftosser,tatlea1,574406861,FALSE,Tirahojas Mexicano/Oscuro,Tirahojas Mexicano/Oscuro,Tirahojas Pechirrufo,Tirahojas Mexicano/Oscuro,Tirahojas mexicano/oscuro,Hojarasquero Pecho Canela,Tirahojas Mesoamericano,Tirahojas Mexicano/Oscuro,Tirahojas Mexicano/Oscuro
Sclerurus rufigularis,Short-billed Leaftosser,shblea1,228176,FALSE,Tirahojas Piquicorto,Tirahojas Piquicorto,Tirahojas Piquicorto,Tirahojas Piquicorto,Tirahojas Piquicorto,Tirahojas Piquicorto,Tirahojas Piquicorto,Tira-Hoja de Pico Corto,Raspahoja Pechianteado
Sclerurus guatemalensis,Scaly-throated Leaftosser,sctlea1,239957561,FALSE,Tirahojas Guatemalteco,Tirahojas Guatemalteco,Tirahojas Barbiescamado,Tirahojas Goliescamoso,Tirahojas Guatemalteco,Hojarasquero Oscuro,Tirahojas Gorguiescamoso,Tirahojas Guatemalteco,Tirahojas Guatemalteco
Sclerurus caudacutus,Black-tailed Leaftosser,bltlea1,203932061,FALSE,Tirahojas Colinegro,Tirahojas Colinegro,Tirahojas Colinegro,Tirahojas Colinegro,Tirahojas Colinegro,Tirahojas Colinegro,Tirahojas Colinegro,Tira-Hoja de Cola Negra,Raspahoja Rabiagudo
Sclerurus albigularis,Grey-throated Leaftosser,grtlea1,502342301,FALSE,Tirahojas Gorjigrís,Tirahojas Gorjigrís,Tirahojas Gargantigrís,Tirahojas Goligrís,Tirahojas gorjigrís,Tirahojas Gorjigrís,Tirahojas Gorguigrís,Tira-Hoja de Garganta Gris,Raspahoja Gargantigrís
Sclerurus scansor,Rufous-breasted Leaftosser,rublea1,231701421,FALSE,Tirahojas Ogarití,Raspahojas,Tirahojas Ogarití,Tirahojas Ogarití,Tirahojas Ogarití,Tirahojas Ogarití,Tirahojas Ogarití,Tirahojas Ogarití,Tirahojas Ogarití
Sclerurus cearensis,Ceara Leaftosser,,,FALSE,,,,,,,,,
Geositta peruviana,Coastal Miner,coamin1,70785351,FALSE,Minero Peruano,Minero Peruano,Minero Peruano,Minero Peruano,Minero Peruano,Minero Peruano,Minero Peruano,Minero Peruano,Minero Peruano
Geositta tenuirostris,Slender-billed Miner,slbmin1,203696191,FALSE,Minero Picudo,Caminera Picuda,Minero Picudo,Minero Piquitenue,Minero Picudo,Minero Picudo,Minero Picudo,Minero de Pico Largo,Minero Picudo
Geositta cunicularia,Common Miner,commin1,470064951,FALSE,Minero Común,Caminera Estriada,Minero Común,Minero Común,Minero Común,Minero Común,Minero Común,Minero Común,Minero Común
Geositta punensis,Puna Miner,punmin1,210383,FALSE,Minero Puneño,Caminera Puneña,Minero Puneño,Minero Puneño,Minero Puneño,Minero Puneño,Minero Puneño,Minero de la Puna,Minero Puneño
Geositta poeciloptera,Campo Miner,cammin2,203695971,FALSE,Minero Brasileño,Minero Brasileño,Minero Brasileño,Minero Brasileño,Minero Brasileño,Minero Brasileño,Minero Brasileño,Minero Brasileño,Minero Brasileño
Geositta crassirostris,Thick-billed Miner,thbmin1,628360153,FALSE,Minero Picogrueso,Minero Picogrueso,Minero Picogrueso,Minero Picogrueso,Minero Picogrueso,Minero Picogrueso,Minero Picogrueso,Minero de Pico Grueso,Minero Picogrueso
Geositta rufipennis,Rufous-banded Miner,rubmin1,86545,FALSE,Minero Rojizo,Caminera Colorada,Minero Rojizo,Minero Rojizo,Minero Rojizo,Minero Rojizo,Minero Rojizo,Minero Rojizo,Minero Rojizo
Geositta maritima,Greyish Miner,gramin1,525241181,FALSE,Minero Gris,Minero Gris,Minero Gris,Minero Gris,Minero Gris,Minero Gris,Minero Gris,Minero Gris,Minero Gris
Geositta antarctica,Short-billed Miner,shbmin1,70804161,FALSE,Minero Austral,Caminera Patagónica,Minero Austral,Minero Austral,Minero Austral,Minero Austral,Minero Austral,Minero Austral,Minero Austral
Geositta saxicolina,Dark-winged Miner,dawmin1,31746711,FALSE,Minero Alioscuro,Minero Alioscuro,Minero Alioscuro,Minero Alioscuro,Minero Alioscuro,Minero Alioscuro,Minero Alioscuro,Minero Andino,Minero Alioscuro
Geositta isabellina,Creamy-rumped Miner,crrmin1,615677647,FALSE,Minero Grande,Caminera Grande,Minero Grande,Minero Grande,Minero Grande,Minero Grande,Minero Grande,Minero Grande,Minero Grande
