Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,es,es_ar,es_cr,es_ec,es_es,es_mx,es_pa,es_pe,es_ve
Spatula smithii,Cape Shoveler,capsho1,621707842,FALSE,Cuchara de El Cabo,Cuchara de El Cabo,Cuchara de El Cabo,Cuchara de El Cabo,Cuchara de El Cabo,Cuchara de El Cabo,Cuchara de El Cabo,Cuchara de El Cabo,Cuchara de El Cabo
Spatula rhynchotis,Australian Shoveler,aussho1,168131841,TRUE,Cuchara Australiano,Cuchara Australiano,Cuchara Australiano,Cuchara Australiano,Cuchara Australiano,Cuchara Australiano,Cuchara Australiano,Cuchara Australiano,Cuchara Australiano
Spatula clypeata,Northern Shoveler,norsho,296948,TRUE,Cuchara común,Pato Cuchara Boreal,Pato Cuchara,Pato Cuchara Norteño,Cuchara Común,Pato Cucharón Norteño,Pato Cuchara Norteño,Pato Cuchara Norteño,Pato Cuchareta
Spatula cyanoptera,Cinnamon Teal,cintea,329230571,FALSE,Cerceta Colorada,Pato Colorado,Cerceta Castaña,Cerceta Canela,Cerceta Colorada,Cerceta Canela,Cerceta Colorada,Pato Colorado,Barraquete Colorado
Spatula discors,Blue-winged Teal,buwtea,159161811,TRUE,Cerceta Aliazul,Pato Media Luna,Cerceta Aliazul,Cerceta Aliazul,Cerceta Aliazul,Cerceta Alas Azules,Cerceta Aliazul,Pato de Ala Azul,Barraquete Aliazul
Sibirionetta formosa,Baikal Teal,baitea,63596511,FALSE,Cerceta del Baikal,Cerceta del Baikal,Cerceta del Baikal,Cerceta del Baikal,Cerceta del Baikal,Cerceta del Baikal,Cerceta del Baikal,Cerceta del Baikal,Cerceta del Baikal
Mareca falcata,Falcated Duck,falduc,601476851,FALSE,Cerceta de Alfanjes,Cerceta de Alfanjes,Cerceta de Alfanjes,Cerceta de Alfanjes,Cerceta de Alfanjes,Cerceta de Alfanjes,Cerceta de Alfanjes,Cerceta de Alfanjes,Cerceta de Alfanjes
Mareca strepera,Gadwall,gadwal,310887101,FALSE,Ánade friso,Ánade friso,Ánade friso,Ánade friso,Ánade Friso,Pato Friso,Ánade friso,Ánade friso,Ánade friso
Mareca penelope,Eurasian Wigeon,eurwig,416499351,TRUE,Silbón Europeo,Silbón Europeo,Silbón Europeo,Silbón Europeo,Silbón Europeo,Pato Silbón,Silbón Europeo,Silbón Europeo,Pato Silbón
Mareca americana,American Wigeon,amewig,147386421,TRUE,Silbón Americano,Silbón Americano,Pato Calvo,Ánade Americano,Silbón Americano,Pato Chalcuán,Pato Calvo,Silbón Americano,Pato Calvo
Mareca sibilatrix,Chiloe Wigeon,chiwig1,124452051,TRUE,Silbón Overo,Pato Overo,Silbón Overo,Silbón Overo,Silbón Overo,Silbón Overo,Silbón Overo,Pato Overo,Silbón Overo
Anas sparsa,African Black Duck,afbduc1,203938571,FALSE,Ánade negro,Ánade negro,Ánade negro,Ánade negro,Ánade Negro,Ánade negro,Ánade negro,Ánade negro,Ánade negro
Anas undulata,Yellow-billed Duck,yebduc1,621707832,FALSE,Ánade picolimón,Ánade picolimón,Ánade picolimón,Ánade picolimón,Ánade Picolimón,Ánade picolimón,Ánade picolimón,Ánade picolimón,Ánade picolimón
Anas melleri,Meller's Duck,melduc1,501097451,FALSE,Ánade malgache,Ánade malgache,Ánade malgache,Ánade malgache,Ánade Malgache,Ánade malgache,Ánade malgache,Ánade malgache,Ánade malgache
Anas superciliosa,Pacific Black Duck,pabduc1,239219561,TRUE,Ánade cejudo,Ánade cejudo,Ánade cejudo,Ánade cejudo,Ánade Cejudo,Ánade cejudo,Ánade cejudo,Ánade cejudo,Ánade cejudo
Anas luzonica,Philippine Duck,phiduc1,214319841,FALSE,Ánade filipino,Ánade filipino,Ánade filipino,Ánade filipino,Ánade Filipino,Ánade filipino,Ánade filipino,Ánade filipino,Ánade filipino
Anas zonorhyncha,Chinese Spot-billed Duck,spbduc,346897381,FALSE,Ánade picopinto chino,Ánade picopinto chino,Ánade picopinto chino,Ánade picopinto chino,Ánade Picopinto Chino,Ánade picopinto chino,Ánade picopinto chino,Ánade picopinto chino,Ánade picopinto chino
Anas poecilorhyncha,Indian Spot-billed Duck,isbduc1,204024871,FALSE,Ánade Picopinto Indio,Ánade Picopinto Indio,Ánade Picopinto Indio,Ánade Picopinto Indio,Ánade picopinto indio,Ánade Picopinto Indio,Ánade Picopinto Indio,Ánade Picopinto Indio,Ánade Picopinto Indio
Anas laysanensis,Laysan Duck,layduc,486345111,FALSE,Ánade de Laysán,Ánade de Laysán,Ánade de Laysán,Ánade de Laysán,Ánade de Laysán,Ánade de Laysán,Ánade de Laysán,Ánade de Laysán,Ánade de Laysán
Anas platyrhynchos,Mallard,mallar3,304089,TRUE,Ánade azulón,Pato Marrueco,Pato Cabeciverde,Pato de Collar,Ánade azulón,Pato de Collar,Pato Cabeciverde,Pato de Cabeza Verde,Ánade azulón
Anas rubripes,American Black Duck,ambduc,252598451,FALSE,Ánade sombrío,Ánade sombrío,Ánade sombrío,Ánade sombrío,Ánade Sombrío,Ánade sombrío,Ánade sombrío,Ánade sombrío,Ánade sombrío
Anas fulvigula,Mottled Duck,motduc,639039836,FALSE,Ánade Moteado,Ánade Moteado,Ánade Moteado,Ánade Moteado,Ánade moteado,Pato Tejano,Ánade Moteado,Ánade Moteado,Ánade Moteado
Anas wyviliana,Hawaiian Duck,hawduc,473452801,FALSE,,,,,,,,,
†Anas theodori,Mauritius Duck,mauduc1,,FALSE,,,,,,,,,
Anas albogularis,Andaman Teal,andtea1,635416168,FALSE,Cerceta de la Sonda,Cerceta de la Sonda,Cerceta de la Sonda,Cerceta de la Sonda,Cerceta de La Sonda,Cerceta de la Sonda,Cerceta de la Sonda,Cerceta de la Sonda,Cerceta de la Sonda
Anas gibberifrons,Sunda Teal,suntea1,554533351,FALSE,Cerceta de la Sonda,Cerceta de la Sonda,Cerceta de la Sonda,Cerceta de la Sonda,Cerceta de la Sonda,Cerceta de la Sonda,Cerceta de la Sonda,Cerceta de la Sonda,Cerceta de la Sonda
Anas gracilis,Grey Teal,gretea1,101312381,TRUE,Cerceta gris,Cerceta gris,Cerceta gris,Cerceta gris,Cerceta Gris,Cerceta gris,Cerceta gris,Cerceta gris,Cerceta gris
Anas castanea,Chestnut Teal,chetea1,204020781,FALSE,Cerceta Castaña,Cerceta Castaña,Cerceta Castaña,Cerceta Castaña,Cerceta Castaña,Cerceta Castaña,Cerceta Castaña,Cerceta Castaña,Cerceta Castaña
Anas chlorotis,Brown Teal,brotea1,203926471,FALSE,Cerceta maorí,Cerceta maorí,Cerceta maorí,Cerceta maorí,Cerceta Maorí,Cerceta maorí,Cerceta maorí,Cerceta maorí,Cerceta maorí
