Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,sr
Penelope obscura,Dusky-legged Guan,dulgua1,17658,FALSE,Tamnonogi guan
Penelope pileata,White-crested Guan,whcgua1,203895021,FALSE,Beloćubi guan
Penelope ochrogaster,Chestnut-bellied Guan,chbgua1,193678891,FALSE,Guan kestenjastog trbuha
Penelope jacucaca,White-browed Guan,whbgua1,248626081,FALSE,Beloobrvasti guan
Pipile pipile,Trinidad Piping-guan,trpgua1,619307334,FALSE,Trinidadski guan
Pipile cumanensis,Blue-throated Piping-guan,butpig1,321834561,FALSE,Plavogrli guan/belogrli guan
Pipile grayi,White-throated Piping-guan,butpig2,396896121,FALSE,Belogrli guan
Pipile cujubi,Red-throated Piping-guan,rtpgua1,81437,FALSE,Crvenogrli guan
Pipile jacutinga,Black-fronted Piping-guan,bfpgua1,184775031,FALSE,Crnočeli guan
Aburria aburri,Wattled Guan,watgua1,101066981,FALSE,Resasti guan
Oreophasis derbianus,Horned Guan,horgua1,177575,TRUE,Rogati guan
Ortalis vetula,Plain Chachalaca,placha,172754021,TRUE,Obična čačalaka
Ortalis cinereiceps,Grey-headed Chachalaca,grhcha1,456443461,FALSE,Sivoglava čačalaka
Ortalis garrula,Chestnut-winged Chachalaca,chwcha1,624280923,FALSE,Kestenjastokrila čačalaka
Ortalis ruficauda,Rufous-vented Chachalaca,ruvcha1,2320,FALSE,Čačalaka riđeg podrepka
Ortalis erythroptera,Rufous-headed Chachalaca,ruhcha1,514472621,FALSE,Riđoglava čačalaka
Ortalis wagleri,Rufous-bellied Chachalaca,rubcha1,49211281,FALSE,Riđotrba čačalaka
Ortalis poliocephala,West Mexican Chachalaca,wemcha1,153248731,FALSE,Zapadnomeksička čačalaka
Ortalis canicollis,Chaco Chachalaca,chacha1,572139481,FALSE,Čako čačalaka
Ortalis leucogastra,White-bellied Chachalaca,whbcha1,20375,FALSE,Belotrba čačalaka
Ortalis columbiana,Colombian Chachalaca,colcha1,212229,FALSE,Kolumbijska čačalaka
Ortalis guttata,Speckled Chachalaca,specha3,183366391,FALSE,Pirgava čačalaka
Ortalis araucan,East Brasilian Chachalaca,,,FALSE,
Ortalis squamata,Scaled Chachalaca,specha4,332027481,FALSE,Ljuskasta čačalaka
Ortalis motmot,Little Chachalaca,varcha1,78010,FALSE,Smeđokrila čačalaka
CASUARIIDAE,Cassowaries Emus,,,FALSE,
Casuarius casuarius,Southern Cassowary,soucas1,203989761,TRUE,Južni kazuar
Casuarius bennetti,Dwarf Cassowary,dwacas1,203987101,FALSE,Patuljasti kazuar
Casuarius unappendiculatus,Northern Cassowary,norcas1,536563291,FALSE,Severni kazuar
Dromaius novaehollandiae,Emu,emu1,623096519,TRUE,Emu
†Dromaius minor,King Island Emu,,,FALSE,
†Dromaius baudinianus,Kangoroo Island Emu,,,FALSE,
APTERYGIDAE,Kiwis,,,FALSE,
Apteryx haastii,Great Spotted Kiwi,grskiw1,617700522,TRUE,Veliki pegavi kivi
Apteryx owenii,Little Spotted Kiwi,liskiw1,596188651,FALSE,Mali pegavi kivi
Apteryx mantelli,Northern Brown Kiwi,nibkiw1,623165890,TRUE,Severni pegavi kivi
Apteryx australis,Southern Brown Kiwi,sobkiw1,85614831,FALSE,Južni smeđi kivi
Ortalis superciliaris,Buff-browed Chachalaca,bubcha1,349286621,FALSE,Svetloobrvasta čačalaka
Nothocrax urumutum,Nocturnal Curassow,noccur1,34378,FALSE,Noćni hoko
Crax rubra,Great Curassow,grecur1,398165901,TRUE,Veliki hoko
Crax alberti,Blue-billed Curassow,bubcur1,203963551,FALSE,Plavokljuni hoko
Crax daubentoni,Yellow-knobbed Curassow,yekcur1,386558971,FALSE,Žutogrbičasti hoko
Crax alector,Black Curassow,blacur1,322191801,FALSE,Crni hoko
Crax fasciolata,Bare-faced Curassow,bafcur1,203894921,FALSE,Gololiki hoko
Crax pinima,Belem Curassow,,,FALSE,Gololiki hoko (pinima)
Crax globulosa,Wattled Curassow,watcur1,219106901,FALSE,Resasti hoko
Crax blumenbachii,Red-billed Curassow,rebcur1,625223109,FALSE,Krunasti hoko
Mitu tomentosum,Crestless Curassow,crecur2,317505041,FALSE,Hoko bez ćube
Mitu mitu,Alagoas Curassow,alacur1,,FALSE,Alagoaški hoko
Mitu tuberosum,Razor-billed Curassow,rabcur2,559592971,FALSE,Oštrokljuni hoko
Mitu salvini,Salvin's Curassow,salcur1,629970995,FALSE,Salvinov hoko
Pauxi unicornis,Horned Curassow,horcur3,534805601,FALSE,Rogati hoko
Pauxi koepckeae,Sira Curassow,horcur2,32320171,FALSE,Hoko sa planine Sira u Peruu
Pauxi pauxi,Helmeted Curassow,helcur1,63667,FALSE,Šlemasti hoko
Arborophila crudigularis,Taiwan Partridge,taipar1,39795,FALSE,Tajvanska jarebica
Arborophila mandellii,Chestnut-breasted Partridge,chbpar2,239603,FALSE,Jarebica kestenjastih grudi
Arborophila brunneopectus,Bar-backed Partridge,babpar1,113529,FALSE,Jarebica prugastih leđa
Arborophila rufipectus,Sichuan Partridge,sicpar1,637394890,FALSE,Sečuanska jarebica
Arborophila gingica,Collared Partridge,whnpar2,48693791,FALSE,Jarebica sa belom ogrlicom
Arborophila davidi,Orange-necked Partridge,ornpar1,569348161,FALSE,Jarebica narandžastog vrata
Arborophila cambodiana,Chestnut-headed Partridge,chhpar1,630487371,FALSE,Jarebica kestenjaste glave
Arborophila campbelli,Malay Partridge,gybpar3,203886611,FALSE,Malajska jarebica
Arborophila rolli,Tan-breasted Partridge,gybpar5,175504,FALSE,Batačka jarebica
Arborophila sumatrana,Sumatran Partridge,gybpar6,491844231,FALSE,Sumatranska jarebica
Arborophila orientalis,White-faced Partridge,gybpar4,181897,FALSE,Sivogruda jarebica
Arborophila javanica,Chestnut-bellied Partridge,chbpar1,647027343,FALSE,Jarebica kestenjastog trbuha
Arborophila rubrirostris,Red-billed Partridge,rebpar3,642820203,FALSE,Crvenokljuna jarebica
Arborophila hyperythra,Bornean Partridge,rebpar5,203956931,FALSE,Crvenogruda jarebica
Arborophila ardens,Hainan Partridge,haipar1,609066009,FALSE,Hajnanska jarebica
Arborophila chloropus,Green-legged Partridge,,,FALSE,Jarebica ljuskavih grudi
Arborophila tonkinensis,Tonkin Partridge,,,FALSE,Jarebica ljuskavih grudi (tonkinensis)
Arborophila charltonii,Chestnut-necklaced Partridge,chnpar1,621122731,FALSE,
Arborophila graydoni,Sabah Partridge,chnpar3,642338035,FALSE,Istočna kestenjasta prepelica
Rhizothera longirostris,Long-billed Partridge,lobpar3,181633331,FALSE,Dugokljuna jarebica
Rhizothera dulitensis,Dulit Partridge,lobpar2,,FALSE,Jarebica sa planine Dulit na Borneu
Melanoperdix niger,Black Partridge,blapar2,629033581,FALSE,Crna jarebica
Haematortyx sanguiniceps,Crimson-headed Partridge,crhpar1,609672173,FALSE,Crvenoglava jarebica
Caloperdix oculea,Ferruginous Partridge,ferpar2,600452771,FALSE,Riđa prepelica
Galloperdix spadicea,Red Spurfowl,redspu1,349354171,FALSE,Crvena mala kokoš
Galloperdix lunulata,Painted Spurfowl,paispu1,207089521,FALSE,Belopegava mala kokoš
Galloperdix bicalcarata,Sri Lanka Spurfowl,ceyspu1,203990571,FALSE,Mala kokoš sa Šri Lanke
Afropavo congensis,Congo Peafowl,conpea1,519903871,FALSE,Afrički paun
Pavo cristatus,Indian Peafowl,compea,91301711,TRUE,Paun
Pavo muticus,Green Peafowl,grepea1,609104061,FALSE,Zeleni paun
Argusianus argus,Great Argus,grearg1,203944171,TRUE,Argus fazan
Rheinardia ocellata,Crested Argus,crearg1,609069136,FALSE,
R. o. nigrescens,Malaysian Argus,,,FALSE,
Polyplectron napoleonis,Palawan Peacock-pheasant,palpep1,212042841,FALSE,Palavanski paunaš
