Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,et
Crax alector,Black Curassow,blacur1,322191801,FALSE,guajaana hoko
Crax fasciolata,Bare-faced Curassow,bafcur1,203894921,FALSE,palehoko
Crax pinima,Belem Curassow,,,FALSE,palehoko (ssp. pinima)
Crax globulosa,Wattled Curassow,watcur1,219106901,FALSE,punasagar-hoko
Crax blumenbachii,Red-billed Curassow,rebcur1,625223109,FALSE,bahia hoko
Mitu tomentosum,Crestless Curassow,crecur2,317505041,FALSE,jõgihoko
Mitu mitu,Alagoas Curassow,alacur1,,FALSE,suurnokk-hoko
Mitu tuberosum,Razor-billed Curassow,rabcur2,559592971,FALSE,kühmnokk-hoko
Mitu salvini,Salvin's Curassow,salcur1,629970995,FALSE,loreto hoko
Pauxi unicornis,Horned Curassow,horcur3,534805601,FALSE,lõuna-kiiverhoko
Pauxi koepckeae,Sira Curassow,horcur2,32320171,FALSE,sira kiiverhoko
Pauxi pauxi,Helmeted Curassow,helcur1,63667,FALSE,kiiverhoko
Arborophila crudigularis,Taiwan Partridge,taipar1,39795,FALSE,taivani künkakana
Arborophila mandellii,Chestnut-breasted Partridge,chbpar2,239603,FALSE,punarind-künkakana
Arborophila brunneopectus,Bar-backed Partridge,babpar1,113529,FALSE,helmes-künkakana
Arborophila rufipectus,Sichuan Partridge,sicpar1,637394890,FALSE,sichuani künkakana
Arborophila gingica,Collared Partridge,whnpar2,48693791,FALSE,kaelus-künkakana
Arborophila davidi,Orange-necked Partridge,ornpar1,569348161,FALSE,valjas-künkakana
Arborophila cambodiana,Chestnut-headed Partridge,chhpar1,630487371,FALSE,kambodža künkakana
Arborophila campbelli,Malay Partridge,gybpar3,203886611,FALSE,malai künkakana
Arborophila rolli,Tan-breasted Partridge,gybpar5,175504,FALSE,bataki künkakana
Arborophila sumatrana,Sumatran Partridge,gybpar6,491844231,FALSE,
Arborophila orientalis,White-faced Partridge,gybpar4,181897,FALSE,mustkiird-künkakana
Arborophila javanica,Chestnut-bellied Partridge,chbpar1,647027343,FALSE,jaava künkakana
Arborophila rubrirostris,Red-billed Partridge,rebpar3,642820203,FALSE,punanokk-künkakana
Arborophila hyperythra,Bornean Partridge,rebpar5,203956931,FALSE,kalimantani künkakana
Arborophila ardens,Hainan Partridge,haipar1,609066009,FALSE,hainani künkakana
Arborophila chloropus,Green-legged Partridge,,,FALSE,rohejalg-künkakana
Arborophila tonkinensis,Tonkin Partridge,,,FALSE,rohejalg-künkakana (ssp. tonkinensis)
Arborophila charltonii,Chestnut-necklaced Partridge,chnpar1,621122731,FALSE,
Arborophila graydoni,Sabah Partridge,chnpar3,642338035,FALSE,
Rhizothera longirostris,Long-billed Partridge,lobpar3,181633331,FALSE,suurnokk-kana
Rhizothera dulitensis,Dulit Partridge,lobpar2,,FALSE,
Melanoperdix niger,Black Partridge,blapar2,629033581,FALSE,nõgikana
Haematortyx sanguiniceps,Crimson-headed Partridge,crhpar1,609672173,FALSE,süsikana
Caloperdix oculea,Ferruginous Partridge,ferpar2,600452771,FALSE,roostekana
Galloperdix spadicea,Red Spurfowl,redspu1,349354171,FALSE,ruuge-kannuskana
Galloperdix lunulata,Painted Spurfowl,paispu1,207089521,FALSE,ehis-kannuskana
Galloperdix bicalcarata,Sri Lanka Spurfowl,ceyspu1,203990571,FALSE,tseiloni kannuskana
Afropavo congensis,Congo Peafowl,conpea1,519903871,FALSE,kongo paabulind
Pavo cristatus,Indian Peafowl,compea,91301711,TRUE,sini-paabulind
Pavo muticus,Green Peafowl,grepea1,609104061,FALSE,rohe-paabulind
Argusianus argus,Great Argus,grearg1,203944171,TRUE,argusfaasan
Rheinardia ocellata,Crested Argus,crearg1,609069136,FALSE,
R. o. nigrescens,Malaysian Argus,,,FALSE,
Polyplectron napoleonis,Palawan Peacock-pheasant,palpep1,212042841,FALSE,palawani paabufaasan
Polyplectron malacense,Malay Peacock-pheasant,mapphe1,36637,FALSE,kübar-paabufaasan
