Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,uk
Lichmera flavicans,Yellow-eared Honeyeater,yeehon1,618204122,FALSE,Медовець тиморський
Lichmera notabilis,Black-necklaced Honeyeater,blchon1,,FALSE,Медовець ветарський
Entomyzon cyanotis,Blue-faced Honeyeater,blfhon1,62324511,FALSE,Медолюб синьощокий
Entomyzon albipennis,White-quilled Honeyeater,,,FALSE,Медолюб синьощокий (підвид albipennis)
Melithreptus chloropsis,Gilbert's Honeyeater,whnhon3,29941791,FALSE,медопійник оливковокрилий
Melithreptus lunatus,White-naped Honeyeater,whnhon2,200727781,FALSE,Медопійник червонобровий
Melithreptus affinis,Black-headed Honeyeater,blhhon1,250055261,FALSE,Медопійник чорноголовий
Melithreptus albogularis,White-throated Honeyeater,whthon1,233522,FALSE,Медопійник білогорлий
Melithreptus validirostris,Strong-billed Honeyeater,stbhon2,251189411,FALSE,Медопійник тасманійський
Melithreptus laetior,Golden-backed Honeyeater,,,FALSE,
Melithreptus gularis,Black-chinned Honeyeater,blchon2,125913,FALSE,Медопійник чорногорлий
Melithreptus brevirostris,Brown-headed Honeyeater,brhhon1,31671791,FALSE,Медопійник буроголовий
Nesoptilotis leucotis,White-eared Honeyeater,whehon1,635182264,FALSE,Медник чорноволий
Nesoptilotis flavicollis,Yellow-throated Honeyeater,yethon1,110812051,FALSE,Медник жовтогорлий
Meliarchus sclateri,Makira Honeyeater,sacmel1,203934431,FALSE,Медолюб сан-кристобальський
Guadalcanaria inexpectata,Guadalcanal Honeyeater,guahon1,,FALSE,Медолюб атоловий
Meliphacator provocator,Kadavu Honeyeater,kanhon1,203908631,FALSE,Медолюб кадавуйський
Gymnomyza viridis,Yellow-billed Honeyeater,chagih1,633941218,FALSE,Мао зелений
Gymnomyza brunneirostris,Giant Honeyeater,duegih1,203910881,FALSE,мао фіджійський
Gymnomyza samoensis,Mao,mao1,182407981,FALSE,Мао самоанський
Gymnomyza aubryana,Crow Honeyeater,crohon1,173402091,FALSE,Мао новокаледонський
Foulehaio procerior,Kikau,weswah1,203983791,FALSE,кікау
Foulehaio taviunensis,Fiji Wattled Honeyeater,norwah1,204010001,FALSE,фулегайо фіджійський
Foulehaio carunculatus,Polynesian Wattled Honeyeater,easwah1,139815,FALSE,Фулегайо полінезійський
Xanthotis polygrammus,Spotted Honeyeater,spohon3,,FALSE,Медолюб плямистий
Xanthotis macleayanus,Macleay's Honeyeater,machon2,203981601,FALSE,Медолюб квінслендський
Xanthotis flaviventer,Tawny-breasted Honeyeater,tabhon1,633894532,FALSE,Медолюб вохристий
Plectorhyncha lanceolata,Striped Honeyeater,strhon1,487967281,FALSE,Медолюб вікторійський
Grantiella picta,Painted Honeyeater,paihon1,37957191,FALSE,Медолюб золотокрилий
Melitograis gilolensis,White-streaked Friarbird,whsfri1,489527041,FALSE,Медівник гілолойський
Philemon meyeri,Meyer's Friarbird,meyfri1,203963061,FALSE,Медівник малий
Philemon brassi,Brass's Friarbird,brafri1,100467,FALSE,Медівник тонкодзьобий
Philemon citreogularis,Little Friarbird,litfri1,277938351,FALSE,Медівник австралійський
Philemon kisserensis,Grey Friarbird,gryfri1,,FALSE,Медівник сірощокий
Philemon inornatus,Timor Friarbird,timfri1,636457874,FALSE,Медівник тиморський
Philemon fuscicapillus,Dusky Friarbird,dusfri1,500436451,FALSE,Медівник моротайський
Philemon subcorniculatus,Seram Friarbird,serfri1,518183,FALSE,Медівник серамський
Philemon moluccensis,Black-faced Friarbird,bkffri1,218134081,FALSE,Медівник брунатний
Philemon plumigenis,Tanimbar Friarbird,bkffri2,203925941,FALSE,Медівник танімбарський
Philemon buceroides,Helmeted Friarbird,helfri1,203887501,FALSE,Медівник рогодзьобий
Philemon cockerelli,New Britain Friarbird,nebfri1,621830507,FALSE,Медівник новобританський
Macgregoria pulchra,Macgregor's Honeyeater,machon3,,FALSE,Медвянець новогвінейський
Melipotes gymnops,Arfak Honeyeater,arfhon1,42751531,FALSE,Медвянчик західний
Melipotes fumigatus,Smoky Honeyeater,smohon1,204010781,FALSE,Медвянчик бурий
Melipotes carolae,Foja Honeyeater,washon1,,FALSE,Медвянчик фойський
Melipotes ater,Spangled Honeyeater,spahon1,182770,FALSE,Медвянчик великий
Oreonis chrysogenys,Orange-cheeked Honeyeater,orchon1,203981591,FALSE,
Meliphaga aruensis,Puff-backed Honeyeater,pubhon1,247448,FALSE,Медолюб асуанський
Meliphaga notata,Yellow-spotted Honeyeater,yeshon1,202041,FALSE,Медолюб малий
Meliphaga lewinii,Lewin's Honeyeater,lewhon1,203910301,TRUE,Медолюб великий
Microptilotis albonotatus,Scrub Honeyeater,scrhon1,650865780,FALSE,Медолюб білоплямовий
Microptilotis orientalis,Hill-forest Honeyeater,,,FALSE,Медолюб тонкодзьобий
Microptilotis analogus,Mimic Honeyeater,mimhon1,65845,FALSE,
Microptilotis montanus,Forest Honeyeater,forhon1,100426,FALSE,Медолюб лісовий
Microptilotis mimikae,Mottle-breasted Honeyeater,,,FALSE,
Microptilotis cinereifrons,Elegant Honeyeater,grahon3,628921123,FALSE,Медолюб східний
Microptilotis gracilis,Graceful Honeyeater,grahon2,203968721,FALSE,Медолюб граційний/східний
Microptilotis vicina,Tagula Honeyeater,taghon1,,FALSE,Медолюб тагулайський
Microptilotis flavirictus,Yellow-gaped Honeyeater,yeghon1,203987941,FALSE,Медолюб жовтовусий
Microptilotis reticulatus,Streak-breasted Honeyeater,stbhon3,376424401,FALSE,Медолюб тиморський
Microptilotis fordianus,Kimberley Honeyeater,kimhon1,204019991,FALSE,Медолюб кімберлійський
Microptilotis albilineatus,White-lined Honeyeater,whlhon1,203977871,FALSE,Медолюб білобородий
Stomiopera unicolor,White-gaped Honeyeater,whghon1,203888391,FALSE,Медник північний
Stomiopera flava,Yellow Honeyeater,yelhon1,612221384,FALSE,Медник жовтий
Bolemoreus frenatus,Bridled Honeyeater,brihon1,31671771,FALSE,Медник чорновусий
Bolemoreus hindwoodi,Eungella Honeyeater,eunhon1,221031,FALSE,Медник окуляровий
Acanthagenys rufogularis,Spiny-cheeked Honeyeater,spchon1,226247,FALSE,Медолюб-дзвіночок
Anthochaera lunulata,Western Wattlebird,litwat1,175859471,FALSE,Медолюб-сережник західний
Anthochaera chrysoptera,Little Wattlebird,bruwat1,264137651,FALSE,Медолюб-сережник східний
Anthochaera phrygia,Regent Wattlebird,reghon1,229684,FALSE,Медолюб-регент
Anthochaera carunculata,Red Wattlebird,redwat1,226048,TRUE,Медолюб-сережник середній
Anthochaera paradoxa,Yellow Wattlebird,yelwat1,112320901,FALSE,Медолюб-сережник великий
Gavicalis versicolor,Varied Honeyeater,varhon1,572439941,FALSE,Медник різнобарвний
Gavicalis virescens,Singing Honeyeater,sinhon1,351064471,FALSE,Медник жовтокрилий
Gavicalis fasciogularis,Mangrove Honeyeater,manhon1,153683561,FALSE,Медник мангровий
Ptilotula penicillata,White-plumed Honeyeater,whphon1,226147,FALSE,Медник блідий
Ptilotula ornata,Yellow-plumed Honeyeater,yephon1,183968231,FALSE,Медник смугастоволий
Ptilotula flavescens,Yellow-tinted Honeyeater,yethon2,484289611,FALSE,Медник тропічний
Ptilotula fusca,Fuscous Honeyeater,fushon1,31672041,FALSE,Медник східний
Ptilotula keartlandi,Grey-headed Honeyeater,gyhhon1,614317947,FALSE,Медник сіроголовий
Ptilotula plumula,Grey-fronted Honeyeater,gyfhon1,61964121,FALSE,Медник малійський
Purnella albifrons,White-fronted Honeyeater,whfhon1,645678793,FALSE,Медовка білолоба
Caligavis chrysops,Yellow-faced Honeyeater,yefhon1,372900081,FALSE,Медник жовтощокий
Caligavis obscura,Obscure Honeyeater,obshon1,100503,FALSE,Медник темний
Caligavis subfrenata,Black-throated Honeyeater,blthon1,204010811,FALSE,Медник чорногорлий
Lichenostomus cratitius,Purple-gaped Honeyeater,pughon1,305060901,FALSE,Медник масковий
Lichenostomus melanops,Yellow-tufted Honeyeater,yethon3,31673261,FALSE,Медник жовточубий
Manorina melanophrys,Bell Miner,belmin1,110226311,FALSE,Манорина зелена
Manorina melanocephala,Noisy Miner,noimin1,229657,TRUE,Манорина маскова
Manorina melanotis,Black-eared Miner,blemin1,27029521,FALSE,Манорина чорнощока
Manorina flavigula,Yellow-throated Miner,yetmin1,177324061,FALSE,Манорина акацієва
Melidectes fuscus,Sooty Honeyeater,soomel1,203999561,FALSE,Медвянець чорний
Melidectes nouhuysi,Short-bearded Honeyeater,shbmel1,203917381,FALSE,Медвянець короткобородий
Melidectes princeps,Long-bearded Honeyeater,lobmel1,,FALSE,Медвянець довгобородий
