Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,fi
Apteryx mantelli,Northern Brown Kiwi,nibkiw1,623165890,TRUE,pohjoissaarenruskokiivi
Apteryx australis,Southern Brown Kiwi,sobkiw1,85614831,FALSE,eteläsaarenruskokiivi
Ortalis superciliaris,Buff-browed Chachalaca,bubcha1,349286621,FALSE,vaaleakulmakaklattaja
Nothocrax urumutum,Nocturnal Curassow,noccur1,34378,FALSE,yöhokko
Crax rubra,Great Curassow,grecur1,398165901,TRUE,aarnihokko
Crax alberti,Blue-billed Curassow,bubcur1,203963551,FALSE,sininokkahokko
Crax daubentoni,Yellow-knobbed Curassow,yekcur1,386558971,FALSE,keltaliuskahokko
Crax alector,Black Curassow,blacur1,322191801,FALSE,isohokko
Crax fasciolata,Bare-faced Curassow,bafcur1,203894921,FALSE,kaljunaamahokko
Crax pinima,Belem Curassow,,,FALSE,kaljunaamahokko (pinima)
Crax globulosa,Wattled Curassow,watcur1,219106901,FALSE,punahelttahokko
Crax blumenbachii,Red-billed Curassow,rebcur1,625223109,FALSE,punanokkahokko
Mitu tomentosum,Crestless Curassow,crecur2,317505041,FALSE,samettihokko
Mitu mitu,Alagoas Curassow,alacur1,,FALSE,alagoasinhokko
Mitu tuberosum,Razor-billed Curassow,rabcur2,559592971,FALSE,kyhmyhokko
Mitu salvini,Salvin's Curassow,salcur1,629970995,FALSE,viidakkohokko
Pauxi unicornis,Horned Curassow,horcur3,534805601,FALSE,perunkypärähokko
Pauxi koepckeae,Sira Curassow,horcur2,32320171,FALSE,sirankypärähokko
Pauxi pauxi,Helmeted Curassow,helcur1,63667,FALSE,venezuelankypärähokko
Arborophila crudigularis,Taiwan Partridge,taipar1,39795,FALSE,taiwaninpyy
Arborophila mandellii,Chestnut-breasted Partridge,chbpar2,239603,FALSE,punarintapyy
Arborophila brunneopectus,Bar-backed Partridge,babpar1,113529,FALSE,ruskorintapyy
Arborophila rufipectus,Sichuan Partridge,sicpar1,637394890,FALSE,sichuaninpyy
Arborophila gingica,Collared Partridge,whnpar2,48693791,FALSE,kauluspyy
Arborophila davidi,Orange-necked Partridge,ornpar1,569348161,FALSE,oranssiniskapyy
Arborophila cambodiana,Chestnut-headed Partridge,chhpar1,630487371,FALSE,ruskopääpyy
Arborophila campbelli,Malay Partridge,gybpar3,203886611,FALSE,malesianviidakkopyy
Arborophila rolli,Tan-breasted Partridge,gybpar5,175504,FALSE,kirjoviidakkopyy
Arborophila sumatrana,Sumatran Partridge,gybpar6,491844231,FALSE,sumatranviidakkopyy
Arborophila orientalis,White-faced Partridge,gybpar4,181897,FALSE,vuoriviidakkopyy
Arborophila javanica,Chestnut-bellied Partridge,chbpar1,647027343,FALSE,jaavanpyy
Arborophila rubrirostris,Red-billed Partridge,rebpar3,642820203,FALSE,sumatranpyy
Arborophila hyperythra,Bornean Partridge,rebpar5,203956931,FALSE,borneonpyy
Arborophila ardens,Hainan Partridge,haipar1,609066009,FALSE,hainaninpyy
Arborophila chloropus,Green-legged Partridge,,,FALSE,viherjalkapyy
Arborophila tonkinensis,Tonkin Partridge,,,FALSE,suomupuupyy (tonkinensis)
Arborophila charltonii,Chestnut-necklaced Partridge,chnpar1,621122731,FALSE,
Arborophila graydoni,Sabah Partridge,chnpar3,642338035,FALSE,
Rhizothera longirostris,Long-billed Partridge,lobpar3,181633331,FALSE,pitkänokkapyy
