Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,cs
Mionectes oleagineus,Ochre-bellied Flycatcher,ocbfly1,385191351,FALSE,tyrančík okrovobřichý
Mionectes macconnelli,McConnell's Flycatcher,mccfly1,388736881,FALSE,
Mionectes roraimae,Sierra de Lema Flycatcher,mccfly3,369489311,FALSE,
Mionectes rufiventris,Grey-hooded Flycatcher,gyhfly1,66613701,FALSE,tyrančík popelavohlavý
Leptopogon amaurocephalus,Sepia-capped Flycatcher,secfly1,300464741,FALSE,tyrančík hnědočapkový
Leptopogon superciliaris,Slaty-capped Flycatcher,slcfly1,300259641,FALSE,tyrančík břidlicovotemenný
Leptopogon albidiventer,White-bellied Flycatcher,,,FALSE,
Leptopogon rufipectus,Rufous-breasted Flycatcher,rubfly2,203932131,FALSE,tyrančík rezavoprsý
TITYRIDAE,Tityras and allies,,,FALSE,
Oxyruncus cristatus,Sharpbill,sharpb1,470170711,FALSE,ostrozobka ohnivotemenná
Onychorynchus mexicanus,Northen Royal Flycatcher,,,FALSE,
Onychorynchus occidentalis,Pacific Royal Flycatcher,,,FALSE,
Onychorynchus coronatus,Amazonian Royal Flycatcher,,,FALSE,
Onychorynchus swainsoni,Atlantic Royal Flycatcher,royfly5,203979411,FALSE,
Terenotriccus erythrurus,Ruddy-tailed Flycatcher,rutfly2,603865781,FALSE,tyranovec rezavošedý
Myiobius villosus,Tawny-breasted Flycatcher,tabfly1,68678521,FALSE,tyranovec ryšavoprsý
Myiobius sulphureipygius,Sulphur-rumped Flycatcher,surfly1,626765900,FALSE,tyranovec sírovokostřecový
Myiobius barbatus,Whiskered Flycatcher,whifly1,115758,FALSE,tyranovec žlutokostřecový
Myiobius atricaudus,Black-tailed Flycatcher,bltfly1,203979471,FALSE,tyranovec černoocasý
Iodopleura isabellae,White-browed Purpletuft,whbpur1,50324481,FALSE,kotinga hnědobílá
Iodopleura fusca,Dusky Purpletuft,duspur1,142026221,FALSE,kotinga tmavá
Iodopleura pipra,Buff-throated Purpletuft,butpur1,251855771,FALSE,kotinga plavohrdlá
Tityra inquisitor,Black-crowned Tityra,blctit1,41271501,FALSE,tityra černohlavá
Tityra cayana,Western Black-tailed Tityra,blttit1,383311751,FALSE,tityra černoocasá
Tityra braziliensis,Eastern Black-tailed Tityra,,,FALSE,
Tityra semifasciata,Masked Tityra,mastit1,198132201,FALSE,tityra škrabošková
Tityra leucura,White-tailed Tityra,whttit2,,FALSE,tityra černohlavá
Xenopsaris albinucha,White-naped Becards,whnxen1,69853,FALSE,tityra bělobřichá
Pachyramphus versicolor,Barred Becard,barbec1,608680795,FALSE,tityra vlnkovaná
Pachyramphus xanthogenys,Yellow-cheeked Becard,,,FALSE,
Pachyramphus griseigularis,Green-cheeked Becard,,,FALSE,
Pachyramphus viridis,Green-backed Becard,grbbec1,488984711,FALSE,tityra zelenohřbetá
Pachyramphus spodiurus,Slaty Becard,slabec1,475140631,FALSE,tityra břidlicová
Pachyramphus rufus,Cinereous Becard,cinbec2,385182311,FALSE,tityra popelavá
Pachyramphus minor,Pink-throated Becard,pitbec1,77946,FALSE,tityra růžovoprsá
Pachyramphus aglaiae,Rose-throated Becard,rotbec,166113201,FALSE,tityra růžovohrdlá
Pachyramphus niger,Jamaican Becard,jambec1,358951561,FALSE,tityra černá
Pachyramphus homochrous,One-colored Becard,oncbec1,251725561,FALSE,tityra jednobarvá
Leptopogon taczanowskii,Inca Flycatcher,incfly1,553947651,FALSE,tyrančík incký
Taeniotriccus andrei,Black-chested Tyrant,blctyr2,323159621,FALSE,tyránek černoprsý
Cnipodectes subbrunneus,Brownish Twistwing,brofly1,112799,FALSE,tyranovec hnědavý
Cnipodectes superrufus,Rufous Twistwing,ruftwi1,31739191,FALSE,
Rhynchocyclus brevirostris,Eye-ringed Flatbill,eyrfla1,20350,FALSE,
Rhynchocyclus aequinoctialis,Western Olivaceous Flatbill,olifla2,25940,FALSE,
Rhynchocyclus olivaceus,Eastern Olivaceous Flatbill,olifla3,117030,FALSE,
Rhynchocyclus pacificus,Pacific Flatbill,pacfla1,627917244,FALSE,ploskozobec pacifický
Rhynchocyclus fulvipectus,Fulvous-breasted Flatbill,fubfla1,600644471,FALSE,ploskozobec rezavoprsý
Tolmomyias sulphurescens,Yellow-olive Flatbill,yeofly1,199538,FALSE,
Tolmomyias traylori,Orange-eyed Flatbill,orefly1,34313,FALSE,ploskozobec oranžovooký
Tolmomyias assimilis,Yellow-margined Flatbill,yemfly1,388637621,FALSE,
Tolmomyias flavotectus,Yellow-winged Flatbill,yemfly2,381734391,FALSE,ploskozobec proužkoramenný
Tolmomyias poliocephalus,Grey-crowned Flatbill,gycfly1,389466461,FALSE,ploskozobec šedočapkový
Tolmomyias viridiceps,Olive-faced Flatbill,yebfly4,622735132,FALSE,ploskozobec olivovohlavý
Tolmomyias flaviventris,Ochre-lored Flatbill,yebfly3,360610661,FALSE,
Myiornis auricularis,Eared Pygmy-tyrant,eaptyr1,282255931,FALSE,
Myiornis albiventris,White-bellied Pygmy-tyrant,wbptyr1,608677494,FALSE,tyránek bělobřichý
Myiornis atricapillus,Black-capped Pygmy-tyrant,bcptyr1,192574,FALSE,tyránek černočapkový
Myiornis ecaudatus,Short-tailed Pygmy-tyrant,stptyr1,369495141,FALSE,
Oncostoma cinereigulare,Northern Bentbill,norben1,356416921,FALSE,tyránek křivozobý
Oncostoma olivaceum,Southern Bentbill,souben1,198732361,FALSE,tyránek obloukozobý
Lophotriccus pileatus,Scale-crested Pygmy-tyrant,scptyr1,123832931,FALSE,tyránek rezavochocholatý
Lophotriccus vitiosus,Double-banded Pygmy-tyrant,dbptyr1,203919111,FALSE,tyránek dvoupruhý
Lophotriccus eulophotes,Long-crested Pygmy-tyrant,lcptyr1,38945,FALSE,tyránek šedochocholatý
Lophotriccus galeatus,Helmeted Pygmy-tyrant,heptyr1,88486,FALSE,tyránek chocholatý
Atalotriccus pilaris,Pale-eyed Pygmy-tyrant,peptyr1,66608,FALSE,tyránek světleoký
Hemitriccus minor,Snethlage's Tody-tyrant,snttyr1,647648496,FALSE,
Hemitriccus cohnhafti,Acre Tody-tyrant,acrtot1,500542021,FALSE,
Hemitriccus spodiops,Yungas Tody-tyrant,yuttyr1,17121,FALSE,tyránek bolivijský
Hemitriccus flammulatus,Flamulated Bamboo-tyrant,flapyt1,121793,FALSE,tyránek bambusový
Hemitriccus diops,Drab-breasted Bamboo-tyrant,drbpyt1,223833851,FALSE,tyránek šedoprsý
Hemitriccus obsoletus,Brown-breasted Bamboo-tyrant,bnbpyt1,102724,FALSE,tyránek hnědoprsý
Hemitriccus josephinae,Boat-billed Tody-tyrant,bbttyr1,321841901,FALSE,tyránek šedolící
Hemitriccus zosterops,White-eyed Tody-tyrant,wettyr1,113033,FALSE,
Hemitriccus griseipectus,White-bellied Tody-tyrant,whbtot1,88409,FALSE,
Hemitriccus orbitatus,Eye-ringed Tody-tyrant,erttyr1,56040061,FALSE,tyránek kruhooký
Hemitriccus iohannis,Joao's Tody-tyrant,jottyr1,35558,FALSE,tyránek západoamazonský
Hemitriccus striaticollis,Stripe-necked Tody-tyrant,snttyr2,117139,FALSE,
Hemitriccus nidipendulus,Hangnest Tody-tyrant,hattyr1,293427,FALSE,tyránek brazilský
Hemitriccus margaritaceiventer,Pearly-vented Tody-tyrant,pvttyr1,212397,FALSE,
Hemitriccus inornatus,Pelzeln's Tody-tyrant,pettyr1,203984201,FALSE,tyránek vzácný
Hemitriccus minimus,Zimmer's Tody-tyrant,zittyr1,375483261,FALSE,
Hemitriccus granadensis,Black-throated Tody-tyrant,btttyr1,68131481,FALSE,tyránek černohrdlý
Hemitriccus cinnamomeipectus,Cinnamon-breasted Tody-tyrant,cbttyr1,74342211,FALSE,tyránek skořicovoprsý
Hemitriccus mirandae,Buff-breasted Tody-tyrant,bbttyr2,509606791,FALSE,tyránek plavoprsý
Hemitriccus kaempferi,Kaempfer's Tody-tyrant,kattyr1,203984211,FALSE,tyránek Kaempferův
Hemitriccus rufigullaris,Buff-throated Tody-tyrant,btttyr2,87895,FALSE,
Hemitriccus furcatus,Fork-tailed Tody-tyrant,fotpyt1,471474421,FALSE,tyránek vidloocasý
Poecilotriccus ruficeps,Rufous-crowned Tody- flycatcher,rcttyr1,203699291,FALSE,
Poecilotriccus luluae,Lulu's Tody- flycatcher,johtot1,74343731,FALSE,tyránek colanský
Poecilotriccus albifacies,White-cheeked Tody- flycatcher,wcttyr1,135109,FALSE,tyránek bělolící
Poecilotriccus capitalis,Black-and-white Tody- flycatcher,bawtyr1,34355,FALSE,tyránek černobílý
Poecilotriccus senex,Buff-cheeked Tody- flycatcher,buctof1,127701,FALSE,tyránek madeirský
Poecilotriccus russatus,Ruddy Tody-flycatcher,rudtof1,388465941,FALSE,tyránek rezavolící
Poecilotriccus plumbeiceps,Ochre-faced Tody-flycatcher,ocftof1,132567,FALSE,tyránek okrovolící
Poecilotriccus fumifrons,Smoky-fronted Tody-flycatcher,smftof1,203955431,FALSE,tyránek šedočelý
Poecilotriccus latirostris,Rusty-fronted Tody-flycatcher,ruftof1,531976721,FALSE,tyránek ryšavolící
Poecilotriccus sylvia,Slate-headed Tody-flycatcher,shtfly1,226849561,FALSE,tyránek břidlicovohlavý
Poecilotriccus calopterus,Golden-winged Tody-flycatcher,gowtof1,408117551,FALSE,
Poecilotriccus pulchellus,Black-backed Tody-flycatcher,bkbtof1,533235091,FALSE,tyránek peruánský
Todirostrum maculatum,Spotted Tody-flycatcher,sptfly1,45595,FALSE,tyránek čárkoprsý
Todirostrum poliocephalum,Yellow-lored Tody-flycatcher,gyhtof1,203984241,FALSE,tyránek žlutouzdičkový
Todirostrum cinereum,Common Tody-flycatcher,cotfly1,211086171,FALSE,
Todirostrum viridanum,Maracaibo Tody-flycatcher,matfly1,405715871,FALSE,tyránek venezuelský
Todirostrum nigriceps,Black-headed Tody-flycatcher,bhtfly1,621089412,FALSE,tyránek černohlavý
Todirostrum pictum,Painted Tody-flycatcher,patfly1,203953811,FALSE,tyránek guyanský
Todirostrum chrysocrotaphum,Yellow-browed Tody-flycatcher,ybtfly1,610061191,FALSE,tyránek žlutobrvý
Myiotriccus phoenicurus,Eastern Ornate Flycatcher,,,FALSE,
Myiotriccus ornatus,Western Ornate Flycatcher,ornfly1,635485074,FALSE,tyranovec zdobený
Nephelomyias pulcher,Handsome Flycatcher,hanfly1,225151831,FALSE,tyranovec úhledný
Nephelomyias lintoni,Orange-banded Flycatcher,orbfly1,652079369,FALSE,tyranovec oranžovopruhý
Nephelomyias ochraceiventris,Ochraceous-breasted Flycatcher,ocbfly2,74348611,FALSE,tyranovec okrovolímcový
Pyrrhomyias cinnamomeus,Cinnamon Flycatcher,cinfly2,203932121,FALSE,tyranovec skořicový
Hirundinea bellicosa,Swallow Flycatcher,,,FALSE,
Hirundinea ferruginea,Cliff Flycatcher,clifly1,361135701,FALSE,tyranovec útesový
Zimmerius cinereicapilla,Red-billed Tyrannulet,rebtyr2,74341231,FALSE,tyrančík rudozobý
Zimmerius villarejoi,Michana Tyrannulet,mistyr1,629678641,FALSE,tyrančík mishanský
Zimmerius chicomendesi,Chico's Tyrannulet,chityr1,468724301,FALSE,
Zimmerius vilissimus,Paltry Tyrannulet,paltyr2,649182225,FALSE,
Zimmerius parvus,Mistletoe Tyrannulet,paltyr3,205764,FALSE,
Zimmerius petersi,Venezuelan Tyrannulet,paltyr5,66650,FALSE,
Zimmerius improbus,Mountain Tyrannulet,paltyr4,617731985,FALSE,
Zimmerius chrysops,Golden-faced Tyrannulet,goftyr1,550525611,FALSE,
Zimmerius albigularis,Choco Tyrannulet,chotyr1,308015001,FALSE,
Zimmerius viridiflavus,Peruvian Tyrannulet,pertyr1,49433,FALSE,
Zimmerius gracilipes,Slender-footed Tyrannulet,slftyr1,386020371,FALSE,
Zimmerius acer,Guianan Tyrannulet,guityr1,77949,FALSE,
Zimmerius bolivianus,Bolivian Tyrannulet,boltyr1,17119,FALSE,tyrančík bolivijský
Stigmatura napensis,Lesser Wagtail-tyrant,lewtyr1,61613421,FALSE,
Stigmatura bahiae,Bahia Wagtail-tyrant,leswat2,509612191,FALSE,
Stigmatura budytoides,Greater Wagtail-tyrant,grwtyr1,169780771,FALSE,tyrančík dlouhoocasý
Inezia tenuirostris,Slender-billed Tyrannulet,slbtyr1,46894011,FALSE,tyrančík tenkozobý
Inezia inornata,Plain Tyrannulet,platyr1,46426,FALSE,tyrančík prostý
Inezia subflava,Amazonian Tyrannulet,amatyr1,31748551,FALSE,
Inezia caudata,Pale-tipped Tyrannulet,pattyr3,66636,FALSE,tyrančík apurský
Euscarthmus meloryphus,Tawny-crowned Pygmy-tyrant,tacpyt1,66612,FALSE,
Euscarthmus fulviceps,Tawny-fronted Pygmy-tyrant,tacpyt2,11034,FALSE,
Euscarthmus rufomarginatus,Rufous-sided Pygmy-tyrant,rsptyr1,103440,FALSE,tyrančík rezavoboký
Ornithion semiflavum,Yellow-bellied Tyrannulet,yebtyr1,630759185,FALSE,tyrančík středoamerický
Ornithion brunneicapillus,Brown-capped Tyrannulet,brctyr,66663,FALSE,tyrančík hnědotemenný
Ornithion inerme,White-lored Tyrannulet,whltyr1,385049881,FALSE,tyrančík krůpějový
Camptostoma imberbe,Northern Beardless Tyrannulet,nobtyr,174983441,FALSE,tyrančík křiklavý
Camptostoma obsoletum,Southern Beardless Tyrannulet,sobtyr1,69870,FALSE,tyrančík hvízdavý
Elaenia ruficeps,Rufous-crowned Elaenia,rucela1,388990831,FALSE,elenie rezavotýlá
Elaenia cristata,Plain-crested Elaenia,plcela1,247050721,FALSE,elenie bezkorunkatá
Elaenia gigas,Mottle-backed Elaenia,mobela1,635143712,FALSE,elenie šupinkohřbetá
Elaenia dayi,Great Elaenia,greela1,251794921,FALSE,elenie velká
Elaenia sordida,Brazilian Elaenia,higela3,294493601,FALSE,
Elaenia obscura,Highland Elaenia,higela2,611498896,FALSE,
Elaenia strepera,Slaty Elaenia,slaela1,132577,FALSE,elenie břidlicová
Elaenia flavogaster,Yellow-bellied Elaenia,yebela1,7433,FALSE,elenie chocholatá
Elaenia parvirostris,Small-billed Elaenia,smbela1,19552,FALSE,elenie krátkozobá
Elaenia pelzelni,Brownish Elaenia,broela1,203984121,FALSE,elenie hnědavá
Elaenia spectabilis,Large Elaenia,larela1,510904281,FALSE,
Elaenia ridleyana,Noronha Elaenia,norela1,203984101,FALSE,elenie noronhská
Elaenia brachyptera,Coopman's Elaenia,cooela1,621765417,FALSE,
Elaenia chiriquensis,Lesser Elaenia,lesela1,278670081,FALSE,
Elaenia mesoleuca,Olivaceous Elaenia,oliela1,389534381,FALSE,elenie brazilská
Elaenia pallatangae,Sierran Elaenia,sieela3,523407511,FALSE,
Elaenia olivina,Tepui Elaenia,sieela2,300107121,FALSE,
Elaenia albiceps,White-crested Elaenia,whcela1,325599701,FALSE,elenie bělokorunkatá
Elaenia frantzii,Mountain Elaenia,mouela1,46236231,FALSE,elenie horská
Elaenia martinica,Caribbean Elaenia,carela1,188040,FALSE,elenie karibská
Elaenia cherrieri,Hispaniolan Elaenia,graela4,163155001,FALSE,
Elaenia fallax,Greater Antillean Elaenia,graela3,164928,FALSE,
Tyrannulus elatus,Yellow-crowned Tyrannulet,yectyr1,414481161,FALSE,tyrančík žlutokorunkatý
Myiopagis caniceps,Atlantic Grey Elaenia,gryela3,244641631,FALSE,
Myiopagis cinerea,Amazonian Grey Elaenia,gryela2,112809,FALSE,
Myiopagis parambae,Choco Grey Elaenia,gryela1,424729841,FALSE,
Myiopagis olallai,Foothill Elaenia,fooela1,69328991,FALSE,elenie šedohlavá
Myiopagis gaimardii,Forest Elaenia,forela1,626223291,FALSE,elenie pralesní
Myiopagis subplacens,Pacific Elaenia,pacela1,257867301,FALSE,elenie pacifická
Myiopagis flavivertex,Yellow-crowned Elaenia,yecela1,203932101,FALSE,elenie žlutokorunkatá
Myiopagis viridicata,Greenish Elaenia,greela,157755461,FALSE,elenie zelená
Myiopagis cotta,Small Jaimaican Elaenia,jamela1,559897721,FALSE,elenie jamajská
Suiriri suiriri,Suiriri Flycatcher,suifly1,217069,FALSE,tyrančík suiriri
Suiriri affinis,Chapada Flycatcher,chafly3,191473941,FALSE,
Capsiempis flaveola,Yellow Tyrannulet,yeltyr1,249967911,FALSE,tyrančík žlutoolivový
Phyllomyias fasciatus,Planalto Tyrannulet,platyr2,211886501,FALSE,
Phyllomyias weedeni,Yungas Tyrannulet,yuntyr1,132741,FALSE,
Phyllomyias burmeisteri,Rough-legged Tyrannulet,roltyr3,172661571,FALSE,
Phyllomyias zeledoni,White-fronted Tyrannulet,roltyr1,171271751,FALSE,tyrančík běločelý
Phyllomyias virescens,Greenish Tyrannulet,gretyr1,34016,FALSE,
Phyllomyias reiseri,Reiser's Tyrannulet,reityr1,234699751,FALSE,
Phyllomyias urichi,Urich's Tyrannulet,urityr1,344723971,FALSE,tyrančík Urichův
Phyllomyias sclateri,Sclater's Tyrannulet,scltyr1,218225,FALSE,tyrančík Sclaterův
Phyllomyias griseocapilla,Grey-capped Tyrannulet,gyctyr1,288480601,FALSE,tyrančík šedohlavý
Phyllomyias griseiceps,Sooty-headed Tyrannulet,sohtyr1,203700721,FALSE,tyrančík tmavočapkový
Phyllomyias plumbeiceps,Plumbeous-crowned Tyrannulet,plctyr1,69418551,FALSE,tyrančík šedočapkový
Phyllomyias nigrocapillus,Black-capped Tyrannulet,blctyr1,272846281,FALSE,tyrančík černotemenný
Phyllomyias cinereiceps,Ashy-headed Tyrannulet,ashtyr1,203931981,FALSE,tyrančík šedotemenný
Phyllomyias uropygialis,Tawny-rumped Tyrannulet,tartyr1,305835051,FALSE,tyrančík rezavokostřecový
Phaeomyias tumbezana,Tumbes Tyrannulet,,,FALSE,
Phaeomyias murina,Mouse-coloured Tyrannulet,,,FALSE,
Nesotriccus ridgwayi,Cocos Flycatcher,cocfly1,50672,FALSE,tyrančík ostrovní
Pseudelaenia leucospodia,Grey-and-white Tyrannulet,gawtyr2,297224,FALSE,tyrančík šedobílý
Mecocerculus poecilocercus,White-tailed Tyrannulet,whttyr1,203933911,FALSE,tyrančík běloocasý
Mecocerculus hellmayri,Buff-banded Tyrannulet,bubtyr1,212292,FALSE,tyrančík Hellmayrův
Mecocerculus stictopterus,White-banded Tyrannulet,whbtyr1,591553671,FALSE,tyrančík bělopruhý
Mecocerculus leucophrys,White-throated Tyrannulet,whttyr2,410151331,FALSE,tyrančík bělohrdlý
Mecocerculus calopterus,Rufous-winged Tyrannulet,ruwtyr1,65512941,FALSE,tyrančík rezavokřídlý
Mecocerculus minor,Sulphur-bellied Tyrannulet,subtyr1,203958121,FALSE,tyrančík žlutobřichý
Anairetes nigrocristatus,Black-crested Tit-tyrant,bkctit1,218525791,FALSE,tyrančík černochocholatý
Anairetes reguloides,Pied-crested Tit-tyrant,pcttyr1,65513151,FALSE,
Anairetes alpinus,Ash-breasted Tit-tyrant,abttyr1,172809791,FALSE,tyrančík velehorský
Anairetes flavirostris,Yellow-billed Tit-tyrant,ybttyr1,439745651,FALSE,tyrančík žlutozobý
Anairetes parulus,Tufted Tit-tyrant,tuttyr1,470502571,FALSE,tyrančík kadeřavý
Anairetes fernandezianus,Juan Fernandez Tit-tyrant,jfttyr1,82211811,FALSE,tyrančík fernandezský
Polystictus pectoralis,Bearded Tachuri,beatac1,278582321,FALSE,tyrančík vousatý
Polystictus superciliaris,Grey-backed Tachuri,gybtac1,305810571,FALSE,tyrančík oranžovoprsý
Culicivora caudacuta,Sharp-tailed Tyrant,shttyr1,494758911,FALSE,tyrančík ostroocasý
Pseudocolopteryx sclateri,Crested Doradito,credor1,224892,FALSE,tyrančík střapatý
Pseudocolopteryx acutipennis,Subtropical Doradito,subdor1,203701501,FALSE,tyrančík subtropický
Pseudocolopteryx dinelliana,Dinelli's Doradito,dindor2,224885,FALSE,tyrančík bažinný
Pseudocolopteryx flaviventris,Warbling Doradito,wardor1,224887,FALSE,
Pseudocolopteryx citreola,Ticking Doradito,ticdor1,430130321,FALSE,
Serpophaga cinerea,Torrent Tyrannulet,tortyr1,250234981,FALSE,tyrančík bystřinný
Serpophaga hypoleuca,River Tyrannulet,rivtyr1,370002361,FALSE,tyrančík říční
Serpophaga nigricans,Sooty Tyrannulet,sootyr1,371665951,FALSE,tyrančík temný
Serpophaga subcristata,White-crested Tyrannulet,y01036,93852121,FALSE,tyrančík bělokorunkatý
Serpophaga griseicapilla,Straneck's Tyrannulet,gyctyr2,700380,FALSE,
Uromyias agilis,Agile Tit-tyrant,agitit1,66616,FALSE,tyrančík hbitý
Uromyias agraphia,Unstreaked Tit-tyrant,unstit1,203890351,FALSE,tyrančík sýkoří
Muscigralla brevicauda,Short-tailed Field-tyrant,stftyr1,54457661,FALSE,tyranovec krátkoocasý
Attila phoenicurus,Rufous-tailed Attila,rutatt1,63627,FALSE,atila menší
Attila cinnamomeus,Cinnamon Attila,cinatt1,306120871,FALSE,atila skořicový
Attila torridus,Ochraceous Attila,ochatt1,203699091,FALSE,atila okrový
Attila citriniventris,Citron-bellied Attila,cibatt1,204008491,FALSE,atila žlutobřichý
Attila bolivianus,White-eyed Attila,ducatt1,132750,FALSE,atila bělooký
Attila rufus,Grey-hooded Attila,gyhatt1,113229,FALSE,atila šedohlavý
Attila spadiceus,Bright-rumped Attila,brratt1,207693601,FALSE,atila proměnlivý
Legatus leucophaius,Piratic Flycatcher,pirfly1,117170,FALSE,tyran loupeživý
Ramphotrigon megacephalum,Large-headed Flatbill,lahfla2,229364,FALSE,ploskozobec žlutobrvý
Ramphotrigon ruficauda,Rufous-tailed Flatbill,rutfla1,203931211,FALSE,ploskozobec rezavoocasý
Ramphotrigon fuscicauda,Dusky-tailed Flatbill,dutfla1,126865,FALSE,ploskozobec tmavoocasý
Deltarhynchus flammulatus,Flammulated Flycatcher,flafly1,479271301,FALSE,tyran mexický
Pitangus sulphuratus,Great Kiskadee,grekis,131671181,TRUE,tyran bentevi
Philohydor lictor,Lesser Kiskadee,leskis1,270711,FALSE,tyran štíhlozobý
Machetornis rixosa,Cattle Tyrant,cattyr,69697,FALSE,tyranovec dlouhonohý
Tyrannopsis sulphurea,Sulphury Flycatcher,sulfly1,639757417,FALSE,tyran palmový
Megarynchus pitangua,Boat-billed Flycatcher,bobfly1,640785996,FALSE,tyran velkozobý
Myiodynastes hemichrysus,Golden-bellied Flycatcher,gobfly1,80980,FALSE,
Myiodynastes chrysocephalus,Golden-crowned Flycatcher,gocfly1,193175,FALSE,
Myiodynastes bairdii,Baird's Flycatcher,baifly1,43205,FALSE,tyran škraboškový
Myiodynastes luteiventris,Sulphur-bellied Flycatcher,subfly,7806,FALSE,tyran sírovobřichý
Myiodynastes solitarius,Southern Streaked Flycatcher,,,FALSE,
Myiodynastes maculatus,Northern Streaked Flycatcher,strfly1,113357,FALSE,tyran skvrnitý
Myiozetetes cayanensis,Rusty-margined Flycatcher,rumfly1,517566971,FALSE,tyran rezavokřídlý
Myiozetetes similis,Social Flycatcher,socfly1,157772511,FALSE,tyran pospolitý
Myiozetetes granadensis,Grey-capped Flycatcher,grcfly1,165857,FALSE,tyran šedohlavý
Myiozetetes luteiventris,Dusky-chested Flycatcher,ducfly2,203955651,FALSE,tyran tmavoprsý
Conopias albovittatus,White-ringed Flycatcher,whrfly,203007531,FALSE,
Conopias parvus,Yellow-throated Flycatcher,yetfly2,69755,FALSE,tyran žlutohrdlý
Conopias trivirgatus,Three-striped Flycatcher,thsfly2,203699451,FALSE,tyran olivovohřbetý
Conopias cinchoneti,Lemon-browed Flycatcher,lebfly2,13208,FALSE,tyran žlutobrvý
Phelpsia inornata,White-bearded Flycatcher,whbfly1,361180991,FALSE,tyran Phelpsův
Empidonomus varius,Variegated Flycatcher,varfly,622578602,FALSE,tyran skvrnitohřbetý
Griseotyrannus aurantioatrocristatus,Crowned Slaty Flycatcher,croslf1,177045,FALSE,tyran černočapkový
Tyrannus niveigularis,Snow-throated Kingbird,sntkin1,65511481,FALSE,tyran bělobradý
Tyrannus albogularis,White-throated Kingbird,whtkin1,371688381,FALSE,tyran bělohrdlý
Tyrannus melancholicus,Tropical Kingbird,trokin,7961,TRUE,
Tyrannus couchii,Couch's Kingbird,coukin,7953,FALSE,tyran Couchův
Tyrannus vociferans,Cassin's Kingbird,caskin,85511031,FALSE,tyran křiklavý
Tyrannus crassirostris,Thick-billed Kingbird,thbkin,392846461,FALSE,tyran tlustozobý
Tyrannus verticalis,Western Kingbird,weskin,56905,FALSE,tyran západní
Tyrannus tyrannus,Eastern Kingbird,easkin,534398,TRUE,tyran obecný
Tyrannus dominicensis,Grey Kingbird,grykin,73900,FALSE,tyran šedý
Tyrannus caudifasciatus,Loggerhead Kingbird,logkin,188095,FALSE,tyran karibský
Tyrannus cubensis,Giant Kingbird,giakin1,62964,FALSE,tyran kubánský
Tyrannus forficatus,Scissor-tailed Flycatcher,sctfly,105244,TRUE,tyran vidloocasý
Tyrannus savana,Fork-tailed Flycatcher,fotfly,171774,FALSE,tyran savanový
Rhytipterna holerythra,Rufous Mourner,rufmou1,614988599,FALSE,kotingovec rezavý
Rhytipterna simplex,Greyish Mourner,gramou1,257226211,FALSE,kotingovec šedý
Rhytipterna immunda,Pale-bellied Mourner,pabmou1,225365,FALSE,kotingovec světlebřichý
Casiornis rufus,Rufous Casiornis,rufcas2,116293851,FALSE,tyran rezavý
Casiornis fuscus,Ash-throated Casiornis,astcas2,278863301,FALSE,tyran šedavohrdlý
Sirystes albogriseus,Choco Sirystes,siryst3,324632661,FALSE,
Sirystes albocinereus,White-rumped Sirystes,whrsir1,532082101,FALSE,
Sirystes sibilator,Sibilant Sirystes,sibsir1,251717851,FALSE,
Sirystes subcanescens,Todd's Sirystes,todsir1,127365,FALSE,
Myiarchus semirufus,Rufous Flycatcher,ruffly1,19603,FALSE,tyran peruánský
Myiarchus swainsoni,Swainson's Flycatcher,swafly1,19144,FALSE,tyran Swainsonův
Myiarchus barbirostris,Sad Flycatcher,sadfly1,18982,FALSE,tyran jamajský
Myiarchus tuberculifer,Dusky-capped Flycatcher,ducfly,40523,FALSE,
Myiarchus phaeocephalus,Sooty-crowned Flycatcher,socfly2,19419,FALSE,tyran pacifický
Myiarchus panamensis,Panama Flycatcher,panfly1,203773271,FALSE,tyran panamský
Myiarchus ferox,Short-crested Flycatcher,shcfly1,19489,FALSE,tyran chocholkatý
Myiarchus venezuelensis,Venezuelan Flycatcher,venfly1,19104,FALSE,tyran venezuelský
Myiarchus cephalotes,Pale-edged Flycatcher,paefly1,7477,FALSE,tyran světlelemý
Myiarchus validus,Rufous-tailed Flycatcher,rutfly1,203886171,FALSE,tyran rezavoocasý
Myiarchus sagrae,La Sagra's Flycatcher,lasfly,203885381,FALSE,tyran bahamský
Myiarchus stolidus,Stolid Flycatcher,stofly1,7735,FALSE,
Myiarchus antillarum,Puerto Rican Flycatcher,purfly1,19758,FALSE,tyran portorický
Myiarchus oberi,Lesser Antillean Flycatcher,leafly1,7733,FALSE,
Myiarchus crinitus,Great Crested Flycatcher,grcfly,236839451,TRUE,tyran chocholatý
Myiarchus yucatanensis,Yucatan Flycatcher,yucfly1,226847931,FALSE,tyran yukatanský
Myiarchus tyrannulus,Brown-crested Flycatcher,bncfly,232405201,FALSE,tyran hnědochocholatý
Myiarchus nugator,Grenada Flycatcher,grefly1,19668,FALSE,tyran grenadský
Myiarchus apicalis,Apical Flycatcher,apifly1,203965311,FALSE,tyran kolumbijský
Myiarchus cinerascens,Ash-throated Flycatcher,astfly,416231441,TRUE,
Myiarchus nuttingi,Nutting's Flycatcher,nutfly1,452438551,FALSE,
Myiarchus magnirostris,Galapagos Flycatcher,galfly1,19683,FALSE,tyran galapážský
