Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,ca
Neomorphus rufipennis,Rufous-winged Ground-cuckoo,rwgcuc1,384677891,FALSE,Cucut formiguer coll-morat
Neomorphus pucheranii,Red-billed Ground-cuckoo,rbgcuc1,614325199,FALSE,Cucut formiguer bec-roig
†Coua delalandei,Snail-eating Coua,snecou1,,FALSE,
Coua gigas,Giant Coua,giacou1,203978911,FALSE,Coua gegant
Coua coquereli,Coquerel's Coua,coqcou1,95476,FALSE,Coua de Coquerel
Coua serriana,Red-breasted Coua,rebcou1,203968581,FALSE,Coua pit-roig
Coua reynaudii,Red-fronted Coua,refcou1,503959221,FALSE,Coua de front rogenc
Coua cursor,Running Coua,runcou1,646454620,FALSE,Coua corredor
Coua ruficeps,Red-capped Coua,reccou2,95560,FALSE,coua de capell rogenc
Coua olivaceiceps,Olive-capped Coua,reccou3,203930591,FALSE,Coua de casquet olivaci
Coua cristata,Crested Coua,crecou1,100024,FALSE,Coua crestat septentrional
Coua pyropyga,Chestnut-vented Coua,,,FALSE,
Coua verreauxi,Verreaux's Coua,vercou1,502290111,FALSE,Coua de Verreaux
Coua caerulea,Blue Coua,blucou1,93557,FALSE,Coua blau
Carpococcyx radiceus,Bornean Ground-cuckoo,bogcuc1,203953801,FALSE,cucut terrestre de Borneo
Carpococcyx viridis,Sumatran Ground-cuckoo,sugcuc1,641636661,FALSE,Cucut terrestre de Sumatra
Carpococcyx renauldi,Coral-billed Ground-cuckoo,cbgcuc1,428444651,FALSE,Cucut terrestre d'Indoxina
Centropus milo,Buff-headed Coucal,buhcou1,203910191,FALSE,Cucal cap-ros
Centropus ateralbus,Pied Coucal,piecou1,203994681,FALSE,Cucal blanc i negre
Centropus menbeki,Ivory-billed Coucal,grbcou1,203987971,FALSE,Cucal negre gros
Centropus chalybeus,Biak Coucal,biacou1,203997211,FALSE,Cucal de l'illa Biak
Centropus unirufus,Rufous Coucal,rufcou1,203999891,FALSE,Cucal rogenc
Centropus chlororhynchus,Green-billed Coucal,grbcou2,204000631,FALSE,Cucal de Sri Lanka
Centropus melanops,Black-faced Coucal,blfcou1,203894331,FALSE,Cucal caranegre
Centropus steerii,Black-hooded Coucal,blhcou1,555871721,FALSE,Cucal de Mindoro
Centropus rectunguis,Short-toed Coucal,shtcou1,636991204,FALSE,Cucal de Strickland
Centropus celebensis,Bay Coucal,baycou1,203909081,FALSE,Cucal de Sulawesi
Centropus anselli,Gabon Coucal,gabcou1,609157444,FALSE,Cucal del Gabon
Centropus leucogaster,Black-throated Coucal,bltcou1,204006961,FALSE,Cucal de ventre blanc
Centropus senegalensis,Senegal Coucal,sencou1,203961431,FALSE,Cucal del Senegal
Centropus monachus,Blue-headed Coucal,blhcou2,1358,FALSE,cucal capblau
Centropus cupreicaudus,Coppery-tailed Coucal,cotcou1,597814511,FALSE,Cucal dels papirs
Centropus superciliosus,White-browed Coucal,whbcou2,8579,FALSE,cucal cellablanc/de Burchell
Centropus nigrorufus,Javan Coucal,suncou1,525811741,FALSE,Cucal de Java
