Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,hr
Arborophila gingica,Collared Partridge,whnpar2,48693791,FALSE,bjeločela trčka
Arborophila davidi,Orange-necked Partridge,ornpar1,569348161,FALSE,narančastogrla trčka
Arborophila cambodiana,Chestnut-headed Partridge,chhpar1,630487371,FALSE,crnoleđa trčka
Arborophila campbelli,Malay Partridge,gybpar3,203886611,FALSE,malezijska trčka
Arborophila rolli,Tan-breasted Partridge,gybpar5,175504,FALSE,narančastoprsa trčka
Arborophila sumatrana,Sumatran Partridge,gybpar6,491844231,FALSE,sumatranska trčka
Arborophila orientalis,White-faced Partridge,gybpar4,181897,FALSE,crnokapa trčka
Arborophila javanica,Chestnut-bellied Partridge,chbpar1,647027343,FALSE,javanska trčka
Arborophila rubrirostris,Red-billed Partridge,rebpar3,642820203,FALSE,crvenokljuna trčka
Arborophila hyperythra,Bornean Partridge,rebpar5,203956931,FALSE,borneanska trčka
Arborophila ardens,Hainan Partridge,haipar1,609066009,FALSE,hainanska trčka
Arborophila chloropus,Green-legged Partridge,,,FALSE,zelenonoga trčka
Arborophila tonkinensis,Tonkin Partridge,,,FALSE,vijetnamska trčka
Arborophila charltonii,Chestnut-necklaced Partridge,chnpar1,621122731,FALSE,crvenouha trčka
Arborophila graydoni,Sabah Partridge,chnpar3,642338035,FALSE,kestenjastoprsa trčka
Rhizothera longirostris,Long-billed Partridge,lobpar3,181633331,FALSE,šumska trčka
Rhizothera dulitensis,Dulit Partridge,lobpar2,,FALSE,gorska trčka
Melanoperdix niger,Black Partridge,blapar2,629033581,FALSE,crna trčka
Haematortyx sanguiniceps,Crimson-headed Partridge,crhpar1,609672173,FALSE,crvenoglava trčka
Caloperdix oculea,Ferruginous Partridge,ferpar2,600452771,FALSE,cimetasta trčka
Galloperdix spadicea,Red Spurfowl,redspu1,349354171,FALSE,indijska trčka
Galloperdix lunulata,Painted Spurfowl,paispu1,207089521,FALSE,pjegava trčka
Galloperdix bicalcarata,Sri Lanka Spurfowl,ceyspu1,203990571,FALSE,cejlonska trčka
Afropavo congensis,Congo Peafowl,conpea1,519903871,FALSE,kratkorepi paun
Pavo cristatus,Indian Peafowl,compea,91301711,TRUE,paun
Pavo muticus,Green Peafowl,grepea1,609104061,FALSE,zeleni paun
Argusianus argus,Great Argus,grearg1,203944171,TRUE,plavoglavi paun
Rheinardia ocellata,Crested Argus,crearg1,609069136,FALSE,pjegavi paun
R. o. nigrescens,Malaysian Argus,,,FALSE,dugokresti paun
Polyplectron napoleonis,Palawan Peacock-pheasant,palpep1,212042841,FALSE,palavanski paunaš
Polyplectron malacense,Malay Peacock-pheasant,mapphe1,36637,FALSE,malajski paunaš
Polyplectron schleiermacheri,Bornean Peacock-pheasant,bopphe1,522860261,FALSE,borneanski paunaš
Polyplectron germaini,Germain's Peacock-pheasant,gepphe1,204023661,FALSE,vijetnamski paunaš
Polyplectron katsumatae,Hainan Peacock-pheasant,grypep3,613345194,FALSE,hainanski paunaš
Polyplectron bicalcaratum,Grey Peacock-pheasant,grypep2,628409328,FALSE,sivi paunaš
Polyplectron inopinatum,Mountain Peacock-pheasant,mopphe1,174378541,FALSE,smeđoleđi paunaš
Polyplectron chalcurum,Bronze-tailed Peacock-pheasant,btpphe1,640131691,FALSE,dugorepi paunaš
Margaroperdix madagarensis,Madagascar Partridge,madpar2,95730,FALSE,madagaskarska trčka
Coturnix coturnix,Common Quail,comqua1,204001791,FALSE,prepelica
Coturnix japonica,Japanese Quail,japqua,308522651,FALSE,japanska prepelica
Coturnix coromandelica,Rain Quail,raiqua1,204026791,FALSE,indijska prepelica
Coturnix delegorguei,Harlequin Quail,harqua1,55993,FALSE,afrička prepelica
Coturnix pectoralis,Stubble Quail,stuqua1,73173471,TRUE,pjegavoprsa prepelica
†Coturnix novaezelandiae,New Zealand Quail,nezqua1,,FALSE,novozelandska prepelica
Synoicus ypsilophorus,Brown Quail,broqua1,295926801,FALSE,močvarna prepelica
Synoicus chinensis,Asian Blue Quail,blbqua1,385061761,FALSE,kineska prepelica
Synoicus adansonii,African Blue Quail,bluqua1,,FALSE,plava prepelica
Anurophasis monorthonyx,Snow Mountain Quail,snmqua2,,FALSE,novogvinejska prepelica
Tetraogallus caucasicus,Caucasian Snowcock,causno1,155121691,FALSE,kavkaski jareb
Tetraogallus caspius,Caspian Snowcock,cassno1,634394698,FALSE,sivoprsi jareb
Tetraogallus himalayensis,Himalayan Snowcock,himsno,601383721,FALSE,pjegavoprsi jareb
Tetraogallus tibetanus,Tibetan Snowcock,tibsno1,483108811,FALSE,tibetski jareb
Tetraogallus altaicus,Altai Snowcock,altsno1,639220722,FALSE,altajski jareb
Alectoris graeca,Rock Partridge,rocpar2,203977601,FALSE,jarebica kamenjarka
Alectoris chukar,Chukar,chukar,210513,FALSE,jarebica čukara
Alectoris magna,Przevalski's Partridge,przpar1,60496,FALSE,kineska jarebica
Alectoris philbyi,Philby's Partridge,phipar1,203934401,FALSE,crnogrla jarebica
Alectoris barbara,Barbary Partridge,barpar2,143882821,FALSE,afrička jarebica
Alectoris rufa,Red-legged Partridge,relpar1,526100581,TRUE,riđa jarebica
Alectoris melanocephala,Arabian Partridge,arapar1,480127751,FALSE,arabijska jarebica
Lerwa lerwa,Snow Partridge,snopar1,517723441,FALSE,pjegavi jareb
Ammoperdix griseogularis,See-see Partridge,sespar1,108033921,FALSE,perzijska jarebica
Ammoperdix heyi,Sand Partridge,sanpar1,203694431,FALSE,jarebica pješčarka
Perdicula asiatica,Jungle Bush-quail,jubqua1,268669171,FALSE,narančastogrla prepelica
Perdicula argoondah,Rock Bush-quail,robqua1,625833475,FALSE,narančastočela prepelica
Perdicula erythrorhyncha,Painted Bush-quail,pabqua1,394824171,FALSE,crvenokljuna prepelica
Perdicula manipurensis,Manipur Bush-quail,mabqua1,,FALSE,asamska prepelica
Ophrysia superciliosa,Himalayan Quail,himqua1,,FALSE,himalajska prepelica
Pternistis hartlaubi,Hartlaub's Francolin,harfra3,203933311,FALSE,smeđouha jarebica
Pternistis bicalcaratus,Double-spurred Francolin,dosfra2,643643301,FALSE,dvoostruga jarebica
Pternistis icterorhynchus,Heuglin's Francolin,heufra1,467007011,FALSE,srednjoafrička jarebica
Pternistis clappertoni,Clapperton's Francolin,clafra1,33651871,FALSE,pjegava jarebica
Pternistis harwoodi,Harwood's Francolin,harfra4,204006921,FALSE,etiopska jarebica
NUMIDIDAE,Guineafowl,,,FALSE,biserke
Numida meleagris,Helmeted Guineafowl,helgui,203933171,FALSE,biserka
N. m. galeatus,West African Guineafowl,,,FALSE,bjelolica biserka
Agelastes meleagrides,White-breasted Guineafowl,whbgui1,,FALSE,crvenoglava biserka
Agelastes niger,Black Guineafowl,blagui1,565534711,FALSE,crna biserka
Acryllium vulturinum,Vulturine Guineafowl,vulgui1,645270670,FALSE,velika biserka
Guttera plumifera,Plumed Guineafowl,plugui1,629897712,FALSE,kukmasta biserka
Guttera verreauxi,Western Crested Guineafowl,cregui2,591043601,FALSE,kudrava biserka
Guttera pucherani,Eastern Crested Guineafowl,cregui3,176795,FALSE,crvenolica biserka
Guttera edouardi,Southern Crested Guineafowl,cregui4,206411171,FALSE,bjelouha biserka
ODONTOPHORIDAE,New World Quails,,,FALSE,američke prepelice
Ptilopachus petrosus,Stone Partridge,stopar1,203911811,FALSE,prugastoboka jarebica
Ptilopachus nahani,Nahan's Partridge,nahfra2,166731461,FALSE,šumska jarebica
Philortyx fasciatus,Barred Quail,banqua1,325304401,FALSE,prugasta prepelica
Oreortyx pictus,Mountain Quail,mouqua,42202,TRUE,planinska prepelica
Colinus virginianus,Northern Bobwhite,norbob,92708151,TRUE,virdžinijska prepelica
C. v. ridgwayi,Masked Bobwhite,,,FALSE,crnolica prepelica
Colinus nigrogularis,Black-throated Bobwhite,bltbob1,173680121,FALSE,crnogrla prepelica
Colinus leucopogon,Spot-bellied Bobwhite,crebob2,211115,FALSE,smeđokapa prepelica
Colinus cristatus,Crested Bobwhite,crebob1,64102,FALSE,krunata prepelica
Callipepla squamata,Scaled Quail,scaqua,452435231,TRUE,kukmasta prepelica
Callipepla douglasii,Elegant Quail,elequa,109166,FALSE,sonorska prepelica
Callipepla gambelii,Gambel's Quail,gamqua,435382461,FALSE,pustinjska prepelica
Callipepla californica,California Quail,calqua,111018,TRUE,kalifornijska prepelica
Dendrortyx barbatus,Bearded Wood-partridge,bewpar1,333371541,FALSE,hidalgoska prepelica
Dendrortyx macroura,Long-tailed Wood-partridge,ltwpar1,125230411,FALSE,dugorepa prepelica
Dendrortyx leucophrys,Buffy-crowned Wood-partridge,bcwpar1,94099921,FALSE,bjeločela prepelica
Odontophorus gujanensis,Marbled Wood-quail,mawqua1,64113,FALSE,riđa prepelica
Odontophorus capueira,Spot-winged Wood-quail,swwqua1,598288201,FALSE,sivotrba prepelica
Odontophorus melanotis,Black-eared Wood-quail,bewqua1,616447048,FALSE,riđotrba prepelica
Odontophorus erythrops,Rufous-fronted Wood-quail,rfwqua1,609684320,FALSE,riđočela prepelica
Odontophorus atrifrons,Black-fronted Wood-quail,bfwqua1,167188,FALSE,riđokapa prepelica
Odontophorus hyperythrus,Chestnut Wood-quail,chwqua1,198748961,FALSE,kolumbijska prepelica
Odontophorus melanonotus,Dark-backed Wood-quail,dbwqua1,609501576,FALSE,riđoprsa prepelica
Odontophorus speciosus,Rufous-breasted Wood-quail,rbwqua1,203934101,FALSE,pjegavokrila prepelica
Odontophorus dialeucos,Tacarcuna Wood-quail,tawqua1,452616671,FALSE,crnočela prepelica
Odontophorus strophium,Gorgeted Wood-quail,gowqua1,440400661,FALSE,ogrličasta prepelica
Odontophorus columbianus,Venezuelan Wood-quail,venwoq1,363999931,FALSE,venezuelska prepelica
Odontophorus leucolaemus,Black-breasted Wood-quail,bbwqua1,219829,FALSE,crnoprsa prepelica
Odontophorus balliviani,Stripe-faced Wood-quail,sfwqua1,101629,FALSE,brkata prepelica
Odontophorus stellatus,Starred Wood-quail,stwqua1,628325894,FALSE,sivovrata prepelica
Odontophorus guttatus,Spotted Wood-quail,spwqua1,46235351,FALSE,pjegava prepelica
Rhynchortyx cinctus,Tawny-faced Quail,tafqua1,158174131,FALSE,riđolica prepelica
Dactylortyx thoracicus,Singing Quail,sinqua1,164257101,FALSE,prugastoprsa prepelica
Cyrtonyx montezumae,Montezuma Quail,monqua,112164341,FALSE,šarena prepelica
Cyrtonyx sallei,Spot-breasted Quail,,,FALSE,sivoboka prepelica
Cyrtonyx ocellatus,Ocellated Quail,ocequa1,615632768,FALSE,kacigasta prepelica
PHASIANIDAE,Pheasant Partridges Turkeys Grouse,,,FALSE,jarebice prepelice
Xenoperdix udzungwensis,Udzungwa Forest-partridge,udzpar1,622600517,FALSE,tanzanska trčka
Rollulus rouloul,Crested Partridge,crepar1,638129660,FALSE,kukmasta trčka
Arborophila torqueola,Hill Partridge,hilpar1,203904591,FALSE,sivoprsa trčka
Arborophila rufogularis,Rufous-throated Partridge,rutpar1,53422071,FALSE,riđogrla trčka
Arborophila atrogularis,White-cheeked Partridge,whcpar1,625783668,FALSE,crnogrla trčka
Pternistis adspersus,Red-billed Francolin,rebfra1,610365051,FALSE,crvenokljuna jarebica
Pternistis capensis,Cape Francolin,capfra2,626936401,FALSE,kapska jarebica
Pternistis natalensis,Natal Francolin,natfra2,310145,FALSE,natalska jarebica
Pternistis hildebrandti,Hildebrandt's Francolin,hilfra2,310143,FALSE,hildebrandtova jarebica
Pternistis ahantensis,Ahanta Francolin,ahafra2,203959911,FALSE,smeđa jarebica
Pternistis squamatus,Scaly Francolin,scafra2,549877451,FALSE,mrka jarebica
Pternistis griseostriatus,Grey-striped Francolin,gysfra1,397988251,FALSE,angolska jarebica
Pternistis leucoscepus,Yellow-necked Francolin,yenspu1,323820841,FALSE,žutogrla jarebica
Pternistis rufopictus,Grey-breasted Francolin,gybfra1,2663,FALSE,sivoprsa jarebica
Pternistis afer,Red-necked Francolin,renfra1,94194,FALSE,crvenogrla jarebica
Pternistis swainsonii,Swainson's Francolin,swafra2,275167,FALSE,crvenolica jarebica
Pternistis jacksoni,Jackson's Francolin,jacfra2,619037911,FALSE,kenijska jarebica
Pternistis nobilis,Handsome Francolin,hanfra2,26318,FALSE,sivoglava jarebica
Pternistis camerunensis,Mount Cameroon Francolin,camfra2,310138,FALSE,kamerunska jarebica
Pternistis swierstrai,Swierstra's Francolin,swifra2,207146371,FALSE,crnoprsa jarebica
Pternistis castaneicollis,Chestnut-naped Francolin,chnfra2,569512901,FALSE,kestenjastoprsa jarebica
Pternistis atrifrons,Black-fronted Francolin,,,FALSE,crnočela jarebica
Pternistis erckelii,Erckel's Francolin,ercfra,5191,FALSE,riđokapa jarebica
Pternistis ochropectus,Djibouti Francolin,djifra1,,FALSE,džibutska jarebica
Francolinus francolinus,Black Francolin,blkfra,5262,FALSE,crna jarebica
Francolinus pictus,Painted Francolin,paifra1,245559311,FALSE,indijska jarebica
Francolinus pintadeanus,Chinese Francolin,chifra1,203912731,FALSE,šarenoglava jarebica
Francolinus pondicerianus,Grey Francolin,,,FALSE,siva jarebica
Francolinus gularis,Swamp Francolin,swafra1,617478192,FALSE,močvarna jarebica
Dendroperdix sephaena,Crested Francolin,crefra2,203935661,FALSE,smeđokapa jarebica
Peliperdix coqui,Coqui Francolin,coqfra2,277029611,FALSE,smeđoglava jarebica
Peliperdix albogularis,White-throated Francolin,whtfra2,203974361,FALSE,smeđokrila jarebica
Peliperdix schlegelii,Schlegel's Francolin,schfra2,310774,FALSE,smeđovrata jarebica
Peliperdix lathami,Latham's Francolin,forfra2,203911761,FALSE,pjegavoprsa jarebica
Scleroptila streptophora,Ring-necked Francolin,rinfra2,381524691,FALSE,riđolica jarebica
Scleroptila leivaillantii,Red-winged Francolin,rewfra2,369073831,FALSE,riđopjegava jarebica
Scleroptila afra,Grey-winged Francolin,gywfra1,609008514,FALSE,južnoafrička jarebica
Scleroptila finschi,Finsch's Francolin,finfra2,625744317,FALSE,sivokapa jarebica
Scleroptila psilolaema,Moorland Francolin,moofra2,31365811,FALSE,planinska jarebica
Scleroptila elgonensis,Elgon Francolin,moofra3,274754931,FALSE,kestenjastotrba jarebica
Scleroptila shelleyi,Shelley's Francolin,shefra1,559895751,FALSE,crnopruga jarebica
