Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,lt
Schoeniophylax phryganophilus,Chotoy Spinetail,chospi2,132822,FALSE,periljas
Certhiaxis cinnamomeus,Yellow-chinned Spinetail,yecspi2,66188,FALSE,Geltongurklis certiaksas
Certhiaxis mustelinus,Red-and-white Spinetail,rawspi2,127579,FALSE,Dvispalvis certiaksas
Synallaxis scutata,Ochre-cheeked Spinetail,occspi1,393341541,FALSE,rusvaskruostis dygliauodegis krosnius
Synallaxis cinerascens,Grey-bellied Spinetail,gybspi1,423707011,FALSE,Pilkapilvis dygliauodegis krosnius
Synallaxis gujanensis,Plain-crowned Spinetail,plcspi1,203962661,FALSE,
Synallaxis maranonica,Maranon Spinetail,marspi3,130451,FALSE,maranjoninis dygliauodegis krosnius
Synallaxis simoni,Araguaia Spinetail,whlspi3,220187,FALSE,
Synallaxis albilora,White-lored Spinetail,whlspi1,203698151,FALSE,
Synallaxis kollari,Hoary-throated Spinetail,hotspi1,299934631,FALSE,žilagurklis dygliauodegis krosnius
Synallaxis candei,White-whiskered Spinetail,whwspi1,385687901,FALSE,baltaūsis dygliauodegis krosnius
Synallaxis erythrothorax,Rufous-breasted Spinetail,rubspi2,178619701,FALSE,rusvakrūtis dygliauodegis krosnius
Synallaxis tithys,Blackish-headed Spinetail,blhspi1,203929891,FALSE,Juosvagalvis dygliauodegis krosnius
Synallaxis unirufa,Rufous Spinetail,rufspi1,66136,FALSE,
Synallaxis castanea,Black-throated Spinetail,bltspi1,385693691,FALSE,juodagurklis dygliauodegis krosnius
Synallaxis fuscorufa,Rusty-headed Spinetail,ruhspi1,203990671,FALSE,Rusvagalvis dygliauodegis krosnius
Synallaxis cinnamomea,Stripe-breasted Spinetail,stbspi1,309084461,FALSE,Dėmėtakrūtis dygliauodegis krosnius
Synallaxis rutilans,Ruddy Spinetail,rudspi1,203985131,FALSE,kaštoninis dygliauodegis krosnius
Synallaxis cherriei,Chestnut-throated Spinetail,chtspi1,203696471,FALSE,kaštongurklis dygliauodegis krosnius
Synallaxis hypochondriaca,Great Spinetail,grespi2,204012131,FALSE,Didysis dygliauodegis
Synallaxis zimmeri,Russet-bellied Spinetail,rubspi3,512237581,FALSE,rusvapilvis dygliauodegis krosnius
Synallaxis stictothorax,Necklaced Spinetail,necspi1,640160764,FALSE,
Synallaxis chinchipensis,Chinchipe Spinetail,necspi3,308365,FALSE,
Synallaxis brachyura,Slaty Spinetail,slaspi1,203697921,FALSE,
Synallaxis subpudica,Silvery-throated Spinetail,sitspi1,203953061,FALSE,pilkagurklis dygliauodegis krosnius
Synallaxis hellmayri,Red-shouldered Spinetail,resspi2,103088,FALSE,Raudonsparnis dygliauodegis
Synallaxis ruficapilla,Rufous-capped Spinetail,rucspi1,512496441,FALSE,
Synallaxis cinerea,Bahia Spinetail,bahspi1,488988051,FALSE,baijinis dygliauodegis krosnius
Synallaxis infuscata,Pinto's Spinetail,pinspi1,127969,FALSE,Pinto dygliauodegis krosnius
Synallaxis moesta,Dusky Spinetail,dusspi1,217113481,FALSE,tamsusis dygliauodegis krosnius
Synallaxis cabanisi,Cabanis's Spinetail,cabspi1,17120,FALSE,
Synallaxis macconnelli,McConnell's Spinetail,mccspi1,385788491,FALSE,Makonelio dygliauodegis krosnius
Synallaxis hypospodia,Cinereous-breasted Spinetail,cibspi1,348655901,FALSE,pilkakrūtis dygliauodegis krosnius
Synallaxis spixi,Spix's Spinetail,spispi1,361512381,FALSE,Spikso dygliauodegis krosnius
Synallaxis albigularis,Dark-breasted Spinetail,dabspi1,288203251,FALSE,tamsiakrūtis dygliauodegis krosnius
Synallaxis beverlyae,Orinoco Spinetail,riospi1,139283,FALSE,Orinokinis dygliauodegis krosnius
Synallaxis albescens,Pale-breasted Spinetail,pabspi1,437281221,FALSE,
Synallaxis frontalis,Sooty-fronted Spinetail,sofspi1,217064,FALSE,
Synallaxis azarae,Azara's Spinetail,azaspi1,171490,FALSE,Asaros dygliauodegis krosnius
Synallaxis courseni,Apurimac Spinetail,apuspi1,496417701,FALSE,Apurimakinis dygliauodegis krosnius
Neopelma aurifrons,Wied's Tyrant-manakin,witman1,203984321,FALSE,
Neopelma chrysolophum,Serra do Mar Tyrant-manakin,sdmman1,71589,FALSE,Brazilinis musinukinis manakinas
Neopelma sulphureiventer,Sulphur-bellied Tyrant-manakin,sbtman1,132771,FALSE,Geltonpilvis musinukinis manakinas
Tyranneutes stolzmanni,Dwarf Tyrant-manakin,dwtman1,115137,FALSE,Pietinis tironinis manakinas
Tyranneutes virescens,Tiny Tyrant-manakin,titman1,372124911,FALSE,Šiaurinis tironinis manakinas
Xenopipo uniformis,Olive Manakin,oliman2,369489231,FALSE,vienspalvis žaliasis manakinas
Xenopipo atronitens,Black Manakin,blaman1,47805571,FALSE,Juodasis manakinas
Heterocercus aurantiivertex,Orange-crested Manakin,orcman3,651394499,FALSE,Rusvakuodis lianinis manakinas
Heterocercus flavivertex,Yellow-crested Manakin,yecman2,318220521,FALSE,
Heterocercus linteatus,Flame-crested Manakin,flcman2,203888761,FALSE,Raudonkuodis lianinis manakinas
Manacus candei,White-collared Manakin,whcman1,467900581,FALSE,
Manacus aurantiacus,Orange-colared Manakin,orcman1,57397,FALSE,
Manacus vitellinus,Golden-collared Manakin,gocman1,536494421,FALSE,
Manacus manacus,White-bearded Manakin,whbman1,82475,FALSE,
Pipra filicauda,Wire-tailed Manakin,witman2,612408186,FALSE,Siūlauodegė pipra
Pipra aureola,Crimson-hooded Manakin,crhman1,389455271,FALSE,Raudonpilvė pipra
Pipra fasciicauda,Band-tailed Manakin,batman1,203895051,FALSE,Dryžauodegė pipra
Machaeropterus deliciosus,Club-winged Manakin,clwman1,46118771,FALSE,Kuokasparnis nykštukinis manakinas
Machaeropterus striolatus,Western Stripped Manakin,strman5,386942951,FALSE,
Machaeropterus regulus,Eastern Stripped Manakin,strman2,303368261,FALSE,
Machaeropterus pyrocephalus,Fiery-capped Manakin,ficman1,126790,FALSE,Ugniagalvis nykštukinis manakinas
Pseudopipra pipra,White-crowned Manakin,whcman2,527801471,FALSE,Baltavainikė pipra
Ceratopipra cornuta,Scarlet-horned Manakin,schman1,386198671,FALSE,Raudonkuodė pipra
Ceratopipra mentalis,Red-capped Manakin,recman1,57360,FALSE,Raudonkepurė pipra
Ceratopipra erythrocephala,Golden-headed Manakin,gohman1,207229001,TRUE,Auksagalvė pipra
Ceratopipra rubrocapilla,Red-headed Manakin,rehman1,110014,FALSE,Raudongalvė pipra
Ceratopipra chloromeros,Round-tailed Manakin,rotman1,75703,FALSE,Plačiauodegė pipra
Chloropipo holochlora,Green Manakin,greman2,217004901,FALSE,
Chloropipo flavicapilla,Yellow-headed Manakin,yehman2,414703921,FALSE,geltongalvis žaliasis manakinas
Chloropipo unicolor,Jet Manakin,jetman2,21621231,FALSE,atlasinis žaliasis manakinas
Lepidothrix suavissima,Orange-bellied Manakin,orbman1,389407621,FALSE,Geltonpilvis lepidotriksas
Lepidothrix serena,White-fronted Manakin,whfman1,322192351,FALSE,
Lepidothrix coronata,Blue-crowned Manakin,blcman1,34194,FALSE,
Lepidothrix nattereri,Snow-capped Manakin,sncman1,203934621,FALSE,Baltakepuris lepidotriksas
Lepidothrix vilasboasi,Golden-crowned Manakin,gocman2,116087021,FALSE,auksavainikis lepidotriksas
Lepidothrix iris,Opal-crowned Manakin,opcman1,204022081,FALSE,Opalinis lepidotriksas
Lepidothrix isidorei,Blue-rumped Manakin,blrman1,246191,FALSE,mėlynsturplis lepidotriksas
Lepidothrix coeruleocapilla,Cerulean-capped Manakin,cecman1,564408401,FALSE,Melsvagalvis lepidotriksas
Ilicura militaris,Pin-tailed Manakin,pitman1,491918701,FALSE,Ilikura
Masius chrysopterus,Golden-winged Manakin,gowman1,227060531,FALSE,Auksasparnis manakinas
Corapipo leucorrhoa,White-ruffed Manakin,whbman2,190547731,FALSE,
Corapipo gutturalis,White-throated Manakin,whtman1,134423,FALSE,baltagurklis barzdotasis manakinas
Antilophia bokermanni,Araripe Manakin,araman1,203490401,FALSE,Araripinis šalmuotasis manakinas
Antilophia galeata,Helmeted Manakin,helman1,89192,FALSE,Juodasis šalmuotasis manakinas
Chiroxiphia linearis,Long-tailed Manakin,lotman1,165015,FALSE,Ilgauodegis manakinas
Chiroxiphia lanceolata,Lance-tailed Manakin,latman1,7301,FALSE,Aštriauodegis manakinas
Chiroxiphia pareola,Blue-backed Manakin,blbman1,490732201,FALSE,
Chiroxiphia boliviana,Yungas Manakin,yunman1,120924,FALSE,Bolivinis manakinas
Chiroxiphia caudata,Blue Manakin,swtman1,132910,FALSE,Mėlynasis manakinas
Pipreola jucunda,Orange-breasted Fruiteater,orbfru1,611743532,FALSE,Rusvakrūtė pipreola
Pipreola pulchra,Masked Fruiteater,masfru1,203890321,FALSE,Kaukėtoji pipreola
COTINGIDAE,Cotingas,,,FALSE,
Ampelioides tschudii,Scaled Fruiteater,scafru1,110411,FALSE,Žvynuotasis vaislesys
Pipreola chlorolepidota,Fiery-throated Fruiteater,fitfru1,363416671,FALSE,Raudongurklė pipreola
Pipreola squamipectus,Scaly-breasted Fruiteater,,,FALSE,
Pipreola frontalis,Scarlet-breasted Fruiteater,scbfru1,32740891,FALSE,Raudonkrūtė pipreola
Pipreola formosa,Handsome Fruiteater,hanfru1,387941151,FALSE,Puikioji pipreola
Pipreola whitelyi,Red-banded Fruiteater,rebfru1,389024381,FALSE,Raudondryžė pipreola
Pipreola lubomirskii,Black-chested Fruiteater,blcfru1,521888721,FALSE,Juodagalvė pipreola
Pipreola aureopectus,Golden-breaste Fruiteater,gobfru1,384352971,FALSE,
Pipreola arcuata,Barred Fruiteater,barfru1,107139,FALSE,Dryžoji pipreola
Pipreola intermedia,Band-tailed Fruiteater,batfru1,642127477,FALSE,Dryžauodegė pipreola
Pipreola riefferii,Green-and-black Fruiteater,gabfru1,253540751,FALSE,Žalioji pipreola
Snowornis subalaris,Grey-tailed Piha,gytpih1,74783,FALSE,Pilkauodegė piha
Snowornis cryptolophus,Olivaceous Piha,olipih2,639925626,FALSE,Alyvinė piha
Carpornis cucullata,Hooded Berryeater,hoober2,112754,FALSE,Rudnugarė uoginė kotinga
Carpornis melanocephala,Black-headed Berryeater,bkhber1,128007,FALSE,Juodagalvė uoginė kotinga
Rupicola peruviana,Andean Cock-of-the-rock,andcot1,31883,TRUE,Andinis akmengaidis
Rupicola rupicola,Guianan Cock-of-the-rock,gcoroc1,191836931,FALSE,Gvianinis akmengaidis
Phoenicircus carnifex,Guianan Red Cotinga,gurcot1,388993411,FALSE,Mažoji raudonoji kotinga
Phoenicircus nigricollis,Black-necked Red Cotinga,bnrcot1,112835,FALSE,Juodakaklė raudonoji kotinga
Zaratornis stresemanni,White-cheeked Cotinga,whccot1,11079,FALSE,Zaratornis
Phytotoma rara,Rufous-tailed Plantcutter,rutpla1,203892661,FALSE,Čilinis ūgliapjovys
PIPRIDAE,Manakins,,,FALSE,
Neopelma pallescens,Pale-bellied Tyrant-manakin,pbtman1,279881731,FALSE,Baltapilvis musinukinis manakinas
Neopelma chrysocephalum,Saffron-crested Tyrant-manakin,sctman1,113148,FALSE,Auksakuodis musinukinis manakinas
Phytotoma raimondii,Peruvian Plantcutter,perpla1,238342,FALSE,Peruvinis ūgliapjovys
Phytotoma rutila,White-tipped Plantcutter,whtpla1,482685811,FALSE,Paragvajinis ūgliapjovys
Phibalura flavirostris,Swallow-tailed Cotinga,swtcot1,612528574,FALSE,Kregždinė kotinga
Phibalura boliviana,Apolo Cotinga,,,FALSE,
Doliornis sclateri,Bay-vented Cotinga,bavcot1,636416248,FALSE,Skleterio doliornis
Doliornis remseni,Chestnut-bellied Cotinga,chbcot1,178150931,FALSE,Kaštonpilvis doliornis
Ampelion rubrocristatus,Red-crested Cotinga,reccot1,610127475,FALSE,Raudonkuodis ampelionas
Ampelion rufaxilla,Chestnut-crested Cotinga,chccot1,195280281,FALSE,Rudakuodis ampelionas
Haematoderus militaris,Crimson Fruitcrow,crifru1,34973,FALSE,Raudonasis vaislesys
Querula purpurata,Purple-throated Fruitcrow,putfru1,203899751,FALSE,Raudongurklis vaislesys
Pyroderus scutatus,Red-ruffed Fruitcrow,rerfru1,203948451,FALSE,rausvakrūtis vaislesys
Cephalopterus glabricollis,Bare-necked Umbrellabird,banumb1,389360721,FALSE,Plikakaklė skėtinė kotinga
Cephalopterus penduliger,Long-wattled Umbrellabird,lowumb1,194286701,TRUE,Ekvadorinė skėtinė kotinga
Cephalopterus ornatus,Amazonian Umbrellabird,amaumb1,49592741,FALSE,Amazoninė skėtinė kotinga
Perissocephalus tricolor,Capuchinbird,capuch1,204012931,FALSE,Kapucininė kotinga
Lipaugus unirufus,Rufous Piha,rufpih1,57402,FALSE,Rusvoji piha
Lipaugus ater,Black-and-gold Cotinga,bagcot1,112776,FALSE,Auksinė tijuka
Lipaugus conditus,Grey-winged Cotinga,gywcot1,471496601,FALSE,Pilkasparnė tijuka
Lipaugus lanioides,Cinnamon-vented Piha,civpih1,278371131,FALSE,pilkagalvė piha
Lipaugus streptophorus,Rose-collared Piha,rocpih1,382335321,FALSE,Rausvakaklė piha
Lipaugus vociferans,Screaming Piha,scrpih1,109968,TRUE,Triukšmingoji piha
Lipaugus weberi,Chestnut-capped Piha,chcpih1,203965301,FALSE,Veberio piha
Lipaugus fuscocinereus,Dusky Piha,duspih1,204023361,FALSE,Tamsioji piha
Lipaugus uropygialis,Scimitar-winged Piha,scwpih1,307368,FALSE,Riestasparnė piha
Procnias albus,White Bellbird,whibel2,62824,FALSE,Baltasis varpininkas
Procnias tricarunculatus,Three-wattled Bellbird,thwbel,360756721,FALSE,Ūsuotasis varpininkas
Procnias nudicollis,Bare-throated Bellbird,batbel1,115299,FALSE,Plikagurklis varpininkas
Procnias averano,Bearded Bellbird,beabel1,7286,FALSE,Juodasparnis varpininkas
Cotinga maynana,Plum-throated Cotinga,pltcot1,108214041,FALSE,Melsvoji kotinga
Cotinga cayana,Spangled Cotinga,spacot1,255359,FALSE,Blizgioji kotinga
Cotinga amabilis,Lovely Cotinga,lovcot1,297385321,FALSE,Puikioji kotinga
Cotinga nattererii,Blue Cotinga,blucot1,127429841,FALSE,Mėlynoji kotinga
Cotinga ridgwayi,Turquoise Cotinga,turcot1,225341171,FALSE,Ridžvėjaus kotinga
Cotinga maculata,Banded Cotinga,bancot1,,FALSE,Violetinė kotinga
Cotinga cotinga,Purple-breasted Cotinga,pubcot1,126725,FALSE,Purpurinė kotinga
Porphyrolaema porphyrolaema,Purple-throated Cotinga,putcot1,31739,FALSE,Purpuragurklė kotinga
Conioptilon mcilhennyi,Black-faced Cotinga,blfcot1,479717291,FALSE,Juodaveidė kotinga
Gymnoderus foetidus,Bare-necked Fruitcrow,banfru1,55850,FALSE,Plikakaklis vaislesys
Xipholena punicea,Pompadour Cotinga,pomcot1,39446,FALSE,Amazoninė dailioji kotinga
Xipholena lamellipennis,White-tailed Cotinga,whtcot1,428564911,FALSE,Baltauodegė dailioji kotinga
Xipholena atropurpura,White-winged Cotinga,whwcot1,614871747,FALSE,
Carpodectes hopkei,Black-tipped Cotinga,bltcot1,245912,FALSE,Paprastoji baltoji kotinga
Carpodectes antoniae,Yellow-billed Cotinga,yebcot1,,FALSE,Geltonsnapė baltoji kotinga
Carpodectes nitidus,Snowy Cotinga,snocot1,,FALSE,Snieginė baltoji kotinga
Pachyramphus validus,Crested Becard,crebec1,618962106,FALSE,Kuoduotasis bekardas
Pachyramphus surinamus,Glossy-backed Becard,glbbec1,203918941,FALSE,Surinaminis bekardas
Pachyramphus cinnamomeus,Cinnamon Becard,cinbec1,184774,FALSE,Cinamoninis bekardas
Pachyramphus castaneus,Chestnut-crowned Becard,chcbec1,62573,FALSE,Kaštoninis bekardas
Pachyramphus uropygialis,Western Grey-collared Becard,,,FALSE,
Pachyramphus major,Eastern Grey-collared Becard,grcbec1,32239161,FALSE,Meksikinis bekardas
Pachyramphus marginatus,Black-capped Becard,blcbec1,372074341,FALSE,Juodakepuris bekardas
Pachyramphus polychopterus,White-winged Becard,whwbec1,7272,FALSE,Baltasparnis bekardas
Pachyramphus albogriseus,Black-and-white Becard,bawbec7,558676841,FALSE,
Schiffornis major,Varzea Schiffornis,varsch1,29276,FALSE,Didysis šifornis
Schiffornis virescens,Greenish Schiffornis,gresch2,19354,FALSE,Žalsvasis šifornis
Schiffornis olivacea,Olivaceous Mourner,thlsch7,306731531,FALSE,
Schiffornis stenorhyncha,Russet-winged Mourner,thlsch4,65798,FALSE,
Schiffornis turdina,Brown-winged Mourner,thlsch3,87826,FALSE,
Schiffornis aenea,Foothill Mourner,thlsch8,79747,FALSE,
Schiffornis veraepacis,Northern Mourner,thlsch2,162409561,FALSE,
Laniocera rufescens,Speckled Mourner,spemou1,616285718,FALSE,Rusvoji aulija
Laniocera hypopyrra,Cinereous Mourner,cinmou1,364636701,FALSE,Pilkoji aulija
Laniisoma buckleyi,Andean Mourner,shlcot2,609417579,FALSE,Andinė medšarkinė kotinga
Laniisoma elegans,Elegant Mourner,shlcot3,238437151,FALSE,
TYRANNIDAE,Tyrant-flycatchers,,,FALSE,
Calyptura cristata,Kinglet Calyptura,kincal1,,FALSE,Kaliptura
Neopipo cinnamomea,Cinnamon Tyrant,cinmat1,203934151,FALSE,Cinamoninis manakinas
Platyrinchus saturatus,Cinnamon-crested Spadebill,cicspa1,126818,FALSE,Rudakuodis plačiasnapis tironas
Platyrinchus cancrominus,Stub-tailed Spadebill,sttspa1,184563481,FALSE,Bukauodegis plačiasnapis tironas
Platyrinchus albogularis,Western White-throated Spadebill,,,FALSE,
Platyrinchus mystaceus,EasternWhite-throated Spadebill,whtspa1,57925,FALSE,
Platyrinchus coronatus,Golden-crowned Spadebill,gocspa1,388745341,FALSE,Auksavainikis plačiasnapis tironas
Platyrinchus flavigullaris,Yellow-throated Spadebill,yetspa1,203933871,FALSE,
Platyrinchus platyrhynchos,White-crested Spadebill,whcspa1,388347741,FALSE,Baltakuodis plačiasnapis tironas
Platyrinchus leucoryphus,Russet-winged Spadebill,ruwspa1,621962303,FALSE,Rausvasparnis plačiasnapis tironas
Piprites griseiceps,Grey-headed Piprites,grhpip1,264351871,FALSE,Pilkagalvė piprita
Piprites chloris,Wing-barred Piprites,wibpip1,383797341,FALSE,Dryžasparnė piprita
Piprites pileata,Black-capped Piprites,bkcpip1,38220841,FALSE,Juodakepurė piprita
Tachuris rubrigastra,Many-colored Rush-tyrant,mcrtyr1,237506,FALSE,Raibasis tačiuris
Pseudotriccus pelzelni,Bronze-olive Pygmy-tyrant,boptyr1,21622561,FALSE,Bronzinis kapolegas
Pseudotriccus simplex,Hazel-fronted Pygmy-tyrant,hfptyr1,455422401,FALSE,Rudakaktis kapolegas
Pseudotriccus ruficeps,Rufous-headed Pygmy-tyrant,rhptyr1,203701061,FALSE,Rausvagalvis kapolegas
Corythopis torqatus,Ringed Antpipit,rinant2,203931121,FALSE,
Corythopis delalandi,Southern Antpipit,souant1,312754371,FALSE,pietinis skruzdinis tironas
Phylloscartes flavovirens,Yellow-green Tyrannulet,yegtyr1,632838754,FALSE,Panaminis devynbalsis tironiukas
Phylloscartes ventralis,Mottle-cheeked Tyrannulet,moctyr2,384557511,FALSE,
Phylloscartes virescens,Olive-green Tyrannulet,olgtyr1,127386,FALSE,Surinaminis devynbalsis tironiukas
Phylloscartes beckeri,Bahia Tyrannulet,bahtyr1,484453261,FALSE,Bekerio devynbalsis tironiukas
Phylloscartes kronei,Restinga Tyrannulet,restyr1,203983081,FALSE,Geltongurklis devynbalsis tironiukas
Phylloscartes gualaquisae,Ecuadorian Tyrannulet,ecutyr1,203698911,FALSE,
Phylloscartes nigrifrons,Black-fronted Tyrannulet,blftyr1,364606381,FALSE,Juodakaktis devynbalsis tironiukas
Phylloscartes ceciliae,Alagoas Tyrannulet,alatyr1,102760,FALSE,Alagoavinis devynbalsis tironiukas
Phylloscartes superciliaris,Rufous-browed Tyrannulet,rubtyr1,204023421,FALSE,Rusvabruvis devynbalsis tironiukas
Phylloscartes flaviventris,Rufous-lored Tyrannulet,rultyr1,384354991,FALSE,Rusvakaktis devynbalsis tironiukas
Phylloscartes parkeri,Cinnamon-faced Tyrannulet,ciftyr1,147404,FALSE,Parkerio devynbalsis tironiukas
Phylloscartes roquettei,Minas Gerais Tyrannulet,migtyr1,124413241,FALSE,Gelsvaausis devynbalsis tironiukas
Phylloscartes paulista,Sao Paulo Tyrannulet,,,FALSE,Brazilinis devynbalsis tironiukas
Phylloscartes oustaleti,Oustalet's Tyrannulet,oustyr1,203979401,FALSE,Auksaakis devynbalsis tironiukas
Phylloscartes difficilis,Serra do Mar Tyrannulet,,,FALSE,Atkaklusis devynbalsis tironiukas
Phylloscartes sylviolus,Bay-ringed Tyrannulet,bartyr1,203701101,FALSE,Šviesiapilvis devynbalsis tironiukas
Pogonotriccus poecilotis,Variegated Bristle-tyrant,vabtyr1,525490541,FALSE,Margasis šeriuotasis tironas
Pogonotriccus chapmani,Chapman's Bristle-tyrant,chabrt1,437287661,FALSE,Čapmano šeriuotasis tironas
Pogonotriccus ophthalmicus,Marble-faced Bristle-tyrant,mfbtyr1,203932201,FALSE,Peruvinis šeriuotasis tironas
Pogonotriccus venezuelanus,Venezuelan Bristle -tyrant,vebtyr2,383315341,FALSE,Venesuelinis šeriuotasis tironas
Pogonotriccus lanyoni,Antioquia Bristle-tyrant,anbtyr1,203951171,FALSE,Antiokinis šeriuotasis tironas
Pogonotriccus orbitalis,Spectacled Bristle-tyrant,spbtyr1,217074071,FALSE,Akiniuotasis šeriuotasis tironas
Pogonotriccus eximius,Southern Bristle-tyrant,sobtyr2,28672461,FALSE,Pietinis šeriuotasis tironas
Mionectes striaticollis,Streak-necked Flycatcher,stnfly1,608680085,FALSE,Smailiasparnis margakrūtis tironiukas
Mionectes olivaceus,Olive-streaked Flycatcher,olsfly2,351046381,FALSE,Alyvinis margakrūtis tironiukas
Mionectes galbinus,Olive-striped Flycatcher,olsfly1,387407371,FALSE,
Mionectes oleagineus,Ochre-bellied Flycatcher,ocbfly1,385191351,FALSE,Rusvapilvis margakrūtis tironiukas
Mionectes macconnelli,McConnell's Flycatcher,mccfly1,388736881,FALSE,
Mionectes roraimae,Sierra de Lema Flycatcher,mccfly3,369489311,FALSE,
Mionectes rufiventris,Grey-hooded Flycatcher,gyhfly1,66613701,FALSE,Pilkagalvis margakrūtis tironiukas
Leptopogon amaurocephalus,Sepia-capped Flycatcher,secfly1,300464741,FALSE,Rudakepuris tironinis inkas
Leptopogon superciliaris,Slaty-capped Flycatcher,slcfly1,300259641,FALSE,Pilkagalvis tironinis inkas
Leptopogon albidiventer,White-bellied Flycatcher,,,FALSE,
Leptopogon rufipectus,Rufous-breasted Flycatcher,rubfly2,203932131,FALSE,Rausvakrūtis tironinis inkas
TITYRIDAE,Tityras and allies,,,FALSE,
Oxyruncus cristatus,Sharpbill,sharpb1,470170711,FALSE,Ugniagalvis
Onychorynchus mexicanus,Northen Royal Flycatcher,,,FALSE,
Onychorynchus occidentalis,Pacific Royal Flycatcher,,,FALSE,
Onychorynchus coronatus,Amazonian Royal Flycatcher,,,FALSE,
Onychorynchus swainsoni,Atlantic Royal Flycatcher,royfly5,203979411,FALSE,
Terenotriccus erythrurus,Ruddy-tailed Flycatcher,rutfly2,603865781,FALSE,Ugniauodegis tironas
Myiobius villosus,Tawny-breasted Flycatcher,tabfly1,68678521,FALSE,Gauruotasis miobas
Myiobius sulphureipygius,Sulphur-rumped Flycatcher,surfly1,626765900,FALSE,Geltonsturplis miobas
Myiobius barbatus,Whiskered Flycatcher,whifly1,115758,FALSE,
Myiobius atricaudus,Black-tailed Flycatcher,bltfly1,203979471,FALSE,Juodauodegis miobas
Iodopleura isabellae,White-browed Purpletuft,whbpur1,50324481,FALSE,Baltabruvė plepioji kotinga
Iodopleura fusca,Dusky Purpletuft,duspur1,142026221,FALSE,Tamsioji plepioji kotinga
Iodopleura pipra,Buff-throated Purpletuft,butpur1,251855771,FALSE,Geltongurklė plepioji kotinga
Tityra inquisitor,Black-crowned Tityra,blctit1,41271501,FALSE,Juodavainikė tityra
Tityra cayana,Western Black-tailed Tityra,blttit1,383311751,FALSE,Juodauodegė tityra
Tityra braziliensis,Eastern Black-tailed Tityra,,,FALSE,
Tityra semifasciata,Masked Tityra,mastit1,198132201,FALSE,Kaukėtoji tityra
Tityra leucura,White-tailed Tityra,whttit2,,FALSE,Juodavainikė tityra
Xenopsaris albinucha,White-naped Becards,whnxen1,69853,FALSE,Ksenopsaris
Pachyramphus versicolor,Barred Becard,barbec1,608680795,FALSE,Dryžasis bekardas
Pachyramphus xanthogenys,Yellow-cheeked Becard,,,FALSE,
Pachyramphus griseigularis,Green-cheeked Becard,,,FALSE,
Pachyramphus viridis,Green-backed Becard,grbbec1,488984711,FALSE,Žalianugaris bekardas
Pachyramphus spodiurus,Slaty Becard,slabec1,475140631,FALSE,Skalūninis bekardas
Pachyramphus rufus,Cinereous Becard,cinbec2,385182311,FALSE,Pilkasis bekardas
Pachyramphus minor,Pink-throated Becard,pitbec1,77946,FALSE,Mažasis bekardas
Pachyramphus aglaiae,Rose-throated Becard,rotbec,166113201,FALSE,Didysis bekardas
Pachyramphus niger,Jamaican Becard,jambec1,358951561,FALSE,Jamaikinis bekardas
Pachyramphus homochrous,One-colored Becard,oncbec1,251725561,FALSE,Vienspalvis bekardas
Leptopogon taczanowskii,Inca Flycatcher,incfly1,553947651,FALSE,Tačanovskio tironinis inkas
Taeniotriccus andrei,Black-chested Tyrant,blctyr2,323159621,FALSE,Juodakrūtis tironas
Cnipodectes subbrunneus,Brownish Twistwing,brofly1,112799,FALSE,rudoji musinukė
Cnipodectes superrufus,Rufous Twistwing,ruftwi1,31739191,FALSE,Peruvinė rudoji musinukė
Rhynchocyclus brevirostris,Eye-ringed Flatbill,eyrfla1,20350,FALSE,
Rhynchocyclus aequinoctialis,Western Olivaceous Flatbill,olifla2,25940,FALSE,
Rhynchocyclus olivaceus,Eastern Olivaceous Flatbill,olifla3,117030,FALSE,
Rhynchocyclus pacificus,Pacific Flatbill,pacfla1,627917244,FALSE,Kolumbinis plokščiasnapis tironas
Rhynchocyclus fulvipectus,Fulvous-breasted Flatbill,fubfla1,600644471,FALSE,Rusvakrūtis plokščiasnapis tironas
Tolmomyias sulphurescens,Yellow-olive Flatbill,yeofly1,199538,FALSE,
Tolmomyias traylori,Orange-eyed Flatbill,orefly1,34313,FALSE,Treiloro alyvinis tironas
Tolmomyias assimilis,Yellow-margined Flatbill,yemfly1,388637621,FALSE,
Tolmomyias flavotectus,Yellow-winged Flatbill,yemfly2,381734391,FALSE,
Tolmomyias poliocephalus,Grey-crowned Flatbill,gycfly1,389466461,FALSE,Pilkavainikis alyvinis tironas
Tolmomyias viridiceps,Olive-faced Flatbill,yebfly4,622735132,FALSE,
Tolmomyias flaviventris,Ochre-lored Flatbill,yebfly3,360610661,FALSE,
Myiornis auricularis,Eared Pygmy-tyrant,eaptyr1,282255931,FALSE,
Myiornis albiventris,White-bellied Pygmy-tyrant,wbptyr1,608677494,FALSE,Baltapilvis miornis
Myiornis atricapillus,Black-capped Pygmy-tyrant,bcptyr1,192574,FALSE,Juodagalvis miornis
Myiornis ecaudatus,Short-tailed Pygmy-tyrant,stptyr1,369495141,FALSE,
Oncostoma cinereigulare,Northern Bentbill,norben1,356416921,FALSE,Šiaurinis lenktasnapis tironas
Oncostoma olivaceum,Southern Bentbill,souben1,198732361,FALSE,Pietinis lenktasnapis tironas
Lophotriccus pileatus,Scale-crested Pygmy-tyrant,scptyr1,123832931,FALSE,Paprastasis žvynuotagalvis tironas
