Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,lt
Galloperdix bicalcarata,Sri Lanka Spurfowl,ceyspu1,203990571,FALSE,Šrilankinė pentinuotoji kurapka
Afropavo congensis,Congo Peafowl,conpea1,519903871,FALSE,Konginis povas
Pavo cristatus,Indian Peafowl,compea,91301711,TRUE,Paprastasis povas
Pavo muticus,Green Peafowl,grepea1,609104061,FALSE,Žaliasis povas
Argusianus argus,Great Argus,grearg1,203944171,TRUE,Argusas
Rheinardia ocellata,Crested Argus,crearg1,609069136,FALSE,
R. o. nigrescens,Malaysian Argus,,,FALSE,
Polyplectron napoleonis,Palawan Peacock-pheasant,palpep1,212042841,FALSE,Filipininis povinis fazanas
Polyplectron malacense,Malay Peacock-pheasant,mapphe1,36637,FALSE,
Polyplectron schleiermacheri,Bornean Peacock-pheasant,bopphe1,522860261,FALSE,Bornėjinis povinis fazanas
Polyplectron germaini,Germain's Peacock-pheasant,gepphe1,204023661,FALSE,Rudasis povinis fazanas
Polyplectron katsumatae,Hainan Peacock-pheasant,grypep3,613345194,FALSE,
Polyplectron bicalcaratum,Grey Peacock-pheasant,grypep2,628409328,FALSE,
Polyplectron inopinatum,Mountain Peacock-pheasant,mopphe1,174378541,FALSE,Kalninis povinis fazanas
Polyplectron chalcurum,Bronze-tailed Peacock-pheasant,btpphe1,640131691,FALSE,Bronzauodegis povinis fazanas
Margaroperdix madagarensis,Madagascar Partridge,madpar2,95730,FALSE,Madagaskarinė kurapka
Coturnix coturnix,Common Quail,comqua1,204001791,FALSE,Putpelė
Coturnix japonica,Japanese Quail,japqua,308522651,FALSE,Japoninė putpelė
Coturnix coromandelica,Rain Quail,raiqua1,204026791,FALSE,Juodakrūtė putpelė
Coturnix delegorguei,Harlequin Quail,harqua1,55993,FALSE,Spalvingoji putpelė
Coturnix pectoralis,Stubble Quail,stuqua1,73173471,TRUE,
†Coturnix novaezelandiae,New Zealand Quail,nezqua1,,FALSE,
Synoicus ypsilophorus,Brown Quail,broqua1,295926801,FALSE,Tasmaninė putpelė
Synoicus chinensis,Asian Blue Quail,blbqua1,385061761,FALSE,
Synoicus adansonii,African Blue Quail,bluqua1,,FALSE,afrikinė melsvoji putpelė
Anurophasis monorthonyx,Snow Mountain Quail,snmqua2,,FALSE,Naujosios Gvinėjos putpelė
Tetraogallus caucasicus,Caucasian Snowcock,causno1,155121691,FALSE,Kaukazinis ularas
Tetraogallus caspius,Caspian Snowcock,cassno1,634394698,FALSE,Kaspijinis ularas
Tetraogallus himalayensis,Himalayan Snowcock,himsno,601383721,FALSE,Himalajinis ularas
Tetraogallus tibetanus,Tibetan Snowcock,tibsno1,483108811,FALSE,Tibetinis ularas
Tetraogallus altaicus,Altai Snowcock,altsno1,639220722,FALSE,Altajinis ularas
Alectoris graeca,Rock Partridge,rocpar2,203977601,FALSE,Akmeninis keklikas
Alectoris chukar,Chukar,chukar,210513,FALSE,Kalninis keklikas
Alectoris magna,Przevalski's Partridge,przpar1,60496,FALSE,Prževalskio keklikas
Alectoris philbyi,Philby's Partridge,phipar1,203934401,FALSE,Juodagurklis keklikas
Alectoris barbara,Barbary Partridge,barpar2,143882821,FALSE,Barzdotasis keklikas
Alectoris rufa,Red-legged Partridge,relpar1,526100581,TRUE,Raudonkojis keklikas
Alectoris melanocephala,Arabian Partridge,arapar1,480127751,FALSE,Juodagalvis keklikas
Lerwa lerwa,Snow Partridge,snopar1,517723441,FALSE,Snieginė kurapka
Ammoperdix griseogularis,See-see Partridge,sespar1,108033921,FALSE,Persijinė stepinė kurapka
Ammoperdix heyi,Sand Partridge,sanpar1,203694431,FALSE,Arabinė stepinė kurapka
Perdicula asiatica,Jungle Bush-quail,jubqua1,268669171,FALSE,
Perdicula argoondah,Rock Bush-quail,robqua1,625833475,FALSE,Kalninė džiunglinė putpelė
Perdicula erythrorhyncha,Painted Bush-quail,pabqua1,394824171,FALSE,Raiboji džiunglinė putpelė
Perdicula manipurensis,Manipur Bush-quail,mabqua1,,FALSE,Manipurinė džiunglinė putpelė
Ophrysia superciliosa,Himalayan Quail,himqua1,,FALSE,Himalajinė kurapka
Pternistis hartlaubi,Hartlaub's Francolin,harfra3,203933311,FALSE,Kalninis frankolinas
Pternistis bicalcaratus,Double-spurred Francolin,dosfra2,643643301,FALSE,Dvipentinis frankolinas
Pternistis icterorhynchus,Heuglin's Francolin,heufra1,467007011,FALSE,Geltonsnapis frankolinas
Pternistis clappertoni,Clapperton's Francolin,clafra1,33651871,FALSE,Savaninis frankolinas
Pternistis harwoodi,Harwood's Francolin,harfra4,204006921,FALSE,Etiopinis frankolinas
NUMIDIDAE,Guineafowl,,,FALSE,
Numida meleagris,Helmeted Guineafowl,helgui,203933171,FALSE,Patarška
N. m. galeatus,West African Guineafowl,,,FALSE,
Agelastes meleagrides,White-breasted Guineafowl,whbgui1,,FALSE,Baltakrūtė patarška
Agelastes niger,Black Guineafowl,blagui1,565534711,FALSE,Juodoji patarška
Acryllium vulturinum,Vulturine Guineafowl,vulgui1,645270670,FALSE,Grifinė patarška
Guttera plumifera,Plumed Guineafowl,plugui1,629897712,FALSE,Lygiakuodė patarška
Guttera verreauxi,Western Crested Guineafowl,cregui2,591043601,FALSE,
Guttera pucherani,Eastern Crested Guineafowl,cregui3,176795,FALSE,
Guttera edouardi,Southern Crested Guineafowl,cregui4,206411171,FALSE,
ODONTOPHORIDAE,New World Quails,,,FALSE,
Ptilopachus petrosus,Stone Partridge,stopar1,203911811,FALSE,Akmeninė kurapka
Ptilopachus nahani,Nahan's Partridge,nahfra2,166731461,FALSE,Konginis frankolinas
Philortyx fasciatus,Barred Quail,banqua1,325304401,FALSE,Dryžoji putpelė
Oreortyx pictus,Mountain Quail,mouqua,42202,TRUE,Kalninė putpelė
Colinus virginianus,Northern Bobwhite,norbob,92708151,TRUE,Virgininė putpelė
C. v. ridgwayi,Masked Bobwhite,,,FALSE,
Colinus nigrogularis,Black-throated Bobwhite,bltbob1,173680121,FALSE,Juodagurklė amerikinė putpelė
Colinus leucopogon,Spot-bellied Bobwhite,crebob2,211115,FALSE,
Colinus cristatus,Crested Bobwhite,crebob1,64102,FALSE,
Callipepla squamata,Scaled Quail,scaqua,452435231,TRUE,Žvynuotoji putpelė
Callipepla douglasii,Elegant Quail,elequa,109166,FALSE,Dailioji putpelė
Callipepla gambelii,Gambel's Quail,gamqua,435382461,FALSE,Gambelio putpelė
Callipepla californica,California Quail,calqua,111018,TRUE,Kaliforninė putpelė
Dendrortyx barbatus,Bearded Wood-partridge,bewpar1,333371541,FALSE,Barzdotoji miškinė kurapka
Dendrortyx macroura,Long-tailed Wood-partridge,ltwpar1,125230411,FALSE,Ilgauodegė miškinė kurapka
Dendrortyx leucophrys,Buffy-crowned Wood-partridge,bcwpar1,94099921,FALSE,Gvatemalinė miškinė kurapka
Odontophorus gujanensis,Marbled Wood-quail,mawqua1,64113,FALSE,Marmurinė miškinė putpelė
Odontophorus capueira,Spot-winged Wood-quail,swwqua1,598288201,FALSE,Pilkakrūtė miškinė putpelė
Odontophorus melanotis,Black-eared Wood-quail,bewqua1,616447048,FALSE,Juodaausė miškinė putpelė
Odontophorus erythrops,Rufous-fronted Wood-quail,rfwqua1,609684320,FALSE,Juodaausė miškinė putpelė
Odontophorus atrifrons,Black-fronted Wood-quail,bfwqua1,167188,FALSE,Juodakaktė miškinė putpelė
Odontophorus hyperythrus,Chestnut Wood-quail,chwqua1,198748961,FALSE,Rudoji miškinė putpelė
Odontophorus melanonotus,Dark-backed Wood-quail,dbwqua1,609501576,FALSE,Tamsianugarė miškinė putpelė
Odontophorus speciosus,Rufous-breasted Wood-quail,rbwqua1,203934101,FALSE,Rusvakrūtė miškinė putpelė
