Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,pl
Penelope jacucaca,White-browed Guan,whbgua1,248626081,FALSE,penelopa białobrewa
Pipile pipile,Trinidad Piping-guan,trpgua1,619307334,FALSE,grdacz trinidadzki
Pipile cumanensis,Blue-throated Piping-guan,butpig1,321834561,FALSE,grdacz modrogardły/białogłowy
Pipile grayi,White-throated Piping-guan,butpig2,396896121,FALSE,grdacz białogłowy
Pipile cujubi,Red-throated Piping-guan,rtpgua1,81437,FALSE,grdacz czerwonogardły
Pipile jacutinga,Black-fronted Piping-guan,bfpgua1,184775031,FALSE,grdacz czarnoczelny
Aburria aburri,Wattled Guan,watgua1,101066981,FALSE,grdacz soplowaty
Oreophasis derbianus,Horned Guan,horgua1,177575,TRUE,jednoróg
Ortalis vetula,Plain Chachalaca,placha,172754021,TRUE,czakalaka północna
Ortalis cinereiceps,Grey-headed Chachalaca,grhcha1,456443461,FALSE,czakalaka szarogłowa
Ortalis garrula,Chestnut-winged Chachalaca,chwcha1,624280923,FALSE,czakalaka brązowoskrzydła
Ortalis ruficauda,Rufous-vented Chachalaca,ruvcha1,2320,FALSE,czakalaka rdzaworzytna
Ortalis erythroptera,Rufous-headed Chachalaca,ruhcha1,514472621,FALSE,czakalaka rudogłowa
Ortalis wagleri,Rufous-bellied Chachalaca,rubcha1,49211281,FALSE,czakalaka barwna
Ortalis poliocephala,West Mexican Chachalaca,wemcha1,153248731,FALSE,czakalaka płowa
Ortalis canicollis,Chaco Chachalaca,chacha1,572139481,FALSE,czakalaka bura
Ortalis leucogastra,White-bellied Chachalaca,whbcha1,20375,FALSE,czakalaka białobrzucha
Ortalis columbiana,Colombian Chachalaca,colcha1,212229,FALSE,czakalaka kolumbijska
Ortalis guttata,Speckled Chachalaca,specha3,183366391,FALSE,czakalaka kreskowana
Ortalis araucan,East Brasilian Chachalaca,,,FALSE,
Ortalis squamata,Scaled Chachalaca,specha4,332027481,FALSE,czakalaka łuskowana
Ortalis motmot,Little Chachalaca,varcha1,78010,FALSE,czakalaka rdzawa
CASUARIIDAE,Cassowaries Emus,,,FALSE,
Casuarius casuarius,Southern Cassowary,soucas1,203989761,TRUE,Kazuar Hełmiasty
Casuarius bennetti,Dwarf Cassowary,dwacas1,203987101,FALSE,kazuar mniejszy
Casuarius unappendiculatus,Northern Cassowary,norcas1,536563291,FALSE,kazuar jednokoralowy
Dromaius novaehollandiae,Emu,emu1,623096519,TRUE,Emu Zwyczajne
†Dromaius minor,King Island Emu,,,FALSE,
†Dromaius baudinianus,Kangoroo Island Emu,,,FALSE,
APTERYGIDAE,Kiwis,,,FALSE,
Apteryx haastii,Great Spotted Kiwi,grskiw1,617700522,TRUE,kiwi plamisty
Apteryx owenii,Little Spotted Kiwi,liskiw1,596188651,FALSE,kiwi mały
Apteryx mantelli,North Island Brown Kiwi,nibkiw1,623165890,TRUE,Kiwi Północny
Apteryx australis,Southern Brown Kiwi,sobkiw1,85614831,FALSE,kiwi brunatny
Ortalis superciliaris,Buff-browed Chachalaca,bubcha1,349286621,FALSE,czakalaka jasnobrewa
Nothocrax urumutum,Nocturnal Curassow,noccur1,34378,FALSE,czubacz rdzawy
Crax rubra,Great Curassow,grecur1,398165901,TRUE,czubacz zmienny
Crax alberti,Blue-billed Curassow,bubcur1,203963551,FALSE,czubacz niebieskodzioby
Crax daubentoni,Yellow-knobbed Curassow,yekcur1,386558971,FALSE,czubacz żółtoguzy
Crax alector,Black Curassow,blacur1,322191801,FALSE,czubacz kędzierzawy
Crax fasciolata,Bare-faced Curassow,bafcur1,203894921,FALSE,czubacz gołolicy
Crax pinima,Belem Curassow,,,FALSE,czubacz gołolicy (pinima)
Crax globulosa,Wattled Curassow,watcur1,219106901,FALSE,czubacz koralowy
Crax blumenbachii,Red-billed Curassow,rebcur1,625223109,FALSE,czubacz czerwonodzioby
Mitu tomentosum,Crestless Curassow,crecur2,317505041,FALSE,czubacz rdzawosterny
Mitu mitu,Alagoas Curassow,alacur1,,FALSE,czubacz garbonosy
Mitu tuberosum,Razor-billed Curassow,rabcur2,559592971,FALSE,czubacz brzytwodzioby
Mitu salvini,Salvin's Curassow,salcur1,629970995,FALSE,czubacz białosterny
Pauxi unicornis,Horned Curassow,horcur3,534805601,FALSE,czubacz rogaty
Pauxi koepckeae,Sira Curassow,horcur2,32320171,FALSE,czubacz peruwiański
Pauxi pauxi,Helmeted Curassow,helcur1,63667,FALSE,czubacz hełmiasty
Arborophila crudigularis,Taiwan Partridge,taipar1,39795,FALSE,pstropiór tajwański
Arborophila mandellii,Chestnut-breasted Partridge,chbpar2,239603,FALSE,pstropiór rdzawoszyi
Arborophila brunneopectus,Bar-backed Partridge,babpar1,113529,FALSE,pstropiór płowy
Arborophila rufipectus,Sichuan Partridge,sicpar1,637394890,FALSE,pstropiór syczuański
Arborophila gingica,Collared Partridge,whnpar2,48693791,FALSE,pstropiór białoczelny
Arborophila davidi,Orange-necked Partridge,ornpar1,569348161,FALSE,pstropiór wietnamski
Arborophila cambodiana,Chestnut-headed Partridge,chhpar1,630487371,FALSE,pstropiór ciemnogrzbiety
Arborophila campbelli,Malay Partridge,gybpar3,203886611,FALSE,pstropiór białowąsy
Arborophila rolli,Tan-breasted Partridge,gybpar5,175504,FALSE,pstropiór rdzawopierśny
Arborophila sumatrana,Sumatran Partridge,gybpar6,491844231,FALSE,pstropiór sumatrzański
Arborophila orientalis,White-faced Partridge,gybpar4,181897,FALSE,pstropiór białouchy
Arborophila javanica,Chestnut-bellied Partridge,chbpar1,647027343,FALSE,pstropiór jawajski
Arborophila rubrirostris,Red-billed Partridge,rebpar3,642820203,FALSE,pstropiór czerwonodzioby
Arborophila hyperythra,Bornean Partridge,rebpar5,203956931,FALSE,pstropiór ciemnoboczny
Arborophila ardens,Hainan Partridge,haipar1,609066009,FALSE,pstropiór maskowy
Arborophila chloropus,Green-legged Partridge,,,FALSE,kuropatwokur zielononogi
Arborophila tonkinensis,Tonkin Partridge,,,FALSE,kuropatwokur zielononogi (tonkinensis)
Arborophila charltonii,Chestnut-necklaced Partridge,chnpar1,621122731,FALSE,
Arborophila graydoni,Sabah Partridge,chnpar3,642338035,FALSE,kuropatwokur borneański
Rhizothera longirostris,Long-billed Partridge,lobpar3,181633331,FALSE,dżunglokur długodzioby
Rhizothera dulitensis,Dulit Partridge,lobpar2,,FALSE,dżunglokur białobrzuchy
Melanoperdix niger,Black Partridge,blapar2,629033581,FALSE,czarnopiór
Haematortyx sanguiniceps,Crimson-headed Partridge,crhpar1,609672173,FALSE,szkarłatnik
Caloperdix oculea,Ferruginous Partridge,ferpar2,600452771,FALSE,rdzawopiór
Galloperdix spadicea,Red Spurfowl,redspu1,349354171,FALSE,kuropatwiak rdzawy
Galloperdix lunulata,Painted Spurfowl,paispu1,207089521,FALSE,kuropatwiak siwogłowy
Galloperdix bicalcarata,Sri Lanka Spurfowl,ceyspu1,203990571,FALSE,kuropatwiak cejloński
Afropavo congensis,Congo Peafowl,conpea1,519903871,FALSE,paw kongijski
Pavo cristatus,Indian Peafowl,compea,91301711,TRUE,Paw Indyjski
Pavo muticus,Green Peafowl,grepea1,609104061,FALSE,paw złoty
Argusianus argus,Great Argus,grearg1,203944171,TRUE,argus malajski
Rheinardia ocellata,Crested Argus,crearg1,609069136,FALSE,
R. o. nigrescens,Malaysian Argus,,,FALSE,
Polyplectron napoleonis,Palawan Peacock-pheasant,palpep1,212042841,FALSE,wieloszpon lśniący
Polyplectron malacense,Malay Peacock-pheasant,mapphe1,36637,FALSE,wieloszpon pawi
Polyplectron schleiermacheri,Bornean Peacock-pheasant,bopphe1,522860261,FALSE,wieloszpon białobrody
Polyplectron germaini,Germain's Peacock-pheasant,gepphe1,204023661,FALSE,wieloszpon wietnamski
Polyplectron katsumatae,Hainan Peacock-pheasant,grypep3,613345194,FALSE,wieloszpon hainański
Polyplectron bicalcaratum,Grey Peacock-pheasant,grypep2,628409328,FALSE,wieloszpon szary
Polyplectron inopinatum,Mountain Peacock-pheasant,mopphe1,174378541,FALSE,wieloszpon rdzawogrzbiety
Polyplectron chalcurum,Bronze-tailed Peacock-pheasant,btpphe1,640131691,FALSE,wieloszpon brązowy
