Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,it
Arborophila cambodiana,Chestnut-headed Partridge,chhpar1,630487371,FALSE,Pernice testacastana
Arborophila campbelli,Malay Partridge,gybpar3,203886611,FALSE,Pernice di Campbell
Arborophila rolli,Tan-breasted Partridge,gybpar5,175504,FALSE,Pernice di Roll
Arborophila sumatrana,Sumatran Partridge,gybpar6,491844231,FALSE,
Arborophila orientalis,White-faced Partridge,gybpar4,181897,FALSE,
Arborophila javanica,Chestnut-bellied Partridge,chbpar1,647027343,FALSE,Pernice panciacastana
Arborophila rubrirostris,Red-billed Partridge,rebpar3,642820203,FALSE,Pernice beccorosso
Arborophila hyperythra,Bornean Partridge,rebpar5,203956931,FALSE,Pernice pettorosso
Arborophila ardens,Hainan Partridge,haipar1,609066009,FALSE,Pernice di Hainan
Arborophila chloropus,Green-legged Partridge,,,FALSE,Pernice pettosquamato
Arborophila tonkinensis,Tonkin Partridge,,,FALSE,
Arborophila charltonii,Chestnut-necklaced Partridge,chnpar1,621122731,FALSE,
Arborophila graydoni,Sabah Partridge,chnpar3,642338035,FALSE,
Rhizothera longirostris,Long-billed Partridge,lobpar3,181633331,FALSE,
Rhizothera dulitensis,Dulit Partridge,lobpar2,,FALSE,Pernice di Hose
Melanoperdix niger,Black Partridge,blapar2,629033581,FALSE,Pernice nera
Haematortyx sanguiniceps,Crimson-headed Partridge,crhpar1,609672173,FALSE,Pernice testacremisi
Caloperdix oculea,Ferruginous Partridge,ferpar2,600452771,FALSE,Pernice tabaccata
Galloperdix spadicea,Red Spurfowl,redspu1,349354171,FALSE,Gallopernice rosso
Galloperdix lunulata,Painted Spurfowl,paispu1,207089521,FALSE,Gallopernice pittato
Galloperdix bicalcarata,Sri Lanka Spurfowl,ceyspu1,203990571,FALSE,Gallopernice di Sri Lanka
Afropavo congensis,Congo Peafowl,conpea1,519903871,FALSE,Pavone del Congo
Pavo cristatus,Indian Peafowl,compea,91301711,TRUE,Pavone
Pavo muticus,Green Peafowl,grepea1,609104061,FALSE,Pavone verde
