Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,zh,zh_hk,zh_tw
Penelope obscura,Dusky-legged Guan,dulgua1,17658,FALSE,,,
Penelope pileata,White-crested Guan,whcgua1,203895021,FALSE,彩冠雉,彩冠雉,白頭冠雉
Penelope ochrogaster,Chestnut-bellied Guan,chbgua1,193678891,FALSE,栗腹冠雉,栗腹冠雉,栗腹冠雉
Penelope jacucaca,White-browed Guan,whbgua1,248626081,FALSE,白眉冠雉,白眉冠雉,白眉冠雉
Pipile pipile,Trinidad Piping-guan,trpgua1,619307334,FALSE,,,
Pipile cumanensis,Blue-throated Piping-guan,butpig1,321834561,FALSE,,,
Pipile grayi,White-throated Piping-guan,butpig2,396896121,FALSE,白喉鸣冠雉,白喉鸣冠雉,
Pipile cujubi,Red-throated Piping-guan,rtpgua1,81437,FALSE,红喉鸣冠雉,红喉鸣冠雉,紅喉鳴冠雉
Pipile jacutinga,Black-fronted Piping-guan,bfpgua1,184775031,FALSE,黑额鸣冠雉,黑额鸣冠雉,黑額鳴冠雉
Aburria aburri,Wattled Guan,watgua1,101066981,FALSE,肉垂冠雉,肉垂冠雉,肉垂鳴冠雉
Oreophasis derbianus,Horned Guan,horgua1,177575,TRUE,角冠雉,角冠雉,角冠雉
Ortalis vetula,Plain Chachalaca,placha,172754021,TRUE,,,
Ortalis cinereiceps,Grey-headed Chachalaca,grhcha1,456443461,FALSE,灰头小冠雉,灰头小冠雉,灰頭稚冠雉
Ortalis garrula,Chestnut-winged Chachalaca,chwcha1,624280923,FALSE,,,
Ortalis ruficauda,Rufous-vented Chachalaca,ruvcha1,2320,FALSE,棕臀小冠雉,棕臀小冠雉,棕臀稚冠雉
Ortalis erythroptera,Rufous-headed Chachalaca,ruhcha1,514472621,FALSE,棕头小冠雉,棕头小冠雉,棕頭稚冠雉
Ortalis wagleri,Rufous-bellied Chachalaca,rubcha1,49211281,FALSE,棕腹小冠雉,棕腹小冠雉,棕腹稚冠雉
Ortalis poliocephala,West Mexican Chachalaca,wemcha1,153248731,FALSE,,,
Ortalis canicollis,Chaco Chachalaca,chacha1,572139481,FALSE,乔科小冠雉,乔科小冠雉,查科稚冠雉
Ortalis leucogastra,White-bellied Chachalaca,whbcha1,20375,FALSE,白腹小冠雉,白腹小冠雉,白腹稚冠雉
Ortalis columbiana,Colombian Chachalaca,colcha1,212229,FALSE,哥伦比亚小冠雉,哥伦比亚小冠雉,哥倫比亞斑點稚冠雉
Ortalis guttata,Speckled Chachalaca,specha3,183366391,FALSE,,,
Ortalis araucan,East Brasilian Chachalaca,,,FALSE,,,
Ortalis squamata,Scaled Chachalaca,specha4,332027481,FALSE,,,
Ortalis motmot,Little Chachalaca,varcha1,78010,FALSE,,,
CASUARIIDAE,Cassowaries Emus,,,FALSE,,,
Casuarius casuarius,Southern Cassowary,soucas1,203989761,TRUE,双垂鹤鸵,双垂鹤鸵,雙垂鶴鴕
Casuarius bennetti,Dwarf Cassowary,dwacas1,203987101,FALSE,侏鹤鸵,侏鹤鸵,侏鶴鴕
Casuarius unappendiculatus,Northern Cassowary,norcas1,536563291,FALSE,单垂鹤鸵,单垂鹤鸵,單垂鶴鴕
Dromaius novaehollandiae,Emu,emu1,623096519,TRUE,鸸鹋,鸸鹋,鴯鶓
†Dromaius minor,King Island Emu,,,FALSE,,,
†Dromaius baudinianus,Kangoroo Island Emu,,,FALSE,,,
APTERYGIDAE,Kiwis,,,FALSE,,,
Apteryx haastii,Great Spotted Kiwi,grskiw1,617700522,TRUE,大斑几维,大斑几维,大斑鷸鴕
Apteryx owenii,Little Spotted Kiwi,liskiw1,596188651,FALSE,小斑几维,小斑几维,小斑鷸鴕
Apteryx mantelli,Northern Brown Kiwi,nibkiw1,623165890,TRUE,北岛褐几维鸟,北岛褐几维鸟,北島褐鷸鴕
Apteryx australis,Southern Brown Kiwi,sobkiw1,85614831,FALSE,,,
Ortalis superciliaris,Buff-browed Chachalaca,bubcha1,349286621,FALSE,黄眉小冠雉,黄眉小冠雉,黃眉稚冠雉
Nothocrax urumutum,Nocturnal Curassow,noccur1,34378,FALSE,夜冠雉,夜冠雉,夜冠雉
Crax rubra,Great Curassow,grecur1,398165901,TRUE,大凤冠雉,大凤冠雉,大鳳冠雉
Crax alberti,Blue-billed Curassow,bubcur1,203963551,FALSE,,,
Crax daubentoni,Yellow-knobbed Curassow,yekcur1,386558971,FALSE,黄瘤凤冠雉,黄瘤凤冠雉,黃瘤鳳冠雉
Crax alector,Black Curassow,blacur1,322191801,FALSE,黑凤冠雉,黑凤冠雉,黑鳳冠雉
Crax fasciolata,Bare-faced Curassow,bafcur1,203894921,FALSE,裸面凤冠雉,裸面凤冠雉,裸臉鳳冠雉
Crax pinima,Belem Curassow,,,FALSE,,,
Crax globulosa,Wattled Curassow,watcur1,219106901,FALSE,肉垂凤冠雉,肉垂凤冠雉,肉垂鳳冠雉
Crax blumenbachii,Red-billed Curassow,rebcur1,625223109,FALSE,红嘴凤冠雉,红嘴凤冠雉,紅嘴鳳冠雉
Mitu tomentosum,Crestless Curassow,crecur2,317505041,FALSE,无冠盔嘴雉,无冠盔嘴雉,小刀嘴鳳冠雉
Mitu mitu,Alagoas Curassow,alacur1,,FALSE,阿拉戈盔嘴雉,阿拉戈盔嘴雉,刀嘴鳳冠雉
Mitu tuberosum,Razor-billed Curassow,rabcur2,559592971,FALSE,巨嘴盔嘴雉,巨嘴盔嘴雉,大刀嘴鳳冠雉
Mitu salvini,Salvin's Curassow,salcur1,629970995,FALSE,白腹盔嘴雉,白腹盔嘴雉,沙文氏刀嘴鳳冠雉
Pauxi unicornis,Horned Curassow,horcur3,534805601,FALSE,,,
Pauxi koepckeae,Sira Curassow,horcur2,32320171,FALSE,希拉盔嘴雉,希拉盔嘴雉,席拉鳳冠雉
Pauxi pauxi,Helmeted Curassow,helcur1,63667,FALSE,,,
Arborophila crudigularis,Taiwan Partridge,taipar1,39795,FALSE,台湾山鹧鸪,Taiwan Partridge,台灣山鷓鴣
Arborophila mandellii,Chestnut-breasted Partridge,chbpar2,239603,FALSE,红胸山鹧鸪,红胸山鹧鸪,紅胸山鷓鴣
Arborophila brunneopectus,Bar-backed Partridge,babpar1,113529,FALSE,褐胸山鹧鸪,褐胸山鹧鸪,斑背山鷓鴣
Arborophila rufipectus,Sichuan Partridge,sicpar1,637394890,FALSE,四川山鹧鸪,四川山鹧鸪,四川山鷓鴣
Arborophila gingica,Collared Partridge,whnpar2,48693791,FALSE,白眉山鹧鸪,白眉山鷓鴣,白額山鷓鴣〔白眉山鷓鴣〕
Arborophila davidi,Orange-necked Partridge,ornpar1,569348161,FALSE,橙颈山鹧鸪,橙颈山鹧鸪,橙頸山鷓鴣
Arborophila cambodiana,Chestnut-headed Partridge,chhpar1,630487371,FALSE,栗头山鹧鸪,栗头山鹧鸪,栗頭山鷓鴣
Arborophila campbelli,Malay Partridge,gybpar3,203886611,FALSE,砍氏山鹧鸪,砍氏山鹧鸪,馬來山鷓鴣
Arborophila rolli,Tan-breasted Partridge,gybpar5,175504,FALSE,罗氏山鹧鸪,罗氏山鹧鸪,勞氏山鷓鴣
Arborophila sumatrana,Sumatran Partridge,gybpar6,491844231,FALSE,,,
Arborophila orientalis,White-faced Partridge,gybpar4,181897,FALSE,,,
Arborophila javanica,Chestnut-bellied Partridge,chbpar1,647027343,FALSE,棕腹山鹧鸪,棕腹山鹧鸪,栗腹山鷓鴣
Arborophila rubrirostris,Red-billed Partridge,rebpar3,642820203,FALSE,红嘴山鹧鸪,红嘴山鹧鸪,紅嘴山鷓鴣
Arborophila hyperythra,Bornean Partridge,rebpar5,203956931,FALSE,赤胸山鹧鸪,赤胸山鹧鸪,赤胸山鷓鴣
Arborophila ardens,Hainan Partridge,haipar1,609066009,FALSE,海南山鹧鸪,海南山鷓鴣,海南山鷓鴣
Arborophila chloropus,Green-legged Partridge,,,FALSE,绿脚山鹧鸪,绿脚山鹧鸪,鱗胸山鷓鴣
Arborophila tonkinensis,Tonkin Partridge,,,FALSE,绿脚山鹧鸪 (tonkinensis),绿脚山鹧鸪 (tonkinensis),
Arborophila charltonii,Chestnut-necklaced Partridge,chnpar1,621122731,FALSE,,,
Arborophila graydoni,Sabah Partridge,chnpar3,642338035,FALSE,沙巴树鹧鸪,沙巴树鹧鸪,
Rhizothera longirostris,Long-billed Partridge,lobpar3,181633331,FALSE,,,
Rhizothera dulitensis,Dulit Partridge,lobpar2,,FALSE,霍氏长嘴山鹑,霍氏长嘴山鹑,侯氏山鶉
Melanoperdix niger,Black Partridge,blapar2,629033581,FALSE,黑鹑,黑鹑,黑鶉
Haematortyx sanguiniceps,Crimson-headed Partridge,crhpar1,609672173,FALSE,红头林鹧鸪,红头林鹧鸪,紅頭林鷓鴣
Caloperdix oculea,Ferruginous Partridge,ferpar2,600452771,FALSE,锈红林鹧鸪,锈红林鹧鸪,鏽紅林鷓鴣
Galloperdix spadicea,Red Spurfowl,redspu1,349354171,FALSE,赤鸡鹑,赤鸡鹑,赤雞鶉
Galloperdix lunulata,Painted Spurfowl,paispu1,207089521,FALSE,彩鸡鹑,彩鸡鹑,多彩雞鶉
Galloperdix bicalcarata,Sri Lanka Spurfowl,ceyspu1,203990571,FALSE,斯里兰卡鸡鹑,斯里兰卡鸡鹑,斯里蘭卡雞鶉
Afropavo congensis,Congo Peafowl,conpea1,519903871,FALSE,刚果孔雀,刚果孔雀,剛果孔雀
