Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,de
Ortalis erythroptera,Rufous-headed Chachalaca,ruhcha1,514472621,FALSE,Rotkopfguan
Ortalis wagleri,Rufous-bellied Chachalaca,rubcha1,49211281,FALSE,Rotbauchguan
Ortalis poliocephala,West Mexican Chachalaca,wemcha1,153248731,FALSE,Graubrustguan
Ortalis canicollis,Chaco Chachalaca,chacha1,572139481,FALSE,Chacoguan
Ortalis leucogastra,White-bellied Chachalaca,whbcha1,20375,FALSE,Weißbauchguan
Ortalis columbiana,Colombian Chachalaca,colcha1,212229,FALSE,Kolumbienguan
Ortalis guttata,Speckled Chachalaca,specha3,183366391,FALSE,Tüpfelguan
Ortalis araucan,East Brasilian Chachalaca,,,FALSE,
Ortalis squamata,Scaled Chachalaca,specha4,332027481,FALSE,Schuppenguan
Ortalis motmot,Little Chachalaca,varcha1,78010,FALSE,Motmotguan
CASUARIIDAE,Cassowaries Emus,,,FALSE,
Casuarius casuarius,Southern Cassowary,soucas1,203989761,TRUE,Helmkasuar
Casuarius bennetti,Dwarf Cassowary,dwacas1,203987101,FALSE,Bennettkasuar
Casuarius unappendiculatus,Northern Cassowary,norcas1,536563291,FALSE,Einlappenkasuar
Dromaius novaehollandiae,Emu,emu1,623096519,TRUE,Emu
†Dromaius minor,King Island Emu,,,FALSE,
†Dromaius baudinianus,Kangoroo Island Emu,,,FALSE,
APTERYGIDAE,Kiwis,,,FALSE,
Apteryx haastii,Great Spotted Kiwi,grskiw1,617700522,TRUE,Haastkiwi
Apteryx owenii,Little Spotted Kiwi,liskiw1,596188651,FALSE,Zwergkiwi
Apteryx mantelli,North Island Brown Kiwi,nibkiw1,623165890,TRUE,Nordstreifenkiwi
Apteryx australis,Southern Brown Kiwi,sobkiw1,85614831,FALSE,Südstreifenkiwi
Ortalis superciliaris,Buff-browed Chachalaca,bubcha1,349286621,FALSE,Gelbbrauenguan
Nothocrax urumutum,Nocturnal Curassow,noccur1,34378,FALSE,Rothokko
Crax rubra,Great Curassow,grecur1,398165901,TRUE,Kronenhokko
Crax alberti,Blue-billed Curassow,bubcur1,203963551,FALSE,Blaulappenhokko
Crax daubentoni,Yellow-knobbed Curassow,yekcur1,386558971,FALSE,Gelblappenhokko
Crax alector,Black Curassow,blacur1,322191801,FALSE,Glattschnabelhokko
Crax fasciolata,Bare-faced Curassow,bafcur1,203894921,FALSE,Nacktgesichthokko
Crax pinima,Belem Curassow,,,FALSE,Nacktgesichthokko (pinima)
Crax globulosa,Wattled Curassow,watcur1,219106901,FALSE,Rotlappenhokko
Crax blumenbachii,Red-billed Curassow,rebcur1,625223109,FALSE,Rotschnabelhokko
Mitu tomentosum,Crestless Curassow,crecur2,317505041,FALSE,Samthokko
Mitu mitu,Alagoas Curassow,alacur1,,FALSE,Mituhokko
Mitu tuberosum,Razor-billed Curassow,rabcur2,559592971,FALSE,Amazonashokko
Mitu salvini,Salvin's Curassow,salcur1,629970995,FALSE,Salvinhokko
Pauxi unicornis,Horned Curassow,horcur3,534805601,FALSE,Hornhokko
Pauxi koepckeae,Sira Curassow,horcur2,32320171,FALSE,Koepckehokko
Pauxi pauxi,Helmeted Curassow,helcur1,63667,FALSE,Helmhokko
Arborophila crudigularis,Taiwan Partridge,taipar1,39795,FALSE,Taiwanbuschwachtel
Arborophila mandellii,Chestnut-breasted Partridge,chbpar2,239603,FALSE,Rotbrust-Buschwachtel
Arborophila brunneopectus,Bar-backed Partridge,babpar1,113529,FALSE,Braunbrust-Buschwachtel
Arborophila rufipectus,Sichuan Partridge,sicpar1,637394890,FALSE,Sichuanbuschwachtel
Arborophila gingica,Collared Partridge,whnpar2,48693791,FALSE,Chinabuschwachtel
Arborophila davidi,Orange-necked Partridge,ornpar1,569348161,FALSE,Davidbuschwachtel
Arborophila cambodiana,Chestnut-headed Partridge,chhpar1,630487371,FALSE,Kambodschabuschwachtel
Arborophila campbelli,Malay Partridge,gybpar3,203886611,FALSE,Malaienbuschwachtel
Arborophila rolli,Tan-breasted Partridge,gybpar5,175504,FALSE,Orangebrust-Buschwachtel
Arborophila sumatrana,Sumatran Partridge,gybpar6,491844231,FALSE,Sumatrabuschwachtel
Arborophila orientalis,White-faced Partridge,gybpar4,181897,FALSE,Weißgesicht-Buschwachtel
Arborophila javanica,Chestnut-bellied Partridge,chbpar1,647027343,FALSE,Javabuschwachtel
Arborophila rubrirostris,Red-billed Partridge,rebpar3,642820203,FALSE,Rotschnabel-Buschwachtel
Arborophila hyperythra,Bornean Partridge,rebpar5,203956931,FALSE,Borneobuschwachtel
Arborophila ardens,Hainan Partridge,haipar1,609066009,FALSE,Hainanbuschwachtel
Arborophila chloropus,Green-legged Partridge,,,FALSE,Grünfuß-Buschwachtel
Arborophila tonkinensis,Tonkin Partridge,,,FALSE,Grünfuß-Buschwachtel (tonkinensis)
Arborophila charltonii,Chestnut-necklaced Partridge,chnpar1,621122731,FALSE,
Arborophila graydoni,Sabah Partridge,chnpar3,642338035,FALSE,Sabahbuschwachtel
Rhizothera longirostris,Long-billed Partridge,lobpar3,181633331,FALSE,Langschnabelwachtel
Rhizothera dulitensis,Dulit Partridge,lobpar2,,FALSE,Dulitwachtel
Melanoperdix niger,Black Partridge,blapar2,629033581,FALSE,Schwarzwachtel
Haematortyx sanguiniceps,Crimson-headed Partridge,crhpar1,609672173,FALSE,Rotkopfwachtel
Caloperdix oculea,Ferruginous Partridge,ferpar2,600452771,FALSE,Augenwachtel
Galloperdix spadicea,Red Spurfowl,redspu1,349354171,FALSE,Rotspornhuhn
Galloperdix lunulata,Painted Spurfowl,paispu1,207089521,FALSE,Perlspornhuhn
Galloperdix bicalcarata,Sri Lanka Spurfowl,ceyspu1,203990571,FALSE,Ceylonspornhuhn
Afropavo congensis,Congo Peafowl,conpea1,519903871,FALSE,Kongopfau
Pavo cristatus,Indian Peafowl,compea,91301711,TRUE,Blauer Pfau
Pavo muticus,Green Peafowl,grepea1,609104061,FALSE,Ährenträgerpfau
Argusianus argus,Great Argus,grearg1,203944171,TRUE,Argusfasan
Rheinardia ocellata,Crested Argus,crearg1,609069136,FALSE,
R. o. nigrescens,Malaysian Argus,,,FALSE,
Polyplectron napoleonis,Palawan Peacock-pheasant,palpep1,212042841,FALSE,Palawanpfaufasan
Polyplectron malacense,Malay Peacock-pheasant,mapphe1,36637,FALSE,Malaienpfaufasan
Polyplectron schleiermacheri,Bornean Peacock-pheasant,bopphe1,522860261,FALSE,Borneopfaufasan
Polyplectron germaini,Germain's Peacock-pheasant,gepphe1,204023661,FALSE,Annampfaufasan
Polyplectron katsumatae,Hainan Peacock-pheasant,grypep3,613345194,FALSE,Hainanpfaufasan
Polyplectron bicalcaratum,Grey Peacock-pheasant,grypep2,628409328,FALSE,Indochina-Pfaufasan
Polyplectron inopinatum,Mountain Peacock-pheasant,mopphe1,174378541,FALSE,Rothschild-Pfaufasan
Polyplectron chalcurum,Bronze-tailed Peacock-pheasant,btpphe1,640131691,FALSE,Bronzepfaufasan
Margaroperdix madagarensis,Madagascar Partridge,madpar2,95730,FALSE,Perlwachtel
Coturnix coturnix,Common Quail,comqua1,204001791,FALSE,Wachtel
Coturnix japonica,Japanese Quail,japqua,308522651,FALSE,Japanwachtel
Coturnix coromandelica,Rain Quail,raiqua1,204026791,FALSE,Regenwachtel
Coturnix delegorguei,Harlequin Quail,harqua1,55993,FALSE,Harlekinwachtel
Coturnix pectoralis,Stubble Quail,stuqua1,73173471,TRUE,Schwarzbrustwachtel
†Coturnix novaezelandiae,New Zealand Quail,nezqua1,,FALSE,
Synoicus ypsilophorus,Brown Quail,broqua1,295926801,FALSE,Tasmanienwachtel
Synoicus chinensis,Asian Blue Quail,blbqua1,385061761,FALSE,Zwergwachtel
Synoicus adansonii,African Blue Quail,bluqua1,,FALSE,Adansonwachtel
Anurophasis monorthonyx,Snow Mountain Quail,snmqua2,,FALSE,Schneegebirgswachtel
Tetraogallus caucasicus,Caucasian Snowcock,causno1,155121691,FALSE,Kaukasuskönigshuhn
Tetraogallus caspius,Caspian Snowcock,cassno1,634394698,FALSE,Kaspikönigshuhn
Tetraogallus himalayensis,Himalayan Snowcock,himsno,601383721,FALSE,Himalajakönigshuhn
Tetraogallus tibetanus,Tibetan Snowcock,tibsno1,483108811,FALSE,Tibetkönigshuhn
Tetraogallus altaicus,Altai Snowcock,altsno1,639220722,FALSE,Altaikönigshuhn
Alectoris graeca,Rock Partridge,rocpar2,203977601,FALSE,Steinhuhn
Alectoris chukar,Chukar,chukar,210513,FALSE,Chukarhuhn
Alectoris magna,Przevalski's Partridge,przpar1,60496,FALSE,Przewalskisteinhuhn
Alectoris philbyi,Philby's Partridge,phipar1,203934401,FALSE,Philbysteinhuhn
Alectoris barbara,Barbary Partridge,barpar2,143882821,FALSE,Felsenhuhn
Alectoris rufa,Red-legged Partridge,relpar1,526100581,TRUE,Rothuhn
Alectoris melanocephala,Arabian Partridge,arapar1,480127751,FALSE,Schwarzkopf-Steinhuhn
Lerwa lerwa,Snow Partridge,snopar1,517723441,FALSE,Haldenhuhn
Ammoperdix griseogularis,See-see Partridge,sespar1,108033921,FALSE,Persienwüstenhuhn
Ammoperdix heyi,Sand Partridge,sanpar1,203694431,FALSE,Arabienwüstenhuhn
Perdicula asiatica,Jungle Bush-quail,jubqua1,268669171,FALSE,Dschungel-/Madraswachtel
Perdicula argoondah,Rock Bush-quail,robqua1,625833475,FALSE,Madraswachtel
Perdicula erythrorhyncha,Painted Bush-quail,pabqua1,394824171,FALSE,Buntwachtel
Perdicula manipurensis,Manipur Bush-quail,mabqua1,,FALSE,Manipurwachtel
Ophrysia superciliosa,Himalayan Quail,himqua1,,FALSE,Himalajawachtel
Pternistis hartlaubi,Hartlaub's Francolin,harfra3,203933311,FALSE,Hartlaubfrankolin
Pternistis bicalcaratus,Double-spurred Francolin,dosfra2,643643301,FALSE,Doppelspornfrankolin
Pternistis icterorhynchus,Heuglin's Francolin,heufra1,467007011,FALSE,Gelbschnabelfrankolin
Pternistis clappertoni,Clapperton's Francolin,clafra1,33651871,FALSE,Clappertonfrankolin
Pternistis harwoodi,Harwood's Francolin,harfra4,204006921,FALSE,Harwoodfrankolin
NUMIDIDAE,Guineafowl,,,FALSE,
Numida meleagris,Helmeted Guineafowl,helgui,203933171,FALSE,Helmperlhuhn
N. m. galeatus,West African Guineafowl,,,FALSE,
Agelastes meleagrides,White-breasted Guineafowl,whbgui1,,FALSE,Weißbrust-Perlhuhn
Agelastes niger,Black Guineafowl,blagui1,565534711,FALSE,Schwarzperlhuhn
Acryllium vulturinum,Vulturine Guineafowl,vulgui1,645270670,FALSE,Geierperlhuhn
Guttera plumifera,Plumed Guineafowl,plugui1,629897712,FALSE,Schlichthauben-Perlhuhn
Guttera verreauxi,Western Crested Guineafowl,cregui2,591043601,FALSE,Kongo-Haubenperlhuhn
Guttera pucherani,Eastern Crested Guineafowl,cregui3,176795,FALSE,Kenia-Haubenperlhuhn
Guttera edouardi,Southern Crested Guineafowl,cregui4,206411171,FALSE,Sambesi-Haubenperlhuhn
ODONTOPHORIDAE,New World Quails,,,FALSE,
Ptilopachus petrosus,Stone Partridge,stopar1,203911811,FALSE,Felsenwachtel
Ptilopachus nahani,Nahan's Partridge,nahfra2,166731461,FALSE,Nahanwachtel
Philortyx fasciatus,Barred Quail,banqua1,325304401,FALSE,Bindenwachtel
Oreortyx pictus,Mountain Quail,mouqua,42202,TRUE,Bergwachtel
Colinus virginianus,Northern Bobwhite,norbob,92708151,TRUE,Virginiawachtel
C. v. ridgwayi,Masked Bobwhite,,,FALSE,
Colinus nigrogularis,Black-throated Bobwhite,bltbob1,173680121,FALSE,Schwarzkehlwachtel
Colinus leucopogon,Spot-bellied Bobwhite,crebob2,211115,FALSE,Fleckenwachtel
Colinus cristatus,Crested Bobwhite,crebob1,64102,FALSE,Haubenwachtel
Callipepla squamata,Scaled Quail,scaqua,452435231,TRUE,Schuppenwachtel
Callipepla douglasii,Elegant Quail,elequa,109166,FALSE,Douglaswachtel
Callipepla gambelii,Gambel's Quail,gamqua,435382461,FALSE,Helmwachtel
Callipepla californica,California Quail,calqua,111018,TRUE,Schopfwachtel
Dendrortyx barbatus,Bearded Wood-partridge,bewpar1,333371541,FALSE,Bartwachtel
Dendrortyx macroura,Long-tailed Wood-partridge,ltwpar1,125230411,FALSE,Langschwanzwachtel
Dendrortyx leucophrys,Buffy-crowned Wood-partridge,bcwpar1,94099921,FALSE,Guatemalawachtel
Odontophorus gujanensis,Marbled Wood-quail,mawqua1,64113,FALSE,Marmorwachtel
Odontophorus capueira,Spot-winged Wood-quail,swwqua1,598288201,FALSE,Capueirawachtel
Odontophorus melanotis,Black-eared Wood-quail,bewqua1,616447048,FALSE,Schwarzohrwachtel
Odontophorus erythrops,Rufous-fronted Wood-quail,rfwqua1,609684320,FALSE,Schwarzohrwachtel
Odontophorus atrifrons,Black-fronted Wood-quail,bfwqua1,167188,FALSE,Schwarzstirnwachtel
Odontophorus hyperythrus,Chestnut Wood-quail,chwqua1,198748961,FALSE,Kastanienwachtel
Odontophorus melanonotus,Dark-backed Wood-quail,dbwqua1,609501576,FALSE,Schwarzrückenwachtel
