Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,sk
Automolus rufipileatus,Chestnut-crowned Foliage-gleaner,ccfgle2,44437,FALSE,lístiar hrdzavý
Automolus melanopezus,Brown-rumped Foliage-gleaner,brfgle1,24160,FALSE,lístiar ohnivooký
Automolus virgatus,Western Woodhaunter,strwoo5,204015461,FALSE,lístiar hnedobruchý
Automolus subulatus,Striped Woodhaunter,strwoo4,383796671,FALSE,lístiar lesný
Automolus ochrolaemus,Buff-throated Foliage-gleaner,btfgle1,39546,FALSE,lístiar potočný
Automolus infuscatus,Olive-backed Foliage-gleaner,obfgle3,203934171,FALSE,lístiar olivový
Automolus paraensis,Para Foliage-gleaner,parfog1,203894861,FALSE,lístiar plavohnedý
Automolus lammi,Pernambuco Foliage-gleaner,perfog1,509610941,FALSE,lístiar pernambucký
Automolus leucophthalmus,White-eyed Foliage-gleaner,wefgle1,113395,FALSE,lístiar bielooký
Premnoplex brunnescens,Spotted Barbtail,spobar1,614528761,FALSE,ostnár škvrnitý
Premnoplex tatei,White-throated Barbtail,whtbar1,387941821,FALSE,ostnár bielohrdlý
Premnoplex pariae,Paria Barbtail,,,FALSE,ostnár parijský (skup.)
Margarornis rubiginosus,Ruddy Treerunner,rudtre1,46236111,FALSE,šplhúnik hrdzavý
Margarornis stellatus,Fulvous-dotted Treerunner,fudtre1,31405651,FALSE,šplhúnik hviezdičkatý
Margarornis squamiger,Pearled Treerunner,peatre1,67482971,FALSE,šplhúnik perlovaný
Margarornis bellulus,Beautiful Treerunner,beatre1,652777496,FALSE,šplhúnik ozdobný
Aphrastura spinicauda,Thorn-tailed Rayadito,thtray1,204019791,FALSE,špicochvost tŕňochvostý
Aphrastura masafuerae,Masafuera Rayadito,masray1,650778291,FALSE,špicochvost papraďový
Sylviorthorhynchus desmursii,Des Murs's Wiretail,demwir1,77455301,FALSE,hrotochvost bambusový
Sylviorthorhynchus yanacensis,Tawny Tit-spinetail,tatspi1,172809811,FALSE,hrotochvost vrchovský
Leptasthenura xenothorax,White-browed Tit-spinetail,wbtspi1,17601,TRUE,hrotochvost peruánsky
Leptasthenura setaria,Araucaria Tit-spinetail,artspi1,203696071,FALSE,hrotochvost araukáriový
Leptasthenura platensis,Tufted Tit-spinetail,tutspi1,203695551,FALSE,hrotochvost čelenkový
Leptasthenura striolata,Striolated Tit-spinetail,sttspi2,203696051,FALSE,hrotochvost nohovcový
Leptasthenura pileata,Rusty-crowned Tit-spinetail,rctspi1,28708,FALSE,hrotochvost inkský
Leptasthenura striata,Streaked Tit-spinetail,sttspi1,439707311,FALSE,hrotochvost kaktusový
Leptasthenura fuliginiceps,Brown-capped Tit-spinetail,bctspi1,203960221,FALSE,hrotochvost hnedohlavý
Leptasthenura berlepschi,Buffy Tit-spinetail,,,FALSE,hrotochvost plavý (skup.)
Leptasthenura aegithaloides,Plain-mantled Tit-spinetail,pmtspi1,604714511,FALSE,hrotochvost mlynárkovitý
Leptasthenura pallida,Palid Tit-spinetail,,,FALSE,hrotochvost argentínsky (skup.)
Leptasthenura andicola,Andean Tit-spinetail,antspi1,204023341,FALSE,hrotochvost andský
Phacellodomus inornarus,Plain Thornbird,ruftho3,384224731,FALSE,
Phacellodomus rufifrons,Rufous-fronted Thornbird,ruftho1,337704091,FALSE,košikárik červenočelý
Phacellodomus striaticeps,Streak-fronted Thornbird,stftho1,212980,FALSE,košikárik fŕkanočelý
Phacellodomus sibilatrix,Little Thornbird,littho1,156291441,FALSE,košikárik hvízdavý
Phacellodomus dorsalis,Chestnut-backed Thornbird,chbtho1,204012101,FALSE,košikárik hnedkavý
Phacellodomus maculipectus,Spot-breasted Thornbird,spbtho1,189563,FALSE,košikárik škvrnitoprsý
Phacellodomus striaticollis,Freckle-breasted Thornbird,frbtho1,132374,FALSE,košikárik krôpkavý
Phacellodomus ruber,Greater Thornbird,gretho2,609537569,FALSE,košikárik žltooký
