Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,dk
Ortalis poliocephala,West Mexican Chachalaca,wemcha1,153248731,FALSE,Sierra Madre-chachalaca
Ortalis canicollis,Chaco Chachalaca,chacha1,572139481,FALSE,Chacochachalaca
Ortalis leucogastra,White-bellied Chachalaca,whbcha1,20375,FALSE,Hvidbuget Chachalaca
Ortalis columbiana,Colombian Chachalaca,colcha1,212229,FALSE,Colombiansk Chachalaca
Ortalis guttata,Speckled Chachalaca,specha3,183366391,FALSE,Spættet Chachalaca
Ortalis araucan,East Brasilian Chachalaca,,,FALSE,
Ortalis squamata,Scaled Chachalaca,specha4,332027481,FALSE,Skællet Chachalaca
Ortalis motmot,Little Chachalaca,varcha1,78010,FALSE,Lille Chachalaca
CASUARIIDAE,Cassowaries Emus,,,FALSE,
Casuarius casuarius,Southern Cassowary,soucas1,203989761,TRUE,Hjelmkasuar
Casuarius bennetti,Dwarf Cassowary,dwacas1,203987101,FALSE,Dværgkasuar
Casuarius unappendiculatus,Northern Cassowary,norcas1,536563291,FALSE,Nordlig Kasuar
Dromaius novaehollandiae,Emu,emu1,623096519,TRUE,Emu
†Dromaius minor,King Island Emu,,,FALSE,
†Dromaius baudinianus,Kangoroo Island Emu,,,FALSE,
APTERYGIDAE,Kiwis,,,FALSE,
Apteryx haastii,Great Spotted Kiwi,grskiw1,617700522,TRUE,Stor Kiwi
Apteryx owenii,Little Spotted Kiwi,liskiw1,596188651,FALSE,Dværgkiwi
Apteryx mantelli,North Island Brown Kiwi,nibkiw1,623165890,TRUE,Nordlig Kiwi
Apteryx australis,Southern Brown Kiwi,sobkiw1,85614831,FALSE,Brun Kiwi
Ortalis superciliaris,Buff-browed Chachalaca,bubcha1,349286621,FALSE,Lysbrynet Chachalaca
Nothocrax urumutum,Nocturnal Curassow,noccur1,34378,FALSE,Nathokko
Crax rubra,Great Curassow,grecur1,398165901,TRUE,Stor Hokko
Crax alberti,Blue-billed Curassow,bubcur1,203963551,FALSE,Blåknoppet Hokko
Crax daubentoni,Yellow-knobbed Curassow,yekcur1,386558971,FALSE,Gulknoppet Hokko
Crax alector,Black Curassow,blacur1,322191801,FALSE,Kamhokko
Crax fasciolata,Bare-faced Curassow,bafcur1,203894921,FALSE,Nøgenmasket Hokko
Crax pinima,Belem Curassow,,,FALSE,Nøgenmasket Hokko (Pindaré Hokko)
Crax globulosa,Wattled Curassow,watcur1,219106901,FALSE,Gullappet Hokko
Crax blumenbachii,Red-billed Curassow,rebcur1,625223109,FALSE,Rødnæbbet Hokko
Mitu tomentosum,Crestless Curassow,crecur2,317505041,FALSE,Topløs Hokko
Mitu mitu,Alagoas Curassow,alacur1,,FALSE,Alagoashokko
Mitu tuberosum,Razor-billed Curassow,rabcur2,559592971,FALSE,Kamnæbshokko
Mitu salvini,Salvin's Curassow,salcur1,629970995,FALSE,Salvins Hokko
Pauxi unicornis,Horned Curassow,horcur3,534805601,FALSE,Boliviansk Hjelmhokko
Pauxi koepckeae,Sira Curassow,horcur2,32320171,FALSE,Sira-hokko
Pauxi pauxi,Helmeted Curassow,helcur1,63667,FALSE,Hjelmhokko
Arborophila crudigularis,Taiwan Partridge,taipar1,39795,FALSE,Taiwanskovhøne
Arborophila mandellii,Chestnut-breasted Partridge,chbpar2,239603,FALSE,Sikkimskovhøne
Arborophila brunneopectus,Bar-backed Partridge,babpar1,113529,FALSE,Brunbrystet Skovhøne
Arborophila rufipectus,Sichuan Partridge,sicpar1,637394890,FALSE,Sichuanskovhøne
Arborophila gingica,Collared Partridge,whnpar2,48693791,FALSE,Kraveskovhøne
Arborophila davidi,Orange-necked Partridge,ornpar1,569348161,FALSE,Saigonskovhøne
Arborophila cambodiana,Chestnut-headed Partridge,chhpar1,630487371,FALSE,Cambodjaskovhøne
Arborophila campbelli,Malay Partridge,gybpar3,203886611,FALSE,Malajskovhøne
Arborophila rolli,Tan-breasted Partridge,gybpar5,175504,FALSE,Battackskovhøne
Arborophila sumatrana,Sumatran Partridge,gybpar6,491844231,FALSE,Bjergskovhøne
Arborophila orientalis,White-faced Partridge,gybpar4,181897,FALSE,Sumatraskovhøne
Arborophila javanica,Chestnut-bellied Partridge,chbpar1,647027343,FALSE,Javaskovhøne
Arborophila rubrirostris,Red-billed Partridge,rebpar3,642820203,FALSE,Rødnæbbet Skovhøne
Arborophila hyperythra,Bornean Partridge,rebpar5,203956931,FALSE,Borneoskovhøne
Arborophila ardens,Hainan Partridge,haipar1,609066009,FALSE,Hainanskovhøne
Arborophila chloropus,Green-legged Partridge,,,FALSE,Grønbenet Skovhøne
Arborophila tonkinensis,Tonkin Partridge,,,FALSE,Grønbenet Skovhøne (Tonkinskovhøne)
Arborophila charltonii,Chestnut-necklaced Partridge,chnpar1,621122731,FALSE,
Arborophila graydoni,Sabah Partridge,chnpar3,642338035,FALSE,Sabah-skovhøne
Rhizothera longirostris,Long-billed Partridge,lobpar3,181633331,FALSE,Langnæbbet Skovhøne
Rhizothera dulitensis,Dulit Partridge,lobpar2,,FALSE,Dulitskovhøne
Melanoperdix niger,Black Partridge,blapar2,629033581,FALSE,Sort Skovvagtel
Haematortyx sanguiniceps,Crimson-headed Partridge,crhpar1,609672173,FALSE,Rødhovedet Skovhøne
Caloperdix oculea,Ferruginous Partridge,ferpar2,600452771,FALSE,Rødbrun Skovhøne
Galloperdix spadicea,Red Spurfowl,redspu1,349354171,FALSE,Rød Sporehøne
Galloperdix lunulata,Painted Spurfowl,paispu1,207089521,FALSE,Perlesporehøne
Galloperdix bicalcarata,Sri Lanka Spurfowl,ceyspu1,203990571,FALSE,Sri Lanka-sporehøne
