Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,eo
Nothocrax urumutum,Nocturnal Curassow,noccur1,34378,FALSE,nokta krakso
Crax rubra,Great Curassow,grecur1,398165901,TRUE,granda krakso
Crax alberti,Blue-billed Curassow,bubcur1,203963551,FALSE,
Crax daubentoni,Yellow-knobbed Curassow,yekcur1,386558971,FALSE,flavbeka krakso
Crax alector,Black Curassow,blacur1,322191801,FALSE,nigra krakso
Crax fasciolata,Bare-faced Curassow,bafcur1,203894921,FALSE,nudvizaĝa krakso
Crax pinima,Belem Curassow,,,FALSE,
Crax globulosa,Wattled Curassow,watcur1,219106901,FALSE,karunkla krakso
Crax blumenbachii,Red-billed Curassow,rebcur1,625223109,FALSE,ruĝbeka krakso
Mitu tomentosum,Crestless Curassow,crecur2,317505041,FALSE,senkresta krakso
Mitu mitu,Alagoas Curassow,alacur1,,FALSE,alagoasa krakso
Mitu tuberosum,Razor-billed Curassow,rabcur2,559592971,FALSE,razilbeka krakso
Mitu salvini,Salvin's Curassow,salcur1,629970995,FALSE,salvina krakso
Pauxi unicornis,Horned Curassow,horcur3,534805601,FALSE,
Pauxi koepckeae,Sira Curassow,horcur2,32320171,FALSE,siraa krakso
Pauxi pauxi,Helmeted Curassow,helcur1,63667,FALSE,
Arborophila crudigularis,Taiwan Partridge,taipar1,39795,FALSE,tajvana perdriko
Arborophila mandellii,Chestnut-breasted Partridge,chbpar2,239603,FALSE,rufbrusta perdriko
Arborophila brunneopectus,Bar-backed Partridge,babpar1,113529,FALSE,stridorsa perdriko
Arborophila rufipectus,Sichuan Partridge,sicpar1,637394890,FALSE,siĉŭana perdriko
Arborophila gingica,Collared Partridge,whnpar2,48693791,FALSE,fuĝjana perdriko
Arborophila davidi,Orange-necked Partridge,ornpar1,569348161,FALSE,oranĝkola perdriko
Arborophila cambodiana,Chestnut-headed Partridge,chhpar1,630487371,FALSE,kamboĝa perdriko
Arborophila campbelli,Malay Partridge,gybpar3,203886611,FALSE,malajzia perdriko
Arborophila rolli,Tan-breasted Partridge,gybpar5,175504,FALSE,oranĝbrusta perdriko
Arborophila sumatrana,Sumatran Partridge,gybpar6,491844231,FALSE,
Arborophila orientalis,White-faced Partridge,gybpar4,181897,FALSE,
Arborophila javanica,Chestnut-bellied Partridge,chbpar1,647027343,FALSE,java perdriko
Arborophila rubrirostris,Red-billed Partridge,rebpar3,642820203,FALSE,ruĝbeka perdriko
Arborophila hyperythra,Bornean Partridge,rebpar5,203956931,FALSE,bornea perdriko
Arborophila ardens,Hainan Partridge,haipar1,609066009,FALSE,hajnana perdriko
Arborophila chloropus,Green-legged Partridge,,,FALSE,verdakrura perdriko
Arborophila tonkinensis,Tonkin Partridge,,,FALSE,
Arborophila charltonii,Chestnut-necklaced Partridge,chnpar1,621122731,FALSE,
Arborophila graydoni,Sabah Partridge,chnpar3,642338035,FALSE,sabaha perdriko
