Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,nl
Alectoris philbyi,Philby's Partridge,phipar1,203934401,FALSE,Philby's Steenpatrijs
Alectoris barbara,Barbary Partridge,barpar2,143882821,FALSE,Barbarijse Patrijs
Alectoris rufa,Red-legged Partridge,relpar1,526100581,TRUE,Rode patrijs
Alectoris melanocephala,Arabian Partridge,arapar1,480127751,FALSE,Arabische Steenpatrijs
Lerwa lerwa,Snow Partridge,snopar1,517723441,FALSE,Sneeuwpatrijs
Ammoperdix griseogularis,See-see Partridge,sespar1,108033921,FALSE,Perzische Woestijnpatrijs
Ammoperdix heyi,Sand Partridge,sanpar1,203694431,FALSE,Arabische Woestijnpatrijs
Perdicula asiatica,Jungle Bush-quail,jubqua1,268669171,FALSE,Jungledwergpatrijs/Madrasdwergpatrijs
Perdicula argoondah,Rock Bush-quail,robqua1,625833475,FALSE,Madrasdwergpatrijs
Perdicula erythrorhyncha,Painted Bush-quail,pabqua1,394824171,FALSE,Bonte Dwergpatrijs
Perdicula manipurensis,Manipur Bush-quail,mabqua1,,FALSE,Manipurdwergpatrijs
Ophrysia superciliosa,Himalayan Quail,himqua1,,FALSE,Himalayakwartel
Pternistis hartlaubi,Hartlaub's Francolin,harfra3,203933311,FALSE,Hartlaubs Frankolijn
Pternistis bicalcaratus,Double-spurred Francolin,dosfra2,643643301,FALSE,Barbarijse Frankolijn
Pternistis icterorhynchus,Heuglin's Francolin,heufra1,467007011,FALSE,Geelsnavelfrankolijn
Pternistis clappertoni,Clapperton's Francolin,clafra1,33651871,FALSE,Clappertons Frankolijn
Pternistis harwoodi,Harwood's Francolin,harfra4,204006921,FALSE,Harwoods Frankolijn
NUMIDIDAE,Guineafowl,,,FALSE,
Numida meleagris,Helmeted Guineafowl,helgui,203933171,FALSE,Helmparelhoen
N. m. galeatus,West African Guineafowl,,,FALSE,
Agelastes meleagrides,White-breasted Guineafowl,whbgui1,,FALSE,Kalkoenparelhoen
Agelastes niger,Black Guineafowl,blagui1,565534711,FALSE,Zwart Parelhoen
Acryllium vulturinum,Vulturine Guineafowl,vulgui1,645270670,FALSE,Gierparelhoen
Guttera plumifera,Plumed Guineafowl,plugui1,629897712,FALSE,Kuifparelhoen
Guttera verreauxi,Western Crested Guineafowl,cregui2,591043601,FALSE,Blauwkopkroonparelhoen
Guttera pucherani,Eastern Crested Guineafowl,cregui3,176795,FALSE,Roodkopkroonparelhoen
Guttera edouardi,Southern Crested Guineafowl,cregui4,206411171,FALSE,Geelnekkroonparelhoen
ODONTOPHORIDAE,New World Quails,,,FALSE,
Ptilopachus petrosus,Stone Partridge,stopar1,203911811,FALSE,Rotspatrijs
Ptilopachus nahani,Nahan's Partridge,nahfra2,166731461,FALSE,Nahans Frankolijn
Philortyx fasciatus,Barred Quail,banqua1,325304401,FALSE,Bandkwartel
Oreortyx pictus,Mountain Quail,mouqua,42202,TRUE,Bergkwartel
Colinus virginianus,Northern Bobwhite,norbob,92708151,TRUE,Boomkwartel
C. v. ridgwayi,Masked Bobwhite,,,FALSE,
Colinus nigrogularis,Black-throated Bobwhite,bltbob1,173680121,FALSE,Zwartkeelbobwhite
Colinus leucopogon,Spot-bellied Bobwhite,crebob2,211115,FALSE,Vlekbuikboomkwartel
Colinus cristatus,Crested Bobwhite,crebob1,64102,FALSE,Kuifboomkwartel
Callipepla squamata,Scaled Quail,scaqua,452435231,TRUE,Geschubde kwartel
Callipepla douglasii,Elegant Quail,elequa,109166,FALSE,Douglas' Kuifkwartel
Callipepla gambelii,Gambel's Quail,gamqua,435382461,FALSE,Gambels Kuifkwartel
Callipepla californica,California Quail,calqua,111018,TRUE,Californische kuifkwartel
Dendrortyx barbatus,Bearded Wood-partridge,bewpar1,333371541,FALSE,Grijskeelbospatrijs
Dendrortyx macroura,Long-tailed Wood-partridge,ltwpar1,125230411,FALSE,Mexicaanse Bospatrijs
Dendrortyx leucophrys,Buffy-crowned Wood-partridge,bcwpar1,94099921,FALSE,Witkeelbospatrijs
Odontophorus gujanensis,Marbled Wood-quail,mawqua1,64113,FALSE,Gemarmerde Tandkwartel
Odontophorus capueira,Spot-winged Wood-quail,swwqua1,598288201,FALSE,Grijze Tandkwartel
Odontophorus melanotis,Black-eared Wood-quail,bewqua1,616447048,FALSE,Zwartoortandkwartel
Odontophorus erythrops,Rufous-fronted Wood-quail,rfwqua1,609684320,FALSE,Zwartoortandkwartel
Odontophorus atrifrons,Black-fronted Wood-quail,bfwqua1,167188,FALSE,Zwartmaskertandkwartel
Odontophorus hyperythrus,Chestnut Wood-quail,chwqua1,198748961,FALSE,Witoortandkwartel
Odontophorus melanonotus,Dark-backed Wood-quail,dbwqua1,609501576,FALSE,Zwartrugtandkwartel
Odontophorus speciosus,Rufous-breasted Wood-quail,rbwqua1,203934101,FALSE,Bruinborsttandkwartel
