Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,fr
Xiphocolaptes albicollis,White-throated Woodcreeper,whtwoo1,366913621,FALSE,Grimpar à gorge blanche G. à moustaches G. de Vila Nova ou G. de Snethlage
Xiphocolaptes promeropirhyncus,Strong-billed Woodcreeper,stbwoo1,420518021,FALSE,
Xiphocolaptes falcirostris,Moustached Woodcreeper,mouwoo1,627902358,FALSE,Grimpar à moustaches ou G. de Vila Nova
Xiphocolaptes major,Great Rufous Woodcreeper,grrwoo1,261125891,FALSE,Grand Grimpar
Xiphorhynchus obsoletus,Striped Woodcreeper,strwoo2,88457,FALSE,Grimpar strié
Xiphorhynchus atlanticus,Atlantic Woodcreeper,leswoo4,127876,FALSE,Grimpar atlantique
Xiphorhynchus fuscus,Lesser Woodcreeper,leswoo2,350211661,FALSE,Grimpar brun ou G. atlantique
Xiphorhynchus pardalotus,Chestnut-rumped Woodcreeper,chrwoo1,382587501,FALSE,Grimpar flambé
Xiphorhynchus ocellatus,Ocellated Woodcreeper,ocewoo1,49405081,FALSE,Grimpar ocellé
Xiphorhynchus beauperthuysii,Line-crowned Woodcreeper,,,FALSE,Grimpar ocellé [beauperthuysii ou lineatocapilla]
Xiphorhynchus chunchotambo,Tschudi's Woodcreeper,,,FALSE,Grimpar ocellé [chunchotambo]
Xiphorhynchus elegans,Elegant Woodcreeper,elewoo1,203932041,FALSE,Grimpar élégant [elegans ou ornatus]
Xiphorhynchus spixii,Spix's Woodcreeper,spiwoo1,115123,FALSE,Grimpar de Spix ou G. élégant
Xiphorhynchus susurrans,Cocoa Woodcreeper,cocwoo1,215478,FALSE,Grimpar cacao
Xiphorhynchus guttatus,Buff-throated Woodcreeper,butwoo1,203955441,FALSE,Grimpar des cabosses ou G. d'Eyton
Xiphorhynchus guttatoides,Lafresnaye's Woodcreeper,,,FALSE,Grimpar de Lafresnaye ou G. d'Eyton
Xiphorhynchus flavigaster,Ivory-billed Woodcreeper,ivbwoo1,157497571,FALSE,Grimpar à bec ivoire
Xiphorhynchus lachrymosus,Black-striped Woodcreeper,blswoo1,215421,FALSE,Grimpar maillé
Xiphorhynchus erythropygius,Northern Spotted Woodcreeper,spowoo1,25305971,FALSE,Grimpar tacheté
Xiphorhynchus aequatorialis,Southern Spotted Woodcreeper,,,FALSE,Grimpar tacheté [aequatorialis]
Xiphorhynchus triangularis,Olive-backed Woodcreeper,olbwoo1,365838851,FALSE,Grimpar à dos olive
Xiphorhynchus picus,Straight-billed Woodcreeper,stbwoo2,65444,FALSE,Grimpar talapiot ou G. de Zimmer
Xiphorhynchus kienerii,Zimmer's Woodcreeper,zimwoo2,528123241,FALSE,Grimpar de Zimmer
Campylorhamphus falcularius,Black-billed Scythebill,blbscy1,22124,FALSE,Grimpar à bec en faux
Campylorhamphus pusillus,Brown-billed Scythebill,brbscy1,32741081,FALSE,Grimpar à bec brun
Campylorhamphus trochilirostris,Red-billed Scythebill,rebscy1,309084371,TRUE,Grimpar à bec rouge ou G. à bec en faux
Campylorhamphus procurvoides,Curve-billed Scythebill,cubscy1,388775201,FALSE,Grimpar à bec courbe
Campylorhamphus probatus,Tapajos Scythebill,tapscy2,127723,FALSE,Grimpar de Cardoso
Campylorhamphus multostriatus,Xingu Scythebill,cubscy5,203914801,FALSE,Grimpar du Xingu
Campylorhamphus pucherani,Greater Scythebill,grescy1,632640579,FALSE,Grimpar de Pucheran
Drymornis bridgesii,Scimitar-billed Woodcreeper,scbwoo4,217330,FALSE,Grimpar porte-sabre
Lepidocolaptes angustirostris,Narrow-billed Woodcreeper,nabwoo1,216216,FALSE,Grimpar à bec étroit
