Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,jp,jp_latn
Ortalis cinereiceps,Grey-headed Chachalaca,grhcha1,456443461,FALSE,ハイガシラヒメシャクケイ,
Ortalis garrula,Chestnut-winged Chachalaca,chwcha1,624280923,FALSE,チャバネヒメシャクケイ,
Ortalis ruficauda,Rufous-vented Chachalaca,ruvcha1,2320,FALSE,ワキアカヒメシャクケイ,
Ortalis erythroptera,Rufous-headed Chachalaca,ruhcha1,514472621,FALSE,ズアカヒメシャクケイ,
Ortalis wagleri,Rufous-bellied Chachalaca,rubcha1,49211281,FALSE,アカハラヒメシャクケイ,
Ortalis poliocephala,West Mexican Chachalaca,wemcha1,153248731,FALSE,メキシコヒメシャクケイ,
Ortalis canicollis,Chaco Chachalaca,chacha1,572139481,FALSE,アカオヒメシャクケイ,
Ortalis leucogastra,White-bellied Chachalaca,whbcha1,20375,FALSE,シロハラヒメシャクケイ,
Ortalis columbiana,Colombian Chachalaca,colcha1,212229,FALSE,コロンビアヒメシャクケイ,
Ortalis guttata,Speckled Chachalaca,specha3,183366391,FALSE,ブラジルヒメシャクケイ,
Ortalis araucan,East Brasilian Chachalaca,,,FALSE,,
Ortalis squamata,Scaled Chachalaca,specha4,332027481,FALSE,ウロコヒメシャクケイ,
Ortalis motmot,Little Chachalaca,varcha1,78010,FALSE,カワリヒメシャクケイ,
CASUARIIDAE,Cassowaries Emus,,,FALSE,,
Casuarius casuarius,Southern Cassowary,soucas1,203989761,TRUE,ヒクイドリ,
Casuarius bennetti,Dwarf Cassowary,dwacas1,203987101,FALSE,コヒクイドリ,
Casuarius unappendiculatus,Northern Cassowary,norcas1,536563291,FALSE,パプアヒクイドリ,
Dromaius novaehollandiae,Emu,emu1,623096519,TRUE,エミュー,
†Dromaius minor,King Island Emu,,,FALSE,,
†Dromaius baudinianus,Kangoroo Island Emu,,,FALSE,,
APTERYGIDAE,Kiwis,,,FALSE,,
Apteryx haastii,Great Spotted Kiwi,grskiw1,617700522,TRUE,オオマダラキーウィ,
Apteryx owenii,Little Spotted Kiwi,liskiw1,596188651,FALSE,コマダラキーウィ,
Apteryx mantelli,Northern Brown Kiwi,nibkiw1,623165890,TRUE,ホクトウキーウィ,
Apteryx australis,Southern Brown Kiwi,sobkiw1,85614831,FALSE,キーウィ,
Ortalis superciliaris,Buff-browed Chachalaca,bubcha1,349286621,FALSE,アマゾンヒメシャクケイ,
Nothocrax urumutum,Nocturnal Curassow,noccur1,34378,FALSE,カンムリホウカンチョウ,
Crax rubra,Great Curassow,grecur1,398165901,TRUE,オオホウカンチョウ,
Crax alberti,Blue-billed Curassow,bubcur1,203963551,FALSE,アオコブホウカンチョウ,
Crax daubentoni,Yellow-knobbed Curassow,yekcur1,386558971,FALSE,キコブホウカンチョウ,
Crax alector,Black Curassow,blacur1,322191801,FALSE,メスグロホウカンチョウ,
Crax fasciolata,Bare-faced Curassow,bafcur1,203894921,FALSE,ハゲガオホウカンチョウ,
Crax pinima,Belem Curassow,,,FALSE,ハゲガオホウカンチョウ（pinima）,
Crax globulosa,Wattled Curassow,watcur1,219106901,FALSE,ホオダレホウカンチョウ,
Crax blumenbachii,Red-billed Curassow,rebcur1,625223109,FALSE,アカハシホウカンチョウ,
Mitu tomentosum,Crestless Curassow,crecur2,317505041,FALSE,コチャバラホウカンチョウ,
Mitu mitu,Alagoas Curassow,alacur1,,FALSE,チャバラホウカンチョウ,
Mitu tuberosum,Razor-billed Curassow,rabcur2,559592971,FALSE,アマゾンホウカンチョウ,
Mitu salvini,Salvin's Curassow,salcur1,629970995,FALSE,シロハラホウカンチョウ,
Pauxi unicornis,Horned Curassow,horcur3,534805601,FALSE,ミナミカブトホウカンチョウ,
Pauxi koepckeae,Sira Curassow,horcur2,32320171,FALSE,シラホウカンチョウ,
Pauxi pauxi,Helmeted Curassow,helcur1,63667,FALSE,カブトホウカンチョウ,
Arborophila crudigularis,Taiwan Partridge,taipar1,39795,FALSE,ミヤマテッケイ,
Arborophila mandellii,Chestnut-breasted Partridge,chbpar2,239603,FALSE,ムネアカミヤマテッケイ,
Arborophila brunneopectus,Bar-backed Partridge,babpar1,113529,FALSE,チャムネミヤマテッケイ,
Arborophila rufipectus,Sichuan Partridge,sicpar1,637394890,FALSE,シセンミヤマテッケイ,
Arborophila gingica,Collared Partridge,whnpar2,48693791,FALSE,フッケンミヤマテッケイ,
Arborophila davidi,Orange-necked Partridge,ornpar1,569348161,FALSE,サイゴンミヤマテッケイ,
Arborophila cambodiana,Chestnut-headed Partridge,chhpar1,630487371,FALSE,カンボジアミヤマテッケイ,
Arborophila campbelli,Malay Partridge,gybpar3,203886611,FALSE,マレーシアミヤマテッケイ,
Arborophila rolli,Tan-breasted Partridge,gybpar5,175504,FALSE,キタスマトラヤマテッケイ,
Arborophila sumatrana,Sumatran Partridge,gybpar6,491844231,FALSE,スマトラミヤマテッケイ,
Arborophila orientalis,White-faced Partridge,gybpar4,181897,FALSE,ハイムネミヤマテッケイ,
Arborophila javanica,Chestnut-bellied Partridge,chbpar1,647027343,FALSE,ジャワミヤマテッケイ,
Arborophila rubrirostris,Red-billed Partridge,rebpar3,642820203,FALSE,アカハシミヤマテッケイ,
Arborophila hyperythra,Bornean Partridge,rebpar5,203956931,FALSE,ボルネオミヤマテッケイ,
Arborophila ardens,Hainan Partridge,haipar1,609066009,FALSE,ハイナンミヤマテッケイ,
Arborophila chloropus,Green-legged Partridge,,,FALSE,アオアシミヤマテッケイ,
Arborophila tonkinensis,Tonkin Partridge,,,FALSE,アオアシミヤマテッケイ（tonkinensis）,
Arborophila charltonii,Chestnut-necklaced Partridge,chnpar1,621122731,FALSE,,
Arborophila graydoni,Sabah Partridge,chnpar3,642338035,FALSE,,
Rhizothera longirostris,Long-billed Partridge,lobpar3,181633331,FALSE,ハシナガシャコ,
Rhizothera dulitensis,Dulit Partridge,lobpar2,,FALSE,サラワクハシナガシャコ,
Melanoperdix niger,Black Partridge,blapar2,629033581,FALSE,クマシャコ,
Haematortyx sanguiniceps,Crimson-headed Partridge,crhpar1,609672173,FALSE,アカガシラシャコ,
