Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,jp,jp_latn
Platyrinchus cancrominus,Stub-tailed Spadebill,sttspa1,184563481,FALSE,メジロヒラハシタイランチョウ,mejirohirahashitairanchou
Platyrinchus albogularis,Western White-throated Spadebill,,,FALSE,ノドジロヒラハシタイランチョウ（albogularis グループ）,nodojirohirahashitairanchou (albogularis guru-pu)
Platyrinchus mystaceus,EasternWhite-throated Spadebill,whtspa1,57925,FALSE,ノドジロヒラハシタイランチョウ,
Platyrinchus coronatus,Golden-crowned Spadebill,gocspa1,388745341,FALSE,カンムリヒラハシタイランチョウ,kanmurihirahashitairanchou
Platyrinchus flavigullaris,Yellow-throated Spadebill,yetspa1,203933871,FALSE,,
Platyrinchus platyrhynchos,White-crested Spadebill,whcspa1,388347741,FALSE,ヒラハシタイランチョウ,hirahashitairanchou
Platyrinchus leucoryphus,Russet-winged Spadebill,ruwspa1,621962303,FALSE,アカバネヒラハシタイランチョウ,akabanehirahashitairanchou
Piprites griseiceps,Grey-headed Piprites,grhpip1,264351871,FALSE,メジロマイコドリ,mejiromaikodori
Piprites chloris,Wing-barred Piprites,wibpip1,383797341,FALSE,ハマダラマイコドリ,hamadaramaikodori
Piprites pileata,Black-capped Piprites,bkcpip1,38220841,FALSE,ズグロマイコドリ,zuguromaikodori
Tachuris rubrigastra,Many-colored Rush-tyrant,mcrtyr1,237506,FALSE,ゴシキタイランチョウ,goshikitairanchou
Pseudotriccus pelzelni,Bronze-olive Pygmy-tyrant,boptyr1,21622561,FALSE,コバシハエトリモドキ,kobashihaetorimodoki
Pseudotriccus simplex,Hazel-fronted Pygmy-tyrant,hfptyr1,455422401,FALSE,チャビタイハエトリモドキ,chabitaihaetorimodoki
Pseudotriccus ruficeps,Rufous-headed Pygmy-tyrant,rhptyr1,203701061,FALSE,ズアカハエトリモドキ,zuakahaetorimodoki
Corythopis torqatus,Ringed Antpipit,rinant2,203931121,FALSE,,
Corythopis delalandi,Southern Antpipit,souant1,312754371,FALSE,ミナミタヒバリタイランチョウ,minamitahibaritairanchou
Phylloscartes flavovirens,Yellow-green Tyrannulet,yegtyr1,632838754,FALSE,ミドリコバシハエトリ,midorikobashihaetori
Phylloscartes ventralis,Mottle-cheeked Tyrannulet,moctyr2,384557511,FALSE,コバシハエトリ,
Phylloscartes virescens,Olive-green Tyrannulet,olgtyr1,127386,FALSE,オリーブコバシハエトリ,ori-bukobashihaetori
Phylloscartes beckeri,Bahia Tyrannulet,bahtyr1,484453261,FALSE,バイアコバシハエトリ,baiakobashihaetori
Phylloscartes kronei,Restinga Tyrannulet,restyr1,203983081,FALSE,レスティンガコバシハエトリ,resutingakobashihaetori
Phylloscartes gualaquisae,Ecuadorian Tyrannulet,ecutyr1,203698911,FALSE,,
Phylloscartes nigrifrons,Black-fronted Tyrannulet,blftyr1,364606381,FALSE,クロビタイコバシハエトリ,kurobitaikobashihaetori
Phylloscartes ceciliae,Alagoas Tyrannulet,alatyr1,102760,FALSE,アラゴアスコバシハエトリ,aragoasukobashihaetori
Phylloscartes superciliaris,Rufous-browed Tyrannulet,rubtyr1,204023421,FALSE,アカマユコバシハエトリ,akamayukobashihaetori
Phylloscartes flaviventris,Rufous-lored Tyrannulet,rultyr1,384354991,FALSE,キバラヒゲハエトリ,kibarahigehaetori
Phylloscartes parkeri,Cinnamon-faced Tyrannulet,ciftyr1,147404,FALSE,ニッケイガオコバシハエトリ,nikkeigaokobashihaetori
Phylloscartes roquettei,Minas Gerais Tyrannulet,migtyr1,124413241,FALSE,アカガオコバシハエトリ,akagaokobashihaetori
Phylloscartes paulista,Sao Paulo Tyrannulet,,,FALSE,キマユコバシハエトリ,kimayukobashihaetori
Phylloscartes oustaleti,Oustalet's Tyrannulet,oustyr1,203979401,FALSE,ミミグロコバシハエトリ,mimigurokobashihaetori
Phylloscartes difficilis,Serra do Mar Tyrannulet,,,FALSE,シロハラコバシハエトリ,shiroharakobashihaetori
Phylloscartes sylviolus,Bay-ringed Tyrannulet,bartyr1,203701101,FALSE,クリメコバシハエトリ,kurimekobashihaetori
Pogonotriccus poecilotis,Variegated Bristle-tyrant,vabtyr1,525490541,FALSE,ミヤマヒゲハエトリ,miyamahigehaetori
Pogonotriccus chapmani,Chapman's Bristle-tyrant,chabrt1,437287661,FALSE,チャオビコバシハエトリ,chaobikobashihaetori
Pogonotriccus ophthalmicus,Marble-faced Bristle-tyrant,mfbtyr1,203932201,FALSE,ミミグロヒゲハエトリ,mimigurohigehaetori
Pogonotriccus venezuelanus,Venezuelan Bristle -tyrant,vebtyr2,383315341,FALSE,ベネズエラヒゲハエトリ,benezuerahigehaetori
Pogonotriccus lanyoni,Antioquia Bristle-tyrant,anbtyr1,203951171,FALSE,アンティオキアヒゲハエトリ,antiokiahigehaetori
Pogonotriccus orbitalis,Spectacled Bristle-tyrant,spbtyr1,217074071,FALSE,メジロヒゲハエトリ,mejirohigehaetori
Pogonotriccus eximius,Southern Bristle-tyrant,sobtyr2,28672461,FALSE,ミナミヒゲハエトリ,minamihigehaetori
Mionectes striaticollis,Streak-necked Flycatcher,stnfly1,608680085,FALSE,オリーブハエトリ,ori-buhaetori
Mionectes olivaceus,Olive-streaked Flycatcher,olsfly2,351046381,FALSE,シロボシオリーブハエトリ,shiroboshiori-buhaetori
Mionectes galbinus,Olive-striped Flycatcher,olsfly1,387407371,FALSE,シロボシオリーブハエトリ（galbinus グループ）,shiroboshiori-buhaetori (galbinus guru-pu)
Mionectes oleagineus,Ochre-bellied Flycatcher,ocbfly1,385191351,FALSE,チャバラオリーブハエトリ,chabaraori-buhaetori
Mionectes macconnelli,McConnell's Flycatcher,mccfly1,388736881,FALSE,ムジオリーブハエトリ,
Mionectes roraimae,Sierra de Lema Flycatcher,mccfly3,369489311,FALSE,,
Mionectes rufiventris,Grey-hooded Flycatcher,gyhfly1,66613701,FALSE,ハイガシラオリーブハエトリ,haigashiraori-buhaetori
Leptopogon amaurocephalus,Sepia-capped Flycatcher,secfly1,300464741,FALSE,チャボウシハエトリ,chaboushihaetori
Leptopogon superciliaris,Slaty-capped Flycatcher,slcfly1,300259641,FALSE,ハシボソハエトリ,hashibosohaetori
Leptopogon albidiventer,White-bellied Flycatcher,,,FALSE,,
Leptopogon rufipectus,Rufous-breasted Flycatcher,rubfly2,203932131,FALSE,チャムネハエトリ,chamunehaetori
TITYRIDAE,Tityras and allies,,,FALSE,,
Oxyruncus cristatus,Sharpbill,sharpb1,470170711,FALSE,トガリハシ,togarihashi
Onychorynchus mexicanus,Northen Royal Flycatcher,,,FALSE,,
Onychorynchus occidentalis,Pacific Royal Flycatcher,,,FALSE,,
Onychorynchus coronatus,Amazonian Royal Flycatcher,,,FALSE,,
Onychorynchus swainsoni,Atlantic Royal Flycatcher,royfly5,203979411,FALSE,,
Terenotriccus erythrurus,Ruddy-tailed Flycatcher,rutfly2,603865781,FALSE,チビタイランチョウ,chibitairanchou
Myiobius villosus,Tawny-breasted Flycatcher,tabfly1,68678521,FALSE,チャムネキゴシハエトリ,chamunekigoshihaetori
Myiobius sulphureipygius,Sulphur-rumped Flycatcher,surfly1,626765900,FALSE,キゴシハエトリ,kigoshihaetori
Myiobius barbatus,Whiskered Flycatcher,whifly1,115758,FALSE,ヒゲキゴシハエトリ,
Myiobius atricaudus,Black-tailed Flycatcher,bltfly1,203979471,FALSE,オナガキゴシハエトリ,onagakigoshihaetori
Iodopleura isabellae,White-browed Purpletuft,whbpur1,50324481,FALSE,マユワキムラサキカザリドリ,mayuwakimurasakikazaridori
Iodopleura fusca,Dusky Purpletuft,duspur1,142026221,FALSE,クロワキムラサキカザリドリ,kurowakimurasakikazaridori
Iodopleura pipra,Buff-throated Purpletuft,butpur1,251855771,FALSE,ワキムラサキカザリドリ,wakimurasakikazaridori
Tityra inquisitor,Black-crowned Tityra,blctit1,41271501,FALSE,ズグロハグロドリ,zugurohagurodori
Tityra cayana,Western Black-tailed Tityra,blttit1,383311751,FALSE,ハグロドリ,hagurodori
Tityra braziliensis,Eastern Black-tailed Tityra,,,FALSE,,
Tityra semifasciata,Masked Tityra,mastit1,198132201,FALSE,サカツラハグロドリ,sakatsurahagurodori
Tityra leucura,White-tailed Tityra,whttit2,,FALSE,ズグロハグロドリ,zugurohagurodori
Xenopsaris albinucha,White-naped Becards,whnxen1,69853,FALSE,シロエリタイランチョウ,shiroeritairanchou
Pachyramphus versicolor,Barred Becard,barbec1,608680795,FALSE,シマカザリドリモドキ,shimakazaridorimodoki
Pachyramphus xanthogenys,Yellow-cheeked Becard,,,FALSE,カザリドリモドキ（xanthogenys／peruanus）,kazaridorimodoki (xanthogenys/peruanus)
Pachyramphus griseigularis,Green-cheeked Becard,,,FALSE,,
Pachyramphus viridis,Green-backed Becard,grbbec1,488984711,FALSE,カザリドリモドキ,kazaridorimodoki
Pachyramphus spodiurus,Slaty Becard,slabec1,475140631,FALSE,ネズミカザリドリモドキ,nezumikazaridorimodoki
Pachyramphus rufus,Cinereous Becard,cinbec2,385182311,FALSE,メスアカカザリドリモドキ,mesuakakazaridorimodoki
Pachyramphus minor,Pink-throated Becard,pitbec1,77946,FALSE,ベニノドカザリドリモドキ,beninodokazaridorimodoki
Pachyramphus aglaiae,Rose-throated Becard,rotbec,166113201,FALSE,バラノドカザリドリモドキ,baranodokazaridorimodoki
Pachyramphus niger,Jamaican Becard,jambec1,358951561,FALSE,クロカザリドリモドキ,kurokazaridorimodoki
Pachyramphus homochrous,One-colored Becard,oncbec1,251725561,FALSE,ムジカザリドリモドキ,mujikazaridorimodoki
Leptopogon taczanowskii,Inca Flycatcher,incfly1,553947651,FALSE,インカハエトリ,inkahaetori
Taeniotriccus andrei,Black-chested Tyrant,blctyr2,323159621,FALSE,アカガオタイランチョウ,akagaotairanchou
Cnipodectes subbrunneus,Brownish Twistwing,brofly1,112799,FALSE,チャイロタイランチョウ,chairotairanchou
Cnipodectes superrufus,Rufous Twistwing,ruftwi1,31739191,FALSE,クリイロタイランチョウ,kuriirotairanchou
Rhynchocyclus brevirostris,Eye-ringed Flatbill,eyrfla1,20350,FALSE,メジロマルハシタイランチョウ,
Rhynchocyclus aequinoctialis,Western Olivaceous Flatbill,olifla2,25940,FALSE,,
Rhynchocyclus olivaceus,Eastern Olivaceous Flatbill,olifla3,117030,FALSE,,
Rhynchocyclus pacificus,Pacific Flatbill,pacfla1,627917244,FALSE,ミナミメジロマルハシタイランチョウ,minamimejiromaruhashitairanchou
Rhynchocyclus fulvipectus,Fulvous-breasted Flatbill,fubfla1,600644471,FALSE,キバラマルハシタイランチョウ,kibaramaruhashitairanchou
Tolmomyias sulphurescens,Yellow-olive Flatbill,yeofly1,199538,FALSE,ヒラハシハエトリ,
Tolmomyias traylori,Orange-eyed Flatbill,orefly1,34313,FALSE,アカメヒラハシハエトリ,akamehirahashihaetori
Tolmomyias assimilis,Yellow-margined Flatbill,yemfly1,388637621,FALSE,ハマダラヒラハシハエトリ,
Tolmomyias flavotectus,Yellow-winged Flatbill,yemfly2,381734391,FALSE,,
Tolmomyias poliocephalus,Grey-crowned Flatbill,gycfly1,389466461,FALSE,ハイボウシヒラハシハエトリ,haiboushihirahashihaetori
Tolmomyias viridiceps,Olive-faced Flatbill,yebfly4,622735132,FALSE,,
Tolmomyias flaviventris,Ochre-lored Flatbill,yebfly3,360610661,FALSE,,
Myiornis auricularis,Eared Pygmy-tyrant,eaptyr1,282255931,FALSE,ミミグロコビトタイランチョウ,
Myiornis albiventris,White-bellied Pygmy-tyrant,wbptyr1,608677494,FALSE,ペルーコビトタイランチョウ,peru-kobitotairanchou
Myiornis atricapillus,Black-capped Pygmy-tyrant,bcptyr1,192574,FALSE,コビトタイランチョウ,kobitotairanchou
Myiornis ecaudatus,Short-tailed Pygmy-tyrant,stptyr1,369495141,FALSE,タンビコビトタイランチョウ,
Oncostoma cinereigulare,Northern Bentbill,norben1,356416921,FALSE,カマハシタイランチョウ,kamahashitairanchou
Oncostoma olivaceum,Southern Bentbill,souben1,198732361,FALSE,ミナミカマハシタイランチョウ,minamikamahashitairanchou
Lophotriccus pileatus,Scale-crested Pygmy-tyrant,scptyr1,123832931,FALSE,カンムリハエトリ,kanmurihaetori
Lophotriccus vitiosus,Double-banded Pygmy-tyrant,dbptyr1,203919111,FALSE,フタスジカンムリハエトリ,futasujikanmurihaetori
Lophotriccus eulophotes,Long-crested Pygmy-tyrant,lcptyr1,38945,FALSE,エボシハエトリ,eboshihaetori
Lophotriccus galeatus,Helmeted Pygmy-tyrant,heptyr1,88486,FALSE,ヘルメットハエトリ,herumettohaetori
Atalotriccus pilaris,Pale-eyed Pygmy-tyrant,peptyr1,66608,FALSE,コバネハエトリ,kobanehaetori
Hemitriccus minor,Snethlage's Tody-tyrant,snttyr1,647648496,FALSE,ヒメコビトドリモドキ,
Hemitriccus cohnhafti,Acre Tody-tyrant,acrtot1,500542021,FALSE,アクレコビトドリモドキ,akurekobitodorimodoki
Hemitriccus spodiops,Yungas Tody-tyrant,yuttyr1,17121,FALSE,ボリビアコビトドリモドキ,boribiakobitodorimodoki
Hemitriccus flammulatus,Flamulated Bamboo-tyrant,flapyt1,121793,FALSE,シロスジコビトドリモドキ,shirosujikobitodorimodoki
Hemitriccus diops,Drab-breasted Bamboo-tyrant,drbpyt1,223833851,FALSE,コビトドリモドキ,kobitodorimodoki
Hemitriccus obsoletus,Brown-breasted Bamboo-tyrant,bnbpyt1,102724,FALSE,チャムネコビトドリモドキ,chamunekobitodorimodoki
Hemitriccus josephinae,Boat-billed Tody-tyrant,bbttyr1,321841901,FALSE,ヒロハシコビトドリモドキ,hirohashikobitodorimodoki
Hemitriccus zosterops,White-eyed Tody-tyrant,wettyr1,113033,FALSE,メジロコビトドリモドキ,
Hemitriccus griseipectus,White-bellied Tody-tyrant,whbtot1,88409,FALSE,シロハラコビトドリモドキ,shiroharakobitodorimodoki
Hemitriccus orbitatus,Eye-ringed Tody-tyrant,erttyr1,56040061,FALSE,メガネコビトドリモドキ,meganekobitodorimodoki
Hemitriccus iohannis,Joao's Tody-tyrant,jottyr1,35558,FALSE,アマゾンコビトドリモドキ,amazonkobitodorimodoki
Hemitriccus striaticollis,Stripe-necked Tody-tyrant,snttyr2,117139,FALSE,シマノドコビトドリモドキ,
Hemitriccus nidipendulus,Hangnest Tody-tyrant,hattyr1,293427,FALSE,ツリスコビトドリモドキ,tsurisukobitodorimodoki
Hemitriccus margaritaceiventer,Pearly-vented Tody-tyrant,pvttyr1,212397,FALSE,ギンバラコビトドリモドキ,
Hemitriccus inornatus,Pelzeln's Tody-tyrant,pettyr1,203984201,FALSE,ムジコビトドリモドキ,mujikobitodorimodoki
Hemitriccus minimus,Zimmer's Tody-tyrant,zittyr1,375483261,FALSE,クロスジコビトドリモドキ,
Hemitriccus granadensis,Black-throated Tody-tyrant,btttyr1,68131481,FALSE,ノドグロコビトドリモドキ,nodogurokobitodorimodoki
Hemitriccus cinnamomeipectus,Cinnamon-breasted Tody-tyrant,cbttyr1,74342211,FALSE,シナモンコビトドリモドキ,shinamonkobitodorimodoki
Hemitriccus mirandae,Buff-breasted Tody-tyrant,bbttyr2,509606791,FALSE,キムネコビトドリモドキ,kimunekobitodorimodoki
Hemitriccus kaempferi,Kaempfer's Tody-tyrant,kattyr1,203984211,FALSE,ブラジルコビトドリモドキ,burajirukobitodorimodoki
Hemitriccus rufigullaris,Buff-throated Tody-tyrant,btttyr2,87895,FALSE,,
Hemitriccus furcatus,Fork-tailed Tody-tyrant,fotpyt1,471474421,FALSE,エンビコビトドリモドキ,enbikobitodorimodoki
Poecilotriccus ruficeps,Rufous-crowned Tody- flycatcher,rcttyr1,203699291,FALSE,ズアカハシナガハエトリ,
Poecilotriccus luluae,Lulu's Tody- flycatcher,johtot1,74343731,FALSE,ジョンソンハシナガハエトリ,jonsonhashinagahaetori
Poecilotriccus albifacies,White-cheeked Tody- flycatcher,wcttyr1,135109,FALSE,ホオジロハシナガハエトリ,hoojirohashinagahaetori
Poecilotriccus capitalis,Black-and-white Tody- flycatcher,bawtyr1,34355,FALSE,セグロハシナガハエトリ,segurohashinagahaetori
Poecilotriccus senex,Buff-cheeked Tody- flycatcher,buctof1,127701,FALSE,キホオハシナガタイランチョウ,kihoohashinagatairanchou
Poecilotriccus russatus,Ruddy Tody-flycatcher,rudtof1,388465941,FALSE,アカハシナガタイランチョウ,akahashinagatairanchou
Poecilotriccus plumbeiceps,Ochre-faced Tody-flycatcher,ocftof1,132567,FALSE,キガオハシナガタイランチョウ,kigaohashinagatairanchou
Poecilotriccus fumifrons,Smoky-fronted Tody-flycatcher,smftof1,203955431,FALSE,ヒメハシナガタイランチョウ,himehashinagatairanchou
Poecilotriccus latirostris,Rusty-fronted Tody-flycatcher,ruftof1,531976721,FALSE,チャビタイハシナガタイランチョウ,chabitaihashinagatairanchou
Poecilotriccus sylvia,Slate-headed Tody-flycatcher,shtfly1,226849561,FALSE,ハイイロハシナガタイランチョウ,haiirohashinagatairanchou
Poecilotriccus calopterus,Golden-winged Tody-flycatcher,gowtof1,408117551,FALSE,キンバネハシナガタイランチョウ,
Poecilotriccus pulchellus,Black-backed Tody-flycatcher,bkbtof1,533235091,FALSE,セグロハシナガタイランチョウ,segurohashinagatairanchou
Todirostrum maculatum,Spotted Tody-flycatcher,sptfly1,45595,FALSE,マダラハシナガタイランチョウ,madarahashinagatairanchou
Todirostrum poliocephalum,Yellow-lored Tody-flycatcher,gyhtof1,203984241,FALSE,ハイガシラタイランチョウ,haigashiratairanchou
Todirostrum cinereum,Common Tody-flycatcher,cotfly1,211086171,FALSE,ハシナガタイランチョウ,
Todirostrum viridanum,Maracaibo Tody-flycatcher,matfly1,405715871,FALSE,タンビハシナガタイランチョウ,tanbihashinagatairanchou
Todirostrum nigriceps,Black-headed Tody-flycatcher,bhtfly1,621089412,FALSE,ズグロハシナガタイランチョウ,zugurohashinagatairanchou
Todirostrum pictum,Painted Tody-flycatcher,patfly1,203953811,FALSE,ギアナハシナガタイランチョウ,gianahashinagatairanchou
Todirostrum chrysocrotaphum,Yellow-browed Tody-flycatcher,ybtfly1,610061191,FALSE,ムナフハシナガタイランチョウ,munafuhashinagatairanchou
Myiotriccus phoenicurus,Eastern Ornate Flycatcher,,,FALSE,キゴシタイランチョウ（phoenicurus／aureiventris）,kigoshitairanchou (phoenicurus/aureiventris)
Myiotriccus ornatus,Western Ornate Flycatcher,ornfly1,635485074,FALSE,キゴシタイランチョウ,kigoshitairanchou
Nephelomyias pulcher,Handsome Flycatcher,hanfly1,225151831,FALSE,キムネフタスジハエトリ,kimunefutasujihaetori
Nephelomyias lintoni,Orange-banded Flycatcher,orbfly1,652079369,FALSE,アカバネフタスジハエトリ,akabanefutasujihaetori
Nephelomyias ochraceiventris,Ochraceous-breasted Flycatcher,ocbfly2,74348611,FALSE,ムネアカフタスジハエトリ,muneakafutasujihaetori
Pyrrhomyias cinnamomeus,Cinnamon Flycatcher,cinfly2,203932121,FALSE,ニッケイハエトリ,nikkeihaetori
Hirundinea bellicosa,Swallow Flycatcher,,,FALSE,ツバメタイランチョウ（bellicosa／pallidior）,tsubametairanchou (bellicosa/pallidior)
Hirundinea ferruginea,Cliff Flycatcher,clifly1,361135701,FALSE,ツバメタイランチョウ,tsubametairanchou
Zimmerius cinereicapilla,Red-billed Tyrannulet,rebtyr2,74341231,FALSE,アカハシコタイランチョウ,akahashikotairanchou
Zimmerius villarejoi,Michana Tyrannulet,mistyr1,629678641,FALSE,ミシャナコタイランチョウ,mishanakotairanchou
Zimmerius chicomendesi,Chico's Tyrannulet,chityr1,468724301,FALSE,チコメンデスコタイランチョウ,chikomendesukotairanchou
Zimmerius vilissimus,Paltry Tyrannulet,paltyr2,649182225,FALSE,マミジロコタイランチョウ,
Zimmerius parvus,Mistletoe Tyrannulet,paltyr3,205764,FALSE,ヤドリギコタイランチョウ,
Zimmerius petersi,Venezuelan Tyrannulet,paltyr5,66650,FALSE,ベネズエラコタイランチョウ,
Zimmerius improbus,Mountain Tyrannulet,paltyr4,617731985,FALSE,メガネコタイランチョウ,
Zimmerius chrysops,Golden-faced Tyrannulet,goftyr1,550525611,FALSE,キマユコタイランチョウ,
Zimmerius albigularis,Choco Tyrannulet,chotyr1,308015001,FALSE,ノドジロコタイランチョウ,nodojirokotairanchou
Zimmerius viridiflavus,Peruvian Tyrannulet,pertyr1,49433,FALSE,ペルーキマユコタイランチョウ,
Zimmerius gracilipes,Slender-footed Tyrannulet,slftyr1,386020371,FALSE,アシボソコタイランチョウ,
Zimmerius acer,Guianan Tyrannulet,guityr1,77949,FALSE,ギアナコタイランチョウ,gianakotairanchou
Zimmerius bolivianus,Bolivian Tyrannulet,boltyr1,17119,FALSE,ボリビアコタイランチョウ,boribiakotairanchou
Stigmatura napensis,Lesser Wagtail-tyrant,lewtyr1,61613421,FALSE,,
Stigmatura bahiae,Bahia Wagtail-tyrant,leswat2,509612191,FALSE,,
Stigmatura budytoides,Greater Wagtail-tyrant,grwtyr1,169780771,FALSE,セキレイタイランチョウ,sekireitairanchou
Inezia tenuirostris,Slender-billed Tyrannulet,slbtyr1,46894011,FALSE,ハシボソマメタイランチョウ,hashibosomametairanchou
Inezia inornata,Plain Tyrannulet,platyr1,46426,FALSE,マメタイランチョウ,mametairanchou
Inezia subflava,Amazonian Tyrannulet,amatyr1,31748551,FALSE,キバラマメタイランチョウ,
Inezia caudata,Pale-tipped Tyrannulet,pattyr3,66636,FALSE,シロビタイマメタイランチョウ,shirobitaimametairanchou
Euscarthmus meloryphus,Tawny-crowned Pygmy-tyrant,tacpyt1,66612,FALSE,,
Euscarthmus fulviceps,Tawny-fronted Pygmy-tyrant,tacpyt2,11034,FALSE,,
Euscarthmus rufomarginatus,Rufous-sided Pygmy-tyrant,rsptyr1,103440,FALSE,ワキアカコビトハエトリ,wakiakakobitohaetori
Ornithion semiflavum,Yellow-bellied Tyrannulet,yebtyr1,630759185,FALSE,キバラコタイランチョウ,kibarakotairanchou
Ornithion brunneicapillus,Brown-capped Tyrannulet,brctyr,66663,FALSE,チャズキンコタイランチョウ,chazukinkotairanchou
Ornithion inerme,White-lored Tyrannulet,whltyr1,385049881,FALSE,タンビコタイランチョウ,tanbikotairanchou
Camptostoma imberbe,Northern Beardless Tyrannulet,nobtyr,174983441,FALSE,メグロハエトリ,megurohaetori
Camptostoma obsoletum,Southern Beardless Tyrannulet,sobtyr1,69870,FALSE,キバラメグロハエトリ,kibaramegurohaetori
Elaenia ruficeps,Rufous-crowned Elaenia,rucela1,388990831,FALSE,アカギクタイランチョウ,akagikutairanchou
Elaenia cristata,Plain-crested Elaenia,plcela1,247050721,FALSE,エボシキクタイランチョウ,eboshikikutairanchou
Elaenia gigas,Mottle-backed Elaenia,mobela1,635143712,FALSE,マダラシラギクタイランチョウ,madarashiragikutairanchou
Elaenia dayi,Great Elaenia,greela1,251794921,FALSE,オニギクタイランチョウ,onigikutairanchou
Elaenia sordida,Brazilian Elaenia,higela3,294493601,FALSE,タカネキクタイランチョウ (sordida),
Elaenia obscura,Highland Elaenia,higela2,611498896,FALSE,タカネキクタイランチョウ,
Elaenia strepera,Slaty Elaenia,slaela1,132577,FALSE,ネズミシラギクタイランチョウ,nezumishiragikutairanchou
Elaenia flavogaster,Yellow-bellied Elaenia,yebela1,7433,FALSE,キバラシラギクタイランチョウ,kibarashiragikutairanchou
Elaenia parvirostris,Small-billed Elaenia,smbela1,19552,FALSE,メジロシラギクタイランチョウ,mejiroshiragikutairanchou
Elaenia pelzelni,Brownish Elaenia,broela1,203984121,FALSE,チャイロシラギクタイランチョウ,chairoshiragikutairanchou
Elaenia spectabilis,Large Elaenia,larela1,510904281,FALSE,オオシラギクタイランチョウ,
Elaenia ridleyana,Noronha Elaenia,norela1,203984101,FALSE,ノロンハシラギクタイランチョウ,noronhashiragikutairanchou
Elaenia brachyptera,Coopman's Elaenia,cooela1,621765417,FALSE,ナリーニョギクタイランチョウ,nari-nyogikutairanchou
Elaenia chiriquensis,Lesser Elaenia,lesela1,278670081,FALSE,コシラギクタイランチョウ,
Elaenia mesoleuca,Olivaceous Elaenia,oliela1,389534381,FALSE,オリーブシラギクタイランチョウ,ori-bushiragikutairanchou
Elaenia pallatangae,Sierran Elaenia,sieela3,523407511,FALSE,キイロシラギクタイランチョウ,
Elaenia olivina,Tepui Elaenia,sieela2,300107121,FALSE,キイロシラギクタイランチョウ (olivina/davidwillardi),
Elaenia albiceps,White-crested Elaenia,whcela1,325599701,FALSE,シラギクタイランチョウ,shiragikutairanchou
Elaenia frantzii,Mountain Elaenia,mouela1,46236231,FALSE,ミヤマキクタイランチョウ,miyamakikutairanchou
Elaenia martinica,Caribbean Elaenia,carela1,188040,FALSE,カリブシラギクタイランチョウ,karibushiragikutairanchou
Elaenia cherrieri,Hispaniolan Elaenia,graela4,163155001,FALSE,,
Elaenia fallax,Greater Antillean Elaenia,graela3,164928,FALSE,,
Tyrannulus elatus,Yellow-crowned Tyrannulet,yectyr1,414481161,FALSE,ヒメタイランチョウ,himetairanchou
Myiopagis caniceps,Atlantic Grey Elaenia,gryela3,244641631,FALSE,,
Myiopagis cinerea,Amazonian Grey Elaenia,gryela2,112809,FALSE,,
Myiopagis parambae,Choco Grey Elaenia,gryela1,424729841,FALSE,,
Myiopagis olallai,Foothill Elaenia,fooela1,69328991,FALSE,サンロクキクイタダキモドキ,sanrokukikuitadakimodoki
Myiopagis gaimardii,Forest Elaenia,forela1,626223291,FALSE,モリキクイタダキモドキ,morikikuitadakimodoki
Myiopagis subplacens,Pacific Elaenia,pacela1,257867301,FALSE,ニシキクイタダキモドキ,nishikikuitadakimodoki
Myiopagis flavivertex,Yellow-crowned Elaenia,yecela1,203932101,FALSE,キクイタダキモドキ,kikuitadakimodoki
Myiopagis viridicata,Greenish Elaenia,greela,157755461,FALSE,ミドリキクイタダキモドキ,midorikikuitadakimodoki
Myiopagis cotta,Small Jaimaican Elaenia,jamela1,559897721,FALSE,ジャマイカキクイタダキモドキ,jamaikakikuitadakimodoki
Suiriri suiriri,Suiriri Flycatcher,suifly1,217069,FALSE,スイリリハエトリ,suiririhaetori
Suiriri affinis,Chapada Flycatcher,chafly3,191473941,FALSE,,
Capsiempis flaveola,Yellow Tyrannulet,yeltyr1,249967911,FALSE,キイロコバシハエトリ,kiirokobashihaetori
Phyllomyias fasciatus,Planalto Tyrannulet,platyr2,211886501,FALSE,コタイランチョウ,
Phyllomyias weedeni,Yungas Tyrannulet,yuntyr1,132741,FALSE,ユンガスコタイランチョウ,yungasukotairanchou
Phyllomyias burmeisteri,Rough-legged Tyrannulet,roltyr3,172661571,FALSE,,
Phyllomyias zeledoni,White-fronted Tyrannulet,roltyr1,171271751,FALSE,ホオジロコタイランチョウ,hoojirokotairanchou
Phyllomyias virescens,Greenish Tyrannulet,gretyr1,34016,FALSE,ミドリコタイランチョウ,
Phyllomyias reiseri,Reiser's Tyrannulet,reityr1,234699751,FALSE,タカネミドリコタイランチョウ,
Phyllomyias urichi,Urich's Tyrannulet,urityr1,344723971,FALSE,ミヤマコタイランチョウ,miyamakotairanchou
Phyllomyias sclateri,Sclater's Tyrannulet,scltyr1,218225,FALSE,メジロコタイランチョウ,mejirokotairanchou
Phyllomyias griseocapilla,Grey-capped Tyrannulet,gyctyr1,288480601,FALSE,ハイズキンコタイランチョウ,haizukinkotairanchou
Phyllomyias griseiceps,Sooty-headed Tyrannulet,sohtyr1,203700721,FALSE,ハイガシラコタイランチョウ,haigashirakotairanchou
Phyllomyias plumbeiceps,Plumbeous-crowned Tyrannulet,plctyr1,69418551,FALSE,ミミグロコタイランチョウ,mimigurokotairanchou
