Latin,English,Croatian
Campylorhamphus multostriatus,Xingu Scythebill,kestenjastorepa puzavica
Campylorhamphus pucherani,Greater Scythebill,sabljokljuna puzavica
Drymornis bridgesii,Scimitar-billed Woodcreeper,krivokljuna puzavica
Lepidocolaptes angustirostris,Narrow-billed Woodcreeper,obrvasta puzavica
Lepidocolaptes albolineatus,Lineated Woodcreeper,bjelopruga puzavica
Lepidocolaptes duidae,Duida Woodcreeper,smeđokapa puzavica
Lepidocolaptes fuscicapillus,Dusky-capped Woodcreeper,smeđokrila puzavica
Lepidocolaptes fatimalimae,Inambari Woodcreeper,smeđoglava puzavica
Lepidocolaptes souleyetii,Streak-headed Woodcreeper,prugastoglava puzavica
Lepidocolaptes squamatus,Scaled Woodcreeper,gorska puzavica
Lepidocolaptes falcinellus,Scalloped Woodcreeper,ljuskastoprsa puzavica
Lepidocolaptes lacrymiger,Montane Woodcreeper,prugastolica puzavica
Lepidocolaptes leucogaster,White-striped Woodcreeper,meksička puzavica
Lepidocolaptes affinis,Northern Spot-crowned Woodcreeper,smeđoleđa puzavica
Lepidocolaptes neglectus,Southern Spot-crowned Woodcreeper,kostarička
Xenops genibarbis,Plain Xenops,bjelobrka listarica
Xenops minutus,White-throated Xenops,bjelobrada listarica
Xenops rutilans,Streaked Xenops,prugastotrba listarica
Xenops tenuirostris,Slender-billed Xenops,mala listarica
Berlepschia rikeri,Palmcreeper,palmina listarica
Microxenops milleri,Rufous-tailed Xenops,prugastoleđa listarica
Pygarrhichas albogularis,White-throated Treerunner,bjeloprsa listarica
Ochetorhynchus andaecola,Rock Earthcreeper,prugastoboka rudarica
Ochetorhynchus melanurus,Crag Chilia,čilska rudarica
Ochetorhynchus ruficaudus,Straight-billed Earthcreeper,andska rudarica
Ochetorhynchus phoenicurus,Band-thailed Earthcreeper,dugorepa rudarica
Pseudocolaptes lawrencii,Buffy Tuftedcheek,pjegavoprsa listarica
Pseudocolaptes johnsoni,Pacific Tuftedcheek,riđotrba listarica
Pseudocolaptes boissonneautii,Streaked Tuftedcheek,bjelovrata listarica
Premnornis guttuliger,Rusty-winged Barbtail,planinska listarica
Tarphonomus harterti,Bolivian Earthcreeper,bolivijska rudarica
Tarphonomus certhioides,Chaco Earthcreeper,šumska rudarica
Furnarius torridus,Pale-billed Hornero,svjetlokljuni pećar
Furnarius figulus,Wing-banded Hornero,smeđokapi pećar
Furnarius leucopus,Pale-legged Hornero,riđoleđi pećar
Furnarius longirostris,Caribbean Hornero,sivokapi pećar
Furnarius cinnamomeus,Pacific Hornero,pacifički pećar
Furnarius minor,Lesser Hornero,mali pećar
Furnarius rufus,Rufous Hornero,riđi pećar
FORMICARIIDAE,Ground-antbirds,pozemni mravari
Formicarius colma,Rufous-capped Antthrush,riđokapi mravar
Formicarius moniliger,Mayan Antthrush,jukatanski mravar
Formicarius analis,Black-faced Antthrush,crnogrli mravar
Formicarius rufifrons,Rufous-fronted Antthrush,riđočeli mravar
Formicarius nigricapillus,Black-headed Antthrush,crnoglavi mravar
Formicarius rufipectus,Rufous-breasted Antthrush,riđoprsi mravar
Chamaeza campanisona,Short-tailed Anttrush,maslinastosmeđi mravar
Chamaeza nobilis,Striated Anttrush,smeđoleđi mravar
Chamaeza meruloides,Cryptic Anttrush,pjegavoboki mravar
Chamaeza turdina,Scalloped Anttrush,bjelogrli mravar
Chamaeza ruficauda,Rufous-tailed Anttrush,riđorepi mravar
Chamaeza mollissima,Barred Anttrush,andski mravar
FURNARIIDAE,Ovenbirds,pećari
Sclerurus mexicanus,Tawny-throated Leaftosser,dugokljuna listarica
Sclerurus rufigularis,Short-billed Leaftosser,amazonska listarica
Sclerurus guatemalensis,Scaly-throated Leaftosser,ljuskastogrla listarica
Sclerurus caudacutus,Black-tailed Leaftosser,crnorepa listarica
Sclerurus albigularis,Grey-throated Leaftosser,sivogrla listarica
Sclerurus scansor,Rufous-breasted Leaftosser,riđoprsa listarica
Sclerurus cearensis,Ceara Leaftosser,cearska listarica
Geositta peruviana,Coastal Miner,bjelotrba rudarica
Geositta tenuirostris,Slender-billed Miner,tankokljuna rudarica
Geositta cunicularia,Common Miner,pjegavoprsa rudarica
Geositta punensis,Puna Miner,punska rudarica
Geositta poeciloptera,Campo Miner,mala rudarica
Geositta crassirostris,Thick-billed Miner,limska rudarica
Geositta rufipennis,Rufous-banded Miner,riđokrila rudarica
Geositta maritima,Greyish Miner,sivkasta rudarica
Geositta antarctica,Short-billed Miner,kratkokljuna rudarica
Geositta saxicolina,Dark-winged Miner,peruanska rudarica
Geositta isabellina,Creamy-rumped Miner,svijetla rudarica
Certhiasomus stictolaemus,Spot-throated Woodcreeper,pjegavogrla puzavica
Deconychura typica,Little Long-tailed Woodcreeper,kestenjastotrba puzavica
Deconychura longicauda,Long-tailed Woodcreeper,dugorepa puzavica
Deconychura pallida,Southern Long-tailed Woodcreeper,puzavica zviždara
Sittasomus griseus,Western Olivaceous Woodcreeper,patuljasta puzavica
Sittasomus griseicapillus,Eastern Olivaceous Woodcreeper,mala puzavica
Dendrocincla tyrannina,Tyrannine Woodcreeper,planinska puzavica
Dendrocincla merula,White-chinned Woodcreeper,bjelogrla puzavica
Dendrocincla homochroa,Ruddy Woodcreeper,riđa puzavica
Dendrocincla anabatina,Tawny-winged Woodcreeper,riđorepa puzavica
Dendrocincla fuliginosa,Plain-brown Woodcreeper,riđokrila puzavica
Dendrocincla turdina,Plain-winged Woodcreeper,smeđa puzavica
Glyphorhynchus spirurus,Wedge-billed Woodcreeper,klinastokljuna puzavica
Dendrexetastes rufigula,Cinnamon-throated Woodcreeper,cimetastoglava
Nasica longirostris,Long-billed Woodcreeper,velika puzavica
Dendrocolaptes sanctithomae,Western Barred Woodcreeper,srednjoamerička
Dendrocolaptes punctipectus,Eastern Barred Woodcreeper,prugasta puzavica
Dendrocolaptes certhia,Amazonian Barred Woodcreeper,amazonska puzavica
Furnarius cristatus,Crested Hornero,krunati pećar
Lochmias nematura,Streamcreeper,listarica potočarka
Phleocryptes melanops,Wren-like Rushbird,prugastoleđa trnorepa
Limnornis curvirostris,Curve-billed Reedhaunter,smeđa trnorepa
Geocerthia serrana,Striated Earthcreeper,prugasta rudarica
Upucerthia saturatior,Forest Earthcreeper,mrka rudarica
Upucerthia dumetaria,Scale-throated Earthcreeper,pjegavogrla rudarica
Upucerthia albigula,White-throated Earthcreeper,bjelogrla rudarica
Upucerthia validirostris,Buff-breasted Earthcreeper,smeđa rudarica
Cinclodes pabsti,Long-tailed Cinclodes,brazilska rudarica
Cinclodes fuscus,Bar-winged Cinclodes,prugastoboka rudarica
Cinclodes maculirostris,Black Cinclodes,crna rudarica
Cinclodes antarcticus,Blackish Cinclodes,crnkasta rudarica
Cinclodes comechingonus,Cordoba Cinclodes,kordopska rudarica
Cinclodes albidiventris,Chestnut-winged Cinclodes,kestenjastokrila rudarica
Cinclodes olrogi,Olrog's Cinclodes,ljuskastoprsa rudarica
Cinclodes albiventris,Cream-winged Cinclodes,bjelokrila rudarica
Cinclodes oustaleti,Grey-flanked Cinclodes,bjelopjegava rudarica
Cinclodes excelsior,Stout-billed Cinclodes,krupnokljuna rudarica
Cinclodes aricomae,Royal Cinclodes,kratkorepa rudarica
Cinclodes palliatus,White-bellied Cinclodes,velika rudarica
Cinclodes atacamensis,White-winged Cinclodes,kestenjastoleđa rudarica
Cinclodes patagonicus,Dark-bellied Cinclodes,tamnoleđa rudarica
Cinclodes taczanowskii,Surf Cinclodes,tamnogrla rudarica
Cinclodes nigrofumosus,Seaside Cinclodes,obalna rudarica
Anabazenops dorsalis,Dusky-cheeked Foliage-gleaner,sivoprsa listarica
Anabazenops fuscus,White-collared Foliage-gleaner,ogrličasta listarica
Megaxenops parnaguae,Great Xenops,zlatna listarica
Cichlocolaptes leucophrus,Large Pale-browed Treehunter,prugastoprsa listarica
Cichlocolaptes holti,Small Pale-browed Treehunter,kestenjastorepa listarica
Cichlocolaptes mazarbarnetti,Cryptic Treehunter,smeđotrba listarica
Heliobletus contaminatus,Sharp-billed Treehunter,tamnokapa listarica
Philydor novaesi,Alagoas Foliage-gleaner,alagoaška listarica
Philydor atricapillus,Black-capped Foliage-gleaner,crnokapa listarica
Philydor pyrrhodes,Cinnamon-rumped Foliage-gleaner,cimetastoprsa listarica
Philydor fuscipenne,Slaty-winged Foliage-gleaner,tamnokrila listarica
Philydor erythrocercum,Rufous-rumped Foliage-gleaner,smeđa listarica
Philydor erythropterum,Chestnut-winged Foliage-gleaner,sivoglava listarica
Philydor rufum,Buff-fronted Foliage-gleaner,riđokrila listarica
Anabacerthia striaticollis,Montane Foliage-gleaner,listarica naočarka
Anabacerthia amaurotis,White-browed Foliage-gleaner,gorska listarica
Anabacerthia lichtensteini,Ochre-breasted Foliage-gleaner,kratkokljuna listarica
Anabacerthia variegaticeps,Scaly-throated Foliage-gleaner,obrvasta listarica
Anabacerthia ruficauda,Rufous-tailed Foliage-gleaner,riđorepa listarica
Syndactyla rufosuperciliata,Buff-browed Foliage-gleaner,smeđoleđa listarica
Syndactyla dimidiata,Russet-mantled Foliage-gleaner,cimetasta listarica
Syndactyla roraimae,White-throated Foliage-gleaner,kestenjasta listarica
Syndactyla subalaris,Lineated Foliage-gleaner,prugasta listarica
Syndactyla ruficollis,Rufous-necked Foliage-gleaner,riđovrata listarica
Syndactyla guttulata,Guttulated Foliage-gleaner,venezuelska listarica
Syndactyla ucayalae,Peruvian Recurvebill,krupnokljuna listarica
Syndactyla striata,Bolivian Recurvebill,bolivijska listarica
Ancistrops strigilatus,Chestnut-winged Hookbill,kukastokljuna listarica
Clibanornis rectirostris,Chestnut-capped Foliage-gleaner,kestenjastoglava
Clibanornis dendrocolaptoides,Canebrake Groundcreeper,prugastolici trnjak
Clibanornis erythrocephalus,Henna-hooded Foliage-gleaner,narančasta listarica
Clibanornis rubiginosus,Ruddy Foliage-gleaner,mrka listarica
Clibanornis rufipectus,Santa Marta Foliage-gleaner,santamartska listarica
Thripadectes ignobilis,Uniform Treehunter,riđa listarica
Thripadectes flammulatus,Flammulated Treehunter,zlatnopruga listarica
Thripadectes scrutator,Rufous-backed Treehunter,bambusova listarica
Thripadectes holostictus,Striped Treehunter,andska listarica
Thripadectes virgaticeps,Streak-capped Treehunter,prugastoglava listarica
Thripadectes melanorhynchus,Black-billed Treehunter,crnokljuna listarica
Thripadectes rufobrunneus,Streak-breasted Treehunter,tamnolica listarica
Automolus rufipileatus,Chestnut-crowned Foliage-gleaner,kestenjastokapa
Automolus melanopezus,Brown-rumped Foliage-gleaner,crvenooka listarica
Automolus virgatus,Western Woodhaunter,kestenjastokrila listarica
Automolus subulatus,Striped Woodhaunter,prugastokapa listarica
Automolus ochrolaemus,Buff-throated Foliage-gleaner,smeđokrila listarica
Automolus infuscatus,Olive-backed Foliage-gleaner,maslinastoleđa listarica
Automolus paraensis,Para Foliage-gleaner,maslinastokapa listarica
Automolus lammi,Pernambuco Foliage-gleaner,bjelogrla listarica
Automolus leucophthalmus,White-eyed Foliage-gleaner,bjelooka listarica
Premnoplex brunnescens,Spotted Barbtail,pjegava listarica
Premnoplex tatei,White-throated Barbtail,tamnoleđa listarica
Premnoplex pariae,Paria Barbtail,parijska listarica
Margarornis rubiginosus,Ruddy Treerunner,riđoleđa listarica
Margarornis stellatus,Fulvous-dotted Treerunner,biserastoprsa listarica
Margarornis squamiger,Pearled Treerunner,biserasta listarica
Margarornis bellulus,Beautiful Treerunner,panamska listarica
Aphrastura spinicauda,Thorn-tailed Rayadito,crnokapa trnorepa
Aphrastura masafuerae,Masafuera Rayadito,masafuerska trnorepa
Sylviorthorhynchus desmursii,Des Murs's Wiretail,cimetasta trnorepa
Sylviorthorhynchus yanacensis,Tawny Tit-spinetail,riđa trnorepa
Leptasthenura xenothorax,White-browed Tit-spinetail,kuskoanska trnorepa
Leptasthenura setaria,Araucaria Tit-spinetail,riđoleđa trnorepa
Leptasthenura platensis,Tufted Tit-spinetail,ćubasta trnorepa
Leptasthenura striolata,Striolated Tit-spinetail,prugasta trnorepa
Leptasthenura pileata,Rusty-crowned Tit-spinetail,riđokapa trnorepa
Leptasthenura striata,Streaked Tit-spinetail,prugastogrla trnorepa
Leptasthenura fuliginiceps,Brown-capped Tit-spinetail,kratkokljuna trnorepa
Leptasthenura berlepschi,Buffy Tit-spinetail,žućkastotrba trnorepa
Leptasthenura aegithaloides,Plain-mantled Tit-spinetail,prugastokapa trnorepa
Leptasthenura pallida,Palid Tit-spinetail,argentinska trnorepa
Leptasthenura andicola,Andean Tit-spinetail,andska trnorepa
Phacellodomus inornarus,Plain Thornbird,smeđi trnjak
Phacellodomus rufifrons,Rufous-fronted Thornbird,riđočeli trnjak
Phacellodomus striaticeps,Streak-fronted Thornbird,planinski trnjak
Phacellodomus sibilatrix,Little Thornbird,mali trnjak
Phacellodomus dorsalis,Chestnut-backed Thornbird,peruanski trnjak
Phacellodomus maculipectus,Spot-breasted Thornbird,pjegavoprsi trnjak
Phacellodomus striaticollis,Freckle-breasted Thornbird,riđi trnjak
Phacellodomus ruber,Greater Thornbird,riđokrili trnjak
Phacellodomus erythrophthalmus,Orange-eyed Thornbird,riđogrli trnjak
Phacellodomus ferrugineigula,Orange-breasted Thornbird,narančastoprsi trnjak
Hellmayrea gularis,White-browed Spinetail,obrvasta trnorepa
Anumbius annumbi,Firewood-gatherer,prugasti trnjak
Coryphistera alaudina,Lark -like Brushrunner,ćubasti trnjak
Asthenes usheri,White-tailed Canastero,bjelorepi kanastero
Asthenes huancavelicae,Huancavelica Canastero,peruanski kanastero
Asthenes arequipae,Arequipa Canastero,sivolici kanastero
Asthenes dorbignyi,Creamy-breasted Canastero,šarenorepi kanastero
Asthenes berlepschi,Berlepsch's Canastero,bolivijski kanastero
Asthenes baeri,Short-billed Canastero,kratkokljuni kanastero
Asthenes luizae,Cipo Canastero,sivotrbi kanastero
Asthenes anthoides,Austral Canastero,oštrorepi kanastero
Asthenes hudsoni,Hudson's Canastero,livadni kanastero
Asthenes urubambensis,Line-fronted Canastero,planinski kanastero
Asthenes flammulata,Many-striped Canastero,prugasti kanastero
Asthenes virgata,Junin Canastero,huninski kanastero
Asthenes maculicauda,Scribble-tailed Canastero,prugastorepi kanastero
Asthenes modesta,Cordilleran Canastero,prugastoprsi kanastero
Asthenes humilis,Streak-throated Canastero,prugastogrli kanastero
Asthenes wyatti,Streak-backed Canastero,prugastoleđi kanastero
A. w. sclateri,Puna Canastero,punski kanastero
Asthenes moreirae,Itatiaia Spinetail,južnobrazilska trnorepa
Asthenes pyrrholeuca,Sharp-billed Canastero,oštrokljuni kanastero
Asthenes harterti,Black-throated Thistletail,crnogrla trnorepa
Asthenes coryi,Ochre-browed Thistletail,venezuelska trnorepa
Asthenes perijana,Perija Thistletail,perihanska trnorepa
Asthenes fuliginosa,White-chinned Thistletail,sivotrba trnorepa
Asthenes griseomurina,Mouse-colured Thistletail,mrka trnorepa
Asthenes helleri,Puna Thistletail,sivo-smeđa trnorepa
Asthenes ottonis,Rusty-fronted Canastero,riđočeli kanastero
Asthenes palpebralis,Eye-ringed Thistletail,huninska trnorepa
Asthenes heterura,Maqeuis Canastero,smeđoleđi kanastero
Asthenes pudibunda,Canyon Canastero,andski kanastero
Asthenes vilcabambae,Vilcabamba Thistletail,ljuskastotrba trnorepa
Asthenes ayacuchensis,Ayacucho Thistletail,riđogrla trnorepa
Acrobatornis fonsecai,Pink-legged Graveteiro,bahijski trnjak
Metopothrix aurantiaca,Orange-fronted Plushcrown,zlatnoglavi trnjak
Xenerpestes minlosi,Double-banded Greytail,sivi trnjak
Xenerpestes singularis,Equatorial Greytail,prugastoprsi trnjak
Siptornis striaticollis,Spectacled Prickletail,prugastogrli trnjak
Roraimia adusta,Roraiman Barbtail,tepujska listarica
Thripophaga gutturata,Speckled Spinetail,pjegavoprsa trnorepa
Thripophaga cherriei,Orinoco Softtail,prugastolici kanastero
Thripophaga amacurensis,Delta Amacuro Softtail,cimetastorepi kanastero
Thripophaga macroura,Striated Softtail,veliki kanastero
Thripophaga fusciceps,Plain Softtail,riđokrili kanastero
Limnoctites rectirostris,Straight-billed Reedhaunter,dugokljuna trnorepa
Cranioleuca sulphurifera,Sulphur-throated Spinetail,žutogrla trnorepa
Cranioleuca marcapatae,Marcapata Spinetail,peruanska trnorepa
Cranioleuca weskei,Vilcabamba Spinetail,bjelokapa trnorepa
Cranioleuca albiceps,Light-crowned Spinetail,svjetlokapa trnorepa
Cranioleuca vulpecula,Parker's Spinetail,amazonska trnorepa
Cranioleuca berlepschi,Russet-mantled Softtail,riđi kanastero
Cranioleuca vulpina,Rusty-backed Spinetail,kestenjastoleđa trnorepa
Cranioleuca dissita,Coiba Spinetail,panamska trnorepa
Cranioleuca muelleri,Scaled Spinetail,ljuskasta trnorepa
Cranioleuca albicapilla,Creamy-crested Spinetail,svjetlokljuna trnorepa
Cranioleuca obsoleta,Olive Spinetail,maslinasta trnorepa
Cranioleuca pallida,Pallid Spinetail,brdska trnorepa
Cranioleuca pyrrhophia,Stripe-crowned Spinetail,riđoramena trnorepa
Cranioleuca henricae,Bolivian Spinetail,bolivijska trnorepa
Cranioleuca erythrops,Red-faced Spinetail,riđoglava trnorepa
Cranioleuca baroni,Baron's Spinetail,velika trnorepa
Cranioleuca antisiensis,Line-cheeked Spinetail,prugastolica trnorepa
Cranioleuca curtata,Ash-browed Spinetail,pepeljastolica trnorepa
Cranioleuca demissa,Tepui Spinetail,tepujska trnorepa
Cranioleuca semicinerea,Grey-headed Spinetail,sivo-riđa trnorepa
Cranioleuca hellmayri,Streak-capped Spinetail,prugastoglava trnorepa
Cranioleuca subcristata,Crested Spinetail,smeđokapa trnorepa
Pseudasthenes humicola,Dusky-tailed Canastero,crnorepi kanastero
Pseudasthenes patagonica,Patagonian Canastero,patagonski kanastero
Pseudasthenes steinbachi,Steinbach's Canastero,sivoglavi kanastero
Pseudasthenes cactorum,Cactus Canastero,kaktusov kanastero
Spartonoica maluroides,Bay-capped Wren-spinetail,riđočela trnorepa
Pseudoseisura unirufa,Grey-crested Cachalote,sivokapa listarica
Pseudoseisura cristata,Caatinga Cachalote,kukmasta listarica
Pseudoseisura lophotes,Brown Cachalote,velika listarica
Pseudoseisura gutturalis,White-throated Cachalote,pozemna listarica
Mazaria propinqua,White-bellied Spinetail,bjelotrba trnorepa
Schoeniophylax phryganophilus,Chotoy Spinetail,šarenogrla trnorepa
Certhiaxis cinnamomeus,Yellow-chinned Spinetail,močvarna trnorepa
Certhiaxis mustelinus,Red-and-white Spinetail,crvenkasto-bijela trnorepa
Synallaxis scutata,Ochre-cheeked Spinetail,smeđoprsa trnorepa
Synallaxis cinerascens,Grey-bellied Spinetail,riđokrila trnorepa
Synallaxis gujanensis,Plain-crowned Spinetail,sivoglava trnorepa
Synallaxis maranonica,Maranon Spinetail,maranonska trnorepa
Synallaxis simoni,Araguaia Spinetail,bjelogrla trnorepa
Synallaxis albilora,White-lored Spinetail,sivokapa trnorepa
Synallaxis kollari,Hoary-throated Spinetail,roraimska trnorepa
Synallaxis candei,White-whiskered Spinetail,crnoglava trnorepa
Synallaxis erythrothorax,Rufous-breasted Spinetail,meksička trnorepa
Synallaxis tithys,Blackish-headed Spinetail,crnočela trnorepa
Synallaxis unirufa,Rufous Spinetail,planinska trnorepa
Synallaxis castanea,Black-throated Spinetail,mirandska trnorepa
Synallaxis fuscorufa,Rusty-headed Spinetail,santamartska trnorepa
Synallaxis cinnamomea,Stripe-breasted Spinetail,prugastoprsa trnorepa
Synallaxis rutilans,Ruddy Spinetail,šumska trnorepa
Synallaxis cherriei,Chestnut-throated Spinetail,crnokrila trnorepa
Synallaxis hypochondriaca,Great Spinetail,bjeloprsa trnorepa
Synallaxis zimmeri,Russet-bellied Spinetail,riđotrba trnorepa
Synallaxis stictothorax,Necklaced Spinetail,mala trnorepa
Synallaxis chinchipensis,Chinchipe Spinetail,pjegavoboka trnorepa
Synallaxis brachyura,Slaty Spinetail,sivolica trnorepa
Synallaxis subpudica,Silvery-throated Spinetail,kolumbijska trnorepa
Synallaxis hellmayri,Red-shouldered Spinetail,siva trnorepa
Synallaxis ruficapilla,Rufous-capped Spinetail,bambusova trnorepa
Synallaxis cinerea,Bahia Spinetail,bahijska trnorepa
Synallaxis infuscata,Pinto's Spinetail,alagoaška trnorepa
Synallaxis moesta,Dusky Spinetail,sivogrla trnorepa
Synallaxis cabanisi,Cabanis's Spinetail,smeđolica trnorepa
Synallaxis macconnelli,McConnell's Spinetail,maslinastoleđa trnorepa
Synallaxis hypospodia,Cinereous-breasted Spinetail,kestenjastokrila trnorepa
Synallaxis spixi,Spix's Spinetail,sivoprsa trnorepa
Synallaxis albigularis,Dark-breasted Spinetail,riječna trnorepa
Synallaxis beverlyae,Orinoco Spinetail,narančastokapa trnorepa
Synallaxis albescens,Pale-breasted Spinetail,travnjačka trnorepa
Synallaxis frontalis,Sooty-fronted Spinetail,tamnočela trnorepa
Synallaxis azarae,Azara's Spinetail,pjegavogrla trnorepa
Synallaxis courseni,Apurimac Spinetail,apurimačka trnorepa
Neopelma aurifrons,Wied's Tyrant-manakin,sivoprsi manakin
Neopelma chrysolophum,Serra do Mar Tyrant-manakin,brdski manakin
Neopelma sulphureiventer,Sulphur-bellied Tyrant-manakin,maslinastoleđi
Tyranneutes stolzmanni,Dwarf Tyrant-manakin,mali manakin
Tyranneutes virescens,Tiny Tyrant-manakin,patuljasti manakin
Xenopipo uniformis,Olive Manakin,maslinasti manakin
Xenopipo atronitens,Black Manakin,crni manakin
Heterocercus aurantiivertex,Orange-crested Manakin,narančastokapi manakin
Heterocercus flavivertex,Yellow-crested Manakin,žutokapi manakin
Heterocercus linteatus,Flame-crested Manakin,crvenokapi manakin
Manacus candei,White-collared Manakin,bjelovrati manakin
Manacus aurantiacus,Orange-colared Manakin,plamenovrati manakin
Manacus vitellinus,Golden-collared Manakin,zlatnovrati manakin
Manacus manacus,White-bearded Manakin,bjeloprsi manakin
Pipra filicauda,Wire-tailed Manakin,strunorepi manakin
Pipra aureola,Crimson-hooded Manakin,grimiznoprsi manakin
Pipra fasciicauda,Band-tailed Manakin,crnoleđi manakin
Machaeropterus deliciosus,Club-winged Manakin,riđi manakin
Machaeropterus striolatus,Western Stripped Manakin,plamenoprsi manakin
Machaeropterus regulus,Eastern Stripped Manakin,kratkorepi manakin
Machaeropterus pyrocephalus,Fiery-capped Manakin,plamenokapi manakin
Pseudopipra pipra,White-crowned Manakin,crno-bijeli manakin
Ceratopipra cornuta,Scarlet-horned Manakin,crvenonogi manakin
Ceratopipra mentalis,Red-capped Manakin,bjelooki manakin
Ceratopipra erythrocephala,Golden-headed Manakin,zlatnoglavi manakin
Ceratopipra rubrocapilla,Red-headed Manakin,crvenoglavi manakin
Ceratopipra chloromeros,Round-tailed Manakin,oblorepi manakin
Chloropipo holochlora,Green Manakin,zeleni manakin
Chloropipo flavicapilla,Yellow-headed Manakin,žutoglavi manakin
Chloropipo unicolor,Jet Manakin,antracitni manakin
Lepidothrix suavissima,Orange-bellied Manakin,žutotrbi manakin
Lepidothrix serena,White-fronted Manakin,bjeločeli manakin
Lepidothrix coronata,Blue-crowned Manakin,plavokapi manakin
Lepidothrix nattereri,Snow-capped Manakin,bjeloleđi manakin
Lepidothrix vilasboasi,Golden-crowned Manakin,paraski manakin
Lepidothrix iris,Opal-crowned Manakin,krupnokljuni manakin
Lepidothrix isidorei,Blue-rumped Manakin,bjelokapi manakin
Lepidothrix coeruleocapilla,Cerulean-capped Manakin,peruanski manakin
Ilicura militaris,Pin-tailed Manakin,crvenoleđi manakin
Masius chrysopterus,Golden-winged Manakin,zlatnokrili manakin
Corapipo leucorrhoa,White-ruffed Manakin,bjelogrli manakin
Corapipo gutturalis,White-throated Manakin,blistavi manakin
Antilophia bokermanni,Araripe Manakin,cearski manakin
Antilophia galeata,Helmeted Manakin,kukmasti manakin
Chiroxiphia linearis,Long-tailed Manakin,dugorepi manakin
Chiroxiphia lanceolata,Lance-tailed Manakin,oštrorepi manakin
Chiroxiphia pareola,Blue-backed Manakin,plavoleđi manakin
Chiroxiphia boliviana,Yungas Manakin,jungaški manakin
Chiroxiphia caudata,Blue Manakin,plavi manakin
Pipreola jucunda,Orange-breasted Fruiteater,narančastoprsa kotinga
Pipreola pulchra,Masked Fruiteater,prugastoboka kotinga
COTINGIDAE,Cotingas,kotinge
Ampelioides tschudii,Scaled Fruiteater,ljuskasta kotinga
Pipreola chlorolepidota,Fiery-throated Fruiteater,crvenogrla kotinga
Pipreola squamipectus,Scaly-breasted Fruiteater,ljuskastoprsa kotinga
Pipreola frontalis,Scarlet-breasted Fruiteater,plamenogrla kotinga
Pipreola formosa,Handsome Fruiteater,venezuelska kotinga
Pipreola whitelyi,Red-banded Fruiteater,tepujska kotinga
Pipreola lubomirskii,Black-chested Fruiteater,žutoprsa kotinga
Pipreola aureopectus,Golden-breaste Fruiteater,zlatnoprsa kotinga
Pipreola arcuata,Barred Fruiteater,prugasta kotinga
Pipreola intermedia,Band-tailed Fruiteater,crvenokljuna kotinga
Pipreola riefferii,Green-and-black Fruiteater,ogrličasta kotinga
Snowornis subalaris,Grey-tailed Piha,sivorepa kotinga
Snowornis cryptolophus,Olivaceous Piha,maslinasta kotinga
Carpornis cucullata,Hooded Berryeater,crnoglava kotinga
Carpornis melanocephala,Black-headed Berryeater,crvenooka kotinga
Rupicola peruviana,Andean Cock-of-the-rock,plamena kotinga
Rupicola rupicola,Guianan Cock-of-the-rock,narančasta kotinga
Phoenicircus carnifex,Guianan Red Cotinga,crvenotrba kotinga
Phoenicircus nigricollis,Black-necked Red Cotinga,crvenokapa kotinga
Zaratornis stresemanni,White-cheeked Cotinga,bjelolica kotinga
Phytotoma rara,Rufous-tailed Plantcutter,šarenoglava kotinga
PIPRIDAE,Manakins,manakini
Neopelma pallescens,Pale-bellied Tyrant-manakin,bjelotrbi manakin
Neopelma chrysocephalum,Saffron-crested Tyrant-manakin,zelenoleđi manakin
Phytotoma raimondii,Peruvian Plantcutter,sivoprsa kotinga
Phytotoma rutila,White-tipped Plantcutter,bjeloramena kotinga
Phibalura flavirostris,Swallow-tailed Cotinga,rašljorepa kotinga
Phibalura boliviana,Apolo Cotinga,bolivijska kotinga
Doliornis sclateri,Bay-vented Cotinga,sivoglava kotinga
Doliornis remseni,Chestnut-bellied Cotinga,kestenjastotrba kotinga
Ampelion rubrocristatus,Red-crested Cotinga,pepeljasta kotinga
Ampelion rufaxilla,Chestnut-crested Cotinga,riđovrata kotinga
Haematoderus militaris,Crimson Fruitcrow,crvena kotinga
Querula purpurata,Purple-throated Fruitcrow,crna kotinga
Pyroderus scutatus,Red-ruffed Fruitcrow,plamenoprsa kotinga
Cephalopterus glabricollis,Bare-necked Umbrellabird,crvenoprsa kotinga
Cephalopterus penduliger,Long-wattled Umbrellabird,kukmasta kotinga
Cephalopterus ornatus,Amazonian Umbrellabird,velika kotinga
Perissocephalus tricolor,Capuchinbird,gologlava kotinga
Lipaugus unirufus,Rufous Piha,riđa kotinga
Lipaugus ater,Black-and-gold Cotinga,zlatnokrila kotinga
Lipaugus conditus,Grey-winged Cotinga,sivokrila kotinga
Lipaugus lanioides,Cinnamon-vented Piha,dugorepa kotinga
Lipaugus streptophorus,Rose-collared Piha,ružičastopruga kotinga
Lipaugus vociferans,Screaming Piha,siva kotinga
Lipaugus weberi,Chestnut-capped Piha,kestenjastokapa kotinga
Lipaugus fuscocinereus,Dusky Piha,sinja kotinga
Lipaugus uropygialis,Scimitar-winged Piha,srpastokrila kotinga
Procnias albus,White Bellbird,brkata kotinga
Procnias tricarunculatus,Three-wattled Bellbird,bradušasta kotinga
Procnias nudicollis,Bare-throated Bellbird,zelenogrla kotinga
