Latin,English,Croatian
Tanygnathus sumatranus,Blue-backed Parrot,bumbar4659
Tanygnathus gramineus,Black-lored Parrot,bumbar4660
Psittinus cyanurus,Blue-rumped Parrot,bumbar4661
Psittinus abbotti,Simeulue Parrot,bumbar4662
Psittacula finschii,Grey-headed Parakeet,bumbar4663
Psittacula himalayana,Slaty-headed Parakeet,bumbar4664
Psittacula roseata,Blossom-headed Parakeet,bumbar4665
Psittacula cyanocephala,Plum-headed Parakeet,bumbar4666
Psittacula alexandri,Red-breasted Parakeet,bumbar4667
Psittacula derbiana,Lord Derby's Parakeet,bumbar4668
Psittacula longicauda,Long-tailed Parakeet,bumbar4669
Psittacula caniceps,Nicobar Parakeet,bumbar4670
Psittacula columboides,Malabar Parakeet,bumbar4671
Psittacula calthrapae,Emerald-collared Parakeet,bumbar4672
Psittacula eupatria,Alexandrine Parakeet,bumbar4673
†Psittacula wardi,Seychelles Parakeet,bumbar4674
Psittacula krameri,Rose-ringed Parakeet,bumbar4675
Psittacula eques,Echo Parakeet,bumbar4676
†Psittacula exsul,Rodrigues Parakeet,bumbar4677
†Lophopsittacus bensoni,Mauritius Grey Parrot,bumbar4678
†Necropsittacus bensoni,Rodrigues Parrot,bumbar4679
Micropsitta keiensis,Yellow-capped Pygmy-parrot,bumbar4680
Micropsitta geelvinkiana,Geelvink Pygmy-parrot,bumbar4681
Micropsitta pusio,Buff-faced Pygmy-parrot,bumbar4682
Micropsitta meeki,Yellow-breasted Pygmy-parrot,bumbar4683
Micropsitta finschii,Green Pygmy-parrot,bumbar4684
Micropsitta bruijnii,Red-breasted Pygmy-parrot,bumbar4685
PASSERIFORMES,,bumbar4686
ACANTHISITTIDAE,New Zealand Wrens,bumbar4687
Acanthisitta chloris,Rifleman,bumbar4688
†Xenicus longipes,Bushwren,bumbar4689
Xenicus gilviventris,New Zealand Rockwren,bumbar4690
†Traversia lyallis,Stephens Island Rockwren,bumbar4691
SAPAYOIDAE,Sapaoya,bumbar4692
Sapaoya aenigma,Sapaoya,bumbar4693
PITTIDAE,Pittas,bumbar4694
CALYPTOMENIDAE,African and Green Broadbills,bumbar4695
Erythropitta erythrogaster,Philippine Pitta,bumbar4696
Erythropitta inspeculata,Talaud Pitta,bumbar4697
Erythropitta caeruleitorques,Sangihe Pitta,bumbar4698
Erythropitta palliceps,Siau Pitta,bumbar4699
Erythropitta celebensis,Sulawesi Pitta,bumbar4700
Erythropitta dohertyi,Sula Pitta,bumbar4701
Erythropitta rufiventris,North Moluccan Pitta,bumbar4702
Erythropitta rubrinucha,South Moluccan Pitta,bumbar4703
Erythropitta macklotii,Papuan Pitta,bumbar4704
Erythropitta meeki,Lousiade Pitta,bumbar4705
Erythropitta gazellae,New Britain Pitta,bumbar4706
Erythropitta splendida,Tabar Pitta,bumbar4707
Erythropitta novaehibernicae,New Ireland Pitta,bumbar4708
Erythropitta kochi,Whiskered Pitta,bumbar4709
Erythropitta venusta,Graceful Pitta,bumbar4710
Erythropitta arquata,Blue-banded Pitta,bumbar4711
Erythropitta granatina,Garnet Pitta,bumbar4712
Erythropitta ussheri,Black-crowned Pitta,bumbar4713
Hydrornis phayrei,Eared Pitta,bumbar4714
Hydrornis oatesi,Rusty-naped Pitta,bumbar4715
Hydrornis nipalensis,Blue-naped Pitta,bumbar4716
Hydrornis soror,Blue-rumped Pitta,bumbar4717
Hydrornis caeruleus,Giant Pitta,bumbar4718
Hydrornis schneideri,Schneider's Pitta,bumbar4719
Hydrornis cyaneus,Blue Pitta,bumbar4720
Hydrornis gurneyi,Gurney's Pitta,bumbar4721
Hydrornis elliotii,Bar-bellied Pitta,bumbar4722
Hydrornis guajanus,Java Banded Pitta,bumbar4723
Hydrornis schwaneri,Bornean Banded Pitta,bumbar4724
Hydrornis irena,Malay Banded Pitta,bumbar4725
Hydrornis baudii,Blue-headed Pitta,bumbar4726
Pitta reichenowi,Green-breasted Pitta,bumbar4727
Pitta angolensis,African Pitta,bumbar4728
Pitta brachyura,Indian Pitta,bumbar4729
Pitta moluccensis,Blue-winged Pitta,bumbar4730
Pitta megarhyncha,Mangrove Pitta,bumbar4731
Pitta nympha,Fairy Pitta,bumbar4732
Pitta elegans,Elegant Pitta,bumbar4733
Pitta sordida,Western Hooded Pitta,bumbar4734
Pitta novaeguineae,Eastern Hooded Pitta,bumbar4735
Pitta rosenbergii,Biak Hooded Pitta,bumbar4736
Pitta steerii,Azure-breasted Pitta,bumbar4737
Pitta versicolor,Noisy Pitta,bumbar4738
Pitta maxima,Ivory-breasted Pitta,bumbar4739
Pitta morotaiensis,Morotai Pitta,bumbar4740
Pitta anerythra,Black-faced Pitta,bumbar4741
Pitta superba,Superb Pitta,bumbar4742
Pitta iris,Rainbow Pitta,bumbar4743
Smithornis capensis,African Broadbill,bumbar4744
Smithornis sharpei,Grey-headed Broadbill,bumbar4745
Smithornis rufolateralis,Rufous-sided Broadbill,bumbar4746
Calyptomena viridis,Green Broadbill,bumbar4747
Calyptomena hosii,Hose's Broadbill,bumbar4748
Calyptomena whiteheadi,Whitehead's Broadbill,bumbar4749
THAMNOPHILIDAE,Typical Antbirds,bumbar4750
Euchrepornis sharpei,Yellow-rumped Antwren,bumbar4751
Euchrepornis callinota,Rufous-rumped Antwren,bumbar4752
Euchrepornis spodioptila,Ash-winged Antwren,bumbar4753
Euchrepornis humeralis,Chestnut-shouldered Antwren,bumbar4754
Myrmorchilus strigilatus,Stripe-backed Antbird,bumbar4755
Aprostiornis disjuncta,Yapacana Antbird,bumbar4756
Ammonastes pelzelni,Grey-bellied Antbird,bumbar4757
Myrmophylax atrothorax,Black-throated Antbird,bumbar4758
Microrhopias quixensis,Dot-winget Antwren,bumbar4759
Neoctantes niger,Black Bushbird,bumbar4760
Epinecrophylla fulviventris,Checker-throated Antwren,bumbar4761
Epinecrophylla gutturalis,Brown-bellied Antwren,bumbar4762
Epinecrophylla leucophthalma,White-eyed Antwren,bumbar4763
Epinecrophylla haematonota,Western Stipple-throated Antwren,bumbar4764
Epinecrophylla amazonica,Eastern Stipple-throated Antwren,bumbar4765
Epinecrophylla spodionota,Foothill Antwren,bumbar4766
Epinecrophylla ornata,Western Ornate Antwren,bumbar4767
Epinecrophylla hoffmannsi,Eastern Ornate Antwren,bumbar4768
Epinecrophylla erythrura,Rufous-tailed Antwren,bumbar4769
Clytoctantes alixii,Recurve-billed Bushbird,bumbar4770
Clytoctantes atrogularis,Rondonia Bushbird,bumbar4771
Formicivora iheringi,Narrow-billed Antwren,bumbar4772
Formicivora erythronotos,Black-hooded Antwren,bumbar4773
Formicivora grisea,Southern White-fringed Antwren,bumbar4774
Formicivora intermedia,Northern White-fringed Antwren,bumbar4775
Formicivora serrana,Serra Antwren,bumbar4776
Formicivora melanogaster,Black-bellied Antwren,bumbar4777
Formicivora rufa,Rusty-backed Antwren,bumbar4778
Formicivora grantsaui,Sincora Antwren,bumbar4779
Formicivora acutirostris,Parana Antwren,bumbar4780
Myrmochanes hemileucus,Black-and-white Antbird,bumbar4781
Myrmotherula brachyura,Pygmy Antwren,bumbar4782
Myrmotherula ignota,Moustached Antwren,bumbar4783
Myrmotherula ambigua,Yellow-throated Antwren,bumbar4784
Myrmotherula sclateri,Sclater's Antwren,bumbar4785
Myrmotherula surinamensis,Guianan Streaked Antwren,bumbar4786
Myrmotherula multostriata,Amazonian Streaked Antwren,bumbar4787
Myrmotherula pacifica,Pacific Antwren,bumbar4788
Myrmotherula cheriiei,Cherrie's Antwren,bumbar4789
Myrmotherula klagesi,Klages's Antwren,bumbar4790
Myrmotherula longicauda,Stripe-chested Antwren,bumbar4791
Myrmotherula luctuosa,Silvery-flanked Antwren,bumbar4792
Myrmotherula axillaris,White-flanked Antwren,bumbar4793
Myrmotherula schisticolor,Slaty Antwren,bumbar4794
Myrmotherula sunensis,Rio Suno Antwren,bumbar4795
Myrmotherula minor,Salvadori's Antwren,bumbar4796
Myrmotherula longipennis,Long-winged Antwren,bumbar4797
Myrmotherula urosticta,Band-tailed Antwren,bumbar4798
Myrmotherula iheringi,Ihering's Antwren,bumbar4799
Myrmotherula grisea,Ashy Antwren,bumbar4800
Myrmotherula unicolor,Unicolored Antwren,bumbar4801
Myrmotherula snowy,Alagoas Antwren,bumbar4802
Myrmotherula behni,Plain-winged Antwren,bumbar4803
Myrmotherula menetriesii,Grey Antwren,bumbar4804
Myrmotherula assimilis,Leaden Antwren,bumbar4805
Terenura sicki,Orange-bellied Antwren,bumbar4806
Terenura maculata,Streak-capped Antwren,bumbar4807
Dichrozona cincta,Banded Antbird,bumbar4808
Rhopias gularis,Star-throated Antwren,bumbar4809
PHILEPITTIDAE,Asities,bumbar4810
Philepitta castanea,Velvet Asity,bumbar4811
Philepitta schlegeli,Schlegel's Asity,bumbar4812
Neodrepanis coruscans,Common Sunbird-asity,bumbar4813
Neodrepanis hypoxantha,Yellow-bellied Sunbird-asity,bumbar4814
EURYLAIMIDAE,Typical Broadbills,bumbar4815
Pseudocalytomena graueri,Grauer's Broadbill,bumbar4816
Psarisomus dalhousiae,Long-tailed Broadbill,bumbar4817
Corydon sumatranus,Dusky Broadbill,bumbar4818
Cymbirhynchus macrorhynchos,Black-and-red Broadbill,bumbar4819
Cymbirhynchus affinis,Irrawaddy Broadbill,bumbar4820
Serilophus lunatus,Silver-breasted Broadbill,bumbar4821
Serilophus rubropygius,Grey-bowed Broadbill,bumbar4822
Eurylaimus javanicus,Javan Broadbill,bumbar4823
Eurylaimus harterti,Banded Broadbill,bumbar4824
Eurylaimus ochromalus,Black-and-yellow Broadbill,bumbar4825
Sarcophanops samarensis,Visayan Wattled Broadbill,bumbar4826
Sarcophanops steerii,Mindanao Wattled Broadbill,bumbar4827
Isleria hauxwelli,Plain-throated Antwren,bumbar4828
Isleria guttata,Rufous-bellied Antwren,bumbar4829
Thamnomanes ardesiacus,Dusky-throated Antshrike,bumbar4830
Thamnomanes saturninus,Saturnine Antshrike,bumbar4831
Thamnomanes caesius,Cinereous Antshrike,bumbar4832
Thamnomanes schistogynus,Bluish-slate Antshrike,bumbar4833
Megastictus margaritatus,Pearly Antshrike,bumbar4834
Dysithamnus stictothorax,Spot-breasted Antvireo,bumbar4835
Dysithamnus mentalis,Plain Antvireo,bumbar4836
Dysithamnus striaticeps,Streak-crowned Antvireo,bumbar4837
Dysithamnus puncticeps,Spot-crowned Antvireo,bumbar4838
Dysithamnus xanthopterus,Rufous-backed Antvireo,bumbar4839
Dysithamnus occidentalis,Bicolored Antvireo,bumbar4840
Dysithamnus leucostictus,White-streaked Antvireo,bumbar4841
Dysithamnus plumbeus,Plumbeous Antvireo,bumbar4842
Herpsilochmus sellowi,Caatinga Antwren,bumbar4843
Herpsilochmus pileatus,Bahia Antwren,bumbar4844
Herpsilochmus atricapillus,Black-capped Antwren,bumbar4845
Herpsilochmus stotzi,Aripuana Antwren,bumbar4846
Herpsilochmus motacilloides,Creamy-bellied Antwren,bumbar4847
Herpsilochmus parkeri,Ash-throated Antwren,bumbar4848
Herpsilochmus dugandi,Dugand's Antwren,bumbar4849
Herpsilochmus sticturus,Spot-tailed Antwren,bumbar4850
Herpsilochmus stictocephalus,Todd's Antwren,bumbar4851
Herpsilochmus gentryi,Ancient Antwren,bumbar4852
Herpsilochmus dorsimaculatus,Spot-backed Antwren,bumbar4853
Herpsilochmus roraimae,Roraiman Antwren,bumbar4854
Herpsilochmus pectoralis,Pectoral Antwren,bumbar4855
Herpsilochmus longirostris,Large-billed Antwren,bumbar4856
Herpsilochmus axillaris,Yellow-breasted Antwren,bumbar4857
Herpsilochmus scapularis,Northern Rufous-winged Antwren,bumbar4858
Herpsilochmus rufimarginatus,Southern Rufous-winged Antwren,bumbar4859
Cymbilaimus lineatus,Fasciated Antshrike,bumbar4860
Cymbilaimus sanctaemariae,Bamboo Antshrike,bumbar4861
Taraba major,Great Antshrike,bumbar4862
Hypoedaleus guttatus,Spot-backed Antshrike,bumbar4863
Batara cinerea,Giant Antshrike,bumbar4864
Mackenziaena leachii,Large-tailed Antshrike,bumbar4865
Mackenziaena severa,Tufted Antshrike,bumbar4866
Frederickena viridis,Black-throated Antshrike,bumbar4867
Frederickena unduligera,Undulated Antshrike,bumbar4868
Sakesphorus canadensis,Black-crested Antshrike,bumbar4869
Sakesphorus pulchellus,Streak-fronted Antshrike,bumbar4870
Sakesphorus cristatus,Silvery-cheeked Antshrike,bumbar4871
Sakesphorus luctuosus,Glossy Antshrike,bumbar4872
Thamnophilus doliatus,Barred Antshrike,bumbar4873
Thamnophilus ruficapillus,Southern Rufous-capped Antshrike,bumbar4874
Thamnophilus subfasciatus,Northern Rufous-capped Antshrike,bumbar4875
Thamnophilus torquatus,Rufous-winged Antshrike,bumbar4876
Thamnophilus zarumae,Chapman's Antshrike,bumbar4877
Thamnophilus multistriatus,Bar-crested Antshrike,bumbar4878
Thamnophilus tenuepunctatus,Lined Antshrike,bumbar4879
Thamnophilus palliatus,Chestnut-backed Antshrike,bumbar4880
Thamnophilus bernardi,Collared Antshrike,bumbar4881
Thamnophilus shumbae,Maranon Antshrike,bumbar4882
Thamnophilus bridgesi,Black-hooded Antshrike,bumbar4883
Thamnophilus atrinucha,Black-crowned Antshrike,bumbar4884
Thamnophilus schistaceus,Plain-winged Antshrike,bumbar4885
Thamnophilus murinus,Mouse-colored Antshrike,bumbar4886
Thamnophilus nigriceps,Black Antshrike,bumbar4887
Thamnophilus praecox,Cocha Antshrike,bumbar4888
Thamnophilus cryptoleucus,Castelnau's Antshrike,bumbar4889
Thamnophilus nigrocinereus,Blackish-grey Antshrike,bumbar4890
Thamnophilus punctatus,Northern Slaty Antshrike,bumbar4891
Thamnophilus stictocephalus,Natterer's Slaty Antshrike,bumbar4892
Thamnophilus sticturus,Bolivian Slaty Antshrike,bumbar4893
Thamnophilus pelzelni,Planalto Slaty Antshrike,bumbar4894
Thamnophilus ambiguus,Sooretama Slaty Antshrike,bumbar4895
Thamnophilus caerulescens,Variable Antshrike,bumbar4896
Thamnophilus unicolor,Uniform Antshrike,bumbar4897
Thamnophilus aethiops,White-shouldered Antshrike,bumbar4898
Thamnophilus aroyae,Upland Antshrike,bumbar4899
Thamnophilus melanonotus,Black-backed Antshrike,bumbar4900
Thamnophilus melanothorax,Band-tailed Antshrike,bumbar4901
Thamnophilus amazonicus,Amazonian Antshrike,bumbar4902
Thamnophilus insignis,Streak-backed Antshrike,bumbar4903
Thamnophilus divisorus,Acre Antshrike,bumbar4904
Biatas nigropectus,White-bearded Antshrike,bumbar4905
Xenornis setifrons,Spiny-faced Antshrike,bumbar4906
Cercomacra manu,Manu Antbird,bumbar4907
Cercomacra brasiliana,Rio de Janeiro Antbird,bumbar4908
Cercomacra cinerascens,Grey Antbird,bumbar4909
Cercomacra melanaria,Mato Grosso Antbird,bumbar4910
Cercomacra ferdinandi,Bananal Antbird,bumbar4911
Cercomacra carbonaria,Rio Branco Antbird,bumbar4912
Cercomacra nigricans,Jet Antbird,bumbar4913
Sciaphylax hemimelaena,Southern Chestnut-tailed Antbird,bumbar4914
Sciaphylax castanea,Northern Chestnut-tailed Antbird,bumbar4915
Cercomacroides nigrescens,Blackish Antbird,bumbar4916
Cercomacroides fuscicauda,Riparian Antbird,bumbar4917
Cercomacroides laeta,Willis's Antbird,bumbar4918
Cercomacroides parkeri,Parker's Antbird,bumbar4919
Cercomacroides tyrannina,Dusky Antbird,bumbar4920
Cercomacroides serva,Black Antbird,bumbar4921
Drymophila ferruginea,Ferruginous Antbird,bumbar4922
Drymophila rubicollis,Bertoni's Antbird,bumbar4923
Drymophila genei,Rufous-tailed Antbird,bumbar4924
Drymophila ochropyga,Ochre-rumped Antbird,bumbar4925
Drymophila malura,Dusky-tailed Antbird,bumbar4926
Drymophila squamata,Scaled Antbird,bumbar4927
Drymophila devillei,Striated Antbird,bumbar4928
Drymophila klagesi,Klages's Antbird,bumbar4929
Drymophila hellmayri,Santa Marta Antbird,bumbar4930
Drymophila caudata,East Andean Antbird,bumbar4931
Drymophila striaticeps,Streak-headed Antbird,bumbar4932
Hypocnemis hypoxantha,Yellow-browed Antwarbler,bumbar4933
Hypocnemis subflava,Yellow-breasted Antwarbler,bumbar4934
Hypocnemis flavescens,Imeri Antwarbler,bumbar4935
Hypocnemis cantator,Guianan Antwarbler,bumbar4936
Hypocnemis peruviana,Peruvian Antwarbler,bumbar4937
Hypocnemis ochrogyna,Rondonia Antwarbler,bumbar4938
Hypocnemis rondoni,Manicore Antwarbler,bumbar4939
Hypocnemis striata,Spix's Antwarbler,bumbar4940
Phaenostictus mcleannani,Ocellated Antbird,bumbar4941
Pithys albifrons,White-plumed Antbird,bumbar4942
Pithys castaneus,White-masked Antbird,bumbar4943
Willisornis poecilonotus,Common Scale-backed Antbird,bumbar4944
Willisornis vidua,Xingu Scale-backed Antbird,bumbar4945
Willisornis nigrigula,Tapajos Scale-backed Antbird,bumbar4946
Phlegopsis nigromaculata,Black-spotted Bare-eye,bumbar4947
Phlegopsis borbae,Pale-faced Bare-eye,bumbar4948
Phlegopsis erythroptera,Reddish-winged Bare-eye,bumbar4949
Oneillornis salvini,White-throated Antbird,bumbar4950
Oneillornis lunulatus,Lunulated Antbird,bumbar4951
Gymnopithys bicolor,Bicolored Antbird,bumbar4952
Gymnopithys leucaspis,White-cheeked Antbird,bumbar4953
Gymnopithys rufigula,Rufous-throated Antbird,bumbar4954
Rhegmatorhina gymnops,Bare-eyed Antbird,bumbar4955
Rhegmatorhina berlepschi,Harlequin Antbird,bumbar4956
Rhegmatorhina hoffmannsi,White-breasted Antbird,bumbar4957
Rhegmatorhina cristata,Chestnut-crested Antbird,bumbar4958
Rhegmatorhina melanosticta,Hairy-crested Antbird,bumbar4959
Myrmoderus ferrugineus,Ferruginous-backed Antbird,bumbar4960
Myrmoderus ruficauda,Scalloped Antbird,bumbar4961
Myrmoderus loricatus,White-bibbed Antbird,bumbar4962
Myrmoderus squamosus,Squamate Antbird,bumbar4963
Hylophylax naevioides,Spotted Antbird,bumbar4964
Hylophylax naevius,Spot-backed Antbird,bumbar4965
Hylophylax punctulatus,Dot-backed Antbird,bumbar4966
Hypocnemoides melanopogon,Black-chinned Antbird,bumbar4967
Hypocnemoides maculicauda,Band-tailed Antbird,bumbar4968
Sclateria naevia,Silvered Antbird,bumbar4969
Myrmelastes saturatus,Roraiman Antbird,bumbar4970
Myrmelastes schistaceus,Slate-colored Antbird,bumbar4971
Myrmelastes hyperythrus,Plumbeous Antbird,bumbar4972
Myrmelastes rufifacies,Rufous-faced Antbird,bumbar4973
Myrmelastes brunneiceps,Brownish-headed Antbird,bumbar4974
Myrmelastes humayathe,Humaita Antbird,bumbar4975
Myrmelastes leucostigma,Spot-winged Antbird,bumbar4976
Myrmelastes caurensis,Caura Antbird,bumbar4977
Poliocrania maculifer,Short-tailed Antbird,bumbar4978
Poliocrania exsul,Chestnut-backed Antbird,bumbar4979
Grallaria albigula,White-throated Antpitta,bumbar4980
Grallaria flavotincta,Yellow-breasted Antpitta,bumbar4981
Grallaria hypoleuca,White-bellied Antpitta,bumbar4982
Grallaria przewalskii,Rusty-tinged Antpitta,bumbar4983
Grallaria capitalis,Bay Antpitta,bumbar4984
Grallaria erythroleuca,Red-and-white Antpitta,bumbar4985
Grallaria saltuensis,Perija Antpitta,bumbar4986
Grallaria rufula,Rufous Antpitta,bumbar4987
Grallaria blakei,Chestnut Antpitta,bumbar4988
Grallaria quitensis,Western Tawny Antpitta,bumbar4989
Grallaria alticola,Northern Tawny Antpitta,bumbar4990
Grallaria atuensis,Southern Tawny Antpitta,bumbar4991
Grallaria fenwickorum,Urrao Antpitta,bumbar4992
Grallaria milleri,Brown-banded Antpitta,bumbar4993
Grallaria erythrotis,Rufous-faced Antpitta,bumbar4994
Hylopezus perspicillatus,Streak-chested Antpitta,bumbar4995
Hylopezus macularius,Spotted Antpitta,bumbar4996
Hylopezus auricularius,Masked Antpitta,bumbar4997
Hylopezus dives,Thicket Antpitta,bumbar4998
Hylopezus fulviventris,White-lored Antpitta,bumbar4999
Hylopezus berlepschi,Amazonian Antpitta,bumbar5000
Hylopezus ochroleucus,White-browed Antpitta,bumbar5001
Hylopezus nattereri,Speckle-breasted Antpitta,bumbar5002
Myrmothera campanisona,Thrush-like Antpitta,bumbar5003
Myrmothera simplex,Tepui Antpitta,bumbar5004
Grallaricula flavirostris,Ochre-breasted Antpitta,bumbar5005
Grallaricula loricata,Scallop-breasted Antpitta,bumbar5006
Grallaricula cucullata,Hooded Antpitta,bumbar5007
Grallaricula peruviana,Peruvian Antpitta,bumbar5008
Grallaricula ochraceifrons,Ochre-fronted Antpitta,bumbar5009
Grallaricula ferrugineipectus,Rusty-breasted Antpitta,bumbar5010
Grallaricula leymebambae,Rufous-breasted Antpitta,bumbar5011
Grallaricula cumanensis,Sucre Antpitta,bumbar5012
Grallaricula nana,Slate-crowned Antpitta,bumbar5013
Grallaricula lineifrons,Crescent-faced Antpitta,bumbar5014
Ampelornis griseiceps,Grey-headed Antbird,bumbar5015
Stipia berlepschi,Stub-tailed Antbird,bumbar5016
Stipia nigricauda,Esmeraldas Antbird,bumbar5017
Stipia palliata,Magdalena Antbird,bumbar5018
Stipia laemosticta,Dull-mantled Antbird,bumbar5019
Myrmeciza longipes,White-bellied Antbird,bumbar5020
Myrmoborus melanurus,Black-tailed Antbird,bumbar5021
Myrmoborus lophotes,White-lined Antbird,bumbar5022
Myrmoborus myotherinus,Black-faced Antbird,bumbar5023
Myrmoborus leucophrys,White-browed Antbird,bumbar5024
Myrmoborus lugubris,Ash-breasted Antbird,bumbar5025
Gymnocichla nudiceps,Bare-crowned Antbird,bumbar5026
Pyriglena leuconota,White-backed Fire-eye,bumbar5027
Pyriglena leucoptera,White-shouldered Fire-eye,bumbar5028
Pyriglena atra,Fringe-backed Fire-eye,bumbar5029
Rhopornis ardesiacus,Slender Antbird,bumbar5030
Percnostola rufufrons,Black-headed Antbird,bumbar5031
Percnostola arenarum,Allpahuayo Antbird,bumbar5032
Akletos melanoceps,White-shouldered Antbird,bumbar5033
Akletos goeldii,Goeldi's Antbird,bumbar5034
Hafferia fortis,Sooty Antbird,bumbar5035
Hafferia zeledoni,Zeledon's Antbird,bumbar5036
Hafferia immaculata,Immaculate Antbird,bumbar5037
Myrmornis torquata,Southern Wing-banded Antbird,bumbar5038
Myrmornis stictopera,Northern Wing-banded Antbird,bumbar5039
Pygiptila stellaris,Spot-winged Antshrike,bumbar5040
Thamnistes anabatinus,Western Russet Antshrike,bumbar5041
Thamnistes aequatorialis,Eastern Russet Antshrike,bumbar5042
CONOPOPHAGIDAE,Gnateaters,bumbar5043
Conopophaga aurita,Chestnut-belted Gnateater,bumbar5044
Conopophaga snethlageae,Black-breasted-belted Gnateater,bumbar5045
Conopophaga melanops,Black-cheeked Gnateater,bumbar5046
Conopophaga lineata,Rufous Gnateater,bumbar5047
Conopophaga cearae,Ceara Gnateater,bumbar5048
Conopophaga roberti,Hooded Gnateater,bumbar5049
Conopophaga peruviana,Ash-throated Gnateater,bumbar5050
Conopophaga ardesiaca,Slaty Gnateater,bumbar5051
Conopophaga castaneiceps,Chestnut-crowned Gnateater,bumbar5052
Conopophaga melanogaster,Black-bellied Gnateater,bumbar5053
Pittasoma michleri,Black-crowned Pittasoma,bumbar5054
Pittasoma rufopileatum,Rufous-crowned Pittasoma,bumbar5055
RHINOCRYPTIDAE,Tapaculos,bumbar5056
Pteroptochos castaneus,Chestnut-throated Huet-huet,bumbar5057
Pteroptochos tarnii,Black-throated Huet-huet,bumbar5058
Pteroptochos megapodius,Moustached Turca,bumbar5059
Scelorchilus albicollis,White-throated Tapaculo,bumbar5060
Scelorchilus rubecula,Chucao Tapaculo,bumbar5061
Liosceles thoracicus,Rusty-belted Tapaculo,bumbar5062
Psilorhamphus guttatus,Spotted Bamboowren,bumbar5063
Acropternis orthonyx,Ocellated Tapaculo,bumbar5064
Rhinocrypta lanceolata,Crested Gallito,bumbar5065
Teledromas fuscus,Sandy Gallito,bumbar5066
Eleoscytalopus psychopompus,Bahia Tapaculo,bumbar5067
Eleoscytalopus indigoticus,White-breasted Tapaculo,bumbar5068
Merulaxis ater,Slaty Bristlefront,bumbar5069
Merulaxis stresemanni,Stresemann's Bristlefront,bumbar5070
Myornis senilis,Ash-colored Tapaculo,bumbar5071
Eugralla paradoxa,Ochre-flanked Tapaculo,bumbar5072
Scytalopus latrans,Blackish Tapaculo,bumbar5073
Scytalopus gettyae,Junin Tapaculo,bumbar5074
Scytalopus unicolor,Unicolored Tapaculo,bumbar5075
Scytalopus parvirostris,Trilling Tapaculo,bumbar5076
Scytalopus petrophillus,Rock Tapaculo,bumbar5077
Scytalopus diamantinensis,Diamantina Tapaculo,bumbar5078
Scytalopus novacapitalis,Brasilia Tapaculo,bumbar5079
Scytalopus pachecoi,Planalto Tapaculo,bumbar5080
Scytalopus speluncae,Mouse-colored Tapaculo,bumbar5081
Scytalopus bonzagai,Boa Nova Tapaculo,bumbar5082
Scytalopus iraiensis,Marsh Tapaculo,bumbar5083
Scytalopus macropus,Large-footed Tapaculo,bumbar5084
Scytalopus sanctaemartae,Santa Marta Tapaculo,bumbar5085
Scytalopus micropterus,Long-tailed Tapaculo,bumbar5086
Scytalopus femoralis,Rufous-vented Tapaculo,bumbar5087
Scytalopus atratus,White-crowned Tapaculo,bumbar5088
Scytalopus bolivianus,Bolivian Tapaculo,bumbar5089
Scytalopus argentifrons,Silvery-fronted Tapaculo,bumbar5090
Scytalopus panamensis,Tacarcuna Tapaculo,bumbar5091
Scytalopus chocoensis,Choco Tapaculo,bumbar5092
Scytalopus rodriguezi,Magdalena Tapaculo,bumbar5093
Scytalopus stilesi,Stiles's Tapaculo,bumbar5094
Scytalopus robbinsi,Ecuadorian Tapaculo,bumbar5095
MELANOPAREIIDAE,Crescentchest,bumbar5096
Melanopareia torquata,Collared Crescentchest,bumbar5097
Melanopareia maximiliani,Olive-crowned Crescentchest,bumbar5098
Melanopareia maranonica,Maranon Crescentchest,bumbar5099
Melanopareia elegans,Elegant Crescentchest,bumbar5100
GRALLARIIDAE,Antpittas,bumbar5101
Grallaria squamigera,Undulated Antpitta,bumbar5102
Grallaria gigantea,Giant Antpitta,bumbar5103
Grallaria excelsa,Great Antpitta,bumbar5104
Grallaria varia,Variegated Antpitta,bumbar5105
Grallaria alleni,Moustached Antpitta,bumbar5106
Grallaria chthonia,Tachira Antpitta,bumbar5107
Grallaria guatimalensis,Scaled Antpitta,bumbar5108
Grallaria haplonota,Plain-backed Antpitta,bumbar5109
Grallaria dignissima,Ochre-striped Antpitta,bumbar5110
Grallaria eludens,Elusive Antpitta,bumbar5111
Grallaria ruficapilla,Chestnut-crowned Antpitta,bumbar5112
Grallaria watkinsi,Watkin's Antpitta,bumbar5113
Grallaria bangsi,Santa Marta Antpitta,bumbar5114
Grallaria kaestneri,Cundinamarca Antpitta,bumbar5115
Grallaria andicolus,Stripe-headed Antpitta,bumbar5116
Grallaria griseonucha,Gray-naped Antpitta,bumbar5117
Grallaria rufocinerea,Bicolored Antpitta,bumbar5118
Grallaria ridgelyi,Jocotoco Antpitta,bumbar5119
Grallaria nuchalis,Chestnut-naped Antpitta,bumbar5120
Grallaria carrikeri,Pale-billed Antpitta,bumbar5121
Scytalopus vicinior,Narino Tapaculo,bumbar5122
Scytalopus latebricola,Brown-rumped Tapaculo,bumbar5123
Scytalopus meridanus,Merida Tapaculo,bumbar5124
S. m. fuscicauda,Lara Tapaculo,bumbar5125
Scytalopus perijanus,Perija Tapaculo,bumbar5126
Scytalopus caracae,Caracas Tapaculo,bumbar5127
Scytalopus spillmanni,Spillmann's Tapaculo,bumbar5128
Scytalopus parkeri,Chusquea Tapaculo,bumbar5129
