Latin,English,Croatian
AEGOTHELIDAE,Owlet-nightjars,bumbar1143
Aegotheles savesi,New Caledonian Owlet-nightjar,bumbar1144
Aegotheles insignis,Feline Owlet-nightjar,bumbar1145
Aegotheles tatei,Spangled Owlet-nightjar,bumbar1146
Aegotheles crinifrons,Moluccan Owlet-nightjar,bumbar1147
Aegotheles cristatus,Australian Owlet-nightjar,bumbar1148
Aegotheles affinis,Allied Owlet-nightjar,bumbar1149
Aegotheles bennettii,Barred Owlet-nightjar,bumbar1150
Aegotheles wallacii,Wallace's Owlet-nightjar,bumbar1151
Aegotheles archboldi,Archbold's Owlet-nightjar,bumbar1152
Aegotheles albertisi,Mountain Owlet-nightjar,bumbar1153
HEMIPROCNIDAE,Treeswifts,bumbar1154
Hemiprocne coronata,Crested Treeswift,bumbar1155
Hemiprocne longipennis,Grey-rumped Treeswift,bumbar1156
Hemiprocne comata,Whiskered Treeswift,bumbar1157
Hemiprocne mystacea,Moustached Treeswift,bumbar1158
APODIDAE,Swifts,bumbar1159
Cypseloides cherriei,Spot-fronted Swift,bumbar1160
Cypseloides cryptus,White-chinned Swift,bumbar1161
Cypseloides storeri,White-fronted Swift,bumbar1162
Cypseloides niger,Black Swift,bumbar1163
Cypseloides lemosi,White-chested Swift,bumbar1164
Cypseloides rothschildi,Rothschild' s Swift,bumbar1165
Cypseloides fumigatus,Sooty Swift,bumbar1166
Cypseloides senex,Great Dusky Swift,bumbar1167
Streptoprocne rutila,Chestnut-collared Swift,bumbar1168
Streptoprocne phelpsi,Tepui Swift,bumbar1169
Streptoprocne zonaris,White-collared Swift,bumbar1170
Streptoprocne biscutata,Biscutate Swift,bumbar1171
Streptoprocne semicollaris,White-naped Swift,bumbar1172
Mearnsia picina,Philippine Spinetail,bumbar1173
Mearnsia novaeguineae,Papuan Spinetail,bumbar1174
Zoonavena grandidieri,Madagascar Spinetail,bumbar1175
Zoonavena thomensis,Sao Tome Spinetail,bumbar1176
Zoonavena sylvatica,White-rumped Spinetail,bumbar1177
Telecanthura ussheri,Mottled Spinetail,bumbar1178
Telecanthura melanopygia,Black Spinetail,bumbar1179
Rhaphidura leucopygialis,Silver-rumped Spinetail,bumbar1180
Rhaphidura sabini,Sabine's Spinetail,bumbar1181
Neafrapus cassini,Cassin's Spinetail,bumbar1182
Neafrapus boehmi,Böhm's Spinetail,bumbar1183
Chaetura fumosa,Costa Rican Swift,bumbar1184
Chaetura spinicaudus,Band-rumped Swift,bumbar1185
Chaetura martinica,Lesser Antillean Swift,bumbar1186
Chaetura cinereiventris,Grey-rumped Swift,bumbar1187
Chaetura egregia,Pale-rumped Swift,bumbar1188
Chaetura vauxi,Vaux's Swift,bumbar1189
Chaetura pelagica,Chimney Swift,bumbar1190
Chaetura chapmani,Chapman's Swift,bumbar1191
Chaetura meridionalis,Southern Swift,bumbar1192
Chaetura brachyura,Short-tailed Swift,bumbar1193
Hirundapus caudacutus,White-throated Needletail,bumbar1194
Hirundapus cochinchinensis,Silver-backed Needletail,bumbar1195
Hirundapus giganteus,Brown-backed Needletail,bumbar1196
Hirundapus celebensis,Purple Needletail,bumbar1197
Collocalia troglodytes,Pygmy Swiftlet,bumbar1198
Collocalia linchi,Cave Swiftlet,bumbar1199
Collocalia esculenta,Glossy Swiftlet,bumbar1200
Hydrochous gigas,Waterfall Swift,bumbar1201
Aerodramus papuensis,Papuan Swiftlet,bumbar1202
Aerodramus whiteheadi,Whitehead's Swiftlet,bumbar1203
Aerodramus nuditarsus,Bare-legged Swiftlet,bumbar1204
Aerodramus orientalis,Mayr's Swiftlet,bumbar1205
Aerodramus infuscatus,Moluccan Swiftlet,bumbar1206
Aerodramus hirundinaceus,Mountain Swiftlet,bumbar1207
Aerodramus terraereginae,Australian Swiftlet,bumbar1208
Aerodramus brevirostris,Himalayan Swiftlet,bumbar1209
Aerodramus vulcanorum,Volcano Swiftlet,bumbar1210
Aerodramus maximus,Black-nest Swiftlet,bumbar1211
Aerodramus vanikorensis,Uniform Swiftlet,bumbar1212
Aerodramus sawtelli,Atiu Swiftlet,bumbar1213
Aerodramus leucophaeus,Polynesian Swiftlet,bumbar1214
Aerodramus inquietus,Caroline Swiftlet,bumbar1215
Aerodramus pelewensis,Palau Swiftlet,bumbar1216
Aerodramus bartschi,Mariana Swiftlet,bumbar1217
Aerodramus mearnsi,Philippine Swiftlet,bumbar1218
Aerodramus spodiopygius,White-rumped Swiftlet,bumbar1219
Aerodramus unicolor,Indian Swiftlet,bumbar1220
Aerodramus francicus,Mascarene Swiftlet,bumbar1221
Aerodramus elaphrus,Seychelles Swiftlet,bumbar1222
Aerodramus fuciphagus,Edible-nest Swiftlet,bumbar1223
Aerodramus salangana,Mossy-nest Swiftlet,bumbar1224
Schoutedenapus myoptilus,Scarce Swift,bumbar1225
Schoutedenapus schoutedeni,Schouteden's Swift,bumbar1226
Aeronautes saxatilis,White-throated Swift,bumbar1227
Aeronautes montivagus,White-tipped Swift,bumbar1228
Aeronautes andecolus,Andean Swift,bumbar1229
Tachornis phoenicobia,Antillean Palm-swift,bumbar1230
Tachornis furcata,Pygmy Swift,bumbar1231
Tachornis squamata,Fork-tailed Palm-swift,bumbar1232
Panyptila sanctihieronymi,Great Swallow-tailed Swift,bumbar1233
Panyptila cayennensis,Lesser Swallow-tailed Swift,bumbar1234
Cypsiurus parvus,African Palm-swift,bumbar1235
Cypsiurus balasiensis,Asian Palm-swift,bumbar1236
Tachymarptis melba,Alpine Swift,bumbar1237
Tachymarptis aequatorialis,Mottled Swift,bumbar1238
Apus acuticauda,Dark-rumped Swift,bumbar1239
Apus pacificus,Pacific Swift,bumbar1240
Apus caffer,White-rumped Swift,bumbar1241
Apus batesi,Bates's Swift,bumbar1242
Apus horus,Horus Swift,bumbar1243
Apus nipalensis,House Swift,bumbar1244
Apus affinis,Little Swift,bumbar1245
Apus niansae,Nyanza Swift,bumbar1246
Apus bradfieldi,Bradfield's Swift,bumbar1247
Apus barbatus,African Swift,bumbar1248
Apus sladeniae,Fernando Po Swift,bumbar1249
Apus balstoni,Madagascar Swift,bumbar1250
Apus berliozi,Forbes-Watson's Swift,bumbar1251
Apus unicolor,Plain Swift,bumbar1252
Apus alexandri,Alexander's Swift,bumbar1253
Apus pallidus,Pallid Swift,bumbar1254
Apus apus,Common Swift,bumbar1255
TROCHILIDAE,Hummingbirds,bumbar1256
Topaza pella,Crimson Topaz,bumbar1257
Topaza pyra,Fiery Topaz,bumbar1258
Florisuga mellivora,White-necked Jacobin,bumbar1259
Florisuga fusca,Black Jacobin,bumbar1260
Eutoxeres aquila,White-tipped Sicklebill,bumbar1261
Eutoxeres condamini,Buff-tailed Sicklebill,bumbar1262
Ramphodon naevius,Saw-billed Hermit,bumbar1263
Glaucis dohrnii,Hook-billed Hermit,bumbar1264
Glaucis aeneus,Bronzy Hermit,bumbar1265
Glaucis hirsutus,Rufous-breasted Hermit,bumbar1266
Threnetes ruckeri,Band-tailed Barbthroat,bumbar1267
Threnetes leucurus,Pale-tailed Barbthroat,bumbar1268
Threnetes niger,Sooty Barbthroat,bumbar1269
Anopetia gounellei,Broad-tipped Hermit,bumbar1270
Phaethornis squalidus,Dusky-throated Hermit,bumbar1271
Phaethornis rupurumii,Streak-throated Hermit,bumbar1272
Phaethornis longuemareus,Little Hermit,bumbar1273
Phaethornis aethopygus,Tapajos Hermit,bumbar1274
Phaethornis idaliae,Minute Hermit,bumbar1275
Phaethornis nattereri,Cinnamon-throated Hermit,bumbar1276
Phaethornis atrimentalis,Black-throated Hermit,bumbar1277
Phaethornis striigularis,Stripe-throated Hermit,bumbar1278
Phaethornis griseogularis,Grey-chinned Hermit,bumbar1279
Phaethornis porcullae,Porculla Hermit,bumbar1280
Phaethornis ruber,Reddish Hermit,bumbar1281
Phaethornis stuarti,White-browed Hermit,bumbar1282
Phaethornis subochraeus,Buff-bellied Hermit,bumbar1283
Phaethornis augusti,Sooty-capped Hermit,bumbar1284
Phaethornis pretrei,Planalto Hermit,bumbar1285
Phaethornis eurynome,Scale-throated Hermit,bumbar1286
Phaethornis anthophilus,Pale-bellied Hermit,bumbar1287
Phaethornis hispidus,White-bearded Hermit,bumbar1288
Phaethornis yaruqui,White-whiskered Hermit,bumbar1289
Phaethornis guy,Green Hermit,bumbar1290
Phaethornis syrmatophorus,Tawny-bellied Hermit,bumbar1291
Phaethornis koepckeae,Koepcke's Hermit,bumbar1292
Phaethornis philippii,Needle-billed Hermit,bumbar1293
Phaethornis bourcieri,Straight-billed Hermit,bumbar1294
Phaethornis mexicanus,Mexican Hermit,bumbar1295
Phaethornis longirostris,Long-billed Hermit,bumbar1296
Phaethornis baroni,Ecuadorian Hermit,bumbar1297
Phaethornis superciliosus,Long-tailed Hermit,bumbar1298
Phaethornis malaris,Great-billed Hermit,bumbar1299
Doryfera ludovicae,Green-fronted Lancebill,bumbar1300
Doryfera johannae,Blue-fronted Lancebill,bumbar1301
Schistes albogularis,Western Wedge-billed Hummingbird,bumbar1302
Schistes geoffroyi,Eastern Wedge-billed Hummingbird,bumbar1303
Augastes scutatus,Hyacinth Visorbearer,bumbar1304
Augastes lumachella,Hooded Visorbearer,bumbar1305
Colibri delphinae,Brown Violet-ear,bumbar1306
Colibri thalassinus,Green Violet-ear,bumbar1307
Colibri coruscans,Sparkling Violet-ear,bumbar1308
Colibri serrirostris,White-vented Violet-ear,bumbar1309
Androdon aequatorialis,Tooth-billed Hummingbird,bumbar1310
Heliactin bilophus,Horned Sungem,bumbar1311
Heliothryx barroti,Purple-crowned Fairy,bumbar1312
Heliothryx auritus,Black-eared Fairy,bumbar1313
Polytmus guainumbi,White-tailed Goldenthroat,bumbar1314
Polytmus milleri,Tepui Goldenthroat,bumbar1315
Polytmus theresiae,Green-tailed Goldenthroat,bumbar1316
Chrysolamphis mosquitus,Ruby-topaz Hummingbird,bumbar1317
Avocettula recurvirostris,Fiery-tailed Awlbill,bumbar1318
Anthracothorax viridigula,Green-throated Mango,bumbar1319
Anthracothorax prevostii,Green-breasted Mango,bumbar1320
Anthracothorax nigricollis,Black-throated Mango,bumbar1321
Anthracothorax veraguensis,Veraguas Mango,bumbar1322
Anthracothorax dominicus,Hispaniolan Mango,bumbar1323
Anthracothorax aurulentus,Puerto Rucan Mango,bumbar1324
Anthracothorax viridis,Green Mango,bumbar1325
Anthracothorax mango,Jamaican Mango,bumbar1326
Eulampis holosericeus,Green-throated Carib,bumbar1327
Eulampis jugularis,Purple-throated Carib,bumbar1328
Heliangelus mavors,Orange-throated Sunangel,bumbar1329
Heliangelus spencei,Merida Sunangel,bumbar1330
Heliangelus clarisse,Longuemare's Sunangel,bumbar1331
Heliangelus amethysticollis,Amethyst-throated Sunangel,bumbar1332
Heliangelus strophianus,Gorgeted Sunangel,bumbar1333
Heliangelus exortis,Tourmaline Sunangel,bumbar1334
Heliangelus micraster,Little Sunangel,bumbar1335
Heliangelus viola,Purple-throated Sunangel,bumbar1336
Heliangelus regalis,Royal Sunangel,bumbar1337
Heliangelus zusii,Bogota Sunangel,bumbar1338
Sephanoides sephanoides,Green-backed Firecrown,bumbar1339
Sephanoides fernandensis,Juan Fernandez Firecrown,bumbar1340
Discosura conversii,Green Thorntail,bumbar1341
Discosura popelairii,Wire-crested Thorntail,bumbar1342
Discosura langsdorffi,Black-bellied Thorntail,bumbar1343
Discosura letitiae,Coppery Thorntail,bumbar1344
Discosura longicaudus,Racquet-tailed Coquette,bumbar1345
